filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2000-03-13,1999-12-10,2000-06-14,0.771809115121,0.446990236155,0.440994332235,0.582514855434,0.947142351166,0.714817306791,0.737992400217,0.78535241175,206,85,100,74,185,569,303,209,182,453,169,279,164,23,137,13439,7466,7018,5100,12201
2000-06-14,2000-03-13,2000-09-13,0.477670511144,0.486451446222,0.687111552729,0.666324779354,0.709018344155,0.77773629946,0.869687643319,0.808685562668,85,100,74,185,100,303,209,182,453,302,279,164,23,137,57,7466,7018,5100,12201,6100
2000-09-13,2000-06-14,2000-12-08,0.466859592736,0.615779642451,0.643971183561,0.843672694872,0.781377648734,0.840967549058,0.812065677993,0.948908944998,100,74,185,100,101,209,182,453,302,341,164,23,137,57,87,7018,5100,12201,6100,6765
2000-12-08,2000-09-13,2001-04-27,0.616098771229,0.613368175264,0.791434507561,0.854558865684,0.856260186862,0.801202995231,0.927332066461,0.945025476991,74,185,100,101,109,182,453,302,341,400,23,137,57,87,126,5100,12201,6100,6765,7389
2001-04-27,2000-12-08,2001-05-25,0.205994652612,0.17080570322,0.175409690587,0.181215052861,0.405648421929,0.341072731064,0.350708714011,0.355679945003,185,100,101,109,586,453,302,341,400,1953,137,57,87,126,3217,12201,6100,6765,7389,52919
2001-05-25,2001-04-27,2001-06-12,0.585926580789,0.603867687857,0.61332915424,0.250670881511,0.757691212393,0.774383121092,0.778236347957,0.448993373215,100,101,109,586,241,302,341,400,1953,505,57,87,126,3217,197,6100,6765,7389,52919,16082
2001-06-12,2001-05-25,2001-09-10,0.735445919864,0.726775247591,0.183838721244,0.616454935357,0.917709889526,0.914058252949,0.362322155562,0.779910998453,101,109,586,241,120,341,400,1953,505,406,87,126,3217,197,129,6765,7389,52919,16082,7356
2001-09-10,2001-06-12,2001-11-23,0.346163800507,0.296618995055,0.359412775141,0.416828608886,0.542004873459,0.546600431605,0.565863417228,0.577221892808,109,586,241,120,172,400,1953,505,406,526,126,3217,197,129,717,7389,52919,16082,7356,14226
2001-11-23,2001-09-10,2002-05-14,0.180387523098,0.570658967194,0.761144074194,0.423875311185,0.377281670112,0.771575767253,0.915409360614,0.575710822727,586,241,120,172,121,1953,505,406,526,368,3217,197,129,717,111,52919,16082,7356,14226,7702
2002-05-14,2001-11-23,2002-06-10,0.677973503163,0.53905370555,0.319931768734,0.582451279204,0.897787403788,0.769479093297,0.533656791517,0.796507310779,241,120,172,121,246,505,406,526,368,641,197,129,717,111,238,16082,7356,14226,7702,17452
2002-06-10,2002-05-14,2002-07-03,0.559640215452,0.365266131981,0.578397280967,0.648183774306,0.802955200061,0.589383660449,0.813527075842,0.835324539214,120,172,121,246,148,406,526,368,641,514,129,717,111,238,254,7356,14226,7702,17452,10848
2002-07-03,2002-06-10,2002-09-10,0.364714017976,0.577394786235,0.647476261621,0.998216558401,0.588513663135,0.812246364844,0.834755623764,0.999612058929,172,121,246,148,149,526,368,641,514,517,717,111,238,254,255,14226,7702,17452,10848,10878
2002-09-10,2002-07-03,2002-12-10,0.596353676638,0.638802374613,0.718807673654,0.71833523688,0.845947416944,0.830600368863,0.867875312747,0.867780158678,121,246,148,149,148,368,641,514,517,527,111,238,254,255,203,7702,17452,10848,10878,10571
2002-12-10,2002-09-10,2003-04-25,0.595683033431,0.67269063207,0.672594260186,0.792549683869,0.814371547103,0.861466273311,0.861535501586,0.905435202138,246,148,149,148,178,641,514,517,527,629,238,254,255,203,199,17452,10848,10878,10571,12688
2003-04-25,2002-12-10,2003-05-22,0.580962042089,0.581248349091,0.485548199472,0.542096605397,0.789929649568,0.790446237079,0.671428184165,0.739323218343,148,149,148,178,356,514,517,527,629,851,254,255,203,199,622,10848,10878,10571,12688,25957
2003-05-22,2003-04-25,2003-09-09,0.60539035237,0.656114996703,0.639656440301,0.566233207728,0.82735322979,0.872617557681,0.858147073868,0.683214562307,149,148,178,356,156,517,527,629,851,547,255,203,199,622,139,10878,10571,12688,25957,10335
2003-09-09,2003-05-22,2003-11-21,0.673940157105,0.581917236903,0.517202883161,0.811405055035,0.888656652666,0.828089052579,0.657302706001,0.928870397056,148,178,356,156,155,527,629,851,547,532,203,199,622,139,166,10571,12688,25957,10335,10428
2003-11-21,2003-09-09,2004-03-29,0.645751306527,0.535249733033,0.745582234164,0.821104078403,0.868100417918,0.681495697348,0.890652441889,0.91851563282,178,356,156,155,167,629,851,547,532,554,199,622,139,166,166,12688,25957,10335,10428,11274
2004-03-29,2003-11-21,2004-05-20,0.634579330199,0.569468753903,0.593065153753,0.667153162267,0.774757112737,0.793151274332,0.807665214688,0.844817487344,356,156,155,167,298,851,547,532,554,615,622,139,166,166,207,25957,10335,10428,11274,19753
2004-05-20,2004-03-29,2004-08-19,0.155288039784,0.157932225082,0.171690870135,0.248047026634,0.332229902198,0.334809262548,0.355452478458,0.460010865698,156,155,167,298,29,547,532,554,615,45,139,166,166,207,47,10335,10428,11274,19753,3514
2004-08-19,2004-05-20,2004-11-22,0.593581210932,0.570807632605,0.593825100725,0.257591793804,0.786191089808,0.778655023929,0.783966984041,0.511341792088,155,167,298,29,195,532,554,615,45,605,166,166,207,47,348,10428,11274,19753,3514,15553
2004-11-22,2004-08-19,2005-03-22,0.516780400189,0.509098857037,0.228437164428,0.643242134334,0.756059760105,0.737635915249,0.495509801394,0.862628588639,167,298,29,195,194,554,615,45,605,680,166,207,47,348,389,11274,19753,3514,15553,16582
2005-03-22,2004-11-22,2005-06-02,0.767689984998,0.29512249084,0.763214319875,0.583885493994,0.910222230961,0.555208141319,0.895231112513,0.822398171915,298,29,195,194,406,615,45,605,680,947,207,47,348,389,566,19753,3514,15553,16582,29587
2005-06-02,2005-03-22,2005-08-25,0.162323156875,0.617486682494,0.534440277471,0.650029756178,0.322259026117,0.805858587706,0.757216339457,0.806298180685,29,195,194,406,186,45,605,680,947,591,47,348,389,566,171,3514,15553,16582,29587,12102
2005-08-25,2005-06-02,2005-11-23,0.643860541301,0.506910385992,0.614322214308,0.865295880298,0.819142943763,0.736169499276,0.78420062158,0.945281825083,195,194,406,186,197,605,680,947,591,590,348,389,566,171,178,15553,16582,29587,12102,13169
2005-11-23,2005-08-25,2006-03-16,0.53956715829,0.613831596948,0.846327789629,0.845632283239,0.767532134224,0.792338155786,0.946379778965,0.934521072739,194,406,186,197,216,680,947,591,590,642,389,566,171,178,267,16582,29587,12102,13169,13543
2006-03-16,2005-11-23,2006-05-31,0.702993610366,0.620293916778,0.610125326344,0.646741952432,0.878391774277,0.798942438389,0.786091685971,0.802372000621,406,186,197,216,455,947,591,590,642,1103,566,171,178,267,1044,29587,12102,13169,13543,33525
