filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1996-03-13,1995-11-14,1996-03-29,0.683998341671,0.28117392729,0.432125005005,0.269781532666,0.808656712558,0.472706788036,0.584188885781,0.459045861132,258,13,255,22,152,738,5,1089,14,258,1969,8,3209,10,592,31123,1429,40134,1819,15779
1996-03-29,1996-03-13,1996-05-15,0.137886920463,0.142363709614,0.119498206407,0.247102698908,0.280671076542,0.273751747906,0.255003379065,0.395109683027,13,255,22,152,13,5,1089,14,258,9,8,3209,10,592,41,1429,40134,1819,15779,867
1996-05-15,1996-03-29,1996-08-14,0.133335155183,0.575569903694,0.282232977952,0.14693545235,0.259037709382,0.845558366683,0.476004393871,0.291554617749,255,22,152,13,8,1089,14,258,9,9,3209,10,592,41,8,40134,1819,15779,867,1501
1996-08-14,1996-05-15,1996-11-14,0.288729280651,0.203728965925,0.154950286038,0.353404446639,0.601299007698,0.443126892741,0.335205028306,0.626588022393,22,152,13,8,44,14,258,9,9,62,10,592,41,8,146,1819,15779,867,1501,3507
1996-11-14,1996-08-14,1997-03-26,0.275587292691,0.143007222881,0.579107366885,0.388710318497,0.511628795457,0.300446097985,0.854581712919,0.657079881431,152,13,8,44,17,258,9,9,62,43,592,41,8,146,44,15779,867,1501,3507,2090
1997-03-26,1996-11-14,1997-05-15,0.33235369103,0.407003544979,0.267666056521,0.431706907063,0.48493127049,0.666714397288,0.547502188935,0.708973127378,13,8,44,17,104,9,9,62,43,83,41,8,146,44,99,867,1501,3507,2090,8964
1997-05-15,1997-03-26,1997-08-14,0.645556276448,0.314926234509,0.552685527034,0.453180310427,0.91236167316,0.62114263383,0.858217111164,0.696781988007,8,44,17,104,9,9,62,43,83,26,8,146,44,99,17,1501,3507,2090,8964,1743
1997-08-14,1997-05-15,1997-11-13,0.341509874988,0.162224250131,0.215578667196,0.188175428692,0.587158498894,0.332520890447,0.398696625579,0.33843295819,44,17,104,9,118,62,43,83,26,582,146,44,99,17,1471,3507,2090,8964,1743,18738
1997-11-13,1997-08-14,1998-03-26,0.518898015174,0.436673904843,0.598955747208,0.200515267055,0.850851098419,0.716202070952,0.837221247581,0.362564277299,17,104,9,118,32,43,83,26,582,15,44,99,17,1471,15,2090,8964,1743,18738,2483
1998-03-26,1997-11-13,1998-04-16,0.613753852528,0.341729720153,0.306702208596,0.374273835502,0.803760407324,0.544572838658,0.504216850473,0.580140009869,104,9,118,32,219,83,26,582,15,297,99,17,1471,15,713,8964,1743,18738,2483,18358
1998-04-16,1998-03-26,1998-05-13,0.171035099481,0.167370031575,0.15537486043,0.287163765054,0.307263242959,0.291366963536,0.296333509963,0.442329536198,9,118,32,219,13,26,582,15,297,14,17,1471,15,713,48,1743,18738,2483,18358,846
1998-05-13,1998-04-16,1998-08-14,0.198183822095,0.564230127463,0.456042407428,0.201370234346,0.369794811107,0.814801772812,0.667163256156,0.353788547013,118,32,219,13,27,582,15,297,14,36,1471,15,713,48,27,18738,2483,18358,846,3188
1998-08-14,1998-05-13,1998-11-13,0.568429778015,0.644382740133,0.376077737827,0.656099843665,0.781317281185,0.778472070566,0.477552990773,0.859765651889,32,219,13,27,84,15,297,14,36,97,15,713,48,27,94,2483,18358,846,3188,7050
1998-11-13,1998-08-14,1999-03-19,0.42575823256,0.194879664516,0.721679405639,0.585884908487,0.673982111707,0.365467360375,0.910424353189,0.847248325816,219,13,27,84,49,297,14,36,97,71,713,48,27,94,43,18358,846,3188,7050,4631
1999-03-19,1998-11-13,1999-05-14,0.0950647413673,0.09061076114,0.136065550776,0.0982886910674,0.206057115748,0.187809564466,0.25421379752,0.202403139162,13,27,84,49,2729,14,36,97,71,1746,48,27,94,43,4263,846,3188,7050,4631,84979
1999-05-14,1999-03-19,1999-08-13,0.286386900084,0.302582816011,0.281334055728,0.468686547383,0.466928655305,0.508086235334,0.481668002485,0.781635255418,27,84,49,2729,210,36,97,71,1746,400,27,94,43,4263,773,3188,7050,4631,84979,15052
1999-08-13,1999-05-14,1999-11-12,0.50427167656,0.526016489589,0.186839518842,0.402798323292,0.756691615694,0.776361455561,0.364262052838,0.610164509087,84,49,2729,210,58,97,71,1746,400,217,94,43,4263,773,197,7050,4631,84979,15052,7657
1999-11-12,1999-08-13,2000-03-30,0.47848122125,0.142122722466,0.330897879646,0.582748336839,0.698696684471,0.272688395391,0.503199963422,0.741868325367,49,2729,210,58,89,71,1746,400,217,263,43,4263,773,197,392,4631,84979,15052,7657,9350
2000-03-30,1999-11-12,2000-05-15,0.135816541692,0.296387644608,0.52722788751,0.477149421779,0.24505547192,0.488519165715,0.750175500134,0.667767249355,2729,210,58,89,172,1746,400,217,263,215,4263,773,197,392,160,84979,15052,7657,9350,13004
2000-05-15,2000-03-30,2000-08-11,0.28201828614,0.399943613237,0.828392100082,0.358892265997,0.460818450952,0.612998823211,0.923982374498,0.524353179882,210,58,89,172,62,400,217,263,215,232,773,197,392,160,412,15052,7657,9350,13004,7209
2000-08-11,2000-05-15,2000-11-14,0.539535400494,0.443377028316,0.502984861415,0.404403426405,0.760464403265,0.660369201928,0.739762313042,0.537708726487,58,89,172,62,28,217,263,215,232,126,197,392,160,412,59,7657,9350,13004,7209,3836
2000-11-14,2000-08-11,2001-03-27,0.841425316121,0.347522767073,0.902189725599,0.510867817011,0.943269758972,0.530602823236,0.953552966112,0.618942351197,89,172,62,28,62,263,215,232,126,217,392,160,412,59,427,9350,13004,7209,3836,7334
2001-03-27,2000-11-14,2001-05-11,0.459817752113,0.507536101964,0.283398481961,0.489409343375,0.619442529181,0.65647980169,0.456701000522,0.636236044537,172,62,28,62,522,215,232,126,217,957,160,412,59,427,2196,13004,7209,3836,7334,37946
2001-05-11,2001-03-27,2001-08-10,0.469876475346,0.223541533148,0.460840497092,0.367028103458,0.683614066389,0.3798919567,0.659415570799,0.536370612207,62,28,62,522,83,232,126,217,957,317,412,59,427,2196,637,7209,3836,7334,37946,10885
2001-08-10,2001-05-11,2001-11-14,0.729742618811,0.405557850625,0.290501123984,0.247516028997,0.924175418119,0.584182671031,0.469976734026,0.378090823398,28,62,522,83,53,126,217,957,317,98,59,427,2196,637,36,3836,7334,37946,10885,4202
2001-11-14,2001-08-10,2002-03-07,0.313968537505,0.296929921156,0.225412476244,0.460389983953,0.607000825764,0.618019665683,0.485324100272,0.765746992679,62,522,83,53,78,217,957,317,98,145,427,2196,637,36,184,7334,37946,10885,4202,6510
