filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2014-08-14,2014-05-09,2014-11-06,0.628680491364,0.899406117618,0.888913788664,0.893143604701,0.666062999878,0.923071440145,0.919375214715,0.923088153568,873,514,603,682,2330,1809,1728,1827,1913,3779,1782,1967,2115,2095,3987,71110,59310,67807,67988,173795
2014-11-06,2014-08-14,2015-02-06,0.956754018722,0.924759026213,0.924187634411,0.895995825604,0.975086470781,0.954343422062,0.954676768614,0.921447803882,514,603,682,2330,569,1728,1827,1913,3779,1766,1967,2115,2095,3987,1895,59310,67807,67988,173795,57276
2015-02-06,2014-11-06,2015-05-06,0.952287133832,0.907767588382,0.882547574915,0.94940756812,0.968922039156,0.944761636065,0.914405142281,0.967782585787,603,682,2330,569,625,1827,1913,3779,1766,1988,2115,2095,3987,1895,2037,67807,67988,173795,57276,66612
2015-05-06,2015-02-06,2015-08-13,0.951432152184,0.88412992827,0.945061034902,0.949175762147,0.970940402799,0.917576261454,0.966338843631,0.973214811148,682,2330,569,625,688,1913,3779,1766,1988,2181,2095,3987,1895,2037,2387,67988,173795,57276,66612,70971
2015-08-13,2015-05-06,2015-11-06,0.956989245061,0.876634399515,0.879629057514,0.880597878218,0.974256087943,0.911268351059,0.918633578283,0.920206815329,2330,569,625,688,2401,3779,1766,1988,2181,3767,3987,1895,2037,2387,3926,173795,57276,66612,70971,176665
2015-11-06,2015-08-13,2016-02-05,0.930459961143,0.914697942765,0.912323479906,0.907771599381,0.955133963335,0.947722138145,0.945107405803,0.928066035019,569,625,688,2401,605,1766,1988,2181,3767,2265,1895,2037,2387,3926,2114,57276,66612,70971,176665,64973
2016-02-05,2015-11-06,2016-05-06,0.948331914072,0.907149184186,0.900287516192,0.966864444447,0.970290438078,0.947090131918,0.927335860015,0.980608447314,625,688,2401,605,641,1988,2181,3767,2265,2321,2037,2387,3926,2114,2133,66612,70971,176665,64973,69393
2016-05-06,2016-02-05,2016-08-12,0.941645402525,0.89986034642,0.960794359493,0.956705938157,0.965286447317,0.927388815658,0.977071488849,0.97788709429,688,2401,605,641,736,2181,3767,2265,2321,2443,2387,3926,2114,2133,2359,70971,176665,64973,69393,75273
2016-08-12,2016-05-06,2016-11-08,0.974768374764,0.918079484732,0.909405557082,0.912640169674,0.985876666874,0.94117155938,0.938771166747,0.94080495889,2401,605,641,736,2447,3767,2265,2321,2443,4217,3926,2114,2133,2359,4150,176665,64973,69393,75273,175507
2016-11-08,2016-08-12,2017-02-10,0.971757067903,0.942617306656,0.945756659879,0.905253617272,0.982867314463,0.963671780855,0.964883936972,0.928513026675,605,641,736,2447,564,2265,2321,2443,4217,1669,2114,2133,2359,4150,1842,64973,69393,75273,175507,57343
2017-02-10,2016-11-08,2017-05-10,0.965739926581,0.93738982551,0.901955079596,0.96142096944,0.979676710703,0.964753363998,0.933275859954,0.977491296163,641,736,2447,564,719,2321,2443,4217,1669,1989,2133,2359,4150,1842,1769,69393,75273,175507,57343,67363
2017-05-10,2017-02-10,2017-08-14,0.966739053639,0.908005698078,0.951681729769,0.955656808683,0.982452013192,0.941624710221,0.970525459349,0.976228477584,736,2447,564,719,910,2443,4217,1669,1989,2378,2359,4150,1842,1769,2362,75273,175507,57343,67363,77510
2017-08-14,2017-05-10,2017-11-13,0.982252931826,0.915971864973,0.917798691988,0.925102644148,0.992741541894,0.934609067492,0.941812314666,0.950200918643,2447,564,719,910,2512,4217,1669,1989,2378,4505,4150,1842,1769,2362,3899,175507,57343,67363,77510,177214
