filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1999-01-13,1998-09-22,1999-04-14,0.577375864462,0.404941785381,0.480224995053,0.525404826249,0.833679609727,0.767791291227,0.836578965841,0.835940713767,20,31,32,165,31,37,47,39,324,72,50,41,78,329,80,2486,2914,3302,16522,3875
1999-04-14,1999-01-13,1999-07-02,0.659031826643,0.446526941212,0.466414942006,0.539381059242,0.862489321289,0.818474466819,0.789277576163,0.863330977803,31,32,165,31,37,47,39,324,72,77,41,78,329,80,64,2914,3302,16522,3875,4219
1999-07-02,1999-04-14,1999-11-23,0.213082188149,0.223352311702,0.223507497164,0.231955102472,0.467260428892,0.458064986375,0.483747720897,0.478251648859,32,165,31,37,64,39,324,72,77,307,78,329,80,64,813,3302,16522,3875,4219,11181
1999-11-23,1999-07-02,2000-01-07,0.489130895042,0.302648405418,0.279793072346,0.296195528686,0.663446516961,0.57615929826,0.542714261281,0.520888553699,165,31,37,64,432,324,72,77,307,1143,329,80,64,813,2244,16522,3875,4219,11181,36404
2000-01-07,1999-11-23,2000-02-11,0.598908086224,0.433966474642,0.210170187019,0.325384651377,0.853783255043,0.79154807242,0.464624059705,0.55686016578,31,37,64,432,36,72,77,307,1143,128,80,64,813,2244,118,3875,4219,11181,36404,4153
2000-02-11,2000-01-07,2000-05-11,0.405984754415,0.215872308351,0.35166858263,0.616666600476,0.746426628769,0.46592555161,0.580789384904,0.848524851792,37,64,432,36,49,77,307,1143,128,370,64,813,2244,118,241,4219,11181,36404,4153,6205
2000-05-11,2000-02-11,2000-08-14,0.212647617955,0.350647764581,0.534991598666,0.634258511083,0.472377360326,0.59840651326,0.82144894858,0.849743536758,64,432,36,49,43,307,1143,128,370,223,813,2244,118,241,187,11181,36404,4153,6205,5816
2000-08-14,2000-05-11,2000-11-13,0.321937004211,0.497696132027,0.579401984808,0.706867287028,0.548551096464,0.800115588128,0.80705701233,0.877290975261,432,36,49,43,37,1143,128,370,223,230,2244,118,241,187,179,36404,4153,6205,5816,6059
2000-11-13,2000-08-14,2001-03-26,0.481618055959,0.573134926261,0.646801038576,0.726770483349,0.793743056529,0.805350107183,0.855226315875,0.881449532153,36,49,43,37,41,128,370,223,230,231,118,241,187,179,192,4153,6205,5816,6059,6228
2001-03-26,2000-11-13,2001-05-15,0.560044921092,0.564410091868,0.561160140504,0.562453781223,0.808590086657,0.832889203862,0.808666061703,0.802314985307,49,43,37,41,203,370,223,230,231,661,241,187,179,192,665,6205,5816,6059,6228,23320
2001-05-15,2001-03-26,2001-08-13,0.520634942036,0.478172782163,0.489305081098,0.512067915794,0.808796174925,0.767477320088,0.769229314668,0.761262777168,43,37,41,203,44,223,230,231,661,272,187,179,192,665,282,5816,6059,6228,23320,7860
2001-08-13,2001-05-15,2001-11-07,0.30349057184,0.26844369125,0.331247574918,0.320393373715,0.531104520725,0.490802735514,0.530431223567,0.528323657258,37,41,203,44,196,230,231,661,272,907,179,192,665,282,1643,6059,6228,23320,7860,24962
2001-11-07,2001-08-13,2002-03-14,0.664458803663,0.543770543735,0.531700011186,0.314792814235,0.894048260523,0.782852308067,0.787612922353,0.487193303944,41,203,44,196,50,231,661,272,907,238,192,665,282,1643,213,6228,23320,7860,24962,6776
2002-03-14,2001-11-07,2002-05-10,0.692291947845,0.425504465146,0.407301788443,0.446983500122,0.844739064304,0.658855455491,0.599116360152,0.659274120236,203,44,196,50,501,661,272,907,238,1282,665,282,1643,213,1775,23320,7860,24962,6776,42532
2002-05-10,2002-03-14,2002-08-12,0.612811561567,0.293148777858,0.61262542951,0.499978359717,0.860322182674,0.505259734873,0.845079553094,0.706652029965,44,196,50,501,45,272,907,238,1282,215,282,1643,213,1775,163,7860,24962,6776,42532,7404
2002-08-12,2002-05-10,2002-11-14,0.296760146369,0.577287753953,0.441334270523,0.66813570004,0.474127599643,0.821352811273,0.640443124901,0.842515541513,196,50,501,45,77,907,238,1282,215,281,1643,213,1775,163,216,24962,6776,42532,7404,10061
2002-11-14,2002-08-12,2003-03-10,0.673576059037,0.40675620618,0.583437400573,0.65067192961,0.874003207515,0.618202829906,0.806105385087,0.841411127802,50,501,45,77,84,238,1282,215,281,327,213,1775,163,216,314,6776,42532,7404,10061,11711
2003-03-10,2002-11-14,2003-05-05,0.68359360247,0.521954697535,0.520597151119,0.533776067826,0.820373562175,0.729045263179,0.716909969966,0.720830918578,501,45,77,84,323,1282,215,281,327,988,1775,163,216,314,1468,42532,7404,10061,11711,39502
2003-05-05,2003-03-10,2003-08-04,0.558501586718,0.513970890332,0.560370641324,0.634734205023,0.788383218214,0.761074608106,0.788901657715,0.832856028682,45,77,84,323,101,215,281,327,988,323,163,216,314,1468,352,7404,10061,11711,39502,13321
2003-08-04,2003-05-05,2003-11-05,0.646360181082,0.561664408814,0.603723782068,0.754179496468,0.853812159758,0.799626506795,0.79314051556,0.900877779631,77,84,323,101,89,281,327,988,323,309,216,314,1468,352,267,10061,11711,39502,13321,12012
2003-11-05,2003-08-04,2004-03-03,0.367902084351,0.428128433474,0.421497500414,0.428700357663,0.609933578604,0.66905341143,0.678705493905,0.653845386857,84,323,101,89,246,327,988,323,309,1264,314,1468,352,267,1534,11711,39502,13321,12012,26542
2004-03-03,2003-11-05,2004-04-30,0.80658028478,0.629970272691,0.63777164143,0.438897594364,0.943886418821,0.83206256334,0.813420753658,0.667087216742,323,101,89,246,299,988,323,309,1264,899,1468,352,267,1534,1123,39502,13321,12012,26542,38850
2004-04-30,2004-03-03,2004-08-04,0.52412146828,0.492634515819,0.396862692186,0.738297328877,0.758726446962,0.723259851613,0.64794021218,0.849253380766,101,89,246,299,161,323,309,1264,899,491,352,267,1534,1123,698,13321,12012,26542,38850,17545
2004-08-04,2004-04-30,2004-11-03,0.706543756089,0.335386450621,0.593903236429,0.579439833792,0.898461370678,0.593935765896,0.779894855931,0.751432683113,89,246,299,161,138,309,1264,899,491,356,267,1534,1123,698,199,12012,26542,38850,17545,13070
2004-11-03,2004-08-04,2005-03-08,0.306283388853,0.424210823131,0.422751503626,0.410323089939,0.583003194464,0.678154855694,0.67784341647,0.623673863818,246,299,161,138,199,1264,899,491,356,696,1534,1123,698,199,922,26542,38850,17545,13070,23373
2005-03-08,2004-11-03,2005-05-05,0.57849079088,0.446960238381,0.420922712038,0.344859416258,0.81304496503,0.705900918471,0.682720115758,0.625765874474,299,161,138,199,444,899,491,356,696,1786,1123,698,199,922,2260,38850,17545,13070,23373,52873
2005-05-05,2005-03-08,2005-08-03,0.529396100459,0.621270300208,0.373237091487,0.495253238901,0.750475047365,0.831319169732,0.613878919468,0.747237194959,161,138,199,444,114,491,356,696,1786,290,698,199,922,2260,215,17545,13070,23373,52873,11179
2005-08-03,2005-05-05,2005-11-04,0.192522559285,0.205691799225,0.525747136902,0.211214806888,0.383189004255,0.421692632634,0.695235667628,0.389864086877,138,199,444,114,566,356,696,1786,290,2451,199,922,2260,215,4080,13070,23373,52873,11179,49291
2005-11-04,2005-08-03,2006-03-13,0.252748019036,0.551508683566,0.27380312006,0.788617060374,0.493730601769,0.74599867165,0.481468169271,0.884953217953,199,444,114,566,565,696,1786,290,2451,1975,922,2260,215,4080,2805,23373,52873,11179,49291,43038
2006-03-13,2005-11-04,2006-05-04,0.574656384507,0.404949343844,0.45666670988,0.488574491292,0.818793397911,0.611160455929,0.668848151794,0.711417699959,444,114,566,565,673,1786,290,2451,1975,3119,2260,215,4080,2805,4535,52873,11179,49291,43038,82547
2006-05-04,2006-03-13,2006-08-04,0.580414754155,0.159059160002,0.233274128796,0.486247434877,0.79227652512,0.336783031865,0.431690852509,0.694339285531,114,566,565,673,137,290,2451,1975,3119,370,215,4080,2805,4535,152,11179,49291,43038,82547,15742
2006-08-04,2006-05-04,2006-11-03,0.284044560759,0.324292636555,0.400650941937,0.31808105478,0.509926801558,0.554154393484,0.609086751525,0.50715846392,566,565,673,137,362,2451,1975,3119,370,1130,4080,2805,4535,152,1957,49291,43038,82547,15742,41666
2006-11-03,2006-08-04,2007-03-01,0.332938891614,0.481143868828,0.610983744925,0.437309447952,0.562748877106,0.698174379639,0.802459508429,0.633757586179,565,673,137,362,251,1975,3119,370,1130,670,2805,4535,152,1957,639,43038,82547,15742,41666,23379
2007-03-01,2006-11-03,2007-05-02,0.605244439381,0.596751545822,0.449285818541,0.710774313612,0.765976362451,0.794034187562,0.626176249159,0.872051835225,673,137,362,251,455,3119,370,1130,670,1226,4535,152,1957,639,1504,82547,15742,41666,23379,47615
2007-05-02,2007-03-01,2007-05-25,0.263331323475,0.746131797489,0.381516142064,0.444924716713,0.454260542862,0.888566320176,0.576836439395,0.603190529474,137,362,251,455,324,370,1130,670,1226,1094,152,1957,639,1504,2289,15742,41666,23379,47615,39396
