filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2007-03-27,2006-12-21,2007-06-29,0.788327054516,0.69478135237,0.76851744272,0.755695317194,0.92680587066,0.857274323548,0.909301887975,0.907181600336,178,331,130,138,177,573,666,346,372,459,365,420,269,308,359,19331,30864,14935,16458,18787
2007-06-29,2007-03-27,2007-09-26,0.922027393828,0.778561322603,0.75250605465,0.719584981135,0.981533388402,0.889247745265,0.875803559973,0.86568874541,331,130,138,177,343,666,346,372,459,750,420,269,308,359,474,30864,14935,16458,18787,33508
2007-09-26,2007-06-29,2007-12-21,0.758309209611,0.670009551631,0.644780742512,0.675174647976,0.906704392538,0.859405561905,0.851227287491,0.833928748781,130,138,177,343,127,346,372,459,750,404,269,308,359,474,428,14935,16458,18787,33508,15065
2007-12-21,2007-09-26,2008-04-01,0.866820216945,0.681754123566,0.707414077476,0.697420641999,0.950007664475,0.86944531489,0.844246565855,0.858903714678,138,177,343,127,136,372,459,750,404,356,308,359,474,428,269,16458,18787,33508,15065,14062
2008-04-01,2007-12-21,2008-07-02,0.757712550697,0.687409030679,0.666938083238,0.747686165664,0.909561772581,0.826192959845,0.833523366236,0.885244357759,177,343,127,136,154,459,750,404,356,377,359,474,428,269,295,18787,33508,15065,14062,15426
2008-07-02,2008-04-01,2008-09-22,0.929833299609,0.673199145437,0.718212080719,0.715148213168,0.981890300043,0.831026616654,0.850032699729,0.837921666312,343,127,136,154,362,750,404,356,377,800,474,428,269,295,519,33508,15065,14062,15426,35397
2008-09-22,2008-07-02,2008-12-22,0.759234638251,0.702258043803,0.695969450734,0.721242819841,0.921075078547,0.865877599044,0.850012390242,0.852560190241,127,136,154,362,102,404,356,377,800,411,428,269,295,519,453,15065,14062,15426,35397,13999
2008-12-22,2008-09-22,2009-03-23,0.883496596196,0.711288268061,0.721008416849,0.748703257839,0.959728621166,0.868477034716,0.848512985437,0.885305824567,136,154,362,102,101,356,377,800,411,391,269,295,519,453,247,14062,15426,35397,13999,13807
2009-03-23,2008-12-22,2009-06-29,0.407104229768,0.353352713249,0.399677120579,0.358123103307,0.703853173883,0.648924979925,0.702437790541,0.652116675376,154,362,102,101,406,377,800,411,391,946,295,519,453,247,1462,15426,35397,13999,13807,31374
2009-06-29,2009-03-23,2009-09-21,0.929908441977,0.716503939212,0.721309095431,0.362791183572,0.97888054691,0.850287261131,0.840681965865,0.6549777978,362,102,101,406,399,800,411,391,946,976,519,453,247,1462,604,35397,13999,13807,31374,39073
2009-09-21,2009-06-29,2009-12-22,0.459492306202,0.389084379701,0.20683900633,0.409761289153,0.555973633957,0.51390385214,0.410976451282,0.523518849736,102,101,406,399,194,411,391,946,976,2411,453,247,1462,604,926,13999,13807,31374,39073,29677
2009-12-22,2009-09-21,2010-03-29,0.279634863523,0.120063630441,0.253099291707,0.914900075468,0.36679429602,0.265661893025,0.347814660456,0.946333632158,101,406,399,194,191,391,946,976,2411,3447,247,1462,604,926,764,13807,31374,39073,29677,32274
2010-03-29,2009-12-22,2010-07-01,0.117638025287,0.239093514224,0.886308942044,0.910419124476,0.239010594881,0.312870422015,0.916627813653,0.949327567345,406,399,194,191,348,946,976,2411,3447,5946,1462,604,926,764,1154,31374,39073,29677,32274,56558
2010-07-01,2010-03-29,2010-09-20,0.259890195349,0.882497438022,0.903979271401,0.967252350126,0.33202475157,0.9155061492,0.947182219871,0.98396183081,399,194,191,348,771,976,2411,3447,5946,9830,604,926,764,1154,1649,39073,29677,32274,56558,96714
2010-09-20,2010-07-01,2010-09-29,0.329416916824,0.192916657545,0.208910610495,0.191409242372,0.48639335878,0.314732759297,0.306164345969,0.291228476658,194,191,348,771,174,2411,3447,5946,9830,540,926,764,1154,1649,621,29677,32274,56558,96714,20719
2010-09-29,2010-09-20,2010-12-21,0.864742228988,0.944196588296,0.922401050162,0.037994845363,0.898272871655,0.943766541248,0.936956344575,0.0560577721818,191,348,771,174,252,3447,5946,9830,540,20344,764,1154,1649,621,937,32274,56558,96714,20719,64163
2010-12-21,2010-09-29,2011-03-29,0.331099974637,0.293917000027,0.291698574948,0.191244760941,0.361564163,0.339866729965,0.505477455112,0.170357124171,348,771,174,252,417,5946,9830,540,20344,1796,1154,1649,621,937,1357,56558,96714,20719,64163,56127
2011-03-29,2010-12-21,2011-06-28,0.294355765151,0.295246034111,0.189113785949,0.985049742137,0.340810407472,0.513138217124,0.167810332921,0.988721779146,771,174,252,417,448,9830,540,20344,1796,1686,1649,621,937,1357,1149,96714,20719,64163,56127,57916
2011-06-28,2011-03-29,2011-09-23,0.349049142209,0.0733842779398,0.375725353316,0.382414425551,0.593387967907,0.0936618863475,0.581167997087,0.588842725558,174,252,417,448,1048,540,20344,1796,1686,2827,621,937,1357,1149,1995,20719,64163,56127,57916,117949
2011-09-23,2011-06-28,2011-12-23,0.0712901042309,0.34674556347,0.349028514739,0.521675431116,0.0920764326061,0.533589059587,0.536429652995,0.701152366013,252,417,448,1048,648,20344,1796,1686,2827,1425,937,1357,1149,1995,2256,64163,56127,57916,117949,63256
2011-12-23,2011-09-23,2012-03-23,0.191640390356,0.188732264819,0.351357381667,0.498587606687,0.382716076894,0.380543981372,0.518352329947,0.664965854876,417,448,1048,648,699,1796,1686,2827,1425,1538,1357,1149,1995,2256,2795,56127,57916,117949,63256,73956
2012-03-23,2011-12-23,2012-06-26,0.18387940408,0.316496841056,0.46928816482,0.986381185231,0.371857531867,0.490467715007,0.633517826979,0.988572318097,448,1048,648,699,664,1686,2827,1425,1538,1363,1149,1995,2256,2795,2282,57916,117949,63256,73956,72084
