filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-05-14,1997-03-31,1997-08-14,0.681947986235,0.33506413659,0.741941578718,0.394652522333,0.882123110102,0.597031276307,0.905265356479,0.649247491865,4,15,12,153,14,1,30,3,84,5,12,116,12,145,14,1076,2180,1394,9890,1444
1997-08-14,1997-05-14,1997-11-14,0.375262329198,0.506099990189,0.350138275214,0.566642151814,0.679308886352,0.769377604192,0.672356538568,0.795562898527,15,12,153,14,22,30,3,84,5,25,116,12,145,14,85,2180,1394,9890,1444,2486
1997-11-14,1997-08-14,1998-03-31,0.221676754983,0.24886729299,0.234997041961,0.316250268085,0.408752301308,0.488523492354,0.433927929296,0.582705839464,12,153,14,22,103,3,84,5,25,379,12,145,14,85,753,1394,9890,1444,2486,11828
1998-03-31,1997-11-14,1998-04-17,0.848811584866,0.413555762803,0.352272967277,0.232499089711,0.956989294467,0.663037912643,0.667481537404,0.460825544898,153,14,22,103,144,84,5,25,379,67,145,14,85,753,88,9890,1444,2486,11828,9980
1998-04-17,1998-03-31,1998-05-15,0.157861966145,0.111009830316,0.072167613477,0.140938171101,0.357955498882,0.29760583918,0.200925560516,0.290305716701,14,22,103,144,2,5,25,379,67,1,14,85,753,88,2,1444,2486,11828,9980,209
1998-05-15,1998-04-17,1998-08-14,0.216810567562,0.500014508855,0.15146855608,0.0427407452126,0.414610563943,0.716336322794,0.298064452819,0.116950354129,22,103,144,2,225,25,379,67,1,923,85,753,88,2,1879,2486,11828,9980,209,28150
1998-08-14,1998-05-15,1998-09-14,0.197220997152,0.408648359672,0.142966381371,0.140694207835,0.42539619223,0.69247918373,0.34044445023,0.281315310935,103,144,2,225,18,379,67,1,923,33,753,88,2,1879,40,11828,9980,209,28150,2069
1998-09-14,1998-08-14,1998-11-16,0.147186004703,0.0908686558646,0.0972721490367,0.128425489345,0.347095848853,0.260002354038,0.231446143688,0.294301197553,144,2,225,18,6,67,1,923,33,3,88,2,1879,40,48,9980,209,28150,2069,581
1998-11-16,1998-09-14,1999-03-25,0.139183474384,0.13260730849,0.724483953701,0.0980556713311,0.330538415176,0.281975417354,0.918760585812,0.253281381691,2,225,18,6,26,1,923,33,3,26,2,1879,40,48,13,209,28150,2069,581,2016
1999-03-25,1998-11-16,1999-05-14,0.140595522207,0.395911561277,0.145820699475,0.412608441831,0.286114277861,0.680777533312,0.342938676183,0.680154201931,225,18,6,26,166,923,33,3,26,135,1879,40,48,13,115,28150,2069,581,2016,9885
1999-05-14,1999-03-25,1999-08-16,0.528297480682,0.108041792649,0.644723631646,0.453424121258,0.817747447196,0.276989330612,0.860578041767,0.693638738089,18,6,26,166,24,33,3,26,135,9,40,48,13,115,10,2069,581,2016,9885,1835
1999-08-16,1999-05-14,1999-11-15,0.130160340213,0.559684070645,0.412277388253,0.754736606261,0.32575384803,0.825049879073,0.67114880911,0.893248597706,6,26,166,24,24,3,26,135,9,12,48,13,115,10,36,581,2016,9885,1835,2204
1999-11-15,1999-08-16,2000-03-30,0.281499794873,0.227233717695,0.347663566703,0.431835640853,0.533569986468,0.483516113417,0.577981446853,0.664464259369,26,166,24,24,45,26,135,9,12,81,13,115,10,36,216,2016,9885,1835,2204,3936
2000-03-30,1999-11-15,2000-05-15,0.906853818577,0.381089511239,0.355722488748,0.213267365873,0.981502001409,0.667860554284,0.652870178995,0.482100009768,166,24,24,45,165,135,9,12,81,138,115,10,36,216,115,9885,1835,2204,3936,9711
