filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1996-04-11,1996-01-10,1996-08-14,0.573961751319,0.323315237288,0.667915366574,0.692953226315,0.878803320148,0.637028562356,0.875968569425,0.872363646835,14,57,10,11,13,3,33,3,4,4,6,42,6,19,6,1091,4031,1012,1202,1022
1996-08-14,1996-04-11,1996-10-15,0.801470623849,0.339960000887,0.321590195234,0.334002629447,0.948697513348,0.655909707092,0.64786700796,0.641722597511,57,10,11,13,63,33,3,4,4,41,42,6,19,6,45,4031,1012,1202,1022,4664
1996-10-15,1996-08-14,1996-10-30,0.553161304124,0.400724467719,0.449775037814,0.375613118294,0.828006123015,0.711700225343,0.739803055708,0.689842512313,10,11,13,63,20,3,4,4,41,8,6,19,6,45,10,1012,1202,1022,4664,1494
1996-10-30,1996-10-15,1997-01-14,0.148655196424,0.159501436882,0.0982332975632,0.161605566,0.381688666142,0.386663329807,0.28454189091,0.363716455637,11,13,63,20,3,4,4,41,8,8,19,6,45,10,13,1202,1022,4664,1494,306
1997-01-14,1996-10-30,1997-03-26,0.458413538153,0.357935627959,0.732283988138,0.126540846428,0.749692758926,0.688370605169,0.875176715442,0.329788434842,13,63,20,3,15,4,41,8,8,10,6,45,10,13,11,1022,4664,1494,306,1653
1997-03-26,1997-01-14,1997-08-15,0.335789177077,0.613985855716,0.11983250997,0.671872560413,0.646007195027,0.825438891676,0.313877916171,0.838737663409,63,20,3,15,18,41,8,8,10,18,45,10,13,11,9,4664,1494,306,1653,1705
1997-08-15,1997-03-26,1997-10-14,0.356017845784,0.0851616368208,0.361569143821,0.373047446723,0.674840419885,0.240301360578,0.678927628155,0.665141095072,20,3,15,18,86,8,8,10,18,134,10,13,11,9,84,1494,306,1653,1705,7404
1997-10-14,1997-08-15,1998-01-14,0.111606224379,0.327382859248,0.330307522198,0.465177364036,0.283409762848,0.687501579623,0.677810839265,0.759537998037,3,15,18,86,31,8,10,18,134,22,13,11,9,84,30,306,1653,1705,7404,2617
1998-01-14,1997-10-14,1998-04-07,0.409691350455,0.321826302216,0.433525184406,0.738600073477,0.740373939781,0.650878416208,0.707307021817,0.853355255555,15,18,86,31,30,10,18,134,22,21,11,9,84,30,15,1653,1705,7404,2617,2542
1998-04-07,1998-01-14,1998-08-27,0.398335553824,0.413571732868,0.593440799864,0.649037970381,0.727462846426,0.700811154467,0.811434737975,0.839243976019,18,86,31,30,38,18,134,22,21,13,9,84,30,15,13,1705,7404,2617,2542,2498
1998-08-27,1998-04-07,1998-10-15,0.74416951764,0.434645876518,0.413552370186,0.443995955545,0.920289676438,0.745755466598,0.700173272162,0.710718365746,86,31,30,38,92,134,22,21,13,78,84,30,15,13,62,7404,2617,2542,2498,6853
