filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2008-02-29,2007-11-09,2008-05-12,0.645488552403,0.78215328735,0.641888272742,0.668287254456,0.738395122529,0.823844886629,0.752073228068,0.789954603349,419,216,86,116,671,816,517,179,265,1438,295,836,41,321,2032,34032,22072,9864,14104,62615
2008-05-12,2008-02-29,2008-08-08,0.412050251417,0.829113983111,0.683532940686,0.669297746288,0.540344775035,0.910505562498,0.800397218127,0.785110085719,216,86,116,671,130,517,179,265,1438,247,836,41,321,2032,84,22072,9864,14104,62615,11290
2008-08-08,2008-05-12,2008-11-07,0.594433958141,0.78750230851,0.690167589849,0.629597104047,0.726242723904,0.882458532884,0.829044234504,0.746032319811,86,116,671,130,228,179,265,1438,247,530,41,321,2032,84,793,9864,14104,62615,11290,23675
2008-11-07,2008-08-08,2009-03-02,0.718999225057,0.668607166538,0.916749796739,0.633257229428,0.824687460479,0.785147898246,0.963534069759,0.750925050636,116,671,130,228,142,265,1438,247,530,290,321,2032,84,793,111,14104,62615,11290,23675,13384
2009-03-02,2008-11-07,2009-05-11,0.81466947508,0.547034154502,0.636685220548,0.553238508246,0.909097849342,0.676411594964,0.782311564613,0.681456146796,671,130,228,142,1138,1438,247,530,290,2500,2032,84,793,111,4246,62615,11290,23675,13384,91464
2009-05-11,2009-03-02,2009-08-10,0.89786870408,0.58643797372,0.875956748586,0.542502046016,0.957392741355,0.717789253966,0.939686493954,0.666692764756,130,228,142,1138,147,247,530,290,2500,271,84,793,111,4246,79,11290,23675,13384,91464,12451
2009-08-10,2009-05-11,2009-11-09,0.139024248135,0.19142822537,0.124166966522,0.203589275242,0.226896365901,0.278714172974,0.2061919256,0.286611676953,228,142,1138,147,341,530,290,2500,271,4853,793,111,4246,79,211,23675,13384,91464,12451,34878
2009-11-09,2009-08-10,2010-03-01,0.20335072431,0.125626834803,0.205404571384,0.994516944898,0.288974019837,0.207788515378,0.289986912879,0.995996770284,142,1138,147,341,349,290,2500,271,4853,5206,111,4246,79,211,170,13384,91464,12451,34878,37189
2010-03-01,2009-11-09,2010-05-10,0.323106572873,0.414001210388,0.940393195983,0.94141688186,0.473819117573,0.558714040182,0.917748247612,0.919722132557,1138,147,341,349,958,2500,271,4853,5206,6873,4246,79,211,170,1001,91464,12451,34878,37189,88740
2010-05-10,2010-03-01,2010-08-09,0.205314004632,0.949224869145,0.954204272178,0.895044287716,0.281643806495,0.970253168108,0.97299018599,0.891990246049,147,341,349,958,404,271,4853,5206,6873,6319,79,211,170,1001,457,12451,34878,37189,88740,46353
2010-08-09,2010-05-10,2010-11-09,0.91546219106,0.921343661597,0.82313956199,0.973350384445,0.943787278113,0.945950862564,0.802117281091,0.973362998723,341,349,958,404,826,4853,5206,6873,6319,29806,211,170,1001,457,1446,34878,37189,88740,46353,116676
2010-11-09,2010-08-09,2011-03-01,0.920436234536,0.82313459716,0.974555765598,0.998843923461,0.946860446481,0.804375975918,0.975337387632,0.999246840949,349,958,404,826,942,5206,6873,6319,29806,30377,170,1001,457,1446,1431,37189,88740,46353,116676,121182
2011-03-01,2010-11-09,2011-05-10,0.387505448727,0.286174041504,0.161152468004,0.181401267096,0.472336903531,0.316327988345,0.16695652649,0.186317837949,958,404,826,942,3463,6873,6319,29806,30377,7567,1001,457,1446,1431,8918,88740,46353,116676,121182,281513
2011-05-10,2011-03-01,2011-08-09,0.291386168473,0.164347647553,0.184624002925,0.905532438991,0.319738044628,0.17198277542,0.192182406815,0.915049687355,404,826,942,3463,867,6319,29806,30377,7567,2829,457,1446,1431,8918,1631,46353,116676,121182,281513,92142
2011-08-09,2011-05-10,2011-11-09,0.085866523989,0.0983776083249,0.421075094624,0.419839355118,0.120840084782,0.135003974426,0.611514023426,0.624937474274,826,942,3463,867,1335,29806,30377,7567,2829,2429,1446,1431,8918,1631,3241,116676,121182,281513,92142,102239
