filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-24,1994-11-08,1995-05-10,0.732069499077,0.23277981593,0.424870957041,0.422818441807,0.913130620684,0.528442027898,0.679827010233,0.6875726387,89,20,16,20,70,130,26,4,6,72,169,111,12,12,76,7957,2710,1353,1429,6291
1995-05-10,1995-03-24,1995-05-16,0.352072887544,0.710411598674,0.692251462569,0.421372969773,0.636664888753,0.935992641299,0.932702755828,0.684317106877,20,16,20,70,13,26,4,6,72,7,111,12,12,76,11,2710,1353,1429,6291,1390
1995-05-16,1995-05-10,1995-08-09,0.210691713517,0.202804122719,0.244116081316,0.216262201289,0.46743165526,0.456013439647,0.52551986499,0.469922976766,16,20,70,13,42,4,6,72,7,18,12,12,76,11,36,1353,1429,6291,1390,3184
1995-08-09,1995-05-16,1995-11-07,0.68411557396,0.415526338201,0.733953174475,0.200138625191,0.928784218122,0.678668743762,0.941141467459,0.453255240381,20,70,13,42,15,6,72,7,18,12,12,76,11,36,11,1429,6291,1390,3184,1406
1995-11-07,1995-08-09,1996-03-25,0.397596129783,0.647638035364,0.193285245676,0.6770446902,0.689727752394,0.917947154756,0.465874161652,0.926814344441,70,13,42,15,14,72,7,18,12,17,76,11,36,11,12,6291,1390,3184,1406,1604
1996-03-25,1995-11-07,1996-05-08,0.426195257533,0.236815376322,0.419243075148,0.410573758537,0.690677411757,0.514628145879,0.683471149174,0.6984514149,13,42,15,14,74,7,18,12,17,97,11,36,11,12,83,1390,3184,1406,1604,6726
1996-05-08,1996-03-25,1996-08-07,0.222853752945,0.68164792145,0.629621119002,0.431040713019,0.471144716351,0.919985123083,0.904304459316,0.682224498443,42,15,14,74,8,18,12,17,97,11,36,11,12,83,11,3184,1406,1604,6726,1425
1996-08-07,1996-05-08,1996-11-07,0.73729888862,0.630261359478,0.41806746726,0.765110606268,0.952830987513,0.912668033633,0.673256970094,0.947800750908,15,14,74,8,13,12,17,97,11,7,11,12,83,11,11,1406,1604,6726,1425,1448
1996-11-07,1996-08-07,1997-03-27,0.658551263419,0.417319713869,0.730630461324,0.760309201517,0.938134890174,0.686190065095,0.937455040739,0.949064534308,14,74,8,13,10,17,97,11,7,7,12,83,11,11,13,1604,6726,1425,1448,1536
1997-03-27,1996-11-07,1997-05-14,0.820830627101,0.449918187159,0.439000593854,0.436300561835,0.967425334172,0.685890600224,0.677597547493,0.691914189041,74,8,13,10,78,97,11,7,7,88,83,11,11,13,88,6726,1425,1448,1536,7046
1997-05-14,1997-03-27,1997-08-11,0.437919725084,0.387122134357,0.374108459179,0.275692816761,0.746402660132,0.713587074696,0.711263004672,0.584287916013,8,13,10,78,16,11,7,7,88,34,11,11,13,88,122,1425,1448,1536,7046,2520
1997-08-11,1997-05-14,1997-11-13,0.760437627122,0.676253262479,0.447330159676,0.419250294986,0.953325712922,0.920052917541,0.70261327155,0.738485992409,13,10,78,16,11,7,7,88,34,10,11,13,88,122,12,1448,1536,7046,2520,1501
1997-11-13,1997-08-11,1998-03-25,0.673472369916,0.423279892088,0.382111695007,0.755084450666,0.93835260124,0.708489614983,0.731840714446,0.941476997716,10,78,16,11,7,7,88,34,10,12,13,88,122,12,12,1536,7046,2520,1501,1637
1998-03-25,1997-11-13,1998-05-08,0.82818132508,0.26968608745,0.434190450417,0.421720042682,0.966624947265,0.578914636501,0.688187537526,0.699078440059,78,16,11,7,91,88,34,10,12,86,88,122,12,12,89,7046,2520,1501,1637,7295
1998-05-08,1998-03-25,1998-08-13,0.409442669889,0.659785579986,0.623595970529,0.429420080145,0.741162039772,0.903971319844,0.900303685021,0.698227784335,16,11,7,91,14,34,10,12,86,17,122,12,12,89,13,2520,1501,1637,7295,1696
1998-08-13,1998-05-08,1998-11-10,0.705956079742,0.608385235653,0.436512596592,0.69988385758,0.928464671513,0.88826329737,0.705442673854,0.919000960727,11,7,91,14,19,10,12,86,17,15,12,12,89,13,12,1501,1637,7295,1696,1756
1998-11-10,1998-08-13,1999-03-24,0.521794316907,0.384261001173,0.530227031011,0.589203700543,0.828982932281,0.674924922014,0.817720916939,0.837723238883,7,91,14,19,25,12,86,17,15,44,12,89,13,12,13,1637,7295,1696,1756,2701
1999-03-24,1998-11-10,1999-05-14,0.80665022954,0.409931946123,0.430469433142,0.465729214326,0.956722916428,0.678031328181,0.690872430918,0.698001414872,91,14,19,25,101,86,17,15,44,106,89,13,12,13,90,7295,1696,1756,2701,8388
1999-05-14,1999-03-24,1999-08-11,0.653368198821,0.562704700513,0.674409139044,0.500110371566,0.907007284392,0.854648214608,0.871709158148,0.732882254443,14,19,25,101,18,17,15,44,106,24,13,12,13,90,12,1696,1756,2701,8388,2187
1999-08-11,1999-05-14,1999-11-09,0.655450201757,0.655056971249,0.479302142297,0.753820203934,0.906670292257,0.875850059541,0.731425885957,0.914584741828,19,25,101,18,21,15,44,106,24,32,12,13,90,12,12,1756,2701,8388,2187,2228
1999-11-09,1999-08-11,2000-03-17,0.690757163184,0.473707410525,0.71435841549,0.78970207038,0.906814508889,0.726043381435,0.907580606628,0.921442040297,25,101,18,21,18,44,106,24,32,31,13,90,12,12,12,2701,8388,2187,2228,2228
2000-03-17,1999-11-09,2000-05-12,0.861642026172,0.413872146902,0.410126252362,0.409469151645,0.973336940891,0.701315252189,0.701853837295,0.698037414423,101,18,21,18,92,106,24,32,31,97,90,12,12,12,90,8388,2187,2228,2228,7864
2000-05-12,2000-03-17,2000-08-11,0.672626146569,0.562248306155,0.565442508572,0.417571468224,0.916968013069,0.851072492041,0.853491271922,0.668519504571,18,21,18,92,6,24,32,31,97,15,12,12,12,90,12,2187,2228,2228,7864,1892
2000-08-11,2000-05-12,2000-11-13,0.632616352803,0.552063965054,0.404360671204,0.717796309463,0.90277296484,0.845970849914,0.663720216178,0.913416995553,21,18,92,6,6,32,31,97,15,22,12,12,90,12,12,2228,2228,7864,1892,1987
2000-11-13,2000-08-11,2001-03-21,0.240101181146,0.215314627106,0.243360026335,0.249028634682,0.501063018865,0.464072520135,0.477397591649,0.474972865896,18,92,6,6,119,31,97,15,22,168,12,90,12,12,255,2228,7864,1892,1987,6452
2001-03-21,2000-11-13,2001-05-11,0.827425312537,0.431915736923,0.423228301778,0.239593271183,0.964339621964,0.686721248803,0.685822742988,0.479086298241,92,6,6,119,90,97,15,22,168,132,90,12,12,255,100,7864,1892,1987,6452,8080
2001-05-11,2001-03-21,2001-08-10,0.650524887078,0.572739945173,0.216991040539,0.419800172573,0.900786806777,0.852903406929,0.463362326084,0.705496479087,6,6,119,90,11,15,22,168,132,33,12,12,255,100,26,1892,1987,6452,8080,1978
2001-08-10,2001-05-11,2001-11-09,0.478847755948,0.24021940158,0.338753912285,0.548821954479,0.807556603202,0.496612404221,0.670250549775,0.82573209539,6,119,90,11,19,22,168,132,33,44,12,255,100,26,62,1987,6452,8080,1978,2633
2001-11-09,2001-08-10,2002-03-22,0.243381780658,0.41090200473,0.60075869213,0.532208497631,0.48423626351,0.693466611128,0.871109816692,0.821316007218,119,90,11,19,16,168,132,33,44,33,255,100,26,62,28,6452,8080,1978,2633,2135
2002-03-22,2001-11-09,2002-05-10,0.810827593483,0.420212686218,0.345770111588,0.410755565129,0.960039471698,0.691664558966,0.669739226153,0.683573794628,90,11,19,16,90,132,33,44,33,170,100,26,62,28,105,8080,1978,2633,2135,8563
2002-05-10,2002-03-22,2002-08-09,0.608427611172,0.40630548062,0.515806471647,0.39830207533,0.892265896314,0.776803901003,0.839944681066,0.680895549296,11,19,16,90,12,33,44,33,170,31,26,62,28,105,18,1978,2633,2135,8563,1783
2002-08-09,2002-05-10,2002-11-12,0.481148545182,0.512716184239,0.402093182627,0.535192854012,0.8176546417,0.824839239995,0.665559638656,0.83647633812,19,16,90,12,21,44,33,170,31,32,62,28,105,18,21,2633,2135,8563,1783,2062
2002-11-12,2002-08-09,2003-03-10,0.515297470626,0.37408763797,0.464267556659,0.571124001089,0.819449799239,0.644869053026,0.77674258258,0.825389966238,16,90,12,21,24,33,170,31,32,56,28,105,18,21,22,2135,8563,1783,2062,2822
2003-03-10,2002-11-12,2003-05-12,0.834219532051,0.409532162607,0.425295711727,0.473721079686,0.960493280354,0.689942271395,0.687609851878,0.711643693007,90,12,21,24,108,170,31,32,56,189,105,18,21,22,122,8563,1783,2062,2822,9691
2003-05-12,2003-03-10,2003-08-08,0.53920630562,0.489546881242,0.674254119539,0.490428744865,0.806883864831,0.786781578914,0.893715695447,0.712986071997,12,21,24,108,23,31,32,56,189,40,18,21,22,122,26,1783,2062,2822,9691,2778
2003-08-08,2003-05-12,2003-11-07,0.595612301812,0.529509923894,0.446652350648,0.611293934608,0.853371241956,0.843260067945,0.703895242344,0.870856822251,21,24,108,23,22,32,56,189,40,39,21,22,122,26,26,2062,2822,9691,2778,2895
2003-11-07,2003-08-08,2004-03-12,0.612661257801,0.469796628546,0.608903719679,0.688059345691,0.897905510334,0.711327740591,0.872160121968,0.913433773905,24,108,23,22,27,56,189,40,39,44,22,122,26,26,27,2822,9691,2778,2895,2882
2004-03-12,2003-11-07,2004-05-07,0.894329042884,0.444264455661,0.467382400697,0.499545755412,0.979304887917,0.7016263401,0.718937257389,0.72981063967,108,23,22,27,124,189,40,39,44,172,122,26,26,27,124,9691,2778,2895,2882,9875
2004-05-07,2004-03-12,2004-08-06,0.732322878123,0.661897307764,0.707913013793,0.529684985297,0.907574934846,0.896175705034,0.909995485713,0.749710185261,23,22,27,124,32,40,39,44,172,37,26,26,27,124,28,2778,2895,2882,9875,3002
2004-08-06,2004-05-07,2004-11-05,0.578787561387,0.528693009354,0.409288603805,0.575062477683,0.868739632679,0.826668745533,0.692940958992,0.850119128431,22,27,124,32,35,39,44,172,37,66,26,27,124,28,125,2895,2882,9875,3002,4029
2004-11-05,2004-08-06,2005-03-04,0.77195923662,0.522571760597,0.728039494892,0.563705543189,0.950873509874,0.744324129004,0.916390679457,0.83813078728,27,124,32,35,30,44,172,37,66,43,27,124,28,125,26,2882,9875,3002,4029,3115
2005-03-04,2004-11-05,2005-05-03,0.858578567426,0.536659028707,0.413969755257,0.543115380369,0.96620794567,0.758577823124,0.699091805243,0.754601701728,124,32,35,30,128,172,37,66,43,176,124,28,125,26,138,9875,3002,4029,3115,11287
2005-05-03,2005-03-04,2005-07-29,0.827250966993,0.549285746739,0.709595857733,0.555329837768,0.964542626621,0.845124190421,0.908880414604,0.772336564574,32,35,30,128,24,37,66,43,176,37,28,125,26,138,32,3002,4029,3115,11287,3115
2005-07-29,2005-05-03,2005-11-04,0.611659670865,0.692658064307,0.536321595337,0.755559472848,0.877008433849,0.893090122043,0.747576903688,0.917249447584,35,30,128,24,18,66,43,176,37,40,125,26,138,32,35,4029,3115,11287,3115,3242
2005-11-04,2005-07-29,2006-02-27,0.214721624226,0.229270591178,0.212403752742,0.220530779329,0.378155707219,0.427664222002,0.38022717035,0.380912873472,30,128,24,18,205,43,176,37,40,381,26,138,32,35,744,3115,11287,3115,3242,15874
2006-02-27,2005-11-04,2006-05-05,0.815619593318,0.528807643057,0.524916386931,0.390387892485,0.953776716557,0.748734536257,0.730241048674,0.542495776338,128,24,18,205,138,176,37,40,381,240,138,32,35,744,257,11287,3115,3242,15874,12664
2006-05-05,2006-02-27,2006-07-28,0.779729186567,0.672694080751,0.212980709026,0.539106842417,0.949935035977,0.883587451652,0.395750888443,0.757588288329,24,18,205,138,28,37,40,381,240,46,32,35,744,257,39,3115,3242,15874,12664,3332
