filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1998-03-05,1997-11-14,1998-05-15,0.391721437573,0.319855543022,0.433360761601,0.27659617792,0.7018091175,0.554744083849,0.652078183406,0.507310740216,492,70,60,222,763,1145,368,291,1203,1576,1879,495,370,1717,2759,44905,13045,9569,26706,77333
1998-05-15,1998-03-05,1998-08-14,0.673648683552,0.355912656079,0.228135122694,0.429537050721,0.778410797194,0.600992552033,0.484007598467,0.667812580938,70,60,222,763,125,368,291,1203,1576,624,495,370,1717,2759,1264,13045,9569,26706,77333,22025
1998-08-14,1998-05-15,1998-11-02,0.480795329406,0.247680465388,0.421914170771,0.388194999712,0.721066085931,0.46671657369,0.616845846462,0.563455387229,60,222,763,125,57,291,1203,1576,624,352,370,1717,2759,1264,318,9569,26706,77333,22025,10492
1998-11-02,1998-08-14,1999-03-09,0.25457002044,0.519805185006,0.384595201309,0.698979320216,0.506363769001,0.723192231501,0.626457792544,0.846466404288,222,763,125,57,98,1203,1576,624,352,454,1717,2759,1264,318,499,26706,77333,22025,10492,15645
1999-03-09,1998-11-02,1999-05-17,0.78177294361,0.483347840738,0.53064089878,0.62221369744,0.923375282496,0.708306322073,0.7091971459,0.79161967644,763,125,57,98,468,1576,624,352,454,1240,2759,1264,318,499,2118,77333,22025,10492,15645,54160
1999-05-17,1999-03-09,1999-08-04,0.453299417985,0.584648071245,0.534344630044,0.658621404906,0.661480132086,0.802237736596,0.774537746592,0.775995878659,125,57,98,468,62,624,352,454,1240,244,1264,318,499,2118,445,22025,10492,15645,54160,13043
1999-08-04,1999-05-17,1999-10-15,0.667005306267,0.542660825715,0.549549087264,0.750034428244,0.908027401348,0.782693596272,0.670989562282,0.83333117463,57,98,468,62,59,352,454,1240,244,244,318,499,2118,445,234,10492,15645,54160,13043,10884
1999-10-15,1999-08-04,2000-03-08,0.569693571425,0.62690431207,0.699287671747,0.786788420575,0.816884750716,0.766767649991,0.82505824369,0.870205957751,98,468,62,59,114,454,1240,244,244,488,499,2118,445,234,487,15645,54160,13043,10884,15353
2000-03-08,1999-10-15,2000-05-15,0.721287840935,0.528356562739,0.458837955306,0.532765355859,0.894948582501,0.75302427651,0.661789354127,0.758036050753,468,62,59,114,487,1240,244,244,488,2035,2118,445,234,487,3534,54160,13043,10884,15353,76551
2000-05-15,2000-03-08,2000-08-02,0.707751311625,0.60778951181,0.638041483112,0.57264717815,0.898174109607,0.799180383162,0.830683724007,0.799299030425,62,59,114,487,107,244,244,488,2035,355,445,234,487,3534,564,13043,10884,15353,76551,16836
2000-08-02,2000-05-15,2000-11-01,0.647678594303,0.638546338139,0.561810078393,0.796449318166,0.808801782581,0.807691534642,0.770104089196,0.928215263296,59,114,487,107,61,244,488,2035,355,300,234,487,3534,564,581,10884,15353,76551,16836,15925
2000-11-01,2000-08-02,2001-04-17,0.64051453413,0.553087410059,0.75016960271,0.871446204112,0.821474616493,0.768681315355,0.914980250973,0.959725880897,114,487,107,61,73,488,2035,355,300,306,487,3534,564,581,605,15353,76551,16836,15925,15909
2001-04-17,2000-11-01,2001-05-14,0.625725731148,0.531269905908,0.526834744279,0.534333054633,0.870186946332,0.770157468366,0.734657360187,0.741167094572,487,107,61,73,917,2035,355,300,306,3136,3534,564,581,605,4495,76551,16836,15925,15909,112009
