filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-07-25,1997-03-07,1997-09-08,0.776811901348,0.289791812957,0.367279110918,0.365719095228,0.921690118025,0.538671763546,0.614543747533,0.607465108914,98,4,12,13,83,146,6,14,14,83,199,6,14,15,79,8637,1110,1769,1734,7172
1997-09-08,1997-07-25,1997-12-05,0.571769205764,0.571260138484,0.598813674792,0.389812206044,0.841156311398,0.81859194639,0.831556556318,0.615075868386,4,12,13,83,10,6,14,14,83,16,6,14,15,79,13,1110,1769,1734,7172,1348
1997-12-05,1997-09-08,1998-03-06,0.731797061096,0.615954647655,0.376222415719,0.610324543881,0.931696326257,0.872319720814,0.62094019524,0.843950154305,12,13,83,10,10,14,14,83,16,22,14,15,79,13,14,1769,1734,7172,1348,1730
1998-03-06,1997-12-05,1998-07-16,0.640294317939,0.370935439146,0.558181143763,0.757155801962,0.900427933678,0.63958969009,0.814685278126,0.908367566487,13,83,10,10,11,14,83,16,22,25,15,79,13,14,13,1734,7172,1348,1730,1977
1998-07-16,1998-03-06,1998-09-04,0.871721476755,0.389461400512,0.399224659495,0.425020263958,0.970268739884,0.61116537665,0.624703727596,0.655964199135,83,10,10,11,89,83,16,22,25,86,79,13,14,13,87,7172,1348,1730,1977,7949
1998-09-04,1998-07-16,1998-12-07,0.664391155276,0.617370123351,0.684450254236,0.441588550887,0.903710816984,0.837628333069,0.85978641445,0.678107467791,10,10,11,89,17,16,22,25,86,20,13,14,13,87,13,1348,1730,1977,7949,1663
1998-12-07,1998-09-04,1999-03-09,0.684964901148,0.65055687793,0.4317158229,0.679851940221,0.904908388846,0.880210308175,0.700021645373,0.861185073488,10,11,89,17,22,22,25,86,20,37,14,13,87,13,14,1730,1977,7949,1663,2230
1999-03-09,1998-12-07,1999-07-19,0.681028684918,0.425764837067,0.653774178776,0.847254637336,0.911978566122,0.69834815012,0.856561388867,0.943821829771,11,89,17,22,22,25,86,20,37,36,13,87,13,14,14,1977,7949,1663,2230,2209
1999-07-19,1999-03-09,1999-09-13,0.887737759384,0.419474615269,0.486381664858,0.488740365456,0.975321964581,0.658862506343,0.704043315701,0.707237580416,89,17,22,22,96,86,20,37,36,109,87,13,14,14,87,7949,1663,2230,2209,8489
1999-09-13,1999-07-19,1999-12-13,0.59306140796,0.671504862462,0.689498282508,0.514536768467,0.867778882032,0.853980840021,0.862900155789,0.72226742196,17,22,22,96,24,20,37,36,109,39,13,14,14,87,14,1663,2230,2209,8489,2071
1999-12-13,1999-09-13,2000-03-13,0.741929693265,0.681030078434,0.481386362031,0.767428989203,0.924262144076,0.884673999476,0.694483231227,0.892297226015,22,22,96,24,30,37,36,109,39,44,14,14,87,14,14,2230,2209,8489,2071,2309
2000-03-13,1999-12-13,2000-07-25,0.605951610913,0.387756766527,0.563481991538,0.699477778959,0.886699154895,0.61685414172,0.814794839375,0.88749704829,22,96,24,30,29,36,109,39,44,30,14,87,14,14,18,2209,8489,2071,2309,2022
2000-07-25,2000-03-13,2000-09-11,0.238503007494,0.127561636182,0.129518985961,0.125071740211,0.457539169755,0.342362675433,0.338171037747,0.32003805307,96,24,30,29,331,109,39,44,30,869,87,14,14,18,2248,8489,2071,2309,2022,29558
2000-09-11,2000-07-25,2000-12-12,0.558411250033,0.488514507397,0.547057045669,0.120150174582,0.84414721585,0.78610828678,0.819165036796,0.308225086108,24,30,29,331,16,39,44,30,869,28,14,14,18,2248,11,2071,2309,2022,29558,1689
2000-12-12,2000-09-11,2001-03-13,0.595338872219,0.572373631865,0.125804503693,0.590838754469,0.877200184666,0.86198648799,0.327430139824,0.847207417362,30,29,331,16,27,44,30,869,28,34,14,18,2248,11,15,2309,2022,29558,1689,2077
2001-03-13,2000-12-12,2001-07-24,0.678545328076,0.123430189209,0.589919895884,0.769910964481,0.920422134496,0.320287361706,0.847059868444,0.919554807236,29,331,16,27,22,30,869,28,34,32,18,2248,11,15,16,2022,29558,1689,2077,1948
