filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-02-23,1994-11-08,1995-05-12,0.653192824227,0.429408163376,0.420216877645,0.382529338494,0.816374569372,0.632454130213,0.633827049073,0.611805029332,314,57,81,151,343,540,126,161,330,990,583,83,94,1391,1633,30952,7162,9080,25329,42846
1995-05-12,1995-02-23,1995-08-14,0.744961526281,0.6345253518,0.235106618387,0.440364731095,0.928457859764,0.846905472237,0.397977781234,0.628477591868,57,81,151,343,71,126,161,330,990,133,83,94,1391,1633,78,7162,9080,25329,42846,7688
1995-08-14,1995-05-12,1995-11-14,0.587547518396,0.215183560323,0.433882885224,0.667053383283,0.866875113819,0.413420957673,0.658357767639,0.866724783532,81,151,343,71,68,161,330,990,133,145,94,1391,1633,78,101,9080,25329,42846,7688,7794
1995-11-14,1995-08-14,1996-02-23,0.244263143276,0.437835135015,0.69917026039,0.78587456902,0.433252271568,0.660402879631,0.886533509762,0.926054154817,151,343,71,68,57,330,990,133,145,167,1391,1633,78,101,132,25329,42846,7688,7794,7525
1996-02-23,1995-11-14,1996-05-15,0.652214910768,0.489971998056,0.481792427385,0.50779110944,0.825867816623,0.702629687049,0.739158800234,0.745679366303,343,71,68,57,453,990,133,145,167,728,1633,78,101,132,895,42846,7688,7794,7525,34904
1996-05-15,1996-02-23,1996-08-14,0.37362264957,0.328219379334,0.355531154917,0.378513306686,0.57357642616,0.560756074159,0.57551862743,0.60806677203,71,68,57,453,102,133,145,167,728,218,78,101,132,895,648,7688,7794,7525,34904,15278
1996-08-14,1996-05-15,1996-11-14,0.58238492092,0.574393406698,0.492736518555,0.372547885811,0.864972893871,0.841934761842,0.731630751995,0.565908700128,68,57,453,102,57,145,167,728,218,167,101,132,895,648,110,7794,7525,34904,15278,7244
1996-11-14,1996-08-14,1997-02-27,0.598776053815,0.469582971573,0.343566719898,0.686178894778,0.875376391023,0.723713459732,0.566462120752,0.880836187742,57,453,102,57,64,167,728,218,167,195,132,895,648,110,131,7525,34904,15278,7244,7603
1997-02-27,1996-11-14,1997-05-15,0.743735441801,0.600053880927,0.505117860527,0.52164079832,0.913097999651,0.744787224601,0.747547637249,0.757994964881,453,102,57,64,291,728,218,167,195,664,895,648,110,131,896,34904,15278,7244,7603,32594
1997-05-15,1997-02-27,1997-08-14,0.32863628902,0.551836573345,0.550348944261,0.521036160277,0.566581189916,0.841163873411,0.833710835977,0.757349822485,102,57,64,291,43,218,167,195,664,117,648,110,131,896,108,15278,7244,7603,32594,5686
1997-08-14,1997-05-15,1997-11-14,0.610082050267,0.54989805048,0.498323798979,0.661533810138,0.882384826922,0.820471192955,0.733001241711,0.890596061488,57,64,291,43,52,167,195,664,117,77,110,131,896,108,96,7244,7603,32594,5686,5342
1997-11-14,1997-08-14,1998-02-23,0.584793858102,0.500200432523,0.634936769308,0.702191960985,0.887939945504,0.765853740551,0.880302844928,0.894507676234,64,291,43,52,61,195,664,117,77,162,131,896,108,96,165,7603,32594,5686,5342,7250
1998-02-23,1997-11-14,1998-05-13,0.631189018154,0.349905649182,0.359048734378,0.384298439741,0.772701500082,0.535764861931,0.533350394878,0.566148734895,291,43,52,61,704,664,117,77,162,1252,896,108,96,165,2131,32594,5686,5342,7250,53334
1998-05-13,1998-02-23,1998-08-14,0.154345193927,0.148174295938,0.147976928045,0.263163861086,0.277629582558,0.265657348643,0.26688598961,0.437382274926,43,52,61,704,251,117,77,162,1252,1065,108,96,165,2131,2385,5686,5342,7250,53334,33964
1998-08-14,1998-05-13,1998-11-10,0.228122218824,0.207529849726,0.328654425402,0.63481546123,0.391757777121,0.373700666065,0.528999757584,0.782001191798,52,61,704,251,286,77,162,1252,1065,847,96,165,2131,2385,1701,5342,7250,53334,33964,29026
1998-11-10,1998-08-14,1999-02-23,0.563213033808,0.380228742082,0.171055396051,0.278412823022,0.852023379794,0.577887584119,0.289804251989,0.423121969582,61,704,251,286,119,162,1252,1065,847,331,165,2131,2385,1701,290,7250,53334,33964,29026,11602
1999-02-23,1998-11-10,1999-05-07,0.797915536379,0.435138010776,0.469152442312,0.388067068067,0.892197955696,0.62172941908,0.693729090561,0.550117120733,704,251,286,119,962,1252,1065,847,331,1852,2131,2385,1701,290,3747,53334,33964,29026,11602,81421
1999-05-07,1999-02-23,1999-08-16,0.150790502031,0.217641511271,0.59981342439,0.377550448176,0.269192494617,0.379874843002,0.867423465393,0.548769738527,251,286,119,962,97,1065,847,331,1852,191,2385,1701,290,3747,200,33964,29026,11602,81421,10901
1999-08-16,1999-05-07,1999-11-12,0.282515939498,0.495060951767,0.388616809662,0.596586706202,0.481829160716,0.801206456686,0.593982506332,0.837771994156,286,119,962,97,163,847,331,1852,191,339,1701,290,3747,200,456,29026,11602,81421,10901,17864
