filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1996-03-26,1995-10-23,1996-05-06,0.630973656013,0.497159176082,0.401149449412,0.405541687479,0.780620289991,0.758058838497,0.641317431483,0.636715019267,542,106,145,194,452,630,136,155,189,536,816,9,12,11,536,33625,5467,7107,7993,28008
1996-05-06,1996-03-26,1996-05-10,0.527352733787,0.406794331189,0.426034675566,0.52555101195,0.833982430965,0.667278856221,0.680897243895,0.770933027196,106,145,194,452,105,136,155,189,536,124,9,12,11,536,10,5467,7107,7993,28008,5715
1996-05-10,1996-05-06,1996-07-30,0.406662201786,0.425889173357,0.525711841984,0.999573623527,0.667130108509,0.6807303408,0.771051942801,0.999889210001,145,194,452,105,105,155,189,536,124,125,12,11,536,10,10,7107,7993,28008,5715,5718
1996-07-30,1996-05-10,1996-10-22,0.595134995168,0.499713258212,0.486559170495,0.486586652162,0.784784673646,0.715616677589,0.693400742264,0.693505373488,194,452,105,105,166,189,536,124,125,269,11,536,10,10,366,7993,28008,5715,5718,11293
1996-10-22,1996-07-30,1997-03-25,0.411103040909,0.541374623254,0.541324357063,0.721640141645,0.66841736706,0.772975720125,0.772967411675,0.83932843852,452,105,105,166,165,536,124,125,269,303,536,10,10,366,14,28008,5715,5718,11293,8795
1997-03-25,1996-10-22,1997-05-05,0.287627912295,0.287674059296,0.303929470251,0.261260347705,0.491160942941,0.491251580496,0.518866146317,0.480642699388,105,105,166,165,468,124,125,269,303,667,10,10,366,14,851,5715,5718,11293,8795,31557
1997-05-05,1997-03-25,1997-07-29,0.554190646479,0.354448633128,0.411535958622,0.291323568166,0.84859178619,0.627135659189,0.695576579683,0.509133541101,105,166,165,468,67,125,269,303,667,73,10,366,14,851,8,5718,11293,8795,31557,3504
1997-07-29,1997-05-05,1997-08-05,0.512197460865,0.574694357356,0.263039055877,0.56611781477,0.764301272687,0.848932059022,0.500761292806,0.826444818449,166,165,468,67,82,269,303,667,73,94,366,14,851,8,10,11293,8795,31557,3504,4243
1997-08-05,1997-07-29,1997-10-22,0.126623830588,0.0966347737413,0.235333428005,0.199485376783,0.214909361932,0.194687525278,0.342669163567,0.309823480359,165,468,67,82,2,303,667,73,94,0,14,851,8,10,4,8795,31557,3504,4243,298
1997-10-22,1997-08-05,1998-01-30,0.253203195682,0.495468662291,0.627621699995,0.213131099217,0.476906463932,0.777668854328,0.84911258763,0.317565705287,468,67,82,2,36,667,73,94,0,94,851,8,10,4,7,31557,3504,4243,298,3969
1998-01-30,1997-10-22,1998-03-24,0.186631574277,0.157412528355,0.463425965253,0.374132662173,0.360725581859,0.318607107942,0.771902543599,0.459833036402,67,82,2,36,2,73,94,0,94,2,8,10,4,7,4,3504,4243,298,3969,299
1998-03-24,1998-01-30,1998-05-05,0.213519821293,0.10592913,0.269811700336,0.142778911126,0.432395960914,0.219669181229,0.463539285827,0.252408134236,82,2,36,2,367,94,0,94,2,502,10,4,7,4,688,4243,298,3969,299,21656
1998-05-05,1998-03-24,1998-07-28,0.188081789925,0.489158298075,0.272339631037,0.254687588373,0.321283199153,0.790087355053,0.43415611513,0.440872230262,2,36,2,367,40,0,94,2,502,48,4,7,4,688,5,298,3969,299,21656,2718
1998-07-28,1998-05-05,1998-10-20,0.589431237928,0.234199907854,0.22796530603,0.557394434683,0.853488001377,0.40896761946,0.437790075726,0.817359662819,36,2,367,40,33,94,2,502,48,54,7,4,688,5,8,3969,299,21656,2718,3108
1998-10-20,1998-07-28,1999-03-24,0.238266375658,0.229236338118,0.536302354414,0.558395682834,0.39492280331,0.43176801756,0.826913996885,0.833891033292,2,367,40,33,58,2,502,48,54,108,4,688,5,8,6,299,21656,2718,3108,4107
