filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-12-21,1994-11-15,1995-03-24,0.114108133624,0.184485191295,0.163023525649,0.191829702175,0.256024521747,0.351132648558,0.330870276531,0.35524355952,225,27,26,33,2,536,54,91,114,0,450,39,70,67,9,19376,2763,3378,3662,287
1995-03-24,1994-12-21,1995-05-12,0.349999239162,0.340113443161,0.385367282217,0.119107262294,0.600310599928,0.597040998496,0.655331285662,0.258490795516,27,26,33,2,266,54,91,114,0,739,39,70,67,9,814,2763,3378,3662,287,25001
1995-05-12,1995-03-24,1995-08-14,0.262039533618,0.277771687197,0.122231592566,0.53261871347,0.447104348,0.471617575224,0.250750394014,0.677443716287,26,33,2,266,60,91,114,0,739,312,70,67,9,814,554,3378,3662,287,25001,9501
1995-08-14,1995-05-12,1995-11-13,0.502719074789,0.161041005544,0.420011213687,0.383676035763,0.801099888309,0.322990214602,0.662840949607,0.526164843534,33,2,266,60,41,114,0,739,312,184,67,9,814,554,183,3662,287,25001,9501,4692
1995-11-13,1995-08-14,1996-03-29,0.191878355465,0.43665405403,0.373545915501,0.773981543469,0.340459993665,0.684832783851,0.519772574973,0.915584405385,2,266,60,41,36,0,739,312,184,195,9,814,554,183,191,287,25001,9501,4692,4772
1996-03-29,1995-11-13,1996-05-14,0.808254940661,0.300491133158,0.45808770788,0.505395050054,0.921748079081,0.492035189785,0.710281162036,0.751771111818,266,60,41,36,220,739,312,184,195,616,814,554,183,191,548,25001,9501,4692,4772,22299
1996-05-14,1996-03-29,1996-08-13,0.349905535096,0.626726696067,0.687566926401,0.548776068804,0.51747915063,0.859320116215,0.895446098356,0.787030073014,60,41,36,220,33,312,184,195,616,268,554,183,191,548,275,9501,4692,4772,22299,5260
1996-08-13,1996-05-14,1996-11-12,0.679331808371,0.671016329108,0.525950469752,0.809254365596,0.898951688978,0.895301604426,0.772160085881,0.938798903288,41,36,220,33,35,184,195,616,268,283,183,191,548,275,281,4692,4772,22299,5260,5625
1996-11-12,1996-08-13,1997-03-28,0.558937944566,0.47237391716,0.635359360988,0.675420181402,0.815319864371,0.75294419687,0.851168630908,0.862205931061,36,220,33,35,55,195,616,268,283,341,191,548,275,281,373,4772,22299,5260,5625,7437
1997-03-28,1996-11-12,1997-05-13,0.553846450534,0.356313135252,0.350352288765,0.414826138717,0.723796017751,0.569741018889,0.560132931745,0.671792299624,220,33,35,55,714,616,268,283,341,1401,548,275,281,373,3204,22299,5260,5625,7437,51106
1997-05-13,1997-03-28,1997-08-13,0.62904722088,0.609418911198,0.619214791118,0.369043455719,0.884132062943,0.863836056518,0.854643756428,0.604025998529,33,35,55,714,57,268,283,341,1401,245,275,281,373,3204,307,5260,5625,7437,51106,5602
1997-08-13,1997-05-13,1997-11-12,0.360616595958,0.371269157414,0.440323162977,0.437077882614,0.546374628745,0.611483643116,0.681104102041,0.605666050536,35,55,714,57,79,283,341,1401,245,381,281,373,3204,307,670,5625,7437,51106,5602,10821
1997-11-12,1997-08-13,1998-03-26,0.380296292479,0.44157131321,0.428496203436,0.968481202074,0.623005786571,0.684408499126,0.609974432266,0.991908271285,55,714,57,79,75,341,1401,245,381,391,373,3204,307,670,675,7437,51106,5602,10821,10858
1998-03-26,1997-11-12,1998-05-12,0.805774944742,0.350360710151,0.380882454768,0.386124466072,0.914243725728,0.58402781298,0.603696342645,0.608522836044,714,57,79,75,488,1401,245,381,391,920,3204,307,670,675,1793,51106,5602,10821,10858,34726
1998-05-12,1998-03-26,1998-08-11,0.566487623346,0.348348386931,0.365716533841,0.353626988889,0.831114546948,0.521093683739,0.531942387895,0.546226781836,57,79,75,488,52,245,381,391,920,185,307,670,675,1793,174,5602,10821,10858,34726,4626
1998-08-11,1998-05-12,1998-09-25,0.199966823727,0.200816694188,0.278786957946,0.201219157197,0.4104051813,0.412239848759,0.560004663167,0.381391410951,79,75,488,52,174,381,391,920,185,1011,670,675,1793,174,1531,10821,10858,34726,4626,19856
1998-09-25,1998-08-11,1998-11-12,0.116712351008,0.113765855905,0.155963197776,0.0687326393977,0.203492564608,0.202831931727,0.255869345442,0.159382143835,75,488,52,174,2,391,920,185,1011,0,675,1793,174,1531,5,10858,34726,4626,19856,200
1998-11-12,1998-09-25,1999-03-26,0.274981377585,0.186987506739,0.94192787894,0.0643122543005,0.562796481703,0.372764637616,0.979899376619,0.155029471346,488,52,174,2,193,920,185,1011,0,1061,1793,174,1531,5,1545,34726,4626,19856,200,21923
