filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-02-14,1994-11-10,1995-05-11,0.322701548387,0.330174103671,0.148184852477,0.286341003993,0.631327541077,0.693546894372,0.353873317307,0.632909868517,14,7,316,175,18,24,12,913,56,24,44,6,1381,11,5,1396,904,22676,3739,1264
1995-05-11,1995-02-14,1995-09-13,0.341219683005,0.151262860306,0.25226876305,0.527037656841,0.715829477469,0.36479353232,0.617957510549,0.871397779649,7,316,175,18,20,12,913,56,24,19,6,1381,11,5,9,904,22676,3739,1264,1421
1995-09-13,1995-05-11,1995-11-13,0.908064815141,0.113180218351,0.117945595986,0.122415804995,0.944532534851,0.335216734994,0.293427447517,0.301611947694,316,175,18,20,301,913,56,24,19,1084,1381,11,5,9,1764,22676,3739,1264,1421,25916
1995-11-13,1995-09-13,1996-02-13,0.332087473614,0.426638912821,0.400007571508,0.130233768888,0.656159252603,0.775253234082,0.754658113713,0.331320106552,175,18,20,301,16,56,24,19,1084,27,11,5,9,1764,10,3739,1264,1421,25916,1441
1996-02-13,1995-11-13,1996-05-10,0.548562221631,0.473573122988,0.137380151488,0.556075690636,0.876361104418,0.830528360958,0.316007947636,0.839749677884,18,20,301,16,11,24,19,1084,27,22,5,9,1764,10,9,1264,1421,25916,1441,1292
1996-05-10,1996-02-13,1996-09-11,0.45608185422,0.130549449596,0.454195327931,0.571488867283,0.840326801508,0.317149169363,0.803762180212,0.893945020288,20,301,16,11,30,19,1084,27,22,27,9,1764,10,9,23,1421,25916,1441,1292,1451
1996-09-11,1996-05-10,1996-11-13,0.452803749591,0.207093183377,0.228459307388,0.21969593238,0.728002348924,0.495177994501,0.492580216594,0.490528030805,301,16,11,30,439,1084,27,22,27,336,1764,10,9,23,407,25916,1441,1292,1451,16197
1996-11-13,1996-09-11,1997-02-11,0.470459004687,0.41250197329,0.384545735334,0.23338942824,0.827684887935,0.809047068665,0.793081404318,0.523641042733,16,11,30,439,22,27,22,27,336,22,10,9,23,407,10,1441,1292,1451,16197,1463
1997-02-11,1996-11-13,1997-05-09,0.520870253377,0.424022991155,0.229351639306,0.545831416716,0.875432726204,0.827481823348,0.497960154876,0.862695095718,11,30,439,22,28,22,27,336,22,24,9,23,407,10,11,1292,1451,16197,1463,1409
1997-05-09,1997-02-11,1997-09-10,0.463621733047,0.234688336039,0.487174898883,0.603253308444,0.858457608066,0.508729553151,0.843911410605,0.898816556565,30,439,22,28,25,27,336,22,24,17,23,407,10,11,10,1451,16197,1463,1409,1444
1997-09-10,1997-05-09,1997-11-14,0.550295309246,0.253933951697,0.258000380871,0.267636463582,0.826230609838,0.558379614213,0.534049685263,0.543863174648,439,22,28,25,244,336,22,24,17,385,407,10,11,10,599,16197,1463,1409,1444,16506
1997-11-14,1997-09-10,1998-02-13,0.47629419377,0.407867594086,0.411051144732,0.242968645513,0.820813685123,0.761592362092,0.758125132732,0.522587913908,22,28,25,244,19,22,24,17,385,12,10,11,10,599,18,1463,1409,1444,16506,1490
1998-02-13,1997-11-14,1998-05-14,0.502228383342,0.472277564414,0.236957474008,0.541527074734,0.840159612603,0.819281787177,0.485065742904,0.821601771353,28,25,244,19,18,24,17,385,12,12,11,10,599,18,9,1409,1444,16506,1490,1297
