filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-12-20,1994-11-14,1995-02-14,0.113126685637,0.123450838424,0.144853163915,0.134027307128,0.245590675556,0.229080372444,0.292871947415,0.264018606306,13,20,356,16,4,25,75,1524,23,5,14,18,2611,10,17,1670,2202,37379,1851,546
1995-02-14,1994-12-20,1995-05-12,0.132333061759,0.390020361044,0.152269227801,0.0918796627053,0.252725982125,0.635489106082,0.272458988967,0.199861755963,20,356,16,4,184,75,1524,23,5,319,18,2611,10,17,742,2202,37379,1851,546,10879
1995-05-12,1995-02-14,1995-09-28,0.135652022315,0.508785619853,0.124583914978,0.175215720399,0.296332258368,0.82138598131,0.240565323409,0.279994655099,356,16,4,184,32,1524,23,5,319,53,2611,10,17,742,8,37379,1851,546,10879,2152
1995-09-28,1995-05-12,1995-11-13,0.1891428356,0.170657320272,0.770401215329,0.187122260874,0.348721947116,0.294377346299,0.878571336196,0.348499046242,16,4,184,32,523,23,5,319,53,719,10,17,742,8,1355,1851,546,10879,2152,27262
1995-11-13,1995-09-28,1996-02-13,0.125211697129,0.134916650358,0.4671413187,0.176249687353,0.262051249625,0.25827516376,0.813306473265,0.331240673232,4,184,32,523,11,5,319,53,719,10,17,742,8,1355,10,546,10879,2152,27262,1655
1996-02-13,1995-11-13,1996-05-13,0.148673009329,0.465434555502,0.171524628939,0.571537803893,0.267404615272,0.784008296098,0.326528411886,0.82168061639,184,32,523,11,8,319,53,719,10,6,742,8,1355,10,4,10879,2152,27262,1655,1220
1996-05-13,1996-02-13,1996-09-30,0.353274156033,0.54374603395,0.327729285588,0.384426574567,0.605291815369,0.747639192504,0.558341944904,0.56685882011,32,523,11,8,67,53,719,10,6,116,8,1355,10,4,146,2152,27262,1655,1220,3949
1996-09-30,1996-05-13,1996-11-14,0.839229336071,0.162558824027,0.16413988945,0.627720435124,0.920271392013,0.299944905898,0.301859908193,0.762136394579,523,11,8,67,622,719,10,6,116,1083,1355,10,4,146,2027,27262,1655,1220,3949,40566
1996-11-14,1996-09-30,1997-02-13,0.655469149117,0.493416928516,0.295103103985,0.154662474547,0.923701222437,0.807316685109,0.549712995535,0.289862789452,11,8,67,622,11,10,6,116,1083,8,10,4,146,2027,8,1655,1220,3949,40566,1525
1997-02-13,1996-11-14,1997-05-14,0.612806675096,0.342402739288,0.151568572843,0.540692021422,0.879889883809,0.579051080679,0.285072592752,0.832198677505,8,67,622,11,15,6,116,1083,8,20,4,146,2027,8,15,1220,3949,40566,1525,1818
