filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-05-06,1997-03-06,1997-08-13,0.653044406917,0.583991257692,0.584056153824,0.510077086293,0.886422576769,0.807318515599,0.80991633627,0.779909547256,54,56,62,176,52,117,118,125,308,140,35,38,42,230,149,3547,4021,4254,13163,5077
1997-08-13,1997-05-06,1997-11-14,0.846811999584,0.702173207686,0.551908435042,0.638611276583,0.964409015379,0.870763740123,0.771742318602,0.823022747683,56,62,176,52,44,118,125,308,140,141,38,42,230,149,70,4021,4254,13163,5077,4298
1997-11-14,1997-08-13,1998-03-13,0.802032727016,0.540725739383,0.597030437937,0.761766282833,0.956188386039,0.77850861211,0.817637060115,0.891830010363,62,176,52,44,56,125,308,140,141,160,42,230,149,70,77,4254,13163,5077,4298,4835
1998-03-13,1997-11-14,1998-05-15,0.85050383305,0.520381485551,0.57596593251,0.594426702771,0.964165651553,0.781081949935,0.776962543921,0.795146291034,176,52,44,56,183,308,140,141,160,373,230,149,70,77,224,13163,5077,4298,4835,14265
1998-05-15,1998-03-13,1998-08-13,0.673897626833,0.680518806478,0.667712960584,0.597075877011,0.886236829593,0.850127683315,0.855898618315,0.792018289277,52,44,56,183,50,140,141,160,373,147,149,70,77,224,92,5077,4298,4835,14265,4767
1998-08-13,1998-05-15,1998-11-13,0.795442288832,0.66067627672,0.587410705439,0.772352567424,0.935369322259,0.858511364783,0.790413622205,0.893122131485,44,56,183,50,71,141,160,373,147,185,70,77,224,92,95,4298,4835,14265,4767,6046
1998-11-13,1998-08-13,1999-03-12,0.756830461924,0.580797879775,0.724912067611,0.789957779992,0.932642289551,0.794030733574,0.87917469021,0.90653199837,56,183,50,71,70,160,373,147,185,215,77,224,92,95,124,4835,14265,4767,6046,6376
1999-03-12,1998-11-13,1999-05-11,0.838808827763,0.623400364206,0.645645773984,0.662098110075,0.953255386643,0.805273845108,0.819777892461,0.827045724445,183,50,71,70,170,373,147,185,215,462,224,92,95,124,288,14265,4767,6046,6376,15953
1999-05-11,1999-03-12,1999-08-16,0.774153156006,0.703705400411,0.719511858159,0.710290340505,0.931907122502,0.881797776677,0.885264468714,0.858082493414,50,71,70,170,64,147,185,215,462,205,92,95,124,288,173,4767,6046,6376,15953,6390
1999-08-16,1999-05-11,1999-11-12,0.812745517106,0.737612656913,0.702792087522,0.849727548709,0.95240863711,0.896963997469,0.853841740544,0.932340103098,71,70,170,64,71,185,215,462,205,218,95,124,288,173,149,6046,6376,15953,6390,6995
1999-11-12,1999-08-16,2000-03-02,0.304095276146,0.315829061018,0.312192740249,0.334114627032,0.455958803839,0.481520605144,0.455572393095,0.46805360771,70,170,64,71,251,215,462,205,218,951,124,288,173,149,1558,6376,15953,6390,6995,28605
2000-03-02,1999-11-12,2000-05-15,0.919791831323,0.690681202472,0.699428203578,0.322906638414,0.981792471967,0.85851195239,0.858995234045,0.486852640064,170,64,71,251,178,462,205,218,951,449,288,173,149,1558,302,15953,6390,6995,28605,16246
2000-05-15,2000-03-02,2000-08-14,0.85608798064,0.764092012705,0.29565531678,0.705387103176,0.964630831728,0.905468950481,0.446498543123,0.855950017934,64,71,251,178,52,205,218,951,449,183,173,149,1558,302,169,6390,6995,28605,16246,5664
2000-08-14,2000-05-15,2000-11-14,0.848488605081,0.295181754079,0.687701034898,0.861438968906,0.960679757713,0.442666144477,0.837325886423,0.925848052989,71,251,178,52,61,218,951,449,183,199,149,1558,302,169,175,6995,28605,16246,5664,6224
2000-11-14,2000-08-14,2001-03-09,0.96999462245,0.300953397757,0.290023226089,0.293590208708,0.99117967792,0.463981455206,0.430997302108,0.428173582096,251,178,52,61,234,951,449,183,199,917,1558,302,169,175,1591,28605,16246,5664,6224,28485
2001-03-09,2000-11-14,2001-05-15,0.851158338052,0.629648597237,0.618714031819,0.298212796213,0.954763709559,0.815386474872,0.798671022003,0.470803551283,178,52,61,234,152,449,183,199,917,354,302,169,175,1591,313,16246,5664,6224,28485,14571
2001-05-15,2001-03-09,2001-08-14,0.752438066944,0.678093698833,0.263123788146,0.668033205471,0.916013734363,0.852421371828,0.424949412763,0.836221095437,52,61,234,152,46,183,199,917,354,172,169,175,1591,313,156,5664,6224,28485,14571,5336
2001-08-14,2001-05-15,2001-11-14,0.767814706712,0.255705780529,0.619194281544,0.759229196062,0.918111824147,0.409056905859,0.806019253735,0.89252041891,61,234,152,46,49,199,917,354,172,184,175,1591,313,156,150,6224,28485,14571,5336,5684
