filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2000-11-13,2000-08-11,2001-03-27,0.483752622818,0.340452380422,0.535409133784,0.202892627577,0.769740414652,0.603053689607,0.746307697071,0.349843311878,28,267,18,453,20,105,336,75,1109,89,69,153,38,2280,83,4460,21455,3269,39770,4593
2001-03-27,2000-11-13,2001-05-15,0.895175452886,0.435442650569,0.127752097241,0.353223241201,0.957028672691,0.685884379471,0.293469261771,0.609677263941,267,18,453,20,198,336,75,1109,89,269,153,38,2280,83,222,21455,3269,39770,4593,18664
2001-05-15,2001-03-27,2001-08-10,0.638040806202,0.125366553073,0.423262245593,0.420334337075,0.863492831214,0.301579632221,0.694202941214,0.665174633836,18,453,20,198,15,75,1109,89,269,49,38,2280,83,222,38,3269,39770,4593,18664,2900
2001-08-10,2001-05-15,2001-11-13,0.126620356948,0.40077940197,0.378239313174,0.704761699617,0.286567035593,0.671869876682,0.608970589256,0.82958849675,453,20,198,15,13,1109,89,269,49,49,2280,83,222,38,38,39770,4593,18664,2900,3168
2001-11-13,2001-08-10,2002-03-20,0.516773855152,0.342552794979,0.611642581485,0.670584320627,0.769450341795,0.576088184594,0.777168409613,0.808004713895,20,198,15,13,12,89,269,49,49,42,83,222,38,38,42,4593,18664,2900,3168,2817
2002-03-20,2001-11-13,2002-05-15,0.307672528306,0.197017548718,0.180215977561,0.163369247729,0.531962956084,0.426490505847,0.386652105791,0.357972733957,198,15,13,12,381,269,49,49,42,1444,222,38,38,42,2515,18664,2900,3168,2817,47175
2002-05-15,2002-03-20,2002-08-13,0.523647636054,0.426668355263,0.431662275038,0.255745788891,0.76554347372,0.67139790895,0.660420587516,0.481157918883,15,13,12,381,19,49,49,42,1444,79,38,38,42,2515,114,2900,3168,2817,47175,4081
2002-08-13,2002-05-15,2002-11-14,0.782244363574,0.594150471218,0.194685559038,0.568349785226,0.916665012749,0.775316821568,0.406299171929,0.749191496418,13,12,381,19,15,49,42,1444,79,73,38,42,2515,114,52,3168,2817,47175,4081,3529
2002-11-14,2002-08-13,2003-03-19,0.737726118934,0.182705450246,0.486950800147,0.676312144096,0.878934976273,0.402680277427,0.701063045229,0.817273089383,12,381,19,15,20,42,1444,79,73,96,42,2515,114,52,50,2817,47175,4081,3529,4399
2003-03-19,2002-11-14,2003-05-14,0.323378617269,0.400368998667,0.488120084763,0.487384412642,0.556338897699,0.635204348352,0.669300746236,0.677768231071,381,19,15,20,101,1444,79,73,96,287,2515,114,52,50,233,47175,4081,3529,4399,14610
2003-05-14,2003-03-19,2003-08-13,0.530261201815,0.592839892923,0.649138849404,0.55581226185,0.762913225012,0.786516004329,0.826128178544,0.744447940523,19,15,20,101,20,79,73,96,287,95,114,52,50,233,62,4081,3529,4399,14610,4548
