filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-04-03,1994-11-16,1995-05-17,0.747364224609,0.323669952103,0.320828462165,0.546292096228,0.93340951468,0.573689288003,0.579296459922,0.753810001492,110,14,21,28,124,132,12,20,125,300,257,11,21,41,302,10447,1334,1646,2996,11871
1995-05-17,1995-04-03,1995-08-16,0.518211778995,0.321882338392,0.372407887467,0.358741202539,0.804586473581,0.68215799886,0.723613535102,0.643750750253,14,21,28,124,13,12,20,125,300,36,11,21,41,302,22,1334,1646,2996,11871,2102
1995-08-16,1995-05-17,1995-11-14,0.488127573086,0.40115931871,0.341428085511,0.625505076198,0.785716697201,0.717511877288,0.584322200989,0.824159693576,21,28,124,13,8,20,125,300,36,33,21,41,302,22,18,1646,2996,11871,2102,1974
1995-11-14,1995-08-16,1996-03-22,0.492063088644,0.385023077785,0.575681758145,0.654631093348,0.831441023362,0.643237464918,0.819263769323,0.85356162559,28,124,13,8,20,125,300,36,33,66,41,302,22,18,24,2996,11871,2102,1974,2284
1996-03-22,1995-11-14,1996-05-15,0.380116587711,0.143995422847,0.130138226904,0.150069076819,0.567272189702,0.313590941931,0.270357779114,0.292791851653,124,13,8,20,463,300,36,33,66,1288,302,22,18,24,3300,11871,2102,1974,2284,46898
1996-05-15,1996-03-22,1996-08-08,0.449319142384,0.425080039318,0.441020689087,0.140563199891,0.813731666006,0.773934519828,0.789537776312,0.299955227184,13,8,20,463,13,36,33,66,1288,28,22,18,24,3300,19,2102,1974,2284,46898,1611
1996-08-08,1996-05-15,1996-11-13,0.417012963737,0.421561933599,0.119832999577,0.548252926027,0.797145874374,0.782441230948,0.269353932568,0.831762803163,8,20,463,13,20,33,66,1288,28,35,18,24,3300,19,28,1974,2284,46898,1611,1930
1996-11-13,1996-08-08,1997-03-27,0.465508963979,0.131562467996,0.569003680944,0.67740116679,0.812153622657,0.279407084049,0.852414156141,0.896646426804,20,463,13,20,21,66,1288,28,35,34,24,3300,19,28,21,2284,46898,1611,1930,1824
1997-03-27,1996-11-13,1997-05-15,0.543365379742,0.287681389503,0.262931567378,0.291482406289,0.714202939639,0.546029180602,0.501416945896,0.520617443202,463,13,20,21,196,1288,28,35,34,383,3300,19,28,21,697,46898,1611,1930,1824,15988
1997-05-15,1997-03-27,1997-08-13,0.489583962909,0.386086210689,0.454719513746,0.276475239695,0.844069129793,0.773882183653,0.823067769181,0.554552330361,13,20,21,196,25,28,35,34,383,35,19,28,21,697,26,1611,1930,1824,15988,1884
