filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1999-03-24,1998-11-13,1999-05-14,0.418470552265,0.322280706602,0.501588514076,0.487356094358,0.619864084444,0.531102435023,0.677333507065,0.570410236973,151,36,204,262,448,83,16,375,614,1334,85,26,699,1391,2368,10852,4135,13609,24797,52076
1999-05-14,1999-03-24,1999-08-16,0.198265700642,0.594657409701,0.761023180963,0.432018123889,0.288284022506,0.700571916536,0.80255130213,0.530261678575,36,204,262,448,477,16,375,614,1334,1030,26,699,1391,2368,1757,4135,13609,24797,52076,35460
1999-08-16,1999-05-14,1999-11-12,0.337025505343,0.333117521871,0.51144775744,0.319752056651,0.552262665327,0.452729338055,0.741010640363,0.434172580263,204,262,448,477,601,375,614,1334,1030,2760,699,1391,2368,1757,3611,13609,24797,52076,35460,61745
1999-11-12,1999-08-16,2000-03-22,0.356751558895,0.521684052054,0.340406784127,0.380882817264,0.468046093167,0.733927114901,0.447160274549,0.63012108342,262,448,477,601,469,614,1334,1030,2760,1104,1391,2368,1757,3611,1840,24797,52076,35460,61745,34173
2000-03-22,1999-11-12,2000-05-12,0.466672439533,0.340170781855,0.265512889106,0.346748465573,0.653572409732,0.456544333209,0.480852714269,0.53324757272,448,477,601,469,327,1334,1030,2760,1104,515,2368,1757,3611,1840,241,52076,35460,61745,34173,22739
2000-05-12,2000-03-22,2000-08-03,0.377672119729,0.26404095794,0.357684985208,0.735765063951,0.485039452421,0.460357369322,0.53534365959,0.884341772343,477,601,469,327,202,1030,2760,1104,515,358,1757,3611,1840,241,94,35460,61745,34173,22739,11429
2000-08-03,2000-05-12,2000-11-07,0.264923468532,0.35775181078,0.708856579166,0.886495013484,0.460133672543,0.539743977077,0.871655054702,0.944479471953,601,469,327,202,199,2760,1104,515,358,349,3611,1840,241,94,92,61745,34173,22739,11429,11611
2000-11-07,2000-08-03,2001-03-28,0.358312348948,0.702682631657,0.839613297438,0.850715161385,0.543746883534,0.872547378165,0.929132343384,0.928270878939,469,327,202,199,209,1104,515,358,349,362,1840,241,94,92,101,34173,22739,11429,11611,12231
2001-03-28,2000-11-07,2001-04-02,0.530821577834,0.478387782481,0.485778406633,0.521112204347,0.731042333822,0.675126407159,0.68044330975,0.713115253537,327,202,199,209,345,515,358,349,362,786,241,94,92,101,1348,22739,11429,11611,12231,38221
2001-04-02,2001-03-28,2001-05-09,0.478668262232,0.485955877725,0.52159889631,0.999661601756,0.675461961731,0.680660573731,0.713468460446,0.999902077704,202,199,209,345,344,358,349,362,786,788,94,92,101,1348,1346,11429,11611,12231,38221,38265
2001-05-09,2001-04-02,2001-08-14,0.82079421098,0.830784055964,0.517882994576,0.518132584904,0.9206070617,0.922291325944,0.699740706676,0.699967833545,199,209,345,344,176,349,362,786,788,369,92,101,1348,1346,90,11611,12231,38221,38265,11941
2001-08-14,2001-05-09,2001-11-13,0.770839336081,0.480500029062,0.480505398223,0.870013071176,0.89232812816,0.675618456965,0.675670502053,0.925022685598,209,345,344,176,193,362,786,788,369,362,101,1348,1346,90,91,12231,38221,38265,11941,12462
2001-11-13,2001-08-14,2002-04-01,0.360196069945,0.360036592401,0.375473253569,0.380770386498,0.551079435806,0.550868295763,0.521553559149,0.525009811522,345,344,176,193,403,786,788,369,362,1108,1348,1346,90,91,1772,38221,38265,11941,12462,34699
2002-04-01,2001-11-13,2002-04-26,0.483101275169,0.503265820701,0.48812094279,0.35299897676,0.703366985755,0.679370821366,0.660639829238,0.517679873946,344,176,193,403,442,788,369,362,1108,1036,1346,90,91,1772,1419,38265,11941,12462,34699,44208
2002-04-26,2002-04-01,2002-08-09,0.879479649016,0.835107687793,0.384736774297,0.515427502245,0.960552476615,0.920877608411,0.529523576641,0.678015438681,176,193,403,442,219,369,362,1108,1036,431,90,91,1772,1419,115,11941,12462,34699,44208,13751
2002-08-09,2002-04-26,2002-11-12,0.414163791075,0.313887942902,0.375836738206,0.407407478765,0.503625696983,0.415021754071,0.48327158828,0.48443530539,193,403,442,219,531,362,1108,1036,431,1471,91,1772,1419,115,2083,12462,34699,44208,13751,51099
2002-11-12,2002-08-09,2003-03-17,0.393974498382,0.50186893155,0.841144366207,0.454177717224,0.551236537041,0.677639924685,0.920889662979,0.543163986401,403,442,219,531,241,1108,1036,431,1471,510,1772,1419,115,2083,172,34699,44208,13751,51099,16690
2003-03-17,2002-11-12,2003-05-14,0.497037163114,0.546215637863,0.346090462695,0.564551022292,0.722592719139,0.739072772484,0.474251966507,0.753051103564,442,219,531,241,362,1036,431,1471,510,769,1419,115,2083,172,904,44208,13751,51099,16690,37318
2003-05-14,2003-03-17,2003-08-13,0.871330091755,0.403698006289,0.853187938431,0.564449309754,0.958650741457,0.487763010574,0.929695397058,0.747872497732,219,531,241,362,216,431,1471,510,769,451,115,2083,172,904,115,13751,51099,16690,37318,15417
2003-08-13,2003-05-14,2003-11-14,0.896321810774,0.475612099944,0.396499557725,0.447368195091,0.939713102854,0.577155400502,0.53672216433,0.529158169385,531,241,362,216,549,1471,510,769,451,1335,2083,172,904,115,2015,51099,16690,37318,15417,49576
2003-11-14,2003-08-13,2004-03-11,0.80662041203,0.710382633013,0.775273288937,0.472029360527,0.931914699122,0.840551127576,0.890548927841,0.565899947169,241,362,216,549,255,510,769,451,1335,551,172,904,115,2015,361,16690,37318,15417,49576,22078
2004-03-11,2003-11-14,2004-03-15,0.659172148339,0.59383816003,0.42139408913,0.645906248021,0.882229162114,0.766275950917,0.545875906928,0.819858479024,362,216,549,255,399,769,451,1335,551,970,904,115,2015,361,977,37318,15417,49576,22078,40829
2004-03-15,2004-03-11,2004-05-07,0.102942821574,0.0581651380009,0.102065845556,0.363330390698,0.183344045206,0.104266574188,0.184932929003,0.416766104693,216,549,255,399,26,451,1335,551,970,18,115,2015,361,977,33,15417,49576,22078,40829,2162
2004-05-07,2004-03-15,2004-08-06,0.418919792047,0.739160765675,0.618372860458,0.113409701223,0.507669971042,0.865998988473,0.779189898914,0.199253484474,549,255,399,26,147,1335,551,970,18,252,2015,361,977,33,70,49576,22078,40829,2162,13178
2004-08-06,2004-05-07,2004-11-09,0.703927687704,0.595740797476,0.108016124387,0.824546566263,0.843193785545,0.758115096905,0.191520571755,0.890728648371,255,399,26,147,170,551,970,18,252,277,361,977,33,70,84,22078,40829,2162,13178,15401
2004-11-09,2004-08-06,2005-03-11,0.802810832607,0.334186163676,0.711890516788,0.68437623204,0.912259177285,0.367640746494,0.835604747522,0.812781822409,399,26,147,170,315,970,18,252,277,831,977,33,70,84,246,40829,2162,13178,15401,30521
2005-03-11,2004-11-09,2005-05-06,0.303058481372,0.721296927496,0.723718771116,0.904286666844,0.348421407707,0.841420875213,0.830318349066,0.971416554104,26,147,170,315,353,18,252,277,831,712,33,70,84,246,254,2162,13178,15401,30521,32419
2005-05-06,2005-03-11,2005-08-09,0.887977116759,0.795309546029,0.667055828586,0.73453470634,0.967538908436,0.886361624669,0.807675629261,0.836425103531,147,170,315,353,150,252,277,831,712,251,70,84,246,254,74,13178,15401,30521,32419,13852
2005-08-09,2005-05-06,2005-11-09,0.90549493315,0.645040851933,0.70741286513,0.851944097826,0.97233229238,0.786749676339,0.815704137071,0.90840321843,170,315,353,150,179,277,831,712,251,274,84,246,254,74,127,15401,30521,32419,13852,16213
2005-11-09,2005-08-09,2006-03-10,0.636662390226,0.69915892888,0.836462969439,0.841895169109,0.779819460081,0.809720200444,0.901821399426,0.910733678744,315,353,150,179,171,831,712,251,274,264,246,254,74,127,77,30521,32419,13852,16213,15753
2006-03-10,2005-11-09,2006-03-16,0.929036582952,0.73921641672,0.730354970062,0.710150414759,0.976892069801,0.845350664666,0.831369569231,0.817123618562,353,150,179,171,365,712,251,274,264,726,254,74,127,77,419,32419,13852,16213,15753,34539
2006-03-16,2006-03-10,2006-05-10,0.207684739178,0.200222668428,0.187924752386,0.56499173533,0.280376103175,0.261416099388,0.249381818306,0.57621099252,150,179,171,365,7,251,274,264,726,43,74,127,77,419,64,13852,16213,15753,34539,3243
2006-05-10,2006-03-16,2006-08-08,0.796307746088,0.790569554784,0.738328651128,0.22309112742,0.883839879216,0.879251480054,0.844168922143,0.2953836934,179,171,365,7,141,274,264,726,43,286,127,77,419,64,86,16213,15753,34539,3243,15950
2006-08-08,2006-05-10,2006-11-08,0.398230216318,0.458941602935,0.208163465832,0.45307200696,0.493852191075,0.568252172626,0.287085509414,0.546322804999,171,365,7,141,483,264,726,43,286,1223,77,419,64,86,1933,15753,34539,3243,15950,50340
2006-11-08,2006-08-08,2007-02-23,0.689098368104,0.213652655999,0.792651148021,0.428280133768,0.809106401608,0.275679898467,0.877937065432,0.523449284926,365,7,141,483,188,726,43,286,1223,331,419,64,86,1933,89,34539,3243,15950,50340,18583
2007-02-23,2006-11-08,2007-05-09,0.537196087017,0.66506734457,0.454431080255,0.652217647143,0.580202040779,0.806997308265,0.577208346258,0.789701279149,7,141,483,188,459,43,286,1223,331,958,64,86,1933,89,916,3243,15950,50340,18583,42114
2007-05-09,2007-02-23,2007-08-09,0.894299075476,0.446533084353,0.784967393891,0.689837362401,0.964473658748,0.549058650879,0.883950628946,0.818335659569,141,483,188,459,180,286,1223,331,958,263,86,1933,89,916,97,15950,50340,18583,42114,17081
