filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-11-14,1994-08-15,1994-11-28,0.463640581337,0.758884903844,0.135410561371,0.842372944807,0.656648584491,0.91855372779,0.344771436981,0.94470684982,286,66,93,72,58,425,64,18,66,85,917,30,35,22,24,26701,5231,3475,6316,6337
1994-11-28,1994-11-14,1995-03-31,0.727464648893,0.132143438337,0.815942730449,0.977160568579,0.901296739045,0.340612930247,0.93089133453,0.988140958675,66,93,72,58,56,64,18,66,85,86,30,35,22,24,27,5231,3475,6316,6337,5939
1995-03-31,1994-11-28,1995-05-15,0.170779997856,0.591697227119,0.604412481581,0.589661160178,0.410955905924,0.800700306055,0.806791425359,0.803918021678,93,72,58,56,232,18,66,85,86,374,35,22,24,27,607,3475,6316,6337,5939,23573
1995-05-15,1995-03-31,1995-06-29,0.614456354458,0.636826019306,0.623002684267,0.611500685591,0.840595831211,0.859459689691,0.857739552812,0.828839700378,72,58,56,232,55,66,85,86,374,143,22,24,27,607,54,6316,6337,5939,23573,7372
1995-06-29,1995-05-15,1995-08-14,0.142132434328,0.137988714004,0.18746224323,0.144715575094,0.354079214544,0.347886341427,0.432594174152,0.347821898276,58,56,232,55,81,85,86,374,143,15,24,27,607,54,36,6337,5939,23573,7372,3023
1995-08-14,1995-06-29,1995-11-08,0.585521506217,0.576318857029,0.766202491448,0.141148004865,0.827267063717,0.809644449162,0.903061465333,0.35099574076,56,232,55,81,84,86,374,143,15,195,27,607,54,36,80,5939,23573,7372,3023,9969
1995-11-08,1995-08-14,1995-11-13,0.573051044969,0.719421344909,0.143470967865,0.827574415911,0.814621323651,0.892026793009,0.355719252132,0.936997209931,232,55,81,84,92,374,143,15,195,202,607,54,36,80,124,23573,7372,3023,9969,10590
1995-11-13,1995-11-08,1996-03-27,0.124242657287,0.0931437043897,0.196515963681,0.234732812089,0.241355273431,0.269121563662,0.288549230874,0.327506925234,55,81,84,92,2,143,15,195,202,0,54,36,80,124,9,7372,3023,9969,10590,355
1996-03-27,1995-11-13,1996-05-15,0.193632248246,0.597774819898,0.619056360515,0.152918552113,0.438544372518,0.817628026652,0.833364151462,0.297479800289,81,84,92,2,265,15,195,202,0,552,36,80,124,9,674,3023,9969,10590,355,25194
1996-05-15,1996-03-27,1996-06-28,0.613983360624,0.627191145533,0.125355613243,0.64844254309,0.838510059028,0.845745664131,0.251769856921,0.825191713159,84,92,2,265,42,195,202,0,552,99,80,124,9,674,32,9969,10590,355,25194,6387
1996-06-28,1996-05-15,1996-08-14,0.146494852849,0.0821397534847,0.190363640992,0.153285303441,0.347438788304,0.229381273409,0.419239720321,0.357386444671,92,2,265,42,79,202,0,552,99,19,124,9,674,32,43,10590,355,25194,6387,4622
1996-08-14,1996-06-28,1996-11-14,0.122537162141,0.612288097447,0.759768175968,0.15489731628,0.251164994358,0.808478503483,0.910829314524,0.365327053833,2,265,42,79,100,0,552,99,19,144,9,674,32,43,67,355,25194,6387,4622,8638
1996-11-14,1996-08-14,1997-03-21,0.636590227339,0.700521789468,0.168071761811,0.772903690146,0.829673001378,0.875423216353,0.396467963134,0.908022144922,265,42,79,100,116,552,99,19,144,162,674,32,43,67,179,25194,6387,4622,8638,9958
1997-03-21,1996-11-14,1997-05-15,0.486866559556,0.202619739429,0.492105762345,0.568699157506,0.674496614094,0.459087045367,0.679607355745,0.752396735112,42,79,100,116,389,99,19,144,162,772,32,43,67,179,1212,6387,4622,8638,9958,31148
1997-05-15,1997-03-21,1997-06-30,0.155464527903,0.706925389581,0.679137627698,0.500804593197,0.351414264149,0.900821061078,0.872709090978,0.667491607373,79,100,116,389,74,19,144,162,772,111,43,67,179,1212,40,4622,8638,9958,31148,7269
1997-06-30,1997-05-15,1997-08-14,0.185764856325,0.201658111922,0.244745442421,0.187254741366,0.392956257073,0.427581180397,0.492228275541,0.382149164033,100,116,389,74,13,144,162,772,111,24,67,179,1212,40,47,8638,9958,31148,7269,4814
1997-08-14,1997-06-30,1997-11-14,0.666216208702,0.493500078247,0.846849594738,0.192348779735,0.87224144448,0.667391760317,0.947340484681,0.393935522504,116,389,74,13,83,162,772,111,24,110,179,1212,40,47,39,9958,31148,7269,4814,7782
1997-11-14,1997-08-14,1997-12-12,0.484528251635,0.826909226232,0.182650520229,0.876310721046,0.65681576747,0.940259386568,0.373104837268,0.954067787506,389,74,13,83,82,772,111,24,110,107,1212,40,47,39,36,31148,7269,4814,7782,7543
1997-12-12,1997-11-14,1998-03-23,0.157317200979,0.724657109946,0.166608853485,0.15483156934,0.333902777975,0.861698753741,0.353441986857,0.329153607076,74,13,83,82,8,111,24,110,107,12,40,47,39,36,52,7269,4814,7782,7543,2439
1998-03-23,1997-12-12,1998-05-15,0.241589128246,0.629823669437,0.633845526985,0.217934798106,0.472990333681,0.805583488093,0.796305306127,0.438832639986,13,83,82,8,254,24,110,107,12,461,47,39,36,52,436,4814,7782,7543,2439,23075
