filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-31,1994-11-14,1995-05-15,0.833011872798,0.357214973356,0.359601218068,0.361281504336,0.959449155557,0.65242666211,0.650271367751,0.636830683299,120,18,18,20,105,340,78,51,55,295,408,65,62,44,448,13937,3055,3009,2742,12539
1995-05-15,1995-03-31,1995-08-14,0.478985971312,0.475482273123,0.566080758302,0.434312313857,0.806085161901,0.790423462258,0.846390811969,0.673172255726,18,18,20,105,24,78,51,55,295,35,65,62,44,448,33,3055,3009,2742,12539,2272
1995-08-14,1995-05-15,1995-11-14,0.529575646895,0.531938854886,0.398748495896,0.705714827431,0.848446566894,0.844277921432,0.655437036547,0.893603822161,18,20,105,24,22,51,55,295,35,43,62,44,448,33,51,3009,2742,12539,2272,2743
1995-11-14,1995-08-14,1996-04-01,0.598255247425,0.414673096975,0.708229884579,0.780863717768,0.885687834538,0.671394855254,0.893069801283,0.917777936712,20,105,24,22,29,55,295,35,43,44,44,448,33,51,41,2742,12539,2272,2743,2684
1996-04-01,1995-11-14,1996-05-15,0.685886138617,0.328996552379,0.330432298972,0.343192851472,0.858960829207,0.562101103588,0.562683317902,0.573487453787,105,24,22,29,213,295,35,43,44,451,448,33,51,41,719,12539,2272,2743,2684,18694
1996-05-15,1996-04-01,1996-08-12,0.619047367636,0.597101893936,0.621160736613,0.357914044387,0.885844002444,0.850872238374,0.857703756167,0.576893065571,24,22,29,213,19,35,43,44,451,37,33,51,41,719,40,2272,2743,2684,18694,2184
1996-08-12,1996-05-15,1996-11-14,0.586357950495,0.546259791476,0.332298978444,0.75304968165,0.871011826102,0.833484380546,0.551465374308,0.912155851612,22,29,213,19,20,43,44,451,37,37,51,41,719,40,52,2743,2684,18694,2184,2517
1996-11-14,1996-08-12,1997-03-31,0.548062427872,0.299294128873,0.634872562635,0.671746055169,0.842458520833,0.53532220985,0.858364240804,0.882928011621,29,213,19,20,28,44,451,37,37,32,41,719,40,52,57,2684,18694,2184,2517,2814
1997-03-31,1996-11-14,1997-05-15,0.735250096143,0.40265323985,0.381951302623,0.365826914102,0.877837959912,0.635811938266,0.609972137919,0.613468099958,213,19,20,28,147,451,37,37,32,319,719,40,52,57,546,18694,2184,2517,2814,14447
1997-05-15,1997-03-31,1997-08-14,0.636483034753,0.58567122637,0.610128273489,0.429412256612,0.883547390817,0.849541739653,0.86748140493,0.656010979943,19,20,28,147,18,37,37,32,319,35,40,52,57,546,53,2184,2517,2814,14447,2479
