filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1996-08-12,1996-05-15,1996-08-19,0.53174884374,0.389353649139,0.40193466627,0.301652266012,0.845722061833,0.65977778385,0.634439291055,0.43721783261,40,62,457,139,23,202,209,686,347,81,156,363,978,802,90,6203,9852,27955,12955,4385
1996-08-19,1996-08-12,1996-10-07,0.39070072593,0.416011550182,0.309913702559,0.985300999141,0.669127631814,0.648500593232,0.443614855126,0.993322649668,62,457,139,23,24,209,686,347,81,83,363,978,802,90,98,9852,27955,12955,4385,4608
1996-10-07,1996-08-19,1996-11-13,0.414095838398,0.311003601148,0.976502695094,0.992107648493,0.646153503923,0.44424683298,0.989835063595,0.997333188916,457,139,23,24,24,686,347,81,83,82,978,802,90,98,98,27955,12955,4385,4608,4501
1996-11-13,1996-10-07,1997-02-28,0.43639422375,0.367282967634,0.378238261226,0.379635152452,0.66432337281,0.482024207673,0.490697932532,0.491509463293,139,23,24,24,93,347,81,83,82,369,802,90,98,98,849,12955,4385,4608,4501,13137
1997-02-28,1996-11-13,1997-05-14,0.371427925343,0.384984570939,0.383927379156,0.415976468068,0.582261978993,0.596073958232,0.594699524113,0.61487195689,23,24,24,93,471,81,83,82,369,824,90,98,98,849,1516,4385,4608,4501,13137,33223
1997-05-14,1997-02-28,1997-08-14,0.524415385887,0.526095069665,0.283741749649,0.360122086831,0.767675743175,0.768544601448,0.440667945683,0.584136790361,24,24,93,471,33,83,82,369,824,103,98,98,849,1516,123,4608,4501,13137,33223,5421
1997-08-14,1997-05-14,1997-11-10,0.555273884848,0.280124746944,0.347164537192,0.746560155936,0.817929279518,0.448899980152,0.587409956831,0.90615055858,24,93,471,33,36,82,369,824,103,116,98,849,1516,123,166,4501,13137,33223,5421,6503
1997-11-10,1997-08-14,1998-03-03,0.283660133711,0.31699970944,0.654944257271,0.760243703159,0.466887665838,0.569302773133,0.866396513443,0.909152397854,93,471,33,36,35,369,824,103,116,137,849,1516,123,166,183,13137,33223,5421,6503,6951
1998-03-03,1997-11-10,1998-05-13,0.469841335115,0.243180102456,0.256732908797,0.276954479459,0.675252833369,0.413524665451,0.42476992439,0.447362061397,471,33,36,35,621,824,103,116,137,1985,1516,123,166,183,4619,33223,5421,6503,6951,71792
1998-05-13,1998-03-03,1998-08-14,0.501837419789,0.502592282232,0.53481635583,0.244940573098,0.819172327206,0.801420766159,0.821196004503,0.424921035497,33,36,35,621,25,103,116,137,1985,102,123,166,183,4619,94,5421,6503,6951,71792,5363
1998-08-14,1998-05-13,1998-11-12,0.376346585414,0.371446346649,0.334614546269,0.444649432083,0.626304814978,0.61614823041,0.570052412523,0.635696883921,36,35,621,25,141,116,137,1985,102,374,166,183,4619,94,494,6503,6951,71792,5363,11961
1998-11-12,1998-08-14,1999-03-03,0.134374355954,0.270716435121,0.132966372024,0.22083447739,0.276440673801,0.496817453365,0.263836377606,0.404185370764,35,621,25,141,687,137,1985,102,374,2984,183,4619,94,494,5227,6951,71792,5363,11961,67060
1999-03-03,1998-11-12,1999-05-13,0.837405320478,0.221488894672,0.395181521876,0.344556606028,0.918520529517,0.392614285213,0.621147189282,0.563320603292,621,25,141,687,1225,1985,102,374,2984,3740,4619,94,494,5227,7081,71792,5363,11961,67060,110062
1999-05-13,1999-03-03,1999-08-16,0.30802050078,0.288034406821,0.157029657864,0.281069364565,0.543531172717,0.504477312089,0.320196899023,0.49676320531,25,141,687,1225,55,102,374,2984,3740,251,94,494,5227,7081,422,5363,11961,67060,110062,10618
1999-08-16,1999-05-13,1999-11-12,0.369782012466,0.240680480774,0.571492592768,0.33502248536,0.589586549686,0.435997132502,0.765348311403,0.526285224213,141,687,1225,55,147,374,2984,3740,251,583,494,5227,7081,422,1300,11961,67060,110062,10618,21787
1999-11-12,1999-08-16,2000-03-02,0.135377842142,0.239282858699,0.383647300049,0.429221074794,0.252741749289,0.392016832458,0.579320655656,0.54771697299,687,1225,55,147,58,2984,3740,251,583,127,5227,7081,422,1300,108,67060,110062,10618,21787,8102
