filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2013-05-02,2013-02-22,2013-08-01,0.913413216636,0.819246025307,0.915098015045,0.961009481443,0.944836204479,0.861450076886,0.949927604783,0.966540541048,694,1848,1064,3004,974,811,2325,1163,3125,1100,1852,5103,2431,5878,2459,51133,108077,72557,175395,72033
2013-08-01,2013-05-02,2013-10-31,0.811273810992,0.915141780271,0.907526104549,0.917519660388,0.829245533434,0.928266826716,0.908282142935,0.927414975437,1848,1064,3004,974,2493,2325,1163,3125,1100,1965,5103,2431,5878,2459,7649,108077,72557,175395,72033,160891
2013-10-31,2013-08-01,2014-02-21,0.514530504351,0.649996439112,0.706825474076,0.484834531266,0.754221116918,0.818415637698,0.84703783942,0.664610443168,1064,3004,974,2493,719,1163,3125,1100,1965,1276,2431,5878,2459,7649,1829,72557,175395,72033,160891,67592
2014-02-21,2013-10-31,2014-05-01,0.647587622245,0.582899277726,0.452825809271,0.754664021303,0.833652670533,0.779721753601,0.643607846702,0.885872326239,3004,974,2493,719,2189,3125,1100,1965,1276,3089,5878,2459,7649,1829,3491,175395,72033,160891,67592,155459
2014-05-01,2014-02-21,2014-07-31,0.658984526298,0.509042919865,0.848309210254,0.927392575577,0.824676095825,0.682361973799,0.930382455061,0.955659227644,974,2493,719,2189,572,1100,1965,1276,3089,1341,2459,7649,1829,3491,1881,72033,160891,67592,155459,62987
2014-07-31,2014-05-01,2014-10-30,0.506390812366,0.843227545076,0.937033800757,0.990167593043,0.682598421543,0.929451742211,0.959561068886,0.995131980675,2493,719,2189,572,634,1965,1276,3089,1341,1374,7649,1829,3491,1881,1729,160891,67592,155459,62987,63932
2014-10-30,2014-07-31,2015-02-20,0.430930911183,0.495342093048,0.524208542074,0.524028972786,0.515012635559,0.562812872025,0.555836078896,0.556640300039,719,2189,572,634,378,1276,3089,1341,1374,695,1829,3491,1881,1729,470,67592,155459,62987,63932,27790
2015-02-20,2014-10-30,2015-05-01,0.985641488806,0.938403450547,0.945584660146,0.482374847863,0.990455418251,0.96237889416,0.964933386342,0.538772682384,2189,572,634,378,2117,3089,1341,1374,695,3208,3491,1881,1729,470,3995,155459,62987,63932,27790,166300
2015-05-01,2015-02-20,2015-07-31,0.985215269457,0.981971930568,0.491430546556,0.940690057338,0.990747299889,0.988988277506,0.520511726636,0.96506707454,572,634,378,2117,609,1341,1374,695,3208,1165,1881,1729,470,3995,1770,62987,63932,27790,166300,62780
2015-07-31,2015-05-01,2015-10-30,0.908487203756,0.519791153693,0.845359885787,0.934047656843,0.955629740632,0.534970406162,0.923588537183,0.969238899443,634,378,2117,609,679,1374,695,3208,1165,1224,1729,470,3995,1770,1777,63932,27790,166300,62780,62672
2015-10-30,2015-07-31,2016-02-19,0.521649425694,0.8457738258,0.930531325159,0.991215404414,0.53209786716,0.924158346182,0.96674632215,0.99527278721,378,2117,609,679,702,695,3208,1165,1224,1284,470,3995,1770,1777,1865,27790,166300,62780,62672,65238
2016-02-19,2015-10-30,2016-04-29,0.874461812051,0.900426307972,0.959072688253,0.963361659459,0.945595199489,0.944803622259,0.973228162672,0.976882082523,2117,609,679,702,1946,3208,1165,1224,1284,2859,3995,1770,1777,1865,3471,166300,62780,62672,65238,149128
2016-04-29,2016-02-19,2016-07-29,0.921973603817,0.979089163992,0.981853295948,0.960004815645,0.959816558449,0.98691293474,0.989062957645,0.974690749306,609,679,702,1946,568,1165,1224,1284,2859,942,1770,1777,1865,3471,1537,62780,62672,65238,149128,53740
2016-07-29,2016-04-29,2016-10-28,0.978600715974,0.977340230342,0.958247988179,0.989128332307,0.987209230016,0.987457793892,0.975690346444,0.995307601728,679,702,1946,568,662,1224,1284,2859,942,1115,1777,1865,3471,1537,1812,62672,65238,149128,53740,59184
2016-10-28,2016-07-29,2017-02-17,0.981931938166,0.958062036577,0.98628571119,0.986173115875,0.989412094838,0.974507495007,0.992181673991,0.992961591796,702,1946,568,662,683,1284,2859,942,1115,1058,1865,3471,1537,1812,1692,65238,149128,53740,59184,59596
2017-02-17,2016-10-28,2017-05-05,0.986999173966,0.95682330788,0.955769709409,0.962928124957,0.992494908936,0.97151696512,0.972402908875,0.977441816782,1946,568,662,683,1965,2859,942,1115,1058,2996,3471,1537,1812,1692,3952,149128,53740,59184,59596,151818
2017-05-05,2017-02-17,2017-08-01,0.972439599363,0.965201225226,0.971786150504,0.95508273018,0.985992316631,0.982199557474,0.986885274846,0.975591533576,568,662,683,1965,624,942,1115,1058,2996,1045,1537,1812,1692,3952,1762,53740,59184,59596,151818,62308
2017-08-01,2017-05-05,2017-10-27,0.971149338615,0.969560079778,0.951366370754,0.98591958642,0.986223016231,0.985592344695,0.972946144921,0.992347134764,662,683,1965,624,654,1115,1058,2996,1045,1068,1812,1692,3952,1762,1623,59184,59596,151818,62308,62115
