filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-05-01,1994-12-14,1995-06-14,0.485956291196,0.319168454354,0.295904262349,0.273477966876,0.714130134256,0.56062625888,0.550375747589,0.439081376624,390,20,18,4,326,647,27,16,4,519,1570,22,22,14,1368,30384,1922,2213,604,22508
1995-06-14,1995-05-01,1995-09-13,0.686453068967,0.584674282266,0.588923380317,0.332417130042,0.902150154248,0.846207918721,0.757934368348,0.540486175397,20,18,4,326,17,27,16,4,519,23,22,22,14,1368,25,1922,2213,604,22508,2056
1995-09-13,1995-06-14,1995-12-13,0.604091812958,0.489144312699,0.317101156666,0.746369846538,0.889013270996,0.699836966544,0.565848038554,0.913214343659,18,4,326,17,27,16,4,519,23,26,22,14,1368,25,25,2213,604,22508,2056,2558
1995-12-13,1995-09-13,1996-04-26,0.283109272229,0.507126115769,0.380348747335,0.389253798942,0.449523380734,0.782010036407,0.561238394001,0.57826598044,4,326,17,27,84,4,519,23,26,173,14,1368,25,25,474,604,22508,2056,2558,7485
1996-04-26,1995-12-13,1996-06-11,0.672679304735,0.347428510313,0.337663066065,0.554905336403,0.880450686025,0.551635395181,0.585122432795,0.782542594082,326,17,27,84,240,519,23,26,173,318,1368,25,25,474,675,22508,2056,2558,7485,16707
1996-06-11,1996-04-26,1996-09-10,0.176862201435,0.1569119425,0.382309682147,0.488433167631,0.301468860083,0.308023457179,0.654700246675,0.713218219753,17,27,84,240,215,23,26,173,318,307,25,25,474,675,1084,2056,2558,7485,16707,15401
1996-09-10,1996-06-11,1996-12-10,0.406313578672,0.355527355882,0.345239709546,0.2437825692,0.681925233656,0.659607826148,0.624935256041,0.470114047517,27,84,240,215,29,26,173,318,307,72,25,474,675,1084,319,2558,7485,16707,15401,5263
1996-12-10,1996-09-10,1997-04-30,0.392787745866,0.336956606752,0.166348020896,0.427062115012,0.57502241247,0.547658348524,0.299684871236,0.687489689562,84,240,215,29,24,173,318,307,72,40,474,675,1084,319,41,7485,16707,15401,5263,2766
1997-04-30,1996-12-10,1997-06-09,0.584408480088,0.156510040575,0.306856138214,0.47951162033,0.756961064533,0.312711585174,0.58850755813,0.726652070419,240,215,29,24,143,318,307,72,40,145,675,1084,319,41,64,16707,15401,5263,2766,8589
1997-06-09,1997-04-30,1997-09-16,0.530134409367,0.341103444327,0.312801883201,0.30557138921,0.766849422684,0.620298231465,0.507023747868,0.543568663909,215,29,24,143,60,307,72,40,145,157,1084,319,41,64,574,15401,5263,2766,8589,8097
1997-09-16,1997-06-09,1997-12-17,0.499851980943,0.462444814681,0.40533885274,0.56929103036,0.75735137339,0.717666823038,0.694765644723,0.802308653016,29,24,143,60,63,72,40,145,157,129,319,41,64,574,327,5263,2766,8589,8097,6351
