filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1998-11-16,1998-08-14,1999-03-31,0.162426374407,0.178467888524,0.158297114774,0.899914400338,0.311568025871,0.304568889474,0.310171838146,0.951673506895,88,14,27,279,233,114,26,56,1198,1014,157,19,66,2363,2220,10874,3075,4977,33274,29742
1999-03-31,1998-11-16,1999-05-17,0.475822894316,0.533317680718,0.242511579472,0.193565209134,0.733357821377,0.804499110177,0.419504240956,0.341073121084,14,27,279,233,133,26,56,1198,1014,167,19,66,2363,2220,155,3075,4977,33274,29742,11988
1999-05-17,1999-03-31,1999-08-16,0.419809510988,0.233124379373,0.193715641956,0.590937687775,0.725013989662,0.416509999025,0.344037628486,0.812664737869,27,279,233,133,20,56,1198,1014,167,56,66,2363,2220,155,37,4977,33274,29742,11988,4483
1999-08-16,1999-05-17,1999-11-15,0.23238927056,0.180524244833,0.567894206791,0.775978291923,0.401241425659,0.321791702309,0.781402647838,0.900208009918,279,233,133,20,19,1198,1014,167,56,54,2363,2220,155,37,36,33274,29742,11988,4483,4548
1999-11-15,1999-08-16,2000-03-30,0.200740344638,0.551628485399,0.724896351829,0.785862004283,0.357476954664,0.782667413054,0.880815473381,0.894122199998,233,133,20,19,28,1014,167,56,54,72,2220,155,37,36,51,29742,11988,4483,4548,5045
2000-03-30,1999-11-15,2000-05-15,0.380989602714,0.307767268061,0.30571980352,0.352767345892,0.596190327029,0.55364106683,0.532555638517,0.598721366783,133,20,19,28,451,167,56,54,72,1007,155,37,36,51,1964,11988,4483,4548,5045,37734
2000-05-15,2000-03-30,2000-08-14,0.529280288064,0.515574367874,0.590467089981,0.367004839429,0.81421278037,0.787872281979,0.832608872954,0.579066190624,20,19,28,451,31,56,54,72,1007,26,37,36,51,1964,35,4483,4548,5045,37734,3617
2000-08-14,2000-05-15,2000-11-14,0.598503524027,0.581817573145,0.366706781279,0.816030370084,0.850843765339,0.829929701594,0.577709591888,0.919029021241,19,28,451,31,32,54,72,1007,26,29,36,51,1964,35,37,4548,5045,37734,3617,4151
2000-11-14,2000-08-14,2001-04-02,0.347205671784,0.384016908292,0.409916533746,0.444494452094,0.556823223782,0.622535704436,0.569432681577,0.602791916766,28,451,31,32,82,72,1007,26,29,209,51,1964,35,37,510,5045,37734,3617,4151,10412
2001-04-02,2000-11-14,2001-05-15,0.464849496579,0.483090609052,0.49364038142,0.725297645385,0.692774502776,0.686533697874,0.694543659236,0.808129298808,451,31,32,82,182,1007,26,29,209,330,1964,35,37,510,517,37734,3617,4151,10412,18452
