filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1998-08-13,1998-05-08,1998-11-13,0.226013600805,0.351114969259,0.539508083002,0.813615278328,0.44507278958,0.567330027081,0.738794461322,0.904171237631,4,258,309,52,58,10,602,664,152,170,13,1536,629,115,119,1194,21273,30661,5840,6210
1998-11-13,1998-08-13,1999-03-23,0.37419286243,0.503969599494,0.708456644458,0.745551030398,0.601497649737,0.734950876049,0.883845031803,0.889943644577,258,309,52,58,55,602,664,152,170,208,1536,629,115,119,129,21273,30661,5840,6210,6455
1999-03-23,1998-11-13,1999-05-10,0.566753707765,0.38643438733,0.36584324657,0.360354497736,0.8255290383,0.687860297851,0.652244250439,0.657453823136,309,52,58,55,507,664,152,170,208,1452,629,115,119,129,2576,30661,5840,6210,6455,60508
1999-05-10,1999-03-23,1999-08-11,0.694173738941,0.630907970872,0.651683704279,0.38143539918,0.897415781648,0.831282600966,0.845100465106,0.663328916776,52,58,55,507,70,152,170,208,1452,244,115,119,129,2576,194,5840,6210,6455,60508,7841
1999-08-11,1999-05-10,1999-11-10,0.725959012958,0.637270508023,0.377015835967,0.795487524573,0.906486352735,0.839327470421,0.656944763767,0.890268728329,58,55,507,70,75,170,208,1452,244,317,119,129,2576,194,230,6210,6455,60508,7841,9889
1999-11-10,1999-08-11,2000-03-02,0.718265625419,0.367174111473,0.755076741974,0.811261071423,0.902964049724,0.648703233408,0.88360281107,0.904610867863,55,507,70,75,83,208,1452,244,317,360,129,2576,194,230,230,6455,60508,7841,9889,9995
2000-03-02,1999-11-10,2000-03-23,0.578394613703,0.639005351073,0.650371429065,0.653422909956,0.818978485189,0.822154898454,0.81981529261,0.819412934867,507,70,75,83,224,1452,244,317,360,655,2576,194,230,230,425,60508,7841,9889,9995,25000
2000-03-23,2000-03-02,2000-05-11,0.204625589488,0.219611813851,0.218663875626,0.346258002795,0.43331377787,0.424894770218,0.427489459115,0.563775578274,70,75,83,224,25,244,317,360,655,40,194,230,230,425,55,7841,9889,9995,25000,3746
2000-05-11,2000-03-23,2000-08-10,0.473439894013,0.468133630454,0.495055166153,0.210144128725,0.70395659552,0.701254520224,0.725759047717,0.471732433255,75,83,224,25,112,317,360,655,40,361,230,230,425,55,646,9889,9995,25000,3746,16454
2000-08-10,2000-05-11,2000-11-14,0.275544994248,0.282831424361,0.117241038374,0.357801062162,0.486435629217,0.483211281012,0.302844158729,0.598650527544,83,224,25,112,351,360,655,40,361,758,230,425,55,646,1279,9995,25000,3746,16454,24473
2000-11-14,2000-08-10,2000-11-15,0.62650615653,0.223713056696,0.499124591342,0.324156515516,0.809112662705,0.434045776956,0.71407673886,0.512550972731,224,25,112,351,97,655,40,361,758,249,425,55,646,1279,169,25000,3746,16454,24473,8766
2000-11-15,2000-11-14,2001-02-27,0.15280836396,0.127139324382,0.0748794245692,0.15992018922,0.334669581585,0.24431358962,0.172296088173,0.248058068935,25,112,351,97,2,40,361,758,249,0,55,646,1279,169,8,3746,16454,24473,8766,261
2001-02-27,2000-11-15,2001-05-14,0.494395004021,0.292233563166,0.629962349355,0.146716585164,0.728379663312,0.499976661154,0.810200829351,0.239106395658,112,351,97,2,242,361,758,249,0,683,646,1279,169,8,536,16454,24473,8766,261,24316
2001-05-14,2001-02-27,2001-08-07,0.265722608546,0.664650581949,0.148215065514,0.628920068575,0.474228684218,0.845444501689,0.244292258413,0.817103577033,351,97,2,242,96,758,249,0,683,153,1279,169,8,536,92,24473,8766,261,24316,6543
2001-08-07,2001-05-14,2001-10-26,0.669266221545,0.126703451764,0.599733827436,0.72926409658,0.856714907595,0.213819699958,0.794402959817,0.87248873803,97,2,242,96,128,249,0,683,153,228,169,8,536,92,100,8766,261,24316,6543,9172
2001-10-26,2001-08-07,2002-03-07,0.163378062116,0.603809392976,0.693446668504,0.752043781917,0.259235324042,0.792933128576,0.860010540925,0.882283060178,2,242,96,128,119,0,683,153,228,195,8,536,92,100,101,261,24316,6543,9172,8684
2002-03-07,2001-10-26,2002-05-14,0.88407605043,0.657435815863,0.637055958467,0.658066840544,0.966405312334,0.826899228153,0.808064796994,0.813289049538,242,96,128,119,284,683,153,228,195,662,536,92,100,101,382,24316,6543,9172,8684,25867
2002-05-14,2002-03-07,2002-08-02,0.527079053933,0.459859863415,0.479102960094,0.532674655149,0.773861729304,0.709569914529,0.726606670699,0.759215784475,96,128,119,284,137,153,228,195,662,341,92,100,101,382,566,6543,9172,8684,25867,15717
2002-08-02,2002-05-14,2002-10-31,0.756995589797,0.68055201773,0.68031614685,0.557646421954,0.926634384362,0.865671692091,0.838838632338,0.771634838019,128,119,284,137,119,228,195,662,341,220,100,101,382,566,156,9172,8684,25867,15717,9139
2002-10-31,2002-08-02,2003-02-21,0.787082460431,0.666484083746,0.527577201589,0.796990418601,0.94165485077,0.829770903835,0.755909510846,0.905891095404,119,284,137,119,148,195,662,341,220,277,101,382,566,156,156,8684,25867,15717,9139,10239
2003-02-21,2002-10-31,2003-04-30,0.799296269479,0.499424451015,0.585865646386,0.590501147272,0.907327598972,0.743894220408,0.77059324216,0.769798010266,284,137,119,148,405,662,341,220,277,846,382,566,156,156,827,25867,15717,9139,10239,35876
2003-04-30,2003-02-21,2003-07-31,0.563732449865,0.694110355936,0.705003409749,0.587059535562,0.793337762937,0.862323254745,0.865058329276,0.76901624573,137,119,148,405,96,341,220,277,846,238,566,156,156,827,158,15717,9139,10239,35876,8740
2003-07-31,2003-04-30,2003-10-31,0.799868059342,0.700663954976,0.560879763419,0.801575567685,0.930436136888,0.864526414625,0.743491575501,0.898914646131,119,148,405,96,99,220,277,846,238,247,156,156,827,158,156,9139,10239,35876,8740,9349
2003-10-31,2003-07-31,2004-02-03,0.771683926596,0.540503959775,0.742893656223,0.78650383248,0.922901011243,0.74044853053,0.881937122099,0.900675696729,148,405,96,99,131,277,846,238,247,309,156,827,158,156,194,10239,35876,8740,9349,11051
2004-02-03,2003-10-31,2004-05-07,0.636063690076,0.519014293542,0.504994782144,0.501585206647,0.827006863451,0.721429835978,0.702905166031,0.703802015405,405,96,99,131,542,846,238,247,309,1072,827,158,156,194,1833,35876,8740,9349,11051,46579
2004-05-07,2004-02-03,2004-08-04,0.783638502688,0.710726165702,0.694881840046,0.515218214208,0.939621891369,0.874239049547,0.869468034421,0.731148223807,96,99,131,542,88,238,247,309,1072,205,158,156,194,1833,167,8740,9349,11051,46579,10047
2004-08-04,2004-05-07,2004-11-05,0.366266811136,0.313896222132,0.851511899388,0.36769938972,0.556705701728,0.510268674854,0.861776625125,0.538938698797,99,131,542,88,301,247,309,1072,205,709,156,194,1833,167,1733,9349,11051,46579,10047,31120
2004-11-05,2004-08-04,2005-02-22,0.712455336655,0.499368610654,0.692269050978,0.360666986191,0.892143836985,0.714653419232,0.852013911145,0.540449800875,131,542,88,301,108,309,1072,205,709,252,194,1833,167,1733,202,11051,46579,10047,31120,12626
2005-02-22,2004-11-05,2005-03-10,0.497802099107,0.413526658734,0.348334014454,0.440469241591,0.730264235735,0.637254315027,0.574424451511,0.649313483645,542,88,301,108,838,1072,205,709,252,2438,1833,167,1733,202,2868,46579,10047,31120,12626,66106
2005-03-10,2005-02-22,2005-05-06,0.247966805626,0.151836147512,0.232780863615,0.198999360434,0.391960817931,0.299130880169,0.378423047732,0.359938853654,88,301,108,838,5,205,709,252,2438,25,167,1733,202,2868,30,10047,31120,12626,66106,1327
2005-05-06,2005-03-10,2005-08-05,0.354090662273,0.379639472491,0.401975233644,0.189119928817,0.617756726018,0.623720334725,0.682604715468,0.370269507619,301,108,838,5,312,709,252,2438,25,924,1733,202,2868,30,1490,31120,12626,66106,1327,27377
2005-08-05,2005-05-06,2005-11-08,0.65987067242,0.414540084463,0.250722966453,0.418333363595,0.835280119818,0.621183000265,0.381167488318,0.632787931899,108,838,5,312,92,252,2438,25,924,333,202,2868,30,1490,209,12626,66106,1327,27377,11369
