filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-05-07,1997-02-10,1997-08-06,0.601972906385,0.569150136528,0.534369727975,0.724328757607,0.87308780038,0.844772930685,0.765660512922,0.88962017385,29,24,236,28,41,61,51,417,100,180,59,51,397,79,132,3982,3612,19458,3692,5420
1997-08-06,1997-05-07,1997-12-03,0.592277423615,0.539950024613,0.700213870506,0.83387961332,0.869417381524,0.772800321432,0.897066920016,0.947202550185,24,236,28,41,49,51,417,100,180,191,51,397,79,132,143,3612,19458,3692,5420,5560
1997-12-03,1997-08-06,1998-02-11,0.801017251489,0.573530968919,0.625428483234,0.665720412861,0.935374043657,0.792282388138,0.814424551924,0.836400008108,236,28,41,49,248,417,100,180,191,555,397,79,132,143,373,19458,3692,5420,5560,19945
1998-02-11,1997-12-03,1998-04-24,0.610932342979,0.608976211523,0.658803526687,0.654827885475,0.886163430783,0.852903628904,0.8821623694,0.842024568252,28,41,49,248,47,100,180,191,555,171,79,132,143,373,96,3692,5420,5560,19945,4880
1998-04-24,1998-02-11,1998-07-27,0.177914366172,0.17647287324,0.175338369767,0.193751810634,0.371965462878,0.368641308753,0.347272249098,0.37813483389,41,49,248,47,342,180,191,555,171,692,132,143,373,96,1515,5420,5560,19945,4880,25871
1998-07-27,1998-04-24,1998-11-18,0.622337846363,0.551768780305,0.629973841866,0.20441263076,0.894050803434,0.776866440418,0.868542803987,0.399118920018,49,248,47,342,46,191,555,171,692,112,143,373,96,1515,89,5560,19945,4880,25871,5386
1998-11-18,1998-07-27,1998-11-23,0.226634517877,0.133703485181,0.0647665182801,0.145220588358,0.358016951246,0.29039844091,0.195112598948,0.311488144781,248,47,342,46,4,555,171,692,112,20,373,96,1515,89,59,19945,4880,25871,5386,1213
1998-11-23,1998-11-18,1998-12-01,0.545898781997,0.183037055868,0.578851173135,0.235108139192,0.791945321027,0.37112531722,0.788002579413,0.377819292513,47,342,46,4,270,171,692,112,20,515,96,1515,89,59,291,4880,25871,5386,1213,20553
1998-12-01,1998-11-23,1999-01-26,0.065846692202,0.147687542626,0.996291251777,0.238899780466,0.195937612304,0.312888647663,0.999233333381,0.378817838588,342,46,4,270,4,692,112,20,515,20,1515,89,59,291,57,25871,5386,1213,20553,1207
1999-01-26,1998-12-01,1999-05-11,0.609611146998,0.152670117066,0.674832490391,0.155181079884,0.865572508209,0.329352162762,0.870399050299,0.330624880183,46,4,270,4,55,112,20,515,20,199,89,59,291,57,101,5386,1213,20553,1207,6149
