filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2015-08-05,2015-05-27,2015-11-12,0.727081492785,0.713815759568,0.816971811559,0.825606926801,0.812816900728,0.8097503446,0.904106332663,0.900924857959,25,31,319,1183,417,97,114,567,2531,985,285,272,1041,2710,1848,8817,8538,35736,116135,43937
2015-11-12,2015-08-05,2016-02-10,0.64236652399,0.724125164212,0.733268862527,0.774442897626,0.765133254101,0.847883013073,0.84882651428,0.888346049229,31,319,1183,417,524,114,567,2531,985,1560,272,1041,2710,1848,2760,8538,35736,116135,43937,60424
2016-02-10,2015-11-12,2016-04-26,0.881964614447,0.863699866112,0.849519422898,0.767058710464,0.945777043093,0.919838105251,0.909699469474,0.861827452183,319,1183,417,524,269,567,2531,985,1560,673,1041,2710,1848,2760,869,35736,116135,43937,60424,34819
2016-04-26,2016-02-10,2016-05-31,0.173127986499,0.254169650908,0.697255538258,0.120750725732,0.248190612435,0.341989068781,0.631615919659,0.176926150939,1183,417,524,269,300,2531,985,1560,673,1068,2710,1848,2760,869,1972,116135,43937,60424,34819,29733
2016-05-31,2016-04-26,2016-08-05,0.892185019306,0.766817692004,0.862714231968,0.239382564981,0.937608058464,0.875420337658,0.909280041599,0.327382332069,417,524,269,300,1391,985,1560,673,1068,3237,1848,2760,869,1972,4069,43937,60424,34819,29733,136865
2016-08-05,2016-05-31,2016-11-07,0.756186445997,0.940574379036,0.131355496848,0.873309269372,0.853893105249,0.97008831732,0.188488231048,0.912845862319,524,269,300,1391,277,1560,673,1068,3237,912,2760,869,1972,4069,1242,60424,34819,29733,136865,45082
2016-11-07,2016-08-05,2017-02-02,0.924183177984,0.145594213456,0.859936270819,0.961816031002,0.961440052061,0.202631701504,0.908548823087,0.98484559431,269,300,1391,277,332,673,1068,3237,912,961,869,1972,4069,1242,1446,34819,29733,136865,45082,47943
2017-02-02,2016-11-07,2017-05-23,0.108922032712,0.844711891248,0.967598866738,0.962754456121,0.160168360666,0.891631561663,0.98675401398,0.98409249199,300,1391,277,332,275,1068,3237,912,961,863,1972,4069,1242,1446,1066,29733,136865,45082,47943,42695
2017-05-23,2017-02-02,2017-08-03,0.946316895544,0.917067081218,0.909785740589,0.911906961481,0.970206832311,0.949019687972,0.946214043048,0.942632220245,1391,277,332,275,1111,3237,912,961,863,2493,4069,1242,1446,1066,2465,136865,45082,47943,42695,118841
2017-08-03,2017-05-23,2017-11-03,0.963255337899,0.93588991107,0.947822850266,0.900635318008,0.982177230129,0.970782718963,0.976494972213,0.940720325852,277,332,275,1111,225,912,961,863,2493,724,1242,1446,1066,2465,812,45082,47943,42695,118841,37367
