filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2001-03-19,2000-11-07,2001-05-10,0.265360873701,0.138717486044,0.234486310106,0.121178557557,0.733414209932,0.430630128115,0.6110811636,0.381357646876,512,39,96,46,408,2428,185,601,220,2016,3538,65,804,83,2849,55177,4444,11949,5795,44230
2001-05-10,2001-03-19,2001-08-09,0.731167607566,0.406011622076,0.458967959955,0.158679425793,0.89985439113,0.673052424003,0.692283738367,0.494012871768,39,96,46,408,55,185,601,220,2016,188,65,804,83,2849,140,4444,11949,5795,44230,5714
2001-08-09,2001-05-10,2001-10-26,0.642254230452,0.509428642608,0.132396667923,0.533794211355,0.801804130022,0.73441616758,0.398826281565,0.715824691729,96,46,408,55,55,601,220,2016,188,234,804,83,2849,140,72,11949,5795,44230,5714,6089
2001-10-26,2001-08-09,2001-10-30,0.880378607232,0.130512473486,0.502850749243,0.571236616678,0.962624634414,0.402599332025,0.70335121687,0.751231694827,46,408,55,55,49,220,2016,188,234,278,83,2849,140,72,70,5795,44230,5714,6089,6351
2001-10-30,2001-10-26,2002-03-19,0.146203435649,0.545790908521,0.533078164917,0.802232989106,0.443156132374,0.736035032767,0.692903256565,0.854645966517,408,55,55,49,17,2016,188,234,278,108,2849,140,72,70,41,44230,5714,6089,6351,2784
2002-03-19,2001-10-30,2002-05-07,0.495708154581,0.467647506202,0.478149252258,0.508990347163,0.685902038488,0.609136493722,0.624033565181,0.661584240051,55,55,49,17,293,188,234,278,108,895,140,72,70,41,492,5714,6089,6351,2784,23414
2002-05-07,2002-03-19,2002-08-13,0.559096143807,0.53811518979,0.5601703907,0.527753304295,0.747350931544,0.738042501417,0.737109196796,0.671222729095,55,49,17,293,37,234,278,108,895,138,72,70,41,492,61,6089,6351,2784,23414,4506
2002-08-13,2002-05-07,2002-08-14,0.51916662305,0.47608915368,0.454752676894,0.5920291604,0.731646244328,0.662572053731,0.59283303494,0.754512449698,49,17,293,37,60,278,108,895,138,197,70,41,492,61,65,6351,2784,23414,4506,6143
2002-08-14,2002-08-13,2002-11-01,0.47650570599,0.456255574839,0.592404573123,0.998873515639,0.66318527219,0.594832868507,0.755031981338,0.999813314935,17,293,37,60,60,108,895,138,197,199,41,492,61,65,65,2784,23414,4506,6143,6170
2002-11-01,2002-08-14,2003-03-17,0.468708599021,0.558109281492,0.554376956062,0.55599864888,0.624771591074,0.744334592062,0.742060061182,0.742965663435,293,37,60,60,62,895,138,197,199,314,492,61,65,65,102,23414,4506,6143,6170,7582
