filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-04-28,1997-03-25,1997-05-15,0.213797523045,0.144820738039,0.138103038745,0.136345580127,0.492099466382,0.34187053855,0.336130520734,0.333270606068,31,286,323,322,39,51,764,1159,1649,35,144,1506,1854,1985,27,3978,25179,27757,36475,2886
1997-05-15,1997-04-28,1997-08-11,0.344423167179,0.769979732156,0.789773765465,0.0674101931129,0.46683679711,0.850380004415,0.904438025564,0.17206756948,286,323,322,39,466,764,1159,1649,35,2048,1506,1854,1985,27,2909,25179,27757,36475,2886,44430
1997-08-11,1997-05-15,1997-11-13,0.765139343534,0.616452680138,0.19370529767,0.590791408524,0.851677991874,0.70723208855,0.433981612003,0.63206126196,323,322,39,466,221,1159,1649,35,2048,601,1854,1985,27,2909,1235,27757,36475,2886,44430,20264
1997-11-13,1997-08-11,1998-03-24,0.723710378512,0.0822532399856,0.704493989729,0.57063514452,0.891271636815,0.220700851934,0.888104981716,0.686691798132,322,39,466,221,248,1649,35,2048,601,1333,1985,27,2909,1235,1914,36475,2886,44430,20264,26616
1998-03-24,1997-11-13,1998-05-15,0.247008844371,0.148160238233,0.280358618925,0.159302418711,0.555542175545,0.26096987009,0.453711652404,0.299292424628,39,466,221,248,70,35,2048,601,1333,92,27,2909,1235,1914,90,2886,44430,20264,26616,10597
1998-05-15,1998-03-24,1998-08-14,0.618798681015,0.493318873224,0.492948078405,0.174564817379,0.724474236527,0.583325844493,0.671447894621,0.293958388112,466,221,248,70,290,2048,601,1333,92,1463,2909,1235,1914,90,2606,44430,20264,26616,10597,40482
1998-08-14,1998-05-15,1998-11-16,0.35915579472,0.21032895462,0.332739370332,0.239664892595,0.578632058226,0.382287685549,0.598472298502,0.388168241597,221,248,70,290,81,601,1333,92,1463,284,1235,1914,90,2606,552,20264,26616,10597,40482,10821
1998-11-16,1998-08-14,1999-03-15,0.130184703771,0.458045927536,0.157499024336,0.370223673773,0.268956512529,0.747341694623,0.26878236195,0.570982103472,248,70,290,81,50,1333,92,1463,284,44,1914,90,2606,552,26,26616,10597,40482,10821,5733
1999-03-15,1998-11-16,1999-05-17,0.288470680572,0.944108695398,0.276972379166,0.222371505474,0.438486137652,0.969846813558,0.468867156266,0.377895490904,70,290,81,50,437,92,1463,284,44,1799,90,2606,552,26,3156,10597,40482,10821,5733,58481
1999-05-17,1999-03-15,1999-08-11,0.242843617839,0.369066592354,0.477816725546,0.323248726324,0.403596096011,0.674659255402,0.762473859674,0.510460274064,290,81,50,437,63,1463,284,44,1799,120,2606,552,26,3156,150,40482,10821,5733,58481,6572
1999-08-11,1999-05-17,1999-11-08,0.458849151298,0.214961610216,0.416689723087,0.38434139454,0.738310929052,0.381281778476,0.562357486962,0.560588536897,81,50,437,63,239,284,44,1799,120,868,552,26,3156,150,1477,10821,5733,58481,6572,26780
1999-11-08,1999-08-11,2000-03-17,0.190757901723,0.233202469182,0.315157936465,0.678744607044,0.288208036477,0.311494871673,0.427190495252,0.819459085379,50,437,63,239,176,44,1799,120,868,755,26,3156,150,1477,1238,5733,58481,6572,26780,27842
2000-03-17,1999-11-08,2000-05-10,0.358458264133,0.324831274341,0.627406521296,0.822555098813,0.453709350327,0.461309100293,0.772614253804,0.858278637781,437,63,239,176,693,1799,120,868,755,2107,3156,150,1477,1238,4222,58481,6572,26780,27842,83071
2000-05-10,2000-03-17,2000-08-14,0.662253270227,0.305292869407,0.260800793084,0.245175800084,0.858109871106,0.444945489161,0.349850526462,0.344416958536,63,239,176,693,21,120,868,755,2107,23,150,1477,1238,4222,20,6572,26780,27842,83071,3797
2000-08-14,2000-05-10,2000-11-07,0.622172968631,0.841367144691,0.990527673933,0.20346086055,0.764670462696,0.870621405455,0.995511822667,0.298820140929,239,176,693,21,607,868,755,2107,23,2116,1477,1238,4222,20,4210,26780,27842,83071,3797,75546
2000-11-07,2000-08-14,2001-03-19,0.782196873804,0.942067820625,0.207798512914,0.944865741105,0.829521966689,0.971168486666,0.313506689818,0.97071391239,176,693,21,607,817,755,2107,23,2116,3033,1238,4222,20,4210,5950,27842,83071,3797,75546,104253
2001-03-19,2000-11-07,2001-05-15,0.835838324941,0.252251336436,0.838355755607,0.792946428508,0.865140243552,0.369283748087,0.868047674574,0.840499751986,693,21,607,817,470,2107,23,2116,3033,1282,4222,20,4210,5950,2383,83071,3797,75546,104253,53924
2001-05-15,2001-03-19,2001-08-14,0.608046620244,0.183463012372,0.192118692198,0.228623302192,0.818825082035,0.266841160705,0.285419362596,0.322969724613,21,607,817,470,31,23,2116,3033,1282,17,20,4210,5950,2383,15,3797,75546,104253,53924,3660
2001-08-14,2001-05-15,2001-11-13,0.282804635675,0.525862769868,0.250631213703,0.239510757955,0.377797821778,0.573992314094,0.338228967214,0.355397812375,607,817,470,31,222,2116,3033,1282,17,784,4210,5950,2383,15,1496,75546,104253,53924,3660,28221
2001-11-13,2001-08-14,2002-03-22,0.201501639678,0.230900616865,0.853764232226,0.240388762213,0.296968041277,0.326841645119,0.925516980489,0.350743632194,817,470,31,222,31,3033,1282,17,784,31,5950,2383,15,1496,14,104253,53924,3660,28221,4343
2002-03-22,2001-11-13,2002-04-15,0.966993402433,0.231591223735,0.255305574617,0.235604847449,0.990157250484,0.332420733172,0.350152460064,0.335707160752,470,31,222,31,559,1282,17,784,31,1513,2383,15,1496,14,2580,53924,3660,28221,4343,56431
2002-04-15,2002-03-22,2002-05-15,0.275009910172,0.225331264739,0.273697235687,0.475427581775,0.470480126697,0.399489397673,0.463112757733,0.536282802732,31,222,31,559,175,17,784,31,1513,473,15,1496,14,2580,651,3660,28221,4343,56431,15129
2002-05-15,2002-04-15,2002-08-13,0.211938162093,0.692919270348,0.259401975492,0.314750975782,0.344008263267,0.870443161506,0.362092694435,0.501628463309,222,31,559,175,55,784,31,1513,473,54,1496,14,2580,651,27,28221,4343,56431,15129,4684
2002-08-13,2002-05-15,2002-11-13,0.692243540295,0.247941590656,0.295738200222,0.820896270162,0.869254367733,0.347209312577,0.477080682663,0.920423776703,31,559,175,55,77,31,1513,473,54,108,14,2580,651,27,30,4343,56431,15129,4684,5960
2002-11-13,2002-08-13,2003-03-18,0.240979476628,0.291807301212,0.754384803282,0.836296169642,0.344660820739,0.484280242233,0.888777049875,0.92528556136,559,175,55,77,83,1513,473,54,108,144,2580,651,27,30,36,56431,15129,4684,5960,7018
2003-03-18,2002-11-13,2003-05-15,0.32975933265,0.504400077471,0.522542598878,0.554490210845,0.570835340192,0.773438248541,0.772810990326,0.795462813424,175,55,77,83,209,473,54,108,144,202,651,27,30,36,114,15129,4684,5960,7018,16059
2003-05-15,2003-03-18,2003-08-12,0.691054916184,0.648841429561,0.742023691075,0.549662059561,0.874194303908,0.84393938817,0.896799494932,0.808876227824,55,77,83,209,47,54,108,144,202,102,27,30,36,114,22,4684,5960,7018,16059,6004
2003-08-12,2003-05-15,2003-11-14,0.657828232233,0.613205487148,0.481645375981,0.692150113749,0.85715665115,0.83914229203,0.7706191578,0.870999256871,77,83,209,47,73,108,144,202,102,178,30,36,114,22,208,5960,7018,16059,6004,9396
2003-11-14,2003-08-12,2004-03-12,0.734632357373,0.526532649038,0.761963462251,0.737461771201,0.911497041415,0.790911390992,0.899692560859,0.875670748912,83,209,47,73,63,144,202,102,178,149,36,114,22,208,40,7018,16059,6004,9396,8231
2004-03-12,2003-11-14,2004-05-10,0.229755537434,0.265885946773,0.285587552339,0.286391543793,0.353642683695,0.385209590655,0.408130821764,0.392795822076,209,47,73,63,731,202,102,178,149,2776,114,22,208,40,4405,16059,6004,9396,8231,93698
2004-05-10,2004-03-12,2004-08-06,0.260974247108,0.396156884858,0.261652778338,0.272314257229,0.412093781058,0.526651707758,0.401405865152,0.370020866972,47,73,63,731,249,102,178,149,2776,917,22,208,40,4405,1602,6004,9396,8231,93698,31921
2004-08-06,2004-05-10,2004-11-05,0.701383065649,0.751839494372,0.261945702758,0.282203348009,0.883956247259,0.909190097672,0.355509095149,0.413729653899,73,63,731,249,81,178,149,2776,917,163,208,40,4405,1602,53,9396,8231,93698,31921,9216
2004-11-05,2004-08-06,2005-03-16,0.611379063364,0.353189700596,0.345090656777,0.639004992771,0.765143075633,0.459086535745,0.489449977173,0.761133438847,63,731,249,81,118,149,2776,917,163,262,40,4405,1602,53,387,8231,93698,31921,9216,14311
2005-03-16,2004-11-05,2005-05-10,0.260396066287,0.216472763038,0.593298368235,0.464798837714,0.358786697343,0.369007726012,0.80363439223,0.663935810691,731,249,81,118,167,2776,917,163,262,243,4405,1602,53,387,138,93698,31921,9216,14311,19441
2005-05-10,2005-03-16,2005-08-08,0.294932471638,0.253135476218,0.288550542491,0.222443040082,0.548394226239,0.462814679229,0.508757152327,0.438398383373,249,81,118,167,258,917,163,262,243,1703,1602,53,387,138,2275,31921,9216,14311,19441,35061
2005-08-08,2005-05-10,2005-11-09,0.385430520213,0.423147445002,0.343910672667,0.385238509495,0.554360788489,0.602712410729,0.543987296134,0.679451214112,81,118,167,258,363,163,262,243,1703,1366,53,387,138,2275,2465,9216,14311,19441,35061,47352
2005-11-09,2005-08-08,2006-03-10,0.600428260156,0.600599819347,0.276008669992,0.421340214304,0.756466954963,0.819422245839,0.478890710159,0.571578910455,118,167,258,363,111,262,243,1703,1366,244,387,138,2275,2465,78,14311,19441,35061,47352,13305
2006-03-10,2005-11-09,2006-05-08,0.869479549757,0.25154981154,0.412085020723,0.608898121107,0.952290501023,0.495742201433,0.630636281949,0.806188274452,167,258,363,111,288,243,1703,1366,244,602,138,2275,2465,78,519,19441,35061,47352,13305,29308
2006-05-08,2006-03-10,2006-08-04,0.357834853547,0.536076035403,0.620219851594,0.528873778196,0.6082390649,0.720474448384,0.751515088455,0.738577824615,258,363,111,288,174,1703,1366,244,602,370,2275,2465,78,519,656,35061,47352,13305,29308,19234
2006-08-04,2006-05-08,2006-11-08,0.420966495932,0.802933847931,0.588207956605,0.638319477138,0.580045561615,0.921149398293,0.796077904762,0.755925391943,363,111,288,174,123,1366,244,602,370,213,2465,78,519,656,75,47352,13305,29308,19234,12832
2006-11-08,2006-08-04,2007-02-27,0.883776608488,0.589259074707,0.628233191352,0.876789490149,0.972736828095,0.796581816397,0.748488482187,0.937240457905,111,288,174,123,125,244,602,370,213,213,78,519,656,75,79,13305,29308,19234,12832,13144
2007-02-27,2006-11-08,2007-05-09,0.657644511863,0.492046371006,0.486621419941,0.494726194395,0.805935084237,0.682250459303,0.653183566519,0.655344207717,288,174,123,125,479,602,370,213,213,870,519,656,75,79,1264,29308,19234,12832,13144,44495
2007-05-09,2007-02-27,2007-08-07,0.451358375063,0.31444472305,0.317634271278,0.60859649773,0.613895047669,0.447098169037,0.447067146589,0.713362006521,174,123,125,479,468,370,213,213,870,1481,656,75,79,1264,2692,19234,12832,13144,44495,53011
