filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-05-30,1997-05-09,1997-08-13,0.210387561245,0.139070440821,0.298752020126,0.182247705794,0.432648727579,0.329921525813,0.489736576139,0.383720811639,234,53,442,42,7,574,159,759,87,8,1493,172,1106,30,20,22113,5465,26331,2492,821
1997-08-13,1997-05-30,1997-11-14,0.279050817333,0.706717312578,0.297026194914,0.206356055857,0.554187703751,0.855391646306,0.504458382139,0.41413926979,53,442,42,7,400,159,759,87,8,731,172,1106,30,20,1378,5465,26331,2492,821,24594
1997-11-14,1997-08-13,1998-03-26,0.488834638814,0.528634953888,0.202576788099,0.470400037487,0.77217284697,0.786198538739,0.427236479255,0.665453108893,442,42,7,400,98,759,87,8,731,142,1106,30,20,1378,95,26331,2492,821,24594,4616
1998-03-26,1997-11-14,1998-05-14,0.508372091463,0.376828437349,0.429147398617,0.502951244873,0.767798437568,0.552090768797,0.669363423489,0.772440827506,42,7,400,98,318,87,8,731,142,498,30,20,1378,95,526,2492,821,24594,4616,18220
1998-05-14,1998-03-26,1998-08-14,0.187648236064,0.291848167016,0.499426171052,0.561963383734,0.384957132684,0.509738485973,0.771598880363,0.786153854758,7,400,98,318,42,8,731,142,498,103,20,1378,95,526,31,821,24594,4616,18220,2924
1998-08-14,1998-05-14,1998-11-05,0.2904532861,0.472785959756,0.521385255025,0.759783218228,0.504598268832,0.764079660088,0.760161294202,0.892843704294,400,98,318,42,57,731,142,498,103,140,1378,95,526,31,35,24594,4616,18220,2924,3860
1998-11-05,1998-08-14,1999-03-29,0.525669065987,0.531235861952,0.77905366497,0.843841434374,0.817784439874,0.76939077836,0.910287950923,0.919871988723,98,318,42,57,58,142,498,103,140,134,95,526,31,35,34,4616,18220,2924,3860,3671
1999-03-29,1998-11-05,1999-05-14,0.843032442849,0.600083992244,0.590870384597,0.610687740739,0.955166313622,0.818426396609,0.798325122951,0.811466619343,318,42,57,58,263,498,103,140,134,378,526,31,35,34,254,18220,2924,3860,3671,14518
1999-05-14,1999-03-29,1999-08-05,0.793709295739,0.720614745089,0.767448026818,0.666612736933,0.94787742019,0.880578251616,0.905461138611,0.844801195137,42,57,58,263,59,103,140,134,378,154,31,35,34,254,32,2924,3860,3671,14518,3557
1999-08-05,1999-05-14,1999-11-09,0.762466638561,0.703748652433,0.62424573542,0.812994036163,0.938397930991,0.890883358117,0.836159007052,0.921512814439,57,58,263,59,70,140,134,378,154,187,35,34,254,32,44,3860,3671,14518,3557,4420
1999-11-09,1999-08-05,2000-03-06,0.727347422143,0.5820300838,0.756184179807,0.825252695759,0.928415822869,0.805867217873,0.906926040818,0.919288128076,58,263,59,70,76,134,378,154,187,196,34,254,32,44,40,3671,14518,3557,4420,4600
2000-03-06,1999-11-09,2000-05-12,0.849308860344,0.61831575862,0.612566521727,0.621032300007,0.967644077432,0.833163178908,0.830417242945,0.81757935438,263,59,70,76,265,378,154,187,196,393,254,32,44,40,153,14518,3557,4420,4600,15075
2000-05-12,2000-03-06,2000-08-11,0.691806683696,0.603350478309,0.635869803685,0.595006555928,0.904598371633,0.840599781797,0.866785155345,0.812558293197,59,70,76,265,62,154,187,196,393,142,32,44,40,153,42,3557,4420,4600,15075,4189
2000-08-11,2000-05-12,2000-11-14,0.647516577483,0.596995587758,0.584228416476,0.790659206615,0.876429026789,0.845761612886,0.808660798032,0.900387178797,70,76,265,62,70,187,196,393,142,151,44,40,153,42,47,4420,4600,15075,4189,5260
2000-11-14,2000-08-11,2001-03-02,0.62782750335,0.576100326139,0.766641382856,0.837806064246,0.884375455744,0.813001930997,0.901029805828,0.928567144459,76,265,62,70,86,196,393,142,151,160,40,153,42,47,47,4600,15075,4189,5260,5288
