filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2005-08-09,2005-05-09,2005-11-08,0.715886118435,0.807279717651,0.484752982523,0.830166433539,0.844131107596,0.904248347732,0.62358459391,0.900620576135,124,88,719,65,68,311,227,1491,233,238,454,85,2241,77,83,14963,10975,58358,10603,11492
2005-11-08,2005-08-09,2006-03-09,0.889027586217,0.462458462614,0.792223131114,0.81724101492,0.967697211335,0.614365525345,0.893466223233,0.90898980396,88,719,65,68,73,227,1491,233,238,266,85,2241,77,83,82,10975,58358,10603,11492,11039
2006-03-09,2005-11-08,2006-05-09,0.748295499409,0.65201178773,0.64086403448,0.636690351913,0.858338438672,0.798156280885,0.778513614906,0.781352808156,719,65,68,73,342,1491,233,238,266,886,2241,77,83,82,711,58358,10603,11492,11039,35970
2006-05-09,2006-03-09,2006-08-08,0.8693040205,0.75014744668,0.778514273245,0.646907645478,0.960350630874,0.869891998874,0.888887223467,0.800384391462,65,68,73,342,104,233,238,266,886,307,77,83,82,711,101,10603,11492,11039,35970,11749
2006-08-08,2006-05-09,2006-11-03,0.864646340521,0.776386661921,0.629370452422,0.826723653294,0.957655683184,0.895909695523,0.784404214353,0.899616689471,68,73,342,104,122,238,266,886,307,324,83,82,711,101,105,11492,11039,35970,11749,12937
2006-11-03,2006-08-08,2007-03-01,0.88806788413,0.629019659256,0.818928907435,0.845346236855,0.968784395982,0.789761824045,0.903175084017,0.913116576964,73,342,104,122,125,266,886,307,324,326,82,711,101,105,101,11039,35970,11749,12937,12794
2007-03-01,2006-11-03,2007-05-07,0.766955051267,0.60767978132,0.597425415095,0.597321470737,0.923352094465,0.769028278818,0.757271755569,0.761097971913,342,104,122,125,466,886,307,324,326,1005,711,101,105,101,1286,35970,11749,12937,12794,46458
2007-05-07,2007-03-01,2007-08-03,0.745495238879,0.679316998432,0.680310397931,0.659007829018,0.87522581375,0.820509269786,0.824627491293,0.813023211152,104,122,125,466,84,307,324,326,1005,256,101,105,101,1286,102,11749,12937,12794,46458,9989
2007-08-03,2007-05-07,2007-11-09,0.721916358115,0.647328752154,0.65240790447,0.813921323986,0.869085838367,0.813838156833,0.8192623891,0.914566810297,122,125,466,84,129,324,326,1005,256,342,105,101,1286,102,220,12937,12794,46458,9989,13138
2007-11-09,2007-08-03,2008-02-27,0.748148294725,0.641539755149,0.829266047094,0.813409066042,0.889244195242,0.807328908163,0.930066631766,0.920659017322,125,466,84,129,129,326,1005,256,342,316,101,1286,102,220,154,12794,46458,9989,13138,12187
2008-02-27,2007-11-09,2008-05-07,0.878367204122,0.712466551102,0.683372495788,0.70109714096,0.951457929447,0.845828093552,0.830834013267,0.843237154855,466,84,129,129,403,1005,256,342,316,1088,1286,102,220,154,729,46458,9989,13138,12187,42052
2008-05-07,2008-02-27,2008-08-07,0.829632523468,0.742814168536,0.775856276918,0.729896985983,0.937790914844,0.880528434294,0.904830614791,0.867245442222,84,129,129,403,142,256,342,316,1088,372,102,220,154,729,201,9989,13138,12187,42052,13442
