filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-10-31,1994-08-12,1995-01-04,0.583731872816,0.269470450826,0.260904918719,0.376092568659,0.706364066717,0.362863024576,0.404486904894,0.562787676031,69,10,4,46,76,151,58,7,148,172,576,275,11,510,577,11329,2865,1249,6799,8573
1995-01-04,1994-10-31,1995-03-08,0.249074185995,0.137774417473,0.285382010771,0.773162397506,0.37187933733,0.261422535309,0.456897435319,0.861313876997,10,4,46,76,16,58,7,148,172,32,275,11,510,577,150,2865,1249,6799,8573,1851
1995-03-08,1995-01-04,1995-05-09,0.356047719531,0.250447995736,0.464640605997,0.321738690077,0.530556776863,0.395526774612,0.563337564077,0.452532446897,4,46,76,16,48,7,148,172,32,71,11,510,577,150,191,1249,6799,8573,1851,6630
1995-05-09,1995-03-08,1995-08-04,0.193393150205,0.267937864387,0.160758170968,0.317494369063,0.392496382084,0.472864911085,0.344940967924,0.565569235176,46,76,16,48,14,148,172,32,71,17,510,577,150,191,63,6799,8573,1851,6630,1969
1995-08-04,1995-05-09,1995-11-03,0.59363704046,0.661773389024,0.360800953714,0.313530181242,0.788448439107,0.803131885118,0.582393423328,0.64018537343,76,16,48,14,24,172,32,71,17,65,577,150,191,63,286,8573,1851,6630,1969,4134
1995-11-03,1995-08-04,1996-03-25,0.138289820071,0.357063286899,0.494742355723,0.353937794639,0.257771200464,0.533978701722,0.800750519942,0.573417160832,16,48,14,24,5,32,71,17,65,7,150,191,63,286,11,1851,6630,1969,4134,1371
1996-03-25,1995-11-03,1996-05-13,0.769850080455,0.335624550237,0.585594924363,0.283174976139,0.862952229517,0.560262935162,0.77750841013,0.452617212463,48,14,24,5,92,71,17,65,7,174,191,63,286,11,744,6630,1969,4134,1371,12881
1996-05-13,1996-03-25,1996-08-09,0.583788882273,0.330923831738,0.665689305468,0.30068807922,0.860457380052,0.57890462922,0.869656782295,0.492256710249,14,24,5,92,4,17,65,7,174,13,63,286,11,744,10,1969,4134,1371,12881,1393
1996-08-09,1996-05-13,1996-10-10,0.523066667678,0.194432263274,0.741183920398,0.222828191675,0.726580001268,0.319970378538,0.812973643278,0.368068745905,24,5,92,4,105,65,7,174,13,263,286,11,744,10,952,4134,1371,12881,1393,12927
1996-10-10,1996-08-09,1996-11-13,0.466761795469,0.448437842832,0.4799771907,0.228888478948,0.722588495999,0.603897591548,0.74401946149,0.394594237938,5,92,4,105,7,7,174,13,263,23,11,744,10,952,18,1371,12881,1393,12927,2833
