filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2000-10-16,2000-07-17,2001-01-12,0.784719108786,0.280113999748,0.552004554801,0.759501914077,0.923972190625,0.499042774023,0.691951304412,0.876768927557,94,348,307,155,149,203,987,496,315,319,42,1431,184,96,93,7460,27429,20154,9429,10506
2001-01-12,2000-10-16,2001-04-19,0.367364759988,0.503552012486,0.693616467269,0.613218987663,0.533884171572,0.654708118747,0.845450878431,0.797699006011,348,307,155,149,134,987,496,315,319,279,1431,184,96,93,85,27429,20154,9429,10506,8775
2001-04-19,2001-01-12,2001-04-26,0.88915651623,0.649286176578,0.520320317716,0.49508755663,0.970857058263,0.788998813326,0.674665751227,0.644136293915,307,155,149,134,284,496,315,319,279,471,184,96,93,85,137,20154,9429,10506,8775,19919
2001-04-26,2001-04-19,2001-07-12,0.152338263027,0.119113089174,0.102540784655,0.236029934795,0.329779362377,0.27402573223,0.244685562063,0.471412827843,155,149,134,284,29,315,319,279,471,16,96,93,85,137,24,9429,10506,8775,19919,1618
2001-07-12,2001-04-26,2001-10-15,0.613753155132,0.622577864426,0.596266888522,0.121169792209,0.822213850693,0.830327348434,0.727688307318,0.260865592417,149,134,284,29,125,319,279,471,16,264,93,85,137,24,64,10506,8775,19919,1618,6105
2001-10-15,2001-07-12,2001-10-16,0.374737539728,0.32209022918,0.0761786638597,0.500505742305,0.645664792906,0.483509381937,0.187095254516,0.687378399912,134,284,29,125,21,279,471,16,264,92,85,137,24,64,30,8775,19919,1618,6105,4395
2001-10-16,2001-10-15,2002-01-14,0.174392509104,0.120691709458,0.0550779816643,0.0348247831953,0.302543001912,0.373429641086,0.127382941328,0.0895838678133,284,29,125,21,28,471,16,264,92,138,137,24,64,30,411,19919,1618,6105,4395,7539
2002-01-14,2001-10-16,2002-05-29,0.0717644182193,0.452829384288,0.495728079796,0.0328183295747,0.181478286429,0.669510442052,0.7132373518,0.0880366646087,29,125,21,28,27,16,264,92,138,100,24,64,30,411,34,1618,6105,4395,7539,4321
2002-05-29,2002-01-14,2002-07-12,0.523786300825,0.335720127265,0.147176182619,0.325660556351,0.699091073832,0.494198309606,0.268166186179,0.488974528526,125,21,28,27,231,264,92,138,100,500,64,30,411,34,151,6105,4395,7539,4321,16919
2002-07-12,2002-05-29,2002-10-15,0.462323668185,0.0415242861088,0.473936174584,0.594796108223,0.696980088996,0.0978653373794,0.706222238814,0.728278960729,21,28,27,231,31,92,138,100,500,146,30,411,34,151,56,4395,7539,4321,16919,4873
2002-10-15,2002-07-12,2003-01-10,0.0343834144063,0.396549921801,0.504509528727,0.695647408875,0.0830786483549,0.651946648036,0.641725380488,0.848232091614,28,27,231,31,39,138,100,500,146,185,411,34,151,56,60,7539,4321,16919,4873,6699
