filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1998-08-11,1998-06-26,1998-11-10,0.615791128355,0.525655912962,0.546942849901,0.329638950894,0.817400356094,0.773207484175,0.772472235494,0.525165165581,60,46,43,281,23,125,37,29,592,20,186,28,17,1516,16,5237,4498,3996,28921,2961
1998-11-10,1998-08-11,1999-02-09,0.287813721291,0.228132725647,0.205576747992,0.280848105447,0.616225891196,0.54163286206,0.52871055231,0.588361107802,46,43,281,23,74,37,29,592,20,139,28,17,1516,16,296,4498,3996,28921,2961,6758
1999-02-09,1998-11-10,1999-06-25,0.701670887476,0.294506393448,0.64930385248,0.308472955965,0.890634234016,0.494279952542,0.828329472304,0.591652810143,43,281,23,74,23,29,592,20,139,31,17,1516,16,296,12,3996,28921,2961,6758,3519
1999-06-25,1999-02-09,1999-08-17,0.408726527605,0.255855852048,0.184943677215,0.241248204979,0.671443437265,0.473418314224,0.508750695467,0.441601657874,281,23,74,23,429,592,20,139,31,1264,1516,16,296,12,2144,28921,2961,6758,3519,41872
1999-08-17,1999-06-25,1999-11-16,0.572087406638,0.244100637562,0.561952414667,0.283373040299,0.827291921757,0.569684340763,0.787993113894,0.507900445395,23,74,23,429,28,20,139,31,1264,76,16,296,12,2144,50,2961,6758,3519,41872,3405
1999-11-16,1999-08-17,2000-02-15,0.246978403134,0.526203041984,0.261963553811,0.721053179367,0.591978528751,0.793209439374,0.501649987694,0.895921130808,74,23,429,28,37,139,31,1264,76,78,296,12,2144,50,48,6758,3519,41872,3405,4021
2000-02-15,1999-11-16,2000-06-27,0.27420326628,0.263156774531,0.331281504268,0.326035525687,0.575039424594,0.56903424115,0.626940420831,0.633282509755,23,429,28,37,53,31,1264,76,78,132,12,2144,50,48,260,3519,41872,3405,4021,6732
2000-06-27,2000-02-15,2000-08-15,0.584733266012,0.39707680725,0.381471649128,0.292064158285,0.803554712886,0.598624914192,0.601860625249,0.554169064454,429,28,37,53,298,1264,76,78,132,796,2144,50,48,260,1067,41872,3405,4021,6732,26384
2000-08-15,2000-06-27,2000-11-14,0.2031384369,0.178989972018,0.159427232069,0.275354733836,0.428665346032,0.416332253655,0.432416349316,0.542369476608,28,37,53,298,170,76,78,132,796,675,50,48,260,1067,1054,3405,4021,6732,26384,22803
2000-11-14,2000-08-15,2001-02-13,0.577080255954,0.290140861732,0.355336236101,0.177984152938,0.852151277325,0.587311905632,0.544295497171,0.378978716772,37,53,298,170,46,78,132,796,675,69,48,260,1067,1054,26,4021,6732,26384,22803,3964
2001-02-13,2000-11-14,2001-06-26,0.328738492382,0.395967042538,0.188559765715,0.7177974514,0.628643317451,0.600558549406,0.401121271712,0.860318037509,53,298,170,46,55,132,796,675,69,62,260,1067,1054,26,56,6732,26384,22803,3964,4173
2001-06-26,2001-02-13,2001-08-14,0.578108944158,0.255183719964,0.350099588062,0.375015944615,0.778595334334,0.512517131375,0.551414474064,0.587111075391,298,170,46,55,313,796,675,69,62,624,1067,1054,26,56,1016,26384,22803,3964,4173,26247
2001-08-14,2001-06-26,2001-11-13,0.10862790725,0.447898669297,0.443147040721,0.31420698178,0.249595563858,0.707108165597,0.699806336556,0.512945295483,170,46,55,313,44,675,69,62,624,59,1054,26,56,1016,33,22803,3964,4173,26247,3386
2001-11-13,2001-08-14,2002-02-12,0.631843629997,0.443627926508,0.29640299799,0.616821118458,0.829569162506,0.691291970892,0.489399026187,0.800115419696,46,55,313,44,51,69,62,624,59,117,26,56,1016,33,55,3964,4173,26247,3386,4321
2002-02-12,2001-11-13,2002-06-25,0.568757964515,0.304392049943,0.581723058709,0.661354386556,0.805431439009,0.507737232532,0.78847318376,0.80259115051,55,313,44,51,48,62,624,59,117,79,56,1016,33,55,32,4173,26247,3386,4321,4023
2002-06-25,2002-02-12,2002-08-13,0.388078212894,0.218093997381,0.220378392214,0.229743772127,0.605110743094,0.416317816322,0.402021187966,0.411032145106,313,44,51,48,683,624,59,117,79,1074,1016,33,55,32,1626,26247,3386,4321,4023,39343
2002-08-13,2002-06-25,2002-11-12,0.480861331037,0.402203478123,0.427547449431,0.291571404202,0.678532542014,0.584848923305,0.601707247791,0.516405957049,44,51,48,683,96,59,117,79,1074,260,33,55,32,1626,314,3386,4321,4023,39343,7847
2002-11-12,2002-08-13,2003-02-11,0.5747777652,0.37732810114,0.258827196142,0.43249030543,0.791153402252,0.641727466028,0.485756117067,0.622632983214,51,48,683,96,59,117,79,1074,260,163,55,32,1626,314,129,4321,4023,39343,7847,6578
2003-02-11,2002-11-12,2003-06-19,0.228452613595,0.229593598989,0.272143714591,0.269947262341,0.430046022984,0.487754235338,0.51861250455,0.476219775344,48,683,96,59,259,79,1074,260,163,615,32,1626,314,129,1424,4023,39343,7847,6578,25392
