filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-02-19,1996-11-12,1997-05-15,0.585798761663,0.405322686961,0.406210490847,0.683221545833,0.77188374877,0.610217334098,0.610820253336,0.802007183168,15,108,108,16,21,32,207,207,33,36,45,135,136,42,44,2622,10104,10126,2200,2418
1997-05-15,1997-02-19,1997-09-26,0.400166676073,0.401073352824,0.640809173741,0.657373327798,0.612416356439,0.613040379129,0.791581298199,0.793701487672,108,108,16,21,15,207,207,33,36,38,135,136,42,44,44,10104,10126,2200,2418,2427
1997-09-26,1997-05-15,1997-11-13,0.897833583809,0.411273091047,0.381968744645,0.385248176691,0.976386834885,0.636569824346,0.593595129484,0.602370363045,108,16,21,15,129,207,33,36,38,234,136,42,44,44,150,10126,2200,2418,2427,10473
1997-11-13,1997-09-26,1998-02-12,0.844733399521,0.582794636093,0.564423164439,0.433058922357,0.962004484423,0.77015105155,0.765561931348,0.63800522918,16,21,15,129,11,33,36,38,234,43,42,44,44,150,39,2200,2418,2427,10473,2313
1998-02-12,1997-11-13,1998-05-15,0.813913203618,0.534640312984,0.376438982497,0.577832689761,0.945288900749,0.747544327794,0.589154944843,0.7551939856,21,15,129,11,12,36,38,234,43,55,44,44,150,39,46,2418,2427,10473,2313,2634
1998-05-15,1998-02-12,1998-09-15,0.798785864793,0.374889148531,0.573656050866,0.62424680915,0.944623329329,0.5855311568,0.757921391367,0.779809246252,15,129,11,12,14,38,234,43,55,54,44,150,39,46,43,2427,10473,2313,2634,2519
1998-09-15,1998-05-15,1998-11-13,0.213783658197,0.105293644701,0.0990269023321,0.0996039330165,0.525026247749,0.352391919633,0.334235084679,0.332948282453,129,11,12,14,312,234,43,55,54,939,150,39,46,43,1146,10473,2313,2634,2519,23256
1998-11-13,1998-09-15,1999-02-12,0.750087245837,0.547327931619,0.561910934305,0.125816753338,0.907445423371,0.748414297304,0.753971964776,0.390715624341,11,12,14,312,22,43,55,54,939,69,39,46,43,1146,62,2313,2634,2519,23256,3180
1999-02-12,1998-11-13,1999-05-14,0.820572283868,0.560855413019,0.110034150986,0.688786551801,0.941816161254,0.760118144633,0.360967695637,0.833910494485,12,14,312,22,23,55,54,939,69,61,46,43,1146,62,53,2634,2519,23256,3180,3315
1999-05-14,1999-02-12,1999-09-15,0.811404956052,0.105028577494,0.644473127594,0.652599567028,0.936550334358,0.349804583001,0.814115824699,0.806292615325,14,312,22,23,31,54,939,69,61,72,43,1146,62,53,49,2519,23256,3180,3315,3164
1999-09-15,1999-05-14,1999-11-15,0.217619719458,0.437540508844,0.409688334052,0.402627586284,0.527013593089,0.695732598503,0.650208597631,0.631719896787,312,22,23,31,149,939,69,61,72,242,1146,62,53,49,133,23256,3180,3315,3164,10290
1999-11-15,1999-09-15,2000-02-10,0.8106018804,0.628295326962,0.635389417725,0.463974017556,0.954834477219,0.809768512062,0.804945225358,0.688245622001,22,23,31,149,25,69,61,72,242,69,62,53,49,133,49,3180,3315,3164,10290,2928
2000-02-10,1999-11-15,2000-05-12,0.868849250975,0.596022547203,0.380682628225,0.625431407096,0.967550585247,0.781064926734,0.602521296011,0.793635662881,23,31,149,25,25,61,72,242,69,66,53,49,133,49,48,3315,3164,10290,2928,2903
2000-05-12,2000-02-10,2000-09-25,0.851218120595,0.383782010584,0.609056079592,0.641900163684,0.959027365992,0.610803135192,0.791944743332,0.793213481705,31,149,25,25,32,72,242,69,66,63,49,133,49,48,52,3164,10290,2928,2903,2996
2000-09-25,2000-05-12,2000-11-14,0.806029306288,0.480268393552,0.426020385693,0.449930935252,0.957277955579,0.701965672113,0.622679519874,0.638758500707,149,25,25,32,159,242,69,66,63,247,133,49,48,52,146,10290,2928,2903,2996,10443
2000-11-14,2000-09-25,2001-02-14,0.814716342646,0.612238249788,0.626465547015,0.501578477098,0.9433349004,0.783585786271,0.808591542935,0.704784977994,25,25,32,159,20,69,66,63,247,63,49,48,52,146,58,2928,2903,2996,10443,2754
2001-02-14,2000-11-14,2001-05-15,0.878582182995,0.589210882448,0.431632508944,0.660823743686,0.96206553743,0.771214119415,0.625389849368,0.798399687504,25,32,159,20,23,66,63,247,63,69,48,52,146,58,60,2903,2996,10443,2754,2774
