filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1998-02-12,1997-12-05,1998-05-13,0.682185279476,0.349403112761,0.196621192119,0.346250990011,0.761845104581,0.501817328074,0.358949277848,0.509939950356,204,317,16,134,63,463,788,69,408,169,1295,2140,65,836,788,20674,25593,2599,18868,7507
1998-05-13,1998-02-12,1998-08-14,0.317924245347,0.193467296529,0.313961827895,0.914753749936,0.477038052388,0.360784371724,0.484186277172,0.961872441056,317,16,134,63,105,788,69,408,169,227,2140,65,836,788,988,25593,2599,18868,7507,9229
1998-08-14,1998-05-13,1998-12-03,0.424314302323,0.270395665335,0.191387555418,0.185598295742,0.740980712461,0.490095493365,0.352739883689,0.338914091143,16,134,63,105,18,69,408,169,227,129,65,836,788,988,83,2599,18868,7507,9229,3754
1998-12-03,1998-08-14,1999-02-10,0.566670191609,0.622800807433,0.603059784557,0.286696276242,0.775171719288,0.704702693047,0.689511813414,0.483908407394,134,63,105,18,218,408,169,227,129,719,836,788,988,83,1528,18868,7507,9229,3754,27735
1999-02-10,1998-12-03,1999-05-13,0.193903494687,0.16374586178,0.528588999927,0.327141728628,0.368466612116,0.334737823788,0.807835384998,0.536344989072,63,105,18,218,32,169,227,129,719,98,788,988,83,1528,75,7507,9229,3754,27735,3441
1999-05-13,1999-02-10,1999-08-13,0.28909017202,0.215236159845,0.381227819358,0.320294965582,0.422042146894,0.407841022101,0.560734001306,0.502826956008,105,18,218,32,281,227,129,719,98,424,988,83,1528,75,628,9229,3754,27735,3441,11264
1999-08-13,1999-05-13,1999-12-01,0.580519710217,0.31323045485,0.757170232552,0.320154322113,0.865756021725,0.510017999579,0.899666851798,0.492042940631,18,218,32,281,42,129,719,98,424,123,83,1528,75,628,76,3754,27735,3441,11264,3525
1999-12-01,1999-08-13,2000-02-11,0.544051964025,0.447508886017,0.318730716455,0.446314425018,0.759544324143,0.736681265115,0.552178867753,0.71339522625,218,32,281,42,118,719,98,424,123,394,1528,75,628,76,460,27735,3441,11264,3525,14718
2000-02-11,1999-12-01,2000-05-11,0.523292557703,0.233949516575,0.517240987037,0.405955143508,0.840104741116,0.448782466682,0.808530095862,0.674724212705,32,281,42,118,21,98,424,123,394,68,75,628,76,460,63,3441,11264,3525,14718,2121
2000-05-11,2000-02-11,2000-08-11,0.272812881314,0.3969618564,0.451604335261,0.546707732416,0.465769937783,0.694388007121,0.686270518782,0.775952819375,281,42,118,21,44,424,123,394,68,71,628,76,460,63,131,11264,3525,14718,2121,3275
2000-08-11,2000-05-11,2000-11-22,0.54144615717,0.37833425653,0.708844014469,0.615095117696,0.845634300062,0.647481970772,0.894384406458,0.803534318807,42,118,21,44,37,123,394,68,71,79,76,460,63,131,62,3525,14718,2121,3275,2581
2000-11-22,2000-08-11,2001-02-07,0.62274389169,0.332222937001,0.380450668864,0.321969940366,0.822327951263,0.558617094202,0.639381045553,0.535461575922,118,21,44,37,138,394,68,71,79,456,460,63,131,62,654,14718,2121,3275,2581,19111
2001-02-07,2000-11-22,2001-05-09,0.597634877616,0.39050798396,0.529280065669,0.294489627681,0.863653745739,0.707693721338,0.820494549636,0.523891876303,21,44,37,138,14,68,71,79,456,62,63,131,62,654,61,2121,3275,2581,19111,2246
2001-05-09,2001-02-07,2001-08-09,0.401683021009,0.441344870479,0.231841449675,0.621183713461,0.718008440416,0.755508390507,0.427719472257,0.818203017654,44,37,138,14,26,71,79,456,62,69,131,62,654,61,49,3275,2581,19111,2246,2782
2001-08-09,2001-05-09,2001-11-21,0.232625811151,0.269771171852,0.22410379843,0.19186028016,0.443797558545,0.464913841193,0.427778848164,0.367005962334,37,138,14,26,264,79,456,62,69,363,62,654,61,49,559,2581,19111,2246,2782,9978
2001-11-21,2001-08-09,2002-02-08,0.727244725877,0.227759665286,0.188507955888,0.216499263779,0.882445223871,0.441262472315,0.371728531832,0.396407897649,138,14,26,264,159,456,62,69,363,447,654,61,49,559,634,19111,2246,2782,9978,23892
2002-02-08,2001-11-21,2002-05-07,0.449166668526,0.352050869331,0.262370407143,0.318617465375,0.755615628628,0.644264975626,0.453929536845,0.540908938742,14,26,264,159,32,62,69,363,447,118,61,49,559,634,146,2246,2782,9978,23892,3803
2002-05-07,2002-02-08,2002-08-06,0.231723634806,0.240298985397,0.276144133105,0.362182912739,0.446776244956,0.395121949171,0.535817310196,0.592317939642,26,264,159,32,120,69,363,447,118,281,49,559,634,146,431,2782,9978,23892,3803,10480
2002-08-06,2002-05-07,2002-11-25,0.278650194351,0.285171377039,0.526959331733,0.370655985954,0.505283579654,0.473072378716,0.72681344814,0.504741185243,264,159,32,120,59,363,447,118,281,232,559,634,146,431,188,9978,23892,3803,10480,6353
2002-11-25,2002-08-06,2003-02-06,0.484480295565,0.300783857698,0.272314180161,0.312710047905,0.681510033373,0.532947361531,0.472613169196,0.548735651911,159,32,120,59,384,447,118,281,232,1043,634,146,431,188,2515,23892,3803,10480,6353,51348
2003-02-06,2002-11-25,2003-04-30,0.44575825835,0.257563922268,0.555619767198,0.276719020112,0.685588298617,0.444182829004,0.776063775121,0.520333377172,32,120,59,384,24,118,281,232,1043,75,146,431,188,2515,49,3803,10480,6353,51348,4289
2003-04-30,2003-02-06,2003-08-05,0.37240452698,0.435410940475,0.416661990149,0.536260548979,0.64065098052,0.659833072942,0.640909436264,0.713834932915,120,59,384,24,53,281,232,1043,75,141,431,188,2515,49,196,10480,6353,51348,4289,8100
2003-08-05,2003-04-30,2003-12-03,0.70359700809,0.312974769901,0.659701176674,0.587397354249,0.890992343236,0.553456691447,0.858865791595,0.750915498784,59,384,24,53,56,232,1043,75,141,159,188,2515,49,196,171,6353,51348,4289,8100,6399
2003-12-03,2003-08-05,2004-02-04,0.489883957136,0.52820703321,0.521104371179,0.632539344494,0.713254216967,0.743480084018,0.707602813493,0.806995808888,384,24,53,56,177,1043,75,141,159,476,2515,49,196,171,521,51348,4289,8100,6399,19721
2004-02-04,2003-12-03,2004-05-04,0.285683706669,0.361114565768,0.337273231491,0.353350952519,0.51509274849,0.576447912942,0.544370739429,0.568401943669,24,53,56,177,329,75,141,159,476,619,49,196,171,521,1399,4289,8100,6399,19721,21245
2004-05-04,2004-02-04,2004-07-28,0.626497706371,0.416581784105,0.404475871439,0.689916180653,0.792132316318,0.609120839161,0.584349744046,0.806690977919,53,56,177,329,122,141,159,476,619,376,196,171,521,1399,1092,8100,6399,19721,21245,14992
2004-07-28,2004-05-04,2004-11-19,0.424787752789,0.413079937496,0.635144810465,0.476736649595,0.653881063915,0.645538139559,0.774869912112,0.637634373423,56,177,329,122,292,159,476,619,376,438,171,521,1399,1092,697,6399,19721,21245,14992,14271
2004-11-19,2004-07-28,2005-01-28,0.74854467343,0.412215349124,0.444043950609,0.387317461466,0.867168571737,0.607772105642,0.642193586884,0.580662087719,177,329,122,292,236,476,619,376,438,504,521,1399,1092,697,693,19721,21245,14992,14271,21948
2005-01-28,2004-11-19,2005-04-29,0.264175371241,0.331146878251,0.303912804509,0.517119071284,0.458646912499,0.540429055618,0.500993478074,0.735009769077,329,122,292,236,68,619,376,438,504,133,1399,1092,697,693,127,21245,14992,14271,21948,6747
2005-04-29,2005-01-28,2005-07-28,0.359365245618,0.287557498918,0.509418306623,0.718912548808,0.546284184792,0.470136923113,0.707683715466,0.863296460029,122,292,236,68,95,376,438,504,133,245,1092,697,693,127,282,14992,14271,21948,6747,8445
