filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1996-05-10,1996-03-19,1996-08-12,0.66014677621,0.626603410394,0.670154469903,0.352124961316,0.909627226877,0.869557322812,0.888576697634,0.573529473038,19,17,17,229,19,51,54,70,551,38,46,47,76,1011,24,2981,3077,3305,23091,2841
1996-08-12,1996-05-10,1996-11-08,0.688303438018,0.654533566151,0.338868185692,0.873715025966,0.916577593715,0.883256694255,0.557710724464,0.944930402912,17,17,229,19,19,54,70,551,38,40,47,76,1011,24,28,3077,3305,23091,2841,2936
1996-11-08,1996-08-12,1997-03-07,0.64860401483,0.327526971378,0.762746834687,0.789763641171,0.890614539915,0.557039316842,0.909233027032,0.910568868848,17,229,19,19,26,70,551,38,40,58,76,1011,24,28,35,3305,23091,2841,2936,3822
1997-03-07,1996-11-08,1997-03-21,0.134746175876,0.149720403098,0.144841588146,0.154249113015,0.319003855788,0.356842062796,0.344540492143,0.367142809425,229,19,19,26,5,551,38,40,58,49,1011,24,28,35,64,23091,2841,2936,3822,1005
1997-03-21,1997-03-07,1997-03-27,0.548993169696,0.540507972643,0.539724659368,0.294976343955,0.810938766342,0.794603991576,0.805053864002,0.469754875879,19,19,26,5,99,38,40,58,49,190,24,28,35,64,190,2841,2936,3822,1005,12093
1997-03-27,1997-03-21,1997-05-14,0.214000415361,0.214812982967,0.12867947237,0.37646942215,0.39630215045,0.401918249172,0.266654348877,0.509553721199,19,26,5,99,318,40,58,49,190,1048,28,35,64,190,2103,2936,3822,1005,12093,40155
1997-05-14,1997-03-27,1997-08-14,0.582536346856,0.1647715642,0.622504926738,0.259254254506,0.848570050563,0.374699323944,0.839768831793,0.444128801073,26,5,99,318,35,58,49,190,1048,85,35,64,190,2103,48,3822,1005,12093,40155,3672
1997-08-14,1997-05-14,1997-11-14,0.15782159059,0.576484785339,0.244214121954,0.800173594061,0.368795790721,0.821293777796,0.435948819779,0.932977865468,5,99,318,35,27,49,190,1048,85,82,64,190,2103,48,59,1005,12093,40155,3672,3749
1997-11-14,1997-08-14,1998-03-20,0.566396572258,0.242021796086,0.759520647894,0.843331877075,0.813503062664,0.434812326709,0.917177916751,0.92829110826,99,318,35,27,28,190,1048,85,82,84,190,2103,48,59,63,12093,40155,3672,3749,4202
1998-03-20,1997-11-14,1998-05-15,0.327132858986,0.457937992178,0.450936392745,0.463286990941,0.546788992085,0.756339413768,0.748132063202,0.7534722877,318,35,27,28,147,1048,85,82,84,561,2103,48,59,63,688,40155,3672,3749,4202,17474
