filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1998-11-02,1998-08-12,1999-03-30,0.354159335621,0.546437189845,0.0776690355449,0.326289577183,0.620344563095,0.804561519817,0.221262119239,0.601145789066,172,12,95,39,34,440,15,202,115,45,838,14,261,226,32,22665,2012,21024,5394,3373
1999-03-30,1998-11-02,1999-05-19,0.131301108994,0.128834099663,0.224095486657,0.138793030726,0.30696887915,0.320547637129,0.45089973895,0.300882036628,12,95,39,34,900,15,202,115,45,2039,14,261,226,32,5044,2012,21024,5394,3373,83972
1999-05-19,1999-03-30,1999-07-01,0.0976731502642,0.228092015865,0.41878732282,0.150720243488,0.290255227486,0.574615893507,0.750169664272,0.361862601809,95,39,34,900,40,202,115,45,2039,61,261,226,32,5044,29,21024,5394,3373,83972,3526
1999-07-01,1999-05-19,1999-08-18,0.0643499122918,0.0706813953981,0.110621645641,0.0880242283437,0.234886672319,0.21526677207,0.291249189054,0.281340170087,39,34,900,40,117,115,45,2039,61,368,226,32,5044,29,286,5394,3373,83972,3526,26951
1999-08-18,1999-07-01,1999-11-17,0.313687631459,0.306126774478,0.392135977841,0.107764241217,0.54590770917,0.508603557948,0.646722405743,0.292646336124,34,900,40,117,83,45,2039,61,368,179,32,5044,29,286,288,3373,83972,3526,26951,7497
1999-11-17,1999-08-18,2000-01-21,0.150935950482,0.504898608548,0.0788304880102,0.410912462165,0.315811020711,0.789299497247,0.219187360218,0.577474632198,900,40,117,83,40,2039,61,368,179,238,5044,29,286,288,105,83972,3526,26951,7497,4979
2000-01-21,1999-11-17,2000-03-28,0.682270380481,0.0747217145624,0.366098421526,0.593695413725,0.888528005807,0.230551367036,0.563538816147,0.836678204274,40,117,83,40,23,61,368,179,238,99,29,286,288,105,24,3526,26951,7497,4979,3138
2000-03-28,2000-01-21,2000-05-17,0.175547789726,0.398976051581,0.277219198837,0.226159325265,0.403557955881,0.614093056509,0.466420396901,0.428952187058,117,83,40,23,628,368,179,238,99,1552,286,288,105,24,2341,26951,7497,4979,3138,53751
2000-05-17,2000-03-28,2000-06-27,0.15729849991,0.0952347842751,0.082391304096,0.211406933781,0.297901442979,0.213391015518,0.209146601714,0.362119687679,83,40,23,628,404,179,238,99,1552,1162,288,105,24,2341,3009,7497,4979,3138,53751,39058
2000-06-27,2000-05-17,2000-08-16,0.108324451536,0.103167515239,0.315520946205,0.0485119064286,0.243442246923,0.25841244243,0.58275950911,0.133740758398,40,23,628,404,62,238,99,1552,1162,75,105,24,2341,3009,96,4979,3138,53751,39058,6091
