filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1999-08-16,1999-05-07,1999-11-15,0.395547797617,0.341499311474,0.443949597727,0.63512882577,0.636436197644,0.574864842595,0.700920078957,0.843390142739,33,32,191,38,45,51,53,260,61,81,27,24,148,32,22,3469,3460,15524,4318,4771
1999-11-15,1999-08-16,2000-03-30,0.46028615562,0.484078832479,0.703218980125,0.715226057581,0.692352212754,0.725731231727,0.879049085531,0.883667885533,32,191,38,45,62,53,260,61,81,96,24,148,32,22,38,3460,15524,4318,4771,5456
2000-03-30,1999-11-15,2000-05-15,0.777301405933,0.571086727424,0.525167230061,0.593940504727,0.932361151641,0.800528247798,0.756549509637,0.792733980007,191,38,45,62,163,260,61,81,96,270,148,32,22,38,162,15524,4318,4771,5456,14618
2000-05-15,2000-03-30,2000-08-14,0.674146070934,0.549884439058,0.652037393919,0.616751401336,0.889253208731,0.811010382069,0.860468003227,0.821870035444,38,45,62,163,46,61,81,96,270,59,32,22,38,162,29,4318,4771,5456,14618,4010
2000-08-14,2000-05-15,2000-08-15,0.773165456996,0.556747900595,0.51938006328,0.674092624082,0.91365398996,0.835167343926,0.761805004026,0.867720679336,45,62,163,46,51,81,96,270,59,59,22,38,162,29,29,4771,5456,14618,4010,4601
2000-08-15,2000-08-14,2000-11-14,0.556747900595,0.51938006328,0.674092624082,1.0,0.835167343926,0.761805004026,0.867720679336,1.0,62,163,46,51,51,96,270,59,59,59,38,162,29,29,29,5456,14618,4010,4601,4601
2000-11-14,2000-08-15,2001-04-02,0.559738376643,0.674088463259,0.626687924948,0.626687924948,0.783685359585,0.862398328348,0.852403015707,0.852403015707,163,46,51,51,51,270,59,59,59,60,162,29,29,29,28,14618,4010,4601,4601,4893
2001-04-02,2000-11-14,2001-05-15,0.327106342252,0.284528429291,0.284528429291,0.333626149693,0.568324879119,0.523152307251,0.523152307251,0.551468272852,46,51,51,51,380,59,59,59,60,1631,29,29,29,28,1955,4010,4601,4601,4893,35376
2001-05-15,2001-04-02,2001-08-14,0.550694006738,0.550694006738,0.699091365591,0.31790878064,0.817592737301,0.817592737301,0.861413029095,0.542359790546,51,51,51,380,30,59,59,60,1631,56,29,29,28,1955,24,4601,4601,4893,35376,3675
2001-08-14,2001-05-15,2001-11-13,0.25277030484,0.210606772245,0.354235599514,0.233066351892,0.3847492511,0.35625496644,0.546720830585,0.374938131021,51,51,380,30,220,59,60,1631,56,706,29,28,1955,24,1460,4601,4893,35376,3675,27250
2001-11-13,2001-08-14,2002-03-21,0.724857942138,0.284911748408,0.703647168068,0.23144323331,0.909870523251,0.51461481532,0.878210735442,0.367298582378,51,380,30,220,42,60,1631,56,706,79,28,1955,24,1460,23,4893,35376,3675,27250,4943
2002-03-21,2001-11-13,2002-05-15,0.456499195094,0.56248353612,0.240588382357,0.557263568277,0.676513625876,0.791374506694,0.394909200631,0.780719633429,380,30,220,42,140,1631,56,706,79,362,1955,24,1460,23,157,35376,3675,27250,4943,15799
2002-05-15,2002-03-21,2002-08-14,0.662644463944,0.21336341127,0.584165096107,0.648490800962,0.866401530626,0.376541819924,0.813625062303,0.843321293881,30,220,42,140,44,56,706,79,362,164,24,1460,23,157,60,3675,27250,4943,15799,6393
2002-08-14,2002-05-15,2002-11-14,0.273903206025,0.550185384453,0.564004923723,0.692110153669,0.426020872697,0.809664225466,0.780996197341,0.850369222892,220,42,140,44,77,706,79,362,164,268,1460,23,157,60,142,27250,4943,15799,6393,9500
2002-11-14,2002-08-14,2003-03-31,0.640679971646,0.570029812214,0.708771740762,0.800051911349,0.874410545157,0.790182339138,0.869771015122,0.903843948981,42,140,44,77,81,79,362,164,268,311,23,157,60,142,71,4943,15799,6393,9500,9673
2003-03-31,2002-11-14,2003-04-30,0.592067419962,0.456102055989,0.476165591442,0.497192086394,0.814848507235,0.713297355898,0.704071287055,0.712766532105,140,44,77,81,376,362,164,268,311,1072,157,60,142,71,882,15799,6393,9500,9673,29508
2003-04-30,2003-03-31,2003-05-15,0.107913476259,0.099609504319,0.0931669491829,0.16671201996,0.253952301118,0.228521468744,0.219136867845,0.363869625779,44,77,81,376,24,164,268,311,1072,23,60,142,71,882,23,6393,9500,9673,29508,1966
2003-05-15,2003-04-30,2003-08-14,0.558572936468,0.627064794381,0.486776444406,0.0983807816148,0.805276390704,0.838731449736,0.736189715033,0.232831212625,77,81,376,24,75,268,311,1072,23,260,142,71,882,23,67,9500,9673,29508,1966,8904
2003-08-14,2003-05-15,2003-11-14,0.257247001677,0.32234156407,0.0745691294546,0.310293707749,0.426867240365,0.506173818803,0.184225754351,0.467739667493,81,376,24,75,348,311,1072,23,260,1288,71,882,23,67,2234,9673,29508,1966,8904,38166
2003-11-14,2003-08-14,2004-03-12,0.415273758455,0.0821804133562,0.651437952322,0.340782038473,0.650811570392,0.189820763516,0.830303688633,0.458132797384,376,24,75,348,68,1072,23,260,1288,416,882,23,67,2234,80,29508,1966,8904,38166,10168
2004-03-12,2003-11-14,2004-05-07,0.107740187629,0.311302289691,0.799306239005,0.278439878882,0.248496865994,0.498790523765,0.873628737335,0.425912916976,24,75,348,68,727,23,260,1288,416,2097,23,67,2234,80,4057,1966,8904,38166,10168,74268
2004-05-07,2004-03-12,2004-08-09,0.66435033456,0.272247954474,0.58905456149,0.329957435678,0.880614368231,0.436978388072,0.785768588662,0.50317110076,75,348,68,727,35,260,1288,416,2097,232,67,2234,80,4057,59,8904,38166,10168,74268,7573
2004-08-09,2004-05-07,2004-11-08,0.295907734335,0.730167423443,0.295637909824,0.70299850563,0.446588321201,0.891518672903,0.457913577367,0.842388303933,348,68,727,35,43,1288,416,2097,232,301,2234,80,4057,59,66,38166,10168,74268,7573,8556
2004-11-08,2004-08-09,2005-03-16,0.553300857134,0.304645373367,0.691219582485,0.720941891386,0.771800649102,0.477882313687,0.848743077937,0.838553928441,68,727,35,43,51,416,2097,232,301,289,80,4057,59,66,75,10168,74268,7573,8556,8856
2005-03-16,2004-11-08,2005-05-10,0.681236852208,0.387003370721,0.356147532075,0.368008204657,0.768740072047,0.577696794171,0.530551262197,0.554766134233,727,35,43,51,568,2097,232,301,289,1474,4057,59,66,75,2172,74268,7573,8556,8856,50848
2005-05-10,2005-03-16,2005-08-09,0.78747874412,0.63158144722,0.643376456976,0.409171503906,0.940110381882,0.812909901856,0.829854082201,0.593220195452,35,43,51,568,45,232,301,289,1474,210,59,66,75,2172,61,7573,8556,8856,50848,7268
2005-08-09,2005-05-10,2005-11-09,0.747738950687,0.587920476718,0.391894806828,0.741275962721,0.906580619673,0.804589989153,0.579998288997,0.875597379737,43,51,568,45,69,301,289,1474,210,269,66,75,2172,61,126,8556,8856,50848,7268,9060
2005-11-09,2005-08-09,2006-03-10,0.706258046501,0.39698270096,0.733993369584,0.779454299713,0.896859019383,0.602827325272,0.885493569848,0.894334294242,51,568,45,69,60,289,1474,210,269,262,75,2172,61,126,96,8856,50848,7268,9060,9324
2006-03-10,2005-11-09,2006-05-10,0.442874771395,0.352104722694,0.361858778585,0.354769883013,0.610565407113,0.537493467749,0.542212500739,0.545460684285,568,45,69,60,518,1474,210,269,262,2015,2172,61,126,96,2635,50848,7268,9060,9324,56915
2006-05-10,2006-03-10,2006-08-09,0.249919290539,0.24639410604,0.236965744459,0.488278746874,0.414111167454,0.409556382423,0.407506468959,0.675746301074,45,69,60,518,309,210,269,262,2015,1370,61,126,96,2635,2215,7268,9060,9324,56915,36860
2006-08-09,2006-05-10,2006-11-09,0.674151351617,0.54991811342,0.333866880182,0.301655058054,0.878657011219,0.793697902065,0.523036867031,0.434513439312,69,60,518,309,65,269,262,2015,1370,292,126,96,2635,2215,88,9060,9324,56915,36860,11069
2006-11-09,2006-08-09,2007-03-01,0.40037355557,0.397561120679,0.33880169419,0.450281676278,0.613340474031,0.585048743839,0.496545545678,0.612516890474,60,518,309,65,287,262,2015,1370,292,847,96,2635,2215,88,909,9324,56915,36860,11069,22342
