filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-11-14,1994-08-12,1994-11-15,0.210886704184,0.114426140493,0.329359457234,0.344107398928,0.400814450498,0.281228397614,0.485999023321,0.483916360298,112,18,6,7,20,162,27,27,28,89,316,46,35,36,403,14968,2564,2329,2466,6122
1994-11-15,1994-11-14,1995-03-10,0.0767211234772,0.59955350174,0.57547986462,0.241756450893,0.144961856402,0.684764316201,0.67443753833,0.343738020367,18,6,7,20,3,27,27,28,89,3,46,35,36,403,17,2564,2329,2466,6122,637
1995-03-10,1994-11-15,1995-04-19,0.412986495757,0.42017790502,0.223432510453,0.206648871347,0.622001065879,0.636022345422,0.402651686191,0.296233950317,6,7,20,3,117,27,28,89,3,177,35,36,403,17,303,2329,2466,6122,637,14948
1995-04-19,1995-03-10,1995-04-26,0.152364681725,0.115159055644,0.0891398271679,0.201695919783,0.331000953767,0.284399325929,0.164656551619,0.44215071452,7,20,3,117,13,28,89,3,177,18,36,403,17,303,39,2466,6122,637,14948,2030
1995-04-26,1995-04-19,1995-05-11,0.224240267643,0.829713685845,0.24303275054,0.136598651606,0.35327083425,0.933299765516,0.334167523298,0.234153275733,20,3,117,13,6,89,3,177,18,5,403,17,303,39,26,6122,637,14948,2030,828
1995-05-11,1995-04-26,1995-08-11,0.534905214212,0.444933201864,0.164923036634,0.491135970777,0.646985222926,0.654478433019,0.364784233854,0.643802204206,3,117,13,6,19,3,177,18,5,39,17,303,39,26,37,637,14948,2030,828,2716
1995-08-11,1995-05-11,1995-11-13,0.426797987274,0.158480390253,0.423503062514,0.752924087862,0.683342182504,0.371962032259,0.597326891563,0.906998843067,117,13,6,19,24,177,18,5,39,47,303,39,26,37,39,14948,2030,828,2716,3340
1995-11-13,1995-08-11,1996-03-27,0.156447833467,0.390830407285,0.703245037298,0.838557133149,0.373736496293,0.554188105821,0.878120619174,0.923586265302,13,6,19,24,28,18,5,39,47,53,39,26,37,39,50,2030,828,2716,3340,3586
1996-03-27,1995-11-13,1996-03-28,0.250690562635,0.477654653473,0.496572853975,0.518283109513,0.332968722578,0.657820542212,0.699592262281,0.723230021227,6,19,24,28,119,5,39,47,53,169,26,37,39,50,269,828,2716,3340,3586,14721
1996-03-28,1996-03-27,1996-04-26,0.479045707529,0.497841480643,0.519485589841,0.999729879651,0.659269960144,0.701043938334,0.724618763779,0.999905911996,19,24,28,119,119,39,47,53,169,169,37,39,50,269,270,2716,3340,3586,14721,14753
