filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-12-23,1994-11-14,1995-03-24,0.180787511718,0.147661805976,0.0993810802699,0.185818801414,0.332314384115,0.282160014621,0.1968894644,0.287493832232,284,24,93,128,2,413,24,272,249,10,1060,33,763,680,16,25545,3405,12413,12240,351
1995-03-24,1994-12-23,1995-05-12,0.289568032477,0.32785849931,0.570789938229,0.146533441833,0.459271627453,0.543628161477,0.779240858798,0.27408627561,24,93,128,2,464,24,272,249,10,913,33,763,680,16,1970,3405,12413,12240,351,41405
1995-05-12,1995-03-24,1995-08-11,0.289811276365,0.348623447385,0.163179814866,0.322313989636,0.537071477773,0.543809678531,0.322507364966,0.522513382261,93,128,2,464,25,272,249,10,913,61,763,680,16,1970,126,12413,12240,351,41405,4467
1995-08-11,1995-05-12,1995-11-09,0.48270097919,0.0968257028937,0.777894506099,0.223745513697,0.66131534806,0.185663687238,0.876909248315,0.360336527535,128,2,464,25,199,249,10,913,61,369,680,16,1970,126,1146,12240,351,41405,4467,19135
1995-11-09,1995-08-11,1995-11-17,0.0578382235817,0.254512483997,0.149571118378,0.222149027815,0.175995981441,0.59261981458,0.403072934062,0.51411637786,2,464,25,199,171,10,913,61,369,772,16,1970,126,1146,1295,351,41405,4467,19135,19056
1995-11-17,1995-11-09,1996-03-28,0.131316814124,0.150276202309,0.0954553484656,0.106613875219,0.269138196158,0.325399906335,0.188371489994,0.222360396416,464,25,199,171,4,913,61,369,772,0,1970,126,1146,1295,8,41405,4467,19135,19056,346
1996-03-28,1995-11-17,1996-05-10,0.382924574094,0.381504977057,0.213508370354,0.187721897297,0.649270685357,0.54118338361,0.489669640018,0.327090953703,25,199,171,4,212,61,369,772,0,291,126,1146,1295,8,821,4467,19135,19056,346,20378
1996-05-10,1996-03-28,1996-08-14,0.188106014762,0.129705669887,0.157675671656,0.450000093187,0.285570095829,0.305145981217,0.320637997002,0.662223255085,199,171,4,212,24,369,772,0,291,37,1146,1295,8,821,57,19135,19056,346,20378,3207
1996-08-14,1996-05-10,1996-11-13,0.206970193871,0.0938480102298,0.490922555911,0.269424470314,0.508309599599,0.213590370533,0.664019531831,0.380688407097,171,4,212,24,191,772,0,291,37,463,1295,8,821,57,1356,19056,346,20378,3207,19623
1996-11-13,1996-08-14,1997-03-28,0.132471841681,0.606293636246,0.290689161657,0.607462274528,0.260145624707,0.759240222952,0.411562554153,0.717717560307,4,212,24,191,225,0,291,37,463,496,8,821,57,1356,1447,346,20378,3207,19623,22238
1997-03-28,1996-11-13,1997-05-14,0.160097890287,0.0714247383814,0.13960196927,0.155886092607,0.412752477631,0.229569610048,0.40985148263,0.417080359989,212,24,191,225,499,291,37,463,496,2257,821,57,1356,1447,3432,20378,3207,19623,22238,60534
1997-05-14,1997-03-28,1997-07-29,0.341749820929,0.333488998847,0.682485322475,0.133096311143,0.499203755096,0.50242934535,0.833636101402,0.361449142637,24,191,225,499,85,37,463,496,2257,187,57,1356,1447,3432,523,3207,19623,22238,60534,9815
1997-07-29,1997-05-14,1997-10-29,0.36588505051,0.626346827588,0.153112291568,0.628885293983,0.538151767715,0.815742851022,0.408875988827,0.79297713546,191,225,499,85,436,463,496,2257,187,786,1356,1447,3432,523,2242,19623,22238,60534,9815,35033
1997-10-29,1997-07-29,1998-03-27,0.18148617213,0.927615279699,0.150059936833,0.184637564979,0.475372811684,0.934172423767,0.393344283122,0.47499624843,225,499,85,436,292,496,2257,187,786,1095,1447,3432,523,2242,1977,22238,60534,9815,35033,28584
1998-03-27,1997-10-29,1998-05-12,0.170042229969,0.774426659559,0.902736661437,0.188611896297,0.422728904458,0.877724807619,0.955407129859,0.46704096066,499,85,436,292,544,2257,187,786,1095,945,3432,523,2242,1977,2524,60534,9815,35033,28584,47930
1998-05-12,1998-03-27,1998-08-11,0.261881700479,0.259007100337,0.121596312133,0.301195253095,0.42392494825,0.415945413058,0.37707920431,0.453790067188,85,436,292,544,128,187,786,1095,945,285,523,2242,1977,2524,780,9815,35033,28584,47930,13465
1998-08-11,1998-05-12,1998-11-10,0.221922835178,0.0794823890571,0.3071241537,0.301802646563,0.326880522386,0.226807780642,0.428882713088,0.447679304087,436,292,544,128,53,786,1095,945,285,60,2242,1977,2524,780,65,35033,28584,47930,13465,5455
1998-11-10,1998-08-11,1999-03-30,0.182537045177,0.535252942894,0.322300295654,0.462261431548,0.490396716632,0.696412626721,0.506820579156,0.58444498482,292,544,128,53,130,1095,945,285,60,234,1977,2524,780,65,778,28584,47930,13465,5455,13199
1999-03-30,1998-11-10,1999-05-11,0.702231680236,0.308941068699,0.515030294183,0.548250494552,0.805464442242,0.499481331307,0.712012279064,0.722718940818,544,128,53,130,272,945,285,60,234,405,2524,780,65,778,1011,47930,13465,5455,13199,25007
1999-05-11,1999-03-30,1999-08-11,0.283328834162,0.512232697881,0.604631469493,0.585436390432,0.483613652386,0.747506222909,0.761222043452,0.811729553561,128,53,130,272,80,285,60,234,405,132,780,65,778,1011,269,13465,5455,13199,25007,8303
1999-08-11,1999-05-11,1999-11-10,0.363687471129,0.381004074375,0.385076978697,0.3739932323,0.494847210835,0.550861008468,0.544677535877,0.524411593734,53,130,272,80,166,60,234,405,132,495,65,778,1011,269,1083,5455,13199,25007,8303,20092
1999-11-10,1999-08-11,2000-03-28,0.59909193079,0.661240636152,0.570219872024,0.389976603377,0.783243433105,0.844934732543,0.775757214936,0.539807639052,130,272,80,166,145,234,405,132,495,221,778,1011,269,1083,452,13199,25007,8303,20092,12280
2000-03-28,1999-11-10,2000-05-10,0.728796907158,0.560654996128,0.382705457012,0.599615221409,0.843596007838,0.763830399426,0.540263557834,0.769686381278,272,80,166,145,507,405,132,495,221,846,1011,269,1083,452,1879,25007,8303,20092,12280,44143
2000-05-10,2000-03-28,2000-08-11,0.623393232443,0.342833085901,0.564750794932,0.504970720358,0.864992997608,0.502341607852,0.772068607068,0.68038866947,80,166,145,507,60,132,495,221,846,59,269,1083,452,1879,131,8303,20092,12280,44143,6650
2000-08-11,2000-05-10,2000-11-09,0.389258826178,0.529470663236,0.493425312815,0.447812320898,0.615020617919,0.765275789461,0.713870911465,0.702722805843,166,145,507,60,161,495,221,846,59,424,1083,452,1879,131,1082,20092,12280,44143,6650,19975
2000-11-09,2000-08-11,2001-03-28,0.473810932205,0.451521936852,0.524192230593,0.463799793063,0.666873079206,0.624077864453,0.736351192862,0.671278767238,145,507,60,161,96,221,846,59,424,165,452,1879,131,1082,282,12280,44143,6650,19975,10476
2001-03-28,2000-11-09,2001-05-14,0.685649450578,0.581330235887,0.570310492172,0.597542793919,0.793922788975,0.793384521216,0.782278974617,0.770048064748,507,60,161,96,334,846,59,424,165,517,1879,131,1082,282,809,44143,6650,19975,10476,32307
2001-05-14,2001-03-28,2001-08-10,0.31189887962,0.3430358637,0.330412890632,0.409356974184,0.475428004262,0.546506244191,0.479846891576,0.557321441101,60,161,96,334,448,59,424,165,517,924,131,1082,282,809,1841,6650,19975,10476,32307,35741
2001-08-10,2001-05-14,2001-11-09,0.458746239253,0.432008999704,0.523718501638,0.785990944209,0.6400408347,0.586097716722,0.647328570508,0.897848558387,161,96,334,448,298,424,165,517,924,634,1082,282,809,1841,1311,19975,10476,32307,35741,27561
2001-11-09,2001-08-10,2002-03-27,0.377229264832,0.522407493588,0.669811271234,0.746426169242,0.501112469988,0.627996906293,0.831190203125,0.871621096056,96,334,448,298,860,165,517,924,634,1591,282,809,1841,1311,3995,10476,32307,35741,27561,69185
2002-03-27,2001-11-09,2002-05-10,0.620640376267,0.600224238391,0.655977657452,0.825235429052,0.74541605124,0.771362115243,0.809987143171,0.874757966602,334,448,298,860,809,517,924,634,1591,1655,809,1841,1311,3995,3248,32307,35741,27561,69185,71333
2002-05-10,2002-03-27,2002-08-13,0.215938851331,0.325871697894,0.232782166069,0.364559240149,0.317712992886,0.430490005193,0.320112607346,0.495052955437,448,298,860,809,70,924,634,1591,1655,96,1841,1311,3995,3248,59,35741,27561,69185,71333,6549
2002-08-13,2002-05-10,2002-11-12,0.0773072703804,0.0925034345273,0.102123958215,0.0980809770817,0.226717436765,0.261516037881,0.287654714478,0.286048220013,298,860,809,70,2,634,1591,1655,96,0,1311,3995,3248,59,9,27561,69185,71333,6549,410
2002-11-12,2002-08-13,2003-03-21,0.741938678218,0.562211536553,0.36031624841,0.112425231637,0.849128497592,0.730844199234,0.475317849557,0.324603738124,860,809,70,2,408,1591,1655,96,0,1039,3995,3248,59,9,1950,69185,71333,6549,410,36663
2003-03-21,2002-11-12,2003-05-13,0.627108239077,0.600542323052,0.148188071462,0.645810013406,0.749262449984,0.757948396379,0.395519087923,0.763038615616,809,70,2,408,500,1655,96,0,1039,970,3248,59,9,1950,1011,71333,6549,410,36663,40950
2003-05-13,2003-03-21,2003-08-12,0.736743521383,0.113471915918,0.389772522156,0.650281548305,0.920819081212,0.325861788033,0.514260886445,0.812033876754,70,2,408,500,107,96,0,1039,970,244,59,9,1950,1011,139,6549,410,36663,40950,9966
2003-08-12,2003-05-13,2003-11-14,0.105006970726,0.68375309841,0.578848430932,0.440556833629,0.299116184664,0.799856635073,0.716874241009,0.558497117041,2,408,500,107,360,0,1039,970,244,1152,9,1950,1011,139,2427,410,36663,40950,9966,41641
