filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-11-14,1997-08-12,1998-03-30,0.549000526628,0.368124450635,0.458044992312,0.13463989351,0.831415402698,0.578557501375,0.602371883738,0.230548591524,61,448,70,295,92,189,1091,224,1064,212,120,1104,218,2190,99,4800,31263,5991,32706,5414
1998-03-30,1997-11-14,1998-04-29,0.664938136044,0.401317954442,0.140259840428,0.501957457591,0.85312024003,0.607686367441,0.259383788597,0.705115599515,448,70,295,92,229,1091,224,1064,212,779,1104,218,2190,99,452,31263,5991,32706,5414,20255
1998-04-29,1998-03-30,1998-05-15,0.143433508364,0.0550558346375,0.110695744263,0.213291523595,0.409660921512,0.179747025514,0.305008939311,0.500484869687,70,295,92,229,13,224,1064,212,779,41,218,2190,99,452,33,5991,32706,5414,20255,2251
1998-05-15,1998-04-29,1998-08-14,0.173842934147,0.124614684799,0.187868685108,0.145278387328,0.291526582369,0.256211847033,0.335671796032,0.362133976782,295,92,229,13,57,1064,212,779,41,160,2190,99,452,33,441,32706,5414,20255,2251,9774
1998-08-14,1998-05-15,1998-11-13,0.22963532173,0.242396068344,0.126449984125,0.401499691632,0.47672697286,0.447552454463,0.310020253001,0.575408352435,92,229,13,57,24,212,779,41,160,60,99,452,33,441,30,5414,20255,2251,9774,4453
1998-11-13,1998-08-14,1999-03-30,0.251041765502,0.12332687505,0.37860512168,0.784839481797,0.453458886466,0.299714765842,0.554429787404,0.911085419391,229,13,57,24,26,779,41,160,60,120,452,33,441,30,21,20255,2251,9774,4453,4976
1999-03-30,1998-11-13,1999-05-14,0.184654484395,0.383966207969,0.57709123764,0.619250253381,0.391438770597,0.541475233074,0.776746594743,0.812065827205,13,57,24,26,162,41,160,60,120,307,33,441,30,21,265,2251,9774,4453,4976,17097
1999-05-14,1999-03-30,1999-08-13,0.230180189921,0.275023467826,0.305449704835,0.323257986993,0.463955249503,0.558528832121,0.584190087365,0.604184796438,57,24,26,162,54,160,60,120,307,111,441,30,21,265,321,9774,4453,4976,17097,8572
1999-08-13,1999-05-14,1999-11-12,0.361052644185,0.344606202287,0.380325270997,0.347742118893,0.549022516026,0.518706107897,0.52747212368,0.546444690971,24,26,162,54,88,60,120,307,111,264,30,21,265,321,950,4453,4976,17097,8572,16803
1999-11-12,1999-08-13,2000-03-27,0.716214821435,0.611632967172,0.33750217062,0.403304088534,0.912357233588,0.804391944667,0.608539312068,0.5314169193,26,162,54,88,29,120,307,111,264,104,21,265,321,950,39,4976,17097,8572,16803,5379
2000-03-27,1999-11-12,2000-05-12,0.829458609991,0.32058111914,0.57852954657,0.58028203219,0.930447115664,0.611336175406,0.702384089667,0.78003485404,162,54,88,29,135,307,111,264,104,293,265,321,950,39,436,17097,8572,16803,5379,19123
2000-05-12,2000-03-27,2000-08-11,0.428166104294,0.400920549674,0.321646219119,0.390705010958,0.739667754112,0.597690345207,0.585348124792,0.65824045147,54,88,29,135,65,111,264,104,293,123,321,950,39,436,373,8572,16803,5379,19123,7473
2000-08-11,2000-05-12,2000-11-13,0.33713525808,0.561271646595,0.507411990097,0.385661028707,0.51530205642,0.809787097377,0.734095968383,0.597160947697,88,29,135,65,28,264,104,293,123,47,950,39,436,373,32,16803,5379,19123,7473,3773
2000-11-13,2000-08-11,2001-03-23,0.410356450683,0.480981944921,0.395906955458,0.483561120817,0.625264766126,0.694646487852,0.619309813106,0.631809187749,29,135,65,28,74,104,293,123,47,158,39,436,373,32,338,5379,19123,7473,3773,7840
2001-03-23,2000-11-13,2001-05-11,0.761326573491,0.402881305542,0.431044994659,0.583290886538,0.880056141181,0.654444431914,0.638051971899,0.786944926989,135,65,28,74,167,293,123,47,158,535,436,373,32,338,1050,19123,7473,3773,7840,26050
2001-05-11,2001-03-23,2001-08-10,0.47282710548,0.181625291048,0.307396821707,0.33683280929,0.689207701124,0.35410844692,0.485927432694,0.497229349179,65,28,74,167,261,123,47,158,535,785,373,32,338,1050,2076,7473,3773,7840,26050,32448
2001-08-10,2001-05-11,2001-11-13,0.562943749698,0.343923040731,0.448705552184,0.207222001146,0.789198635841,0.543786231774,0.653803446602,0.381006975372,28,74,167,261,41,47,158,535,785,273,32,338,1050,2076,152,3773,7840,26050,32448,6616
2001-11-13,2001-08-10,2002-03-27,0.395372900668,0.450872109616,0.210545245032,0.898110251812,0.595394070389,0.657914786233,0.386785579127,0.945645733104,74,167,261,41,39,158,535,785,273,225,338,1050,2076,152,112,7840,26050,32448,6616,5996
2002-03-27,2001-11-13,2002-05-14,0.847979698344,0.321627182157,0.537296449833,0.535920154352,0.944682471101,0.475682374667,0.725111804476,0.724775072384,167,261,41,39,179,535,785,273,225,688,1050,2076,152,112,887,26050,32448,6616,5996,25489
2002-05-14,2002-03-27,2002-08-13,0.21320123134,0.681253326976,0.657079004066,0.631740197969,0.391202228998,0.869424466899,0.853991266432,0.752889104272,261,41,39,179,56,785,273,225,688,347,2076,152,112,887,224,32448,6616,5996,25489,8589
2002-08-13,2002-05-14,2002-11-08,0.695657987467,0.64044176745,0.623374898811,0.844960173632,0.903220095223,0.858081729015,0.769947350265,0.928673243365,41,39,179,56,73,273,225,688,347,427,152,112,887,224,341,6616,5996,25489,8589,11565
2002-11-08,2002-08-13,2003-03-28,0.693059881005,0.587614938006,0.78455278791,0.814004239856,0.901997691555,0.739509806949,0.900971196063,0.921283272758,39,179,56,73,82,225,688,347,427,413,112,887,224,341,273,5996,25489,8589,11565,10661
2003-03-28,2002-11-08,2003-05-09,0.887743964928,0.643568466244,0.647415795953,0.661495701866,0.956828007986,0.800352100398,0.813492697942,0.809430216956,179,56,73,82,231,688,347,427,413,825,887,224,341,273,888,25489,8589,11565,10661,27520
2003-05-09,2003-03-28,2003-08-08,0.621297884285,0.590148837431,0.633435432445,0.610980445907,0.808337790373,0.790241558262,0.811357715807,0.776837649657,56,73,82,231,61,347,427,413,825,194,224,341,273,888,180,8589,11565,10661,27520,6724
2003-08-08,2003-05-09,2003-11-12,0.259900308151,0.247428485093,0.379700729659,0.275399484005,0.467151613761,0.44306666641,0.558280697203,0.46408675617,73,82,231,61,499,427,413,825,194,1548,341,273,888,180,3464,11565,10661,27520,6724,54281
2003-11-12,2003-08-08,2004-01-21,0.617908284953,0.559899637557,0.761871292126,0.288096552461,0.798944960408,0.717134920241,0.87230969301,0.452152234087,82,231,61,499,85,413,825,194,1548,249,273,888,180,3464,204,10661,27520,6724,54281,9846
2004-01-21,2003-11-12,2004-03-12,0.988896874626,0.607437977201,0.381101681177,0.566721480506,0.997063852976,0.781756827637,0.559814565509,0.724505243353,231,61,499,85,251,825,194,1548,249,873,888,180,3464,204,938,27520,6724,54281,9846,28905
2004-03-12,2004-01-21,2004-05-07,0.399122366548,0.37638999891,0.426296820826,0.505172198515,0.680987311814,0.615374622147,0.679472280814,0.743794223656,61,499,85,251,652,194,1548,249,873,1286,180,3464,204,938,2122,6724,54281,9846,28905,49200
2004-05-07,2004-03-12,2004-08-06,0.251471552468,0.687169945651,0.529590235482,0.422373956664,0.431579387575,0.855207513043,0.720384201882,0.685622382231,499,85,251,652,62,1548,249,873,1286,78,3464,204,938,2122,56,54281,9846,28905,49200,6193
2004-08-06,2004-05-07,2004-11-05,0.658515729169,0.509776864506,0.397226060827,0.779656689191,0.841354568333,0.696362784274,0.651772374917,0.894235801128,85,251,652,62,72,249,873,1286,78,115,204,938,2122,56,93,9846,28905,49200,6193,6990
2004-11-05,2004-08-06,2005-03-21,0.518258370581,0.398745811231,0.640419026898,0.675912011997,0.739741761895,0.673005434441,0.812755444376,0.829062442957,251,652,62,72,91,873,1286,78,115,159,938,2122,56,93,252,28905,49200,6193,6990,10014
2005-03-21,2004-11-05,2005-05-04,0.545691748218,0.698427342586,0.670178482016,0.593911483182,0.780383179279,0.855234608908,0.823832535121,0.77885732004,652,62,72,91,294,1286,78,115,159,605,2122,56,93,252,425,49200,6193,6990,10014,26392
2005-05-04,2005-03-21,2005-08-04,0.773350323494,0.706370408595,0.600815168162,0.732985146799,0.932298282333,0.87777655251,0.793788077096,0.872206362777,62,72,91,294,68,78,115,159,605,127,56,93,252,425,83,6193,6990,10014,26392,7200
2005-08-04,2005-05-04,2005-11-04,0.801053674579,0.591847463366,0.704301758984,0.827829803877,0.94225438916,0.793075803706,0.844103596569,0.918338538234,72,91,294,68,83,115,159,605,127,157,93,252,425,83,103,6990,10014,26392,7200,8733
2005-11-04,2005-08-04,2006-03-15,0.645077786379,0.703658402356,0.828696897279,0.873896380602,0.831341995371,0.846708247486,0.919828629939,0.940741826608,91,294,68,83,74,159,605,127,157,162,252,425,83,103,97,10014,26392,7200,8733,8632
2006-03-15,2005-11-04,2006-05-04,0.938250948767,0.713423191903,0.700668394275,0.704052904346,0.984001460891,0.862564842661,0.83625948617,0.83951218421,294,68,83,74,324,605,127,157,162,801,425,83,103,97,572,26392,7200,8733,8632,29471
2006-05-04,2006-03-15,2006-08-03,0.816407937057,0.763520560204,0.775466970783,0.77281443866,0.943165049553,0.890686823473,0.896136328407,0.894456419772,68,83,74,324,71,127,157,162,801,237,83,103,97,572,162,7200,8733,8632,29471,9352
2006-08-03,2006-05-04,2006-11-02,0.838012336425,0.7628389896,0.734709379713,0.86137765743,0.953536441135,0.904112504525,0.865959506476,0.933804217529,83,74,324,71,92,157,162,801,237,250,103,97,572,162,172,8733,8632,29471,9352,10482
2006-11-02,2006-08-03,2007-03-01,0.823515816563,0.732286097108,0.860928010983,0.879981245305,0.945654702573,0.866602422072,0.9375706674,0.945410418464,74,324,71,92,112,162,801,237,250,257,97,572,162,172,180,8632,29471,9352,10482,10883
2007-03-01,2006-11-02,2007-05-08,0.947727686515,0.775918145125,0.749604153171,0.760202468888,0.987569956741,0.895169363458,0.870023391516,0.875459831679,324,71,92,112,298,801,237,250,257,800,572,162,172,180,552,29471,9352,10482,10883,28516
2007-05-08,2007-03-01,2007-08-07,0.828402187589,0.769897612891,0.783066667852,0.750531943822,0.946117244585,0.898526768093,0.905871291389,0.886205829431,71,92,112,298,110,237,250,257,800,211,162,172,180,552,193,9352,10482,10883,28516,9675
2007-08-07,2007-05-08,2007-11-05,0.792986852529,0.738477593473,0.728646898763,0.811266020189,0.924995395717,0.885825465607,0.86715105181,0.915487810234,92,112,298,110,169,250,257,800,211,288,172,180,552,193,235,10482,10883,28516,9675,14050
2007-11-05,2007-08-07,2008-02-29,0.78448178761,0.738614582239,0.791158758747,0.874100115374,0.920062234946,0.879013340309,0.913939409243,0.948128220529,112,298,110,169,171,257,800,211,288,306,180,552,193,235,230,10883,28516,9675,14050,14240
2008-02-29,2007-11-05,2008-05-09,0.889497681974,0.724963577758,0.762621305907,0.792222049704,0.964413367764,0.872167443286,0.878535343015,0.895540836014,298,110,169,171,378,800,211,288,306,816,552,193,235,230,582,28516,9675,14050,14240,33101
2008-05-09,2008-02-29,2008-08-08,0.797801255363,0.748927395908,0.772923251986,0.73675139035,0.941505750719,0.896280035825,0.906685797323,0.874458825262,110,169,171,378,103,211,288,306,816,303,193,235,230,582,266,9675,14050,14240,33101,11266
2008-08-08,2008-05-09,2008-11-10,0.764918689724,0.727612082752,0.726253063824,0.802982296561,0.91698575235,0.885161892858,0.865413879842,0.909846765351,169,171,378,103,137,288,306,816,303,364,235,230,582,266,297,14050,14240,33101,11266,14661
2008-11-10,2008-08-08,2009-03-02,0.759867743623,0.718834105218,0.766775365674,0.843665569497,0.911380304152,0.862894670197,0.902100690415,0.935611445035,171,378,103,137,183,306,816,303,364,446,230,582,266,297,348,14240,33101,11266,14661,16643
2009-03-02,2008-11-10,2009-05-08,0.906382678256,0.71659540359,0.744353194584,0.752845986192,0.963336699547,0.857629329367,0.869847236537,0.873843311957,378,103,137,183,504,816,303,364,446,1163,582,266,297,348,988,33101,11266,14661,16643,43090
2009-05-08,2009-03-02,2009-08-07,0.772782600608,0.77647033285,0.784068453718,0.806150039454,0.913461944409,0.898285694185,0.900948272572,0.904903212585,103,137,183,504,134,303,364,446,1163,505,266,297,348,988,479,11266,14661,16643,43090,15773
2009-08-07,2009-05-08,2009-11-09,0.803372112782,0.75535577665,0.767288542244,0.869693858049,0.928338705471,0.890911553299,0.876979672324,0.93845840555,137,183,504,134,208,364,446,1163,505,780,297,348,988,479,650,14661,16643,43090,15773,20168
2009-11-09,2009-08-07,2010-03-01,0.813326302161,0.756383353651,0.852103840442,0.892628097272,0.933130831452,0.8726362964,0.932679666187,0.951388848141,183,504,134,208,193,446,1163,505,780,797,348,988,479,650,688,16643,43090,15773,20168,19727
2010-03-01,2009-11-09,2010-05-07,0.788850475658,0.673075294949,0.682688304847,0.681720818206,0.818509233084,0.75195127729,0.773283034741,0.769875783394,504,134,208,193,513,1163,505,780,797,1132,988,479,650,688,923,43090,15773,20168,19727,40451
2010-05-07,2010-03-01,2010-08-06,0.673478021857,0.66202270277,0.668732244573,0.766472276149,0.757280120454,0.760535192723,0.762119127007,0.881800830647,134,208,193,513,186,505,780,797,1132,550,479,650,688,923,652,15773,20168,19727,40451,18963
2010-08-06,2010-05-07,2010-08-11,0.753098352426,0.701052241947,0.698375883234,0.756483149748,0.829422086334,0.787294722237,0.821929147922,0.856528718137,208,193,513,186,181,780,797,1132,550,461,650,688,923,652,437,20168,19727,40451,18963,16017
2010-08-11,2010-08-06,2010-11-08,0.0744770070075,0.0788266280978,0.0807924994507,0.0940041295504,0.137095536983,0.150573720376,0.152536852717,0.164111865104,193,513,186,181,253,797,1132,550,461,5879,688,923,652,437,929,19727,40451,18963,16017,32700
2010-11-08,2010-08-11,2011-02-25,0.130670917045,0.135835728288,0.144238917362,0.994093041278,0.241097562221,0.246683459657,0.252731983744,0.989630480539,513,186,181,253,474,1132,550,461,5879,6423,923,652,437,929,1281,40451,18963,16017,32700,48609
2011-02-25,2010-11-08,2011-05-06,0.683922421175,0.676322039329,0.0890486203543,0.143682874816,0.836211030664,0.809143214427,0.164022215282,0.25599731094,186,181,253,474,898,550,461,5879,6423,1972,652,437,929,1281,1633,18963,16017,32700,48609,64156
