filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2010-11-30,2010-08-27,2011-03-30,0.137340434122,0.250877113388,0.352434751425,0.308684473134,0.354678725036,0.459090586005,0.582284506345,0.253598591338,47,692,49,177,174,156,1320,76,4855,457,32,1919,69,349,374,4369,51830,5042,24637,20837
2011-03-30,2010-11-30,2011-05-26,0.531315959853,0.454500737769,0.276871754547,0.814252433362,0.713170175428,0.654392516165,0.224788143479,0.854207553972,692,49,177,174,821,1320,76,4855,457,1510,1919,69,349,374,1097,51830,5042,24637,20837,66784
2011-05-26,2011-03-30,2011-08-25,0.338822408086,0.111857527932,0.312965853443,0.426709713427,0.511100125052,0.14695803955,0.535541877514,0.60227885667,49,177,174,821,391,76,4855,457,1510,1199,69,349,374,1097,2358,5042,24637,20837,66784,51690
2011-08-25,2011-05-26,2011-11-22,0.132599620577,0.338975288345,0.413910191611,0.336683796445,0.163932256075,0.557391091798,0.560860863004,0.496863253271,177,174,821,391,624,4855,457,1510,1199,804,349,374,1097,2358,1926,24637,20837,66784,51690,49154
2011-11-22,2011-08-25,2012-03-22,0.386097321499,0.399163098787,0.325957018789,0.939322353401,0.579921466172,0.552285778692,0.49472014304,0.966192730213,174,821,391,624,579,457,1510,1199,804,627,374,1097,2358,1926,1739,20837,66784,51690,49154,43515
2012-03-22,2011-11-22,2012-05-24,0.492137065232,0.365919610213,0.944544366375,0.925346482331,0.647381929934,0.53581867895,0.954743846578,0.93971933866,821,391,624,579,1707,1510,1199,804,627,1878,1097,2358,1926,1739,3581,66784,51690,49154,43515,116986
2012-05-24,2012-03-22,2012-08-23,0.362717814684,0.954390723904,0.937932454195,0.955299674583,0.530367072525,0.976026092217,0.96326306743,0.96451319591,391,624,579,1707,534,1199,804,627,1878,744,2358,1926,1739,3581,1909,51690,49154,43515,116986,45984
2012-08-23,2012-05-24,2012-11-20,0.980240800891,0.923714129222,0.93686769554,0.949113554995,0.987043391047,0.955535177679,0.948694453215,0.972211020293,624,579,1707,534,523,804,627,1878,744,615,1926,1739,3581,1909,1655,49154,43515,116986,45984,43758
2012-11-20,2012-08-23,2013-03-28,0.948069659859,0.94707446017,0.959059109184,0.958907707216,0.968092186831,0.950733042529,0.974176607534,0.97399985133,579,1707,534,523,575,627,1878,744,615,761,1739,3581,1909,1655,1879,43515,116986,45984,43758,47041
2013-03-28,2012-11-20,2013-05-23,0.984519268407,0.950905773203,0.940022408625,0.956747287412,0.987499046742,0.960036321529,0.949347045849,0.959762210062,1707,534,523,575,1863,1878,744,615,761,2107,3581,1909,1655,1879,3840,116986,45984,43758,47041,125138
2013-05-23,2013-03-28,2013-08-29,0.970026474042,0.957397105046,0.97186089368,0.968030185991,0.981674620369,0.971408705593,0.979336859367,0.968731992749,534,523,575,1863,647,744,615,761,2107,757,1909,1655,1879,3840,1969,45984,43758,47041,125138,49052
2013-08-29,2013-05-23,2013-11-26,0.677606260438,0.676772452513,0.648022096927,0.666424674501,0.846141658615,0.842779319061,0.816500585499,0.844322151264,523,575,1863,647,661,615,761,2107,757,1144,1655,1879,3840,1969,2746,43758,47041,125138,49052,66276
2013-11-26,2013-08-29,2014-03-27,0.718171276345,0.683907306586,0.688900421534,0.870033344654,0.863901768597,0.835538065606,0.843044259189,0.92970101515,575,1863,647,661,433,761,2107,757,1144,847,1879,3840,1969,2746,1393,47041,125138,49052,66276,44308
2014-03-27,2013-11-26,2014-06-03,0.72302116296,0.659435656021,0.817421531152,0.913533011911,0.862741225352,0.803347008604,0.872647701518,0.943957105282,1863,647,661,433,1478,2107,757,1144,847,2424,3840,1969,2746,1393,2701,125138,49052,66276,44308,114931
2014-06-03,2014-03-27,2014-09-10,0.691955164985,0.870647622113,0.946477691197,0.924870378048,0.839583294321,0.926556647369,0.973567641548,0.942979365341,647,661,433,1478,588,757,1144,847,2424,1210,1969,2746,1393,2701,1904,49052,66276,44308,114931,59404
2014-09-10,2014-06-03,2014-12-08,0.830610646063,0.906122122257,0.89933432776,0.944880637193,0.896238902957,0.949891509224,0.934961123125,0.968890648679,661,433,1478,588,845,1144,847,2424,1210,2073,2746,1393,2701,1904,3243,66276,44308,114931,59404,96319
2014-12-08,2014-09-10,2015-03-26,0.926401478052,0.899392614971,0.949249063647,0.946850535355,0.963056437631,0.934588738753,0.973320096964,0.976650173501,433,1478,588,845,748,847,2424,1210,2073,2028,1393,2701,1904,3243,2478,44308,114931,59404,96319,87184
2015-03-26,2014-12-08,2015-06-03,0.947890612329,0.894493924968,0.897608804604,0.89817778305,0.970402236416,0.919248248636,0.934938137849,0.933612663877,1478,588,845,748,1376,2424,1210,2073,2028,2995,2701,1904,3243,2478,2983,114931,59404,96319,87184,126513
2015-06-03,2015-03-26,2015-09-03,0.943708072648,0.926629765509,0.932160311508,0.939455716693,0.962020460202,0.957645444076,0.96205449681,0.952410376281,588,845,748,1376,616,1210,2073,2028,2995,1792,1904,3243,2478,2983,2368,59404,96319,87184,126513,75832
2015-09-03,2015-06-03,2015-12-04,0.912460129581,0.892543109473,0.897804777409,0.949518463848,0.949802752218,0.94010696328,0.930447549712,0.972796841661,845,748,1376,616,645,2073,2028,2995,1792,1903,3243,2478,2983,2368,2382,96319,87184,126513,75832,80641
2015-12-04,2015-09-03,2016-03-24,0.910186184368,0.900695705068,0.952587401835,0.96406094397,0.951131752272,0.932232900804,0.975616022112,0.985146584072,748,1376,616,645,619,2028,2995,1792,1903,2054,2478,2983,2368,2382,2401,87184,126513,75832,80641,80504
