filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-17,1994-12-15,1995-07-25,0.504853127111,0.241933432562,0.113870461196,0.658785533403,0.859784664041,0.540017413753,0.257087548486,0.906113104531,13,133,64,14,12,2,120,278,2,4,6,305,663,7,6,1012,8722,9552,1138,1089
1995-07-25,1995-03-17,1995-09-12,0.701082462724,0.237888709969,0.260721698592,0.256659161035,0.869976106143,0.358718502812,0.532319271988,0.538911297673,133,64,14,12,70,120,278,2,4,77,305,663,7,6,337,8722,9552,1138,1089,8392
1995-09-12,1995-07-25,1995-12-13,0.123656872802,0.551678489212,0.528268289526,0.2520144177,0.267917808225,0.869401138686,0.861191153707,0.52911045464,64,14,12,70,8,278,2,4,77,3,663,7,6,337,8,9552,1138,1089,8392,1032
1995-12-13,1995-09-12,1996-03-15,0.517609373462,0.45733662591,0.260702319703,0.52204850204,0.857543017909,0.822230123782,0.566621537023,0.850235516224,14,12,70,8,16,2,4,77,3,13,7,6,337,8,7,1138,1089,8392,1032,1373
1996-03-15,1995-12-13,1996-07-22,0.501965548359,0.249255491197,0.53470204046,0.594291115041,0.862742064373,0.547261499354,0.864788647867,0.888620647642,12,70,8,16,14,4,77,3,13,13,6,337,8,7,7,1089,8392,1032,1373,1224
1996-07-22,1996-03-15,1996-09-13,0.7682938598,0.248963324096,0.253180477808,0.251475447196,0.890331751381,0.536278920298,0.558232166385,0.552521817366,70,8,16,14,48,77,3,13,13,72,337,8,7,7,159,8392,1032,1373,1224,5685
1996-09-13,1996-07-22,1996-12-13,0.504352588015,0.441143522077,0.44670846311,0.30556936021,0.843110616347,0.799490585855,0.809615450291,0.589139690188,8,16,14,48,11,3,13,13,72,18,8,7,7,159,8,1032,1373,1224,5685,1291
1996-12-13,1996-09-13,1997-03-12,0.489568577174,0.437693004041,0.303178347422,0.670864520482,0.837324549262,0.807886333007,0.581853112165,0.897838040377,16,14,48,11,11,13,13,72,18,23,7,7,159,8,8,1373,1224,5685,1291,1392
1997-03-12,1996-12-13,1997-07-23,0.464353475147,0.294776661208,0.652940930805,0.75103366905,0.831714394556,0.56462785249,0.892976682435,0.922643709608,14,48,11,11,10,13,72,18,23,20,7,159,8,8,8,1224,5685,1291,1392,1325
1997-07-23,1997-03-12,1997-09-12,0.751762619305,0.293861938737,0.298965263089,0.2938389223,0.888951392777,0.584307145381,0.584978140091,0.571321294192,48,11,11,10,84,72,18,23,20,104,159,8,8,8,225,5685,1291,1392,1325,7522
1997-09-12,1997-07-23,1997-12-11,0.442836957666,0.410213279803,0.416190183899,0.2671224052,0.810410422153,0.771588467671,0.77180160469,0.566640838076,11,11,10,84,15,18,23,20,104,4,8,8,8,225,7,1291,1392,1325,7522,1176
1997-12-11,1997-09-12,1998-03-16,0.464352627971,0.418033676816,0.268260541333,0.74800149767,0.819729668165,0.782542175323,0.577639143723,0.914565919214,11,10,84,15,16,23,20,104,4,7,8,8,225,7,7,1392,1325,7522,1176,1397
1998-03-16,1997-12-11,1998-07-24,0.369941848921,0.242464343829,0.482442524896,0.537529032561,0.721525789765,0.541614399249,0.793442025412,0.81721162589,10,84,15,16,25,20,104,4,7,12,8,225,7,7,12,1325,7522,1176,1397,1685
1998-07-24,1998-03-16,1998-09-11,0.752342960845,0.30110488743,0.303703077578,0.404738793118,0.885812689416,0.616630723513,0.627626895582,0.670076293159,84,15,16,25,75,104,4,7,12,71,225,7,7,12,126,7522,1176,1397,1685,6324
1998-09-11,1998-07-24,1998-12-11,0.542072314716,0.489907467747,0.533629316745,0.333157281857,0.859241951869,0.831919547928,0.821200857772,0.631311888673,15,16,25,75,17,4,7,12,71,8,7,7,12,126,7,1176,1397,1685,6324,1372
1998-12-11,1998-09-11,1999-03-12,0.252891613458,0.222954124927,0.210129911805,0.299075895545,0.51862250425,0.473568324431,0.465912781484,0.51305569607,16,25,75,17,50,7,12,71,8,73,7,12,126,7,148,1397,1685,6324,1372,4714
1999-03-12,1998-12-11,1999-07-23,0.542689703288,0.368992305449,0.632548041609,0.32415705047,0.847584185139,0.673019970245,0.866679713828,0.516050423654,25,75,17,50,23,12,71,8,73,18,12,126,7,148,7,1685,6324,1372,4714,1666
1999-07-23,1999-03-12,1999-09-10,0.889155211108,0.337097068814,0.253764889672,0.424791039586,0.968567771477,0.635581823921,0.513205431095,0.687970597074,75,17,50,23,79,71,8,73,18,74,126,7,148,7,140,6324,1372,4714,1666,7108
1999-09-10,1999-07-23,1999-12-13,0.194818032873,0.285852759218,0.214602881864,0.2801819054,0.3949151263,0.499482860694,0.428355461789,0.521817141081,17,50,23,79,215,8,73,18,74,458,7,148,7,140,913,1372,4714,1666,7108,15864
1999-12-13,1999-09-10,2000-03-15,0.240197580976,0.336368975269,0.268785206311,0.225398129681,0.568257462658,0.681905985309,0.588488871731,0.461229764737,50,23,79,215,26,73,18,74,458,29,148,7,140,913,57,4714,1666,7108,15864,2535
2000-03-15,1999-12-13,2000-07-11,0.483342875382,0.329886367031,0.20974614534,0.444536522721,0.823870676019,0.636789529356,0.418510689755,0.749389252519,23,79,215,26,24,18,74,458,29,5,7,140,913,57,7,1666,7108,15864,2535,1628
2000-07-11,2000-03-15,2000-09-12,0.898616935754,0.278910818894,0.276861338008,0.38963590754,0.974017951256,0.519948243473,0.603857698133,0.671127429475,79,215,26,24,80,74,458,29,5,55,140,913,57,7,136,7108,15864,2535,1628,7258
2000-09-12,2000-07-11,2000-12-12,0.200631972608,0.350410057083,0.533732352578,0.366322427888,0.424149063611,0.70754457807,0.833408508838,0.67050724978,215,26,24,80,14,458,29,5,55,7,913,57,7,136,9,15864,2535,1628,7258,1530
2000-12-12,2000-09-12,2001-03-16,0.359909054545,0.207637679638,0.289306846318,0.237421975641,0.56435008891,0.428815534841,0.529736080817,0.459776498968,26,24,80,14,193,29,5,55,7,495,57,7,136,9,1235,2535,1628,7258,1530,20454
2001-03-16,2000-12-12,2001-07-24,0.438084545344,0.328106438903,0.537072977083,0.241275467371,0.82288076501,0.647190767432,0.808339371905,0.447818046562,24,80,14,193,18,5,55,7,495,6,7,136,9,1235,11,1628,7258,1530,20454,1745
2001-07-24,2001-03-16,2001-09-12,0.88074273424,0.345490416273,0.295497040716,0.373301535507,0.962908707256,0.647081758007,0.531862163088,0.675016804547,80,14,193,18,76,55,7,495,6,58,136,9,1235,11,126,7258,1530,20454,1745,7637
2001-09-12,2001-07-24,2001-12-07,0.435141713077,0.167980289504,0.362575198365,0.364138489949,0.75170650334,0.358134617276,0.751448179289,0.6461762177,14,193,18,76,21,7,495,6,58,14,9,1235,11,126,7,1530,20454,1745,7637,1380
2001-12-07,2001-09-12,2002-03-11,0.336462029924,0.300945359376,0.358353113639,0.487624607461,0.602218674785,0.667081308728,0.677443514075,0.720987738576,193,18,76,21,29,495,6,58,14,38,1235,11,126,7,83,20454,1745,7637,1380,2795
2002-03-11,2001-12-07,2002-07-26,0.373048895773,0.358993876106,0.565807619323,0.520730622999,0.772479023016,0.678376710663,0.821532091662,0.772579848829,18,76,21,29,28,6,58,14,38,20,11,126,7,83,16,1745,7637,1380,2795,2145
2002-07-26,2002-03-11,2002-09-13,0.742508714886,0.3820534921,0.405893413285,0.46209425707,0.913436981106,0.653749180831,0.707661960656,0.739776797099,76,21,29,28,113,58,14,38,20,112,126,7,83,16,86,7637,1380,2795,2145,9727
2002-09-13,2002-07-26,2002-12-13,0.263444108881,0.292831413324,0.289629246311,0.336335651465,0.540716019468,0.650478232538,0.622557710335,0.66528275389,21,29,28,113,88,14,38,20,112,249,7,83,16,86,139,1380,2795,2145,9727,6131
2002-12-13,2002-09-13,2003-03-13,0.402964732065,0.269307404284,0.342945183952,0.322826160347,0.732062025981,0.573531069864,0.638876693409,0.633090788685,29,28,113,88,72,38,20,112,249,135,83,16,86,139,170,2795,2145,9727,6131,6753
2003-03-13,2002-12-13,2003-07-24,0.442047285074,0.417978051343,0.415191580242,0.505009687016,0.774490097937,0.724553347218,0.703059114908,0.709161598878,28,113,88,72,46,20,112,249,135,85,16,86,139,170,17,2145,9727,6131,6753,3892
2003-07-24,2003-03-13,2003-07-28,0.664394386868,0.364709475079,0.405590028658,0.470314832787,0.86960473915,0.714420717154,0.686524375733,0.736321360802,113,88,72,46,196,112,249,135,85,342,86,139,170,17,377,9727,6131,6753,3892,16131
2003-07-28,2003-07-24,2003-09-11,0.162330826156,0.227578772987,0.11955509831,0.267379216174,0.437153053494,0.469452409139,0.329398713837,0.488947278887,88,72,46,196,17,249,135,85,342,73,139,170,17,377,165,6131,6753,3892,16131,2182
2003-09-11,2003-07-28,2003-12-11,0.318319003783,0.544610567777,0.37700351438,0.112822252269,0.591014462103,0.815053402883,0.638515715352,0.295458896721,72,46,196,17,42,135,85,342,73,50,170,17,377,165,16,6753,3892,16131,2182,3139
2003-12-11,2003-09-11,2004-03-11,0.538604257012,0.377225050085,0.108110566154,0.753914388133,0.804705538284,0.625757544566,0.278339890535,0.917788265343,46,196,17,42,44,85,342,73,50,69,17,377,165,16,29,3892,16131,2182,3139,3608
2004-03-11,2003-12-11,2004-07-13,0.375722666763,0.108842103394,0.667641121791,0.734583368594,0.652836213204,0.292030395074,0.891970520117,0.913120166746,196,17,42,44,63,342,73,50,69,74,377,165,16,29,33,16131,2182,3139,3608,4184
2004-07-13,2004-03-11,2004-09-09,0.262674017632,0.399453580871,0.417753643632,0.435182336763,0.493992109861,0.656973299707,0.655370870162,0.69564981079,17,42,44,63,230,73,50,69,74,278,165,16,29,33,453,2182,3139,3608,4184,16315
2004-09-09,2004-07-13,2004-12-09,0.141022227066,0.140204789267,0.154821770758,0.29980078191,0.327154487159,0.316941975368,0.354965519371,0.523781935253,42,44,63,230,548,50,69,74,278,1899,16,29,33,453,3923,3139,3608,4184,16315,65422
2004-12-09,2004-09-09,2005-03-11,0.505711168547,0.483908724695,0.469516428584,0.272835310897,0.759952881032,0.765759823225,0.75127359932,0.503582655534,44,63,230,548,65,69,74,278,1899,140,29,33,453,3923,163,3608,4184,16315,65422,6341
2005-03-11,2004-12-09,2005-07-12,0.588393448998,0.452659386919,0.194658398921,0.700376833817,0.857810424928,0.704462070452,0.394092171945,0.860363274088,63,230,548,65,44,74,278,1899,140,88,33,453,3923,163,25,4184,16315,65422,6341,5088
2005-07-12,2005-03-11,2005-09-08,0.442722606844,0.34926053403,0.338127827336,0.293061037124,0.716975765768,0.650611060551,0.639005596256,0.556630075529,230,548,65,44,414,278,1899,140,88,1408,453,3923,163,25,1930,16315,65422,6341,5088,38469
2005-09-08,2005-07-12,2005-12-09,0.175730835044,0.607959337722,0.724993279259,0.284993552612,0.351552673668,0.798403803817,0.877938153442,0.544414799071,548,65,44,414,35,1899,140,88,1408,68,3923,163,25,1930,15,65422,6341,5088,38469,3956
2005-12-09,2005-09-08,2006-03-10,0.645751201835,0.713030534931,0.273845598872,0.851944253008,0.833488538883,0.882215372007,0.532314308451,0.94498534588,65,44,414,35,43,140,88,1408,68,71,163,25,1930,15,15,6341,5088,38469,3956,4297
2006-03-10,2005-12-09,2006-06-30,0.618037648725,0.294921580637,0.66373580274,0.686669690636,0.861898497345,0.597286223296,0.865848910512,0.872891418626,44,414,35,43,67,88,1408,68,71,118,25,1930,15,15,180,5088,38469,3956,4297,5833
2006-06-30,2006-03-10,2006-09-08,0.446427899448,0.537778429801,0.522568508713,0.463474058078,0.710754161577,0.739539760133,0.724250300838,0.713170382671,414,35,43,67,310,1408,68,71,118,410,1930,15,15,180,293,38469,3956,4297,5833,21101
2006-09-08,2006-06-30,2006-12-08,0.181187116991,0.165202284659,0.186186164252,0.191185428992,0.406329934429,0.390121506747,0.453088514972,0.422265639138,35,43,67,310,160,68,71,118,410,627,15,15,180,293,893,3956,4297,5833,21101,15322
2006-12-08,2006-09-08,2007-03-09,0.64105469544,0.494567058269,0.555742517544,0.212930947125,0.842197388286,0.768869521114,0.76637968155,0.440255313416,43,67,310,160,58,71,118,410,627,102,15,180,293,893,27,4297,5833,21101,15322,5571
2007-03-09,2006-12-08,2007-06-26,0.535594707849,0.558480191574,0.212825614018,0.851324921276,0.798748926951,0.765248165746,0.439045248673,0.932719968231,67,310,160,58,62,118,410,627,102,108,180,293,893,27,23,5833,21101,15322,5571,5415
2007-06-26,2007-03-09,2007-09-07,0.648037862893,0.272092481936,0.426131950187,0.430455742346,0.867201166071,0.539918165198,0.677840329937,0.678362577817,310,160,58,62,480,410,627,102,108,1067,293,893,27,23,1296,21101,15322,5571,5415,36645
2007-09-07,2007-06-26,2007-12-07,0.241304435569,0.226497290042,0.226033356102,0.385377863101,0.469999656614,0.422069032117,0.419942553206,0.666797486032,160,58,62,480,335,627,102,108,1067,827,893,27,23,1296,2177,15322,5571,5415,36645,31734
2007-12-07,2007-09-07,2008-03-11,0.601822117464,0.546377566758,0.434273246618,0.320641679298,0.830585719462,0.788229595939,0.724587381227,0.555004407995,58,62,480,335,66,102,108,1067,827,157,27,23,1296,2177,166,5571,5415,36645,31734,6861
2008-03-11,2007-12-07,2008-06-27,0.717906292053,0.425700441367,0.274764398568,0.684679270409,0.886450719472,0.683586181705,0.47517190202,0.855503627184,62,480,335,66,41,108,1067,827,157,86,23,1296,2177,166,27,5415,36645,31734,6861,4855
2008-06-27,2008-03-11,2008-09-09,0.656744459685,0.341011733385,0.507323146297,0.562777639119,0.876592915323,0.591228639779,0.772074042612,0.776766007779,480,335,66,41,369,1067,827,157,86,460,1296,2177,166,27,337,36645,31734,6861,4855,24410
2008-09-09,2008-06-27,2008-12-09,0.275415542996,0.573758580373,0.718664945554,0.556362603942,0.497838453863,0.81620525028,0.90113144064,0.791222721381,335,66,41,369,49,827,157,86,460,75,2177,166,27,337,20,31734,6861,4855,24410,4390
2008-12-09,2008-09-09,2009-03-10,0.288881209136,0.20148827526,0.300192496298,0.215585072522,0.491457562868,0.380043275392,0.509971167681,0.399235602076,66,41,369,49,977,157,86,460,75,3140,166,27,337,20,6716,6861,4855,24410,4390,89562
2009-03-10,2008-12-09,2009-06-26,0.342883238977,0.371444647724,0.341889031027,0.342471326366,0.562082695581,0.64307898399,0.561005467126,0.58686225597,41,369,49,977,421,86,460,75,3140,656,27,337,20,6716,979,4855,24410,4390,89562,19574
2009-06-26,2009-03-10,2009-09-08,0.790914613347,0.525125294374,0.36023517642,0.396810203116,0.949904185118,0.756374348206,0.560033755408,0.664166862084,369,49,977,421,441,460,75,3140,656,589,337,20,6716,979,593,24410,4390,89562,19574,30789
2009-09-08,2009-06-26,2009-12-08,0.710934004509,0.204993702055,0.325548639737,0.567713927066,0.895747559765,0.386276615636,0.5439310128,0.775292746961,49,977,421,441,71,75,3140,656,589,94,20,6716,979,593,40,4390,89562,19574,30789,5664
2009-12-08,2009-09-08,2010-03-11,0.202672311148,0.317841901726,0.544403038702,0.796316594179,0.378580968502,0.540055134907,0.756755017655,0.913535819497,977,421,441,71,83,3140,656,589,94,95,6716,979,593,40,60,89562,19574,30789,5664,6556
2010-03-11,2009-12-08,2010-06-24,0.331323671707,0.532599194431,0.781455795166,0.79886074683,0.545967544015,0.739686506196,0.907937635126,0.920248975711,421,441,71,83,94,656,589,94,95,118,979,593,40,60,43,19574,30789,5664,6556,6672
2010-06-24,2010-03-11,2010-09-09,0.856749178367,0.604935372083,0.598859728741,0.598709570579,0.964726398501,0.793384240948,0.785135504548,0.773449225614,441,71,83,94,445,589,94,95,118,624,593,40,60,43,365,30789,5664,6556,6672,27700
2010-09-09,2010-06-24,2010-12-10,0.536255779319,0.485377200386,0.485118318492,0.496538041948,0.747722611858,0.703455754453,0.694503594868,0.728062763922,71,83,94,445,478,94,95,118,624,723,40,60,43,365,1198,5664,6556,6672,27700,28789
2010-12-10,2010-09-09,2011-03-11,0.65508684515,0.595769593004,0.504719935209,0.662282090324,0.799066993383,0.759284582136,0.671046669713,0.811660065875,83,94,445,478,359,95,118,624,723,525,60,43,365,1198,248,6556,6672,27700,28789,18479
2011-03-11,2010-12-10,2011-06-28,0.539730473188,0.465435737732,0.558687814212,0.642307873907,0.724396495644,0.690087301741,0.780279024279,0.792830165388,94,445,478,359,792,118,624,723,525,1179,43,365,1198,248,1231,6672,27700,28789,18479,34997
2011-06-28,2011-03-11,2011-09-08,0.360781925197,0.31373459398,0.374748654363,0.323482199562,0.560215917471,0.5570258022,0.594055505119,0.569171633607,445,478,359,792,1796,624,723,525,1179,2216,365,1198,248,1231,1308,27700,28789,18479,34997,102737
2011-09-08,2011-06-28,2011-12-09,0.322376686956,0.404824975381,0.298787836525,0.933096010182,0.537221851629,0.608656777672,0.512309392243,0.935819928225,478,359,792,1796,504,723,525,1179,2216,924,1198,248,1231,1308,529,28789,18479,34997,102737,38416
2011-12-09,2011-09-08,2012-03-09,0.22973881904,0.164654382751,0.543545364746,0.567602674468,0.429395932451,0.358022382057,0.673767561109,0.708166073399,359,792,1796,504,999,525,1179,2216,924,1235,248,1231,1308,529,2124,18479,34997,102737,38416,62000
2012-03-09,2011-12-09,2012-06-25,0.177098268721,0.549233746364,0.572152394277,0.994184233744,0.374407652587,0.682071280651,0.71559975214,0.994079748576,792,1796,504,999,1040,1179,2216,924,1235,1320,1231,1308,529,2124,2151,34997,102737,38416,62000,64323
2012-06-25,2012-03-09,2012-09-06,0.551252503203,0.531510436262,0.983237186454,0.984031737317,0.702385087377,0.675299535596,0.975697894582,0.9770343215,1796,504,999,1040,2624,2216,924,1235,1320,2560,1308,529,2124,2151,4608,102737,38416,62000,64323,142127
2012-09-06,2012-06-25,2012-12-04,0.572594803162,0.989026577493,0.990642298286,0.981693095468,0.71548014958,0.988531906156,0.99080847018,0.976993774303,504,999,1040,2624,883,924,1235,1320,2560,1147,529,2124,2151,4608,2215,38416,62000,64323,142127,61208
2012-12-04,2012-09-06,2013-03-01,0.724254356258,0.723811800065,0.715459014435,0.725401436965,0.851595745711,0.849979886831,0.833219587927,0.850680292684,999,1040,2624,883,878,1235,1320,2560,1147,1244,2124,2151,4608,2215,1984,62000,64323,142127,61208,64478
2013-03-01,2012-12-04,2013-06-21,0.31287556566,0.309093593742,0.313025006953,0.872500913139,0.459943334132,0.450915125199,0.459612876507,0.848283949424,1040,2624,883,878,1024,1320,2560,1147,1244,1425,2151,4608,2215,1984,2256,64323,142127,61208,64478,76672
2013-06-21,2013-03-01,2013-08-28,0.350150907765,0.346792742021,0.88632884257,0.996779173663,0.500910328637,0.494483051712,0.862976740963,0.992606412174,2624,883,878,1024,2395,2560,1147,1244,1425,2541,4608,2215,1984,2256,4474,142127,61208,64478,76672,155364
2013-08-28,2013-06-21,2013-11-27,0.716804890886,0.953139221963,0.828665613808,0.847267578472,0.801746370517,0.936445086293,0.808076155285,0.830936141081,883,878,1024,2395,1793,1147,1244,1425,2541,1914,2215,1984,2256,4474,5847,61208,64478,76672,155364,120660
2013-11-27,2013-08-28,2014-02-27,0.777698409859,0.974365163764,0.964591199146,0.723551114103,0.7468592738,0.966614837092,0.951950110105,0.686894210843,878,1024,2395,1793,546,1244,1425,2541,1914,1238,1984,2256,4474,5847,1393,64478,76672,155364,120660,58745
2014-02-27,2013-11-27,2014-06-23,0.974953491816,0.965885681509,0.723026822686,0.997756095765,0.967606206815,0.953109264498,0.686717956545,0.997239710073,1024,2395,1793,546,748,1425,2541,1914,1238,1301,2256,4474,5847,1393,1626,76672,155364,120660,58745,61018
2014-06-23,2014-02-27,2014-08-27,0.967616164181,0.723571551508,0.992793590151,0.996158394977,0.960641136754,0.689366405511,0.989464945963,0.992244045216,2395,1793,546,748,1706,2541,1914,1238,1301,2377,4474,5847,1393,1626,2725,155364,120660,58745,61018,131416
2014-08-27,2014-06-23,2014-11-26,0.464137509351,0.2175717957,0.216338042782,0.222039605574,0.606655161206,0.369090744735,0.36778605337,0.375168066491,1793,546,748,1706,695,1914,1238,1301,2377,1321,5847,1393,1626,2725,2023,120660,58745,61018,131416,55204
2014-11-26,2014-08-27,2015-02-27,0.220231839698,0.217288419993,0.222580147681,0.977801093759,0.37332462509,0.368853345766,0.37454119541,0.980983934817,546,748,1706,695,634,1238,1301,2377,1321,1180,1393,1626,2725,2023,1251,58745,61018,131416,55204,47683
2015-02-27,2014-11-26,2015-06-25,0.215614805182,0.220773935784,0.965522990594,0.979641152914,0.368057762009,0.373456902932,0.975091842103,0.985986884851,748,1706,695,634,704,1301,2377,1321,1180,1316,1626,2725,2023,1251,1325,61018,131416,55204,47683,52440
2015-06-25,2015-02-27,2015-09-02,0.220616313374,0.9127184485,0.913887496791,0.928768035406,0.381368685328,0.927144652102,0.920687434986,0.934253234301,1706,695,634,704,2119,2377,1321,1180,1316,3076,2725,2023,1251,1325,3750,131416,55204,47683,52440,140088
2015-09-02,2015-06-25,2015-12-04,0.937344550094,0.943169190118,0.957096811552,0.960876139672,0.95904280632,0.960590765417,0.972486333777,0.957608707723,695,634,704,2119,546,1321,1180,1316,3076,1190,2023,1251,1325,3750,1325,55204,47683,52440,140088,51519
2015-12-04,2015-09-02,2016-03-03,0.944161849814,0.956219991327,0.955115813053,0.99077988385,0.966036997944,0.973046745325,0.951970784013,0.99289831432,634,704,2119,546,643,1180,1316,3076,1190,1190,1251,1325,3750,1325,1275,47683,52440,140088,51519,53475
