filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1998-08-14,1998-05-15,1998-11-16,0.261443071508,0.378500531803,0.348872236473,0.656568878833,0.518026210921,0.627052001805,0.55350413348,0.80741975624,39,19,105,9,11,212,46,274,45,75,323,30,293,26,31,7308,3956,15923,3799,5543
1998-11-16,1998-08-14,1999-03-30,0.592716876342,0.357347022749,0.620034754661,0.679321367254,0.776923105185,0.565421065336,0.791656179944,0.846995244053,19,105,9,11,26,46,274,45,75,86,30,293,26,31,34,3956,15923,3799,5543,6482
1999-03-30,1998-11-16,1999-05-14,0.761155022424,0.549723151831,0.521812037072,0.546656886066,0.890623476279,0.72163162803,0.691566871878,0.71284791775,105,9,11,26,98,274,45,75,86,198,293,26,31,34,84,15923,3799,5543,6482,14843
1999-05-14,1999-03-30,1999-06-15,0.596702889598,0.478965388106,0.504962202223,0.563766936763,0.839125809937,0.753334403261,0.765407367675,0.777693473457,9,11,26,98,20,45,75,86,198,52,26,31,34,84,28,3799,5543,6482,14843,4119
1999-06-15,1999-05-14,1999-08-16,0.373240227937,0.381645340857,0.827645081045,0.430832562542,0.578351168493,0.590162348006,0.934067565225,0.684466292085,11,26,98,20,84,75,86,198,52,175,31,34,84,28,101,5543,6482,14843,4119,13476
1999-08-16,1999-06-15,1999-09-28,0.565657895758,0.52114160844,0.682266690143,0.376779526914,0.80528920159,0.726639814129,0.861896933586,0.619391202052,26,98,20,84,24,86,198,52,175,52,34,84,28,101,22,6482,14843,4119,13476,4646
1999-09-28,1999-08-16,1999-11-15,0.783591842659,0.413230304175,0.933206530985,0.359002488422,0.907949672883,0.661946371834,0.970417349812,0.595155850795,98,20,84,24,97,198,52,175,52,205,84,28,101,22,107,14843,4119,13476,4646,15998
1999-11-15,1999-09-28,2000-03-16,0.653211353424,0.380762999236,0.728418469341,0.365056230022,0.852425504959,0.622494425778,0.876547273482,0.601929839665,20,84,24,97,19,52,175,52,205,57,28,101,22,107,21,4119,13476,4646,15998,4875
2000-03-16,1999-11-15,2000-04-28,0.718792581627,0.483921799274,0.713513201848,0.496833148907,0.886163046393,0.692925613798,0.88532236821,0.703775107812,84,24,97,19,195,175,52,205,57,407,101,22,107,21,369,13476,4646,15998,4875,21761
2000-04-28,2000-03-16,2000-07-27,0.506137667716,0.428224297188,0.515655353851,0.541164488491,0.749654279575,0.665617272246,0.765348065553,0.750105282441,24,97,19,195,34,52,205,57,407,30,22,107,21,369,33,4646,15998,4875,21761,4275
2000-07-27,2000-04-28,2000-11-13,0.391919254678,0.533666994625,0.510566976551,0.693678877728,0.627658159703,0.800380947961,0.721344761709,0.849879498033,97,19,195,34,47,205,57,407,30,46,107,21,369,33,32,15998,4875,21761,4275,5554
2000-11-13,2000-07-27,2001-03-19,0.519661534779,0.521769886216,0.640066475945,0.707917260981,0.796274223666,0.764794692115,0.843193250004,0.845955976451,19,195,34,47,52,57,407,30,46,56,21,369,33,32,41,4875,21761,4275,5554,5784
2001-03-19,2000-11-13,2001-05-04,0.780215504217,0.568039990638,0.575660879046,0.697997976093,0.914488717598,0.766270284731,0.746540365729,0.846073495442,195,34,47,52,159,407,30,46,56,207,369,33,32,41,111,21761,4275,5554,5784,16504
2001-05-04,2001-03-19,2001-08-02,0.693954198124,0.608672670069,0.707246432441,0.655239764005,0.889858598317,0.799235307656,0.885130451783,0.826536037192,34,47,52,159,39,30,46,56,207,56,33,32,41,111,33,4275,5554,5784,16504,5645
2001-08-02,2001-05-04,2001-11-14,0.695198679556,0.698825073807,0.641333331619,0.851181105896,0.884174015231,0.886829930392,0.821133853875,0.918717570954,47,52,159,39,44,46,56,207,56,62,32,41,111,33,32,5554,5784,16504,5645,6383
