filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-27,1994-11-14,1995-05-16,0.5623797768,0.209288861876,0.180405393661,0.177745893296,0.753500795848,0.436986302435,0.365670832891,0.366667115469,209,10,14,19,159,324,4,1,3,296,445,9,5,5,735,15705,1110,1064,1256,17012
1995-05-16,1995-03-27,1995-08-14,0.454799306993,0.408348340321,0.425371902845,0.232159588565,0.823699384413,0.749807587794,0.777887815252,0.476589614437,10,14,19,159,25,4,1,3,296,2,9,5,5,735,11,1110,1064,1256,17012,1343
1995-08-14,1995-05-16,1995-11-14,0.160535277515,0.152429466096,0.045365317448,0.142284162926,0.21770812539,0.229174588456,0.0841505133031,0.219598515604,14,19,159,25,0,1,3,296,2,0,5,5,735,11,1,1064,1256,17012,1343,69
1995-11-14,1995-08-14,1996-03-28,0.0558493524263,0.167851974969,0.0608687027836,0.0233634789182,0.165456211813,0.316992442336,0.175773549916,0.0594159355102,19,159,25,0,287,3,296,2,0,987,5,735,11,1,2166,1256,17012,1343,69,29960
1996-03-28,1995-11-14,1996-05-14,0.69395531016,0.213433932136,0.0784206154314,0.230968544834,0.827353130585,0.418601150412,0.133857715036,0.412057201911,159,25,0,287,337,296,2,0,987,486,735,11,1,2166,1161,17012,1343,69,29960,23411
1996-05-14,1996-03-28,1996-08-13,0.458806279747,0.11211458351,0.0724231122686,0.258819449726,0.801921783474,0.189028192812,0.196211725876,0.456524371797,25,0,287,337,22,2,0,987,486,11,11,1,2166,1161,29,1343,69,29960,23411,1723
1996-08-13,1996-05-14,1996-11-12,0.105964719719,0.0702909267346,0.236669852494,0.611131595443,0.163785707169,0.186038722506,0.412573305557,0.829248146387,0,287,337,22,17,0,987,486,11,17,1,2166,1161,29,30,69,29960,23411,1723,1820
1996-11-12,1996-08-13,1997-03-27,0.339336178848,0.261134580119,0.31858881196,0.378634771941,0.526471832681,0.506631884034,0.604563945063,0.61827161085,287,337,22,17,34,987,486,11,17,37,2166,1161,29,30,203,29960,23411,1723,1820,2943
1997-03-27,1996-11-12,1997-05-13,0.860623664964,0.267919923853,0.267788689274,0.264859868513,0.929296269483,0.492846800114,0.454336853491,0.506281351909,337,22,17,34,216,486,11,17,37,346,1161,29,30,203,961,23411,1723,1820,2943,20963
1997-05-13,1997-03-27,1997-08-15,0.569117756626,0.528885936772,0.301072786143,0.273555455749,0.857824702973,0.806288244862,0.595975717066,0.473482658047,22,17,34,216,12,11,17,37,346,12,29,30,203,961,27,1723,1820,2943,20963,1540
1997-08-15,1997-05-13,1997-11-10,0.62964417011,0.27477527551,0.289124925518,0.621351242988,0.889087941427,0.574193411413,0.500305807117,0.846575656176,17,34,216,12,15,17,37,346,12,24,30,203,961,27,38,1820,2943,20963,1540,2097
1997-11-10,1997-08-15,1998-03-27,0.33107552279,0.295751399087,0.639272452738,0.734359770597,0.624889290575,0.508483053812,0.861345930865,0.889538238681,34,216,12,15,18,37,346,12,24,29,203,961,27,38,38,2943,20963,1540,2097,2198
1998-03-27,1997-11-10,1998-05-19,0.498389630693,0.162493407351,0.174453039131,0.180892181556,0.766339538866,0.356178513732,0.375919789767,0.385094640847,216,12,15,18,96,346,12,24,29,193,961,27,38,38,663,20963,1540,2097,2198,9168
1998-05-19,1998-03-27,1998-08-18,0.332851328929,0.320618298789,0.352154577036,0.309080670373,0.553877706026,0.551708415383,0.569676121995,0.587500302878,12,15,18,96,40,12,24,29,193,67,27,38,38,663,164,1540,2097,2198,9168,4060
1998-08-18,1998-05-19,1998-11-16,0.576806581283,0.515602365805,0.193934154897,0.367039031326,0.865614919397,0.812704391372,0.418892571719,0.581641466578,15,18,96,40,22,24,29,193,67,31,38,38,663,164,23,2097,2198,9168,4060,2615
1998-11-16,1998-08-18,1999-04-01,0.528726038819,0.184268976322,0.340628252247,0.631726777604,0.816305962057,0.396209592907,0.55749793254,0.850457723477,18,96,40,22,28,29,193,67,31,97,38,663,164,23,25,2198,9168,4060,2615,3319
1999-04-01,1998-11-16,1999-05-18,0.383888545656,0.353591268463,0.311246074926,0.358007160038,0.64766258178,0.603695778946,0.559228432895,0.585500743225,96,40,22,28,221,193,67,31,97,488,663,164,23,25,679,9168,4060,2615,3319,19897
1999-05-18,1999-04-01,1999-08-17,0.328089585241,0.48041326245,0.61871216545,0.42971383684,0.540200234525,0.76186873592,0.853131424637,0.642969798394,40,22,28,221,42,67,31,97,488,104,164,23,25,679,44,4060,2615,3319,19897,3677
1999-08-17,1999-05-18,1999-09-10,0.556442110058,0.591192859426,0.384158086934,0.724742538483,0.838184410629,0.854929899922,0.607054574386,0.89448724147,22,28,221,42,45,31,97,488,104,115,23,25,679,44,45,2615,3319,19897,3677,4020
1999-09-10,1999-08-17,1999-11-16,0.552864070859,0.634754569727,0.652271737315,0.585737662023,0.786843992697,0.76162956141,0.842201370145,0.808737452781,28,221,42,45,124,97,488,104,115,254,25,679,44,45,89,3319,19897,3677,4020,10192
1999-11-16,1999-09-10,2000-01-28,0.184041157259,0.109358202996,0.115993493392,0.114390744322,0.357234247565,0.236897192782,0.23062022432,0.242577220736,221,42,45,124,690,488,104,115,254,881,679,44,45,89,2060,19897,3677,4020,10192,34374
2000-01-28,1999-11-16,2000-03-29,0.61155497995,0.585521204287,0.547417812965,0.0993188839695,0.848891456714,0.852064478024,0.783483469211,0.219559982706,42,45,124,690,30,104,115,254,881,100,44,45,89,2060,27,3677,4020,10192,34374,3365
