filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2009-08-06,2009-05-08,2009-11-06,0.714575681676,0.332482568325,0.582983307675,0.84217499878,0.892403896789,0.479436833858,0.764724623452,0.931140842499,75,287,347,72,71,106,865,584,75,115,29,1365,673,33,39,6367,23299,26553,6427,6970
2009-11-06,2009-08-06,2010-03-01,0.334691158991,0.576703839665,0.799823191032,0.873753203885,0.487018070124,0.769571315488,0.928672251227,0.953240800005,287,347,72,71,81,865,584,75,115,119,1365,673,33,39,39,23299,26553,6427,6970,7513
2010-03-01,2009-11-06,2010-05-07,0.781499307105,0.64883908873,0.6584861771,0.680681913606,0.891842477111,0.826851665571,0.818627349298,0.843413426962,347,72,71,81,315,584,75,115,119,546,673,33,39,39,362,26553,6427,6970,7513,24734
2010-05-07,2010-03-01,2010-08-09,0.687078022407,0.682668645964,0.710905744896,0.668780527507,0.860463365485,0.84444511946,0.871317682331,0.819614020087,72,71,81,315,58,75,115,119,546,108,33,39,39,362,34,6427,6970,7513,24734,6408
2010-08-09,2010-05-07,2010-11-04,0.0725107872416,0.0717152006969,0.0722283643777,0.0839602740353,0.103588370942,0.103497428608,0.1027236703,0.107374225251,71,81,315,58,182,115,119,546,108,7438,39,39,362,34,250,6970,7513,24734,6408,33393
2010-11-04,2010-08-09,2011-03-01,0.0730568853639,0.072118470051,0.083706583271,0.999686997153,0.104143104595,0.102411045905,0.107199243814,0.999867807632,81,315,58,182,194,119,546,108,7438,7547,39,362,34,250,250,7513,24734,6408,33393,33928
2011-03-01,2010-11-04,2011-05-05,0.599124915374,0.434700309235,0.203438569585,0.202645626362,0.768401280674,0.608064248331,0.188614910282,0.187639597156,315,58,182,194,830,546,108,7438,7547,1861,362,34,250,250,1840,24734,6408,33393,33928,74543
2011-05-05,2011-03-01,2011-08-09,0.31848858997,0.241253128762,0.239387184912,0.810782693553,0.491658765891,0.223757621137,0.222066163187,0.829369422308,58,182,194,830,148,108,7438,7547,1861,399,34,250,250,1840,231,6408,33393,33928,74543,21524
2011-08-09,2011-05-05,2011-11-09,0.0969551446737,0.0962128833393,0.322583966748,0.342423225254,0.125604935857,0.124714289703,0.460263152471,0.515234751394,182,194,830,148,593,7438,7547,1861,399,810,250,250,1840,231,1791,33393,33928,74543,21524,47524
2011-11-09,2011-08-09,2012-02-29,0.0893541895176,0.324585180089,0.319244103153,0.95690219754,0.120071214602,0.477559263391,0.499126937842,0.977169993673,194,830,148,593,709,7547,1861,399,810,1154,250,1840,231,1791,2622,33928,74543,21524,47524,58271
2012-02-29,2011-11-09,2012-05-09,0.382452924407,0.349913406323,0.982584699302,0.943990229176,0.538631106239,0.533893755974,0.981624277991,0.964204069408,830,148,593,709,1998,1861,399,810,1154,2107,1840,231,1791,2622,4589,74543,21524,47524,58271,131918
2012-05-09,2012-02-29,2012-08-09,0.341509669628,0.993887886684,0.953022935051,0.983382220864,0.515481801196,0.994286808956,0.972743304307,0.981923346689,148,593,709,1998,580,399,810,1154,2107,565,231,1791,2622,4589,1744,21524,47524,58271,131918,46830
2012-08-09,2012-05-09,2012-11-09,0.9944173868,0.952858948891,0.983814039566,0.997410767151,0.994574120019,0.972350235528,0.982514941547,0.997841791836,593,709,1998,580,606,810,1154,2107,565,590,1791,2622,4589,1744,1828,47524,58271,131918,46830,50179
2012-11-09,2012-08-09,2013-03-01,0.952840815283,0.983843178894,0.996675627948,0.998006723692,0.972899377664,0.983312185558,0.997499237762,0.998648754324,709,1998,580,606,626,1154,2107,565,590,634,2622,4589,1744,1828,1893,58271,131918,46830,50179,51796
2013-03-01,2012-11-09,2013-05-09,0.992763330015,0.978713392703,0.979513780188,0.979827081418,0.994291274144,0.9756362773,0.976630913544,0.977619258152,1998,580,606,626,2195,2107,565,590,634,2531,4589,1744,1828,1893,5331,131918,46830,50179,51796,139024
2013-05-09,2013-03-01,2013-08-09,0.995946021816,0.995471372213,0.99529243637,0.980735053895,0.996476226444,0.996184103352,0.996390460576,0.978973105864,580,606,626,2195,602,565,590,634,2531,612,1744,1828,1893,5331,1759,46830,50179,51796,139024,49325
2013-08-09,2013-05-09,2013-11-12,0.608019976956,0.611743448403,0.614452563904,0.620614628851,0.80318724291,0.804963345168,0.798779081132,0.811237196179,606,626,2195,602,401,590,634,2531,612,895,1828,1893,5331,1759,2196,50179,51796,139024,49325,60541
2013-11-12,2013-08-09,2014-03-03,0.632641783278,0.65341406055,0.64395889965,0.849336448982,0.79711325314,0.814348685763,0.806716950395,0.905142534056,626,2195,602,401,401,634,2531,612,895,859,1893,5331,1759,2196,1615,51796,139024,49325,60541,46102
2014-03-03,2013-11-12,2014-05-08,0.673123333024,0.644932644328,0.852415699052,0.948913522184,0.830271037663,0.806976730323,0.906734423197,0.96693991349,2195,602,401,401,1129,2531,612,895,859,1715,5331,1759,2196,1615,2320,139024,49325,60541,46102,92756
2014-05-08,2014-03-03,2014-08-07,0.658038237228,0.86942198008,0.967362126693,0.964280935875,0.819135999963,0.922423753434,0.980167980193,0.97578682123,602,401,401,1129,266,612,895,859,1715,560,1759,2196,1615,2320,974,49325,60541,46102,92756,37467
