filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-05-13,1997-02-11,1997-08-11,0.132869092109,0.391733496096,0.340171401151,0.439185593453,0.306589305905,0.609736147015,0.579119534476,0.694890419774,177,21,138,58,60,497,26,119,46,84,756,8,91,9,136,12694,1924,10614,2908,4912
1997-08-11,1997-05-13,1997-12-03,0.619480473693,0.446741340502,0.558887912301,0.516976861465,0.890174526513,0.75145337595,0.845918449898,0.674965560441,21,138,58,60,37,26,119,46,84,28,8,91,9,136,12,1924,10614,2908,4912,2740
1997-12-03,1997-08-11,1998-02-13,0.536299459693,0.330408196253,0.563901758889,0.346254491037,0.72218940291,0.627635884377,0.792917406252,0.577449887234,138,58,60,37,235,119,46,84,28,380,91,9,136,12,725,10614,2908,4912,2740,22891
1998-02-13,1997-12-03,1998-05-19,0.355208469435,0.363800008077,0.423503630307,0.373310850294,0.700034526674,0.615108925981,0.728749390876,0.647372157505,58,60,37,235,64,46,84,28,380,196,9,136,12,725,163,2908,4912,2740,22891,5204
1998-05-19,1998-02-13,1998-08-17,0.409996419269,0.502734961846,0.309027723622,0.541971074563,0.645156273612,0.834812637444,0.55547282839,0.761153914874,60,37,235,64,42,84,28,380,196,51,136,12,725,163,25,4912,2740,22891,5204,3707
1998-08-17,1998-05-19,1998-12-23,0.524182407947,0.31294369511,0.519397402855,0.730458559562,0.862360186752,0.575286150895,0.779951884357,0.919315029337,37,235,64,42,44,28,380,196,51,62,12,725,163,25,22,2740,22891,5204,3707,3976
1998-12-23,1998-08-17,1999-02-10,0.556664565923,0.360541944076,0.401524556531,0.430970927017,0.734235012709,0.656436820111,0.687984701292,0.725811950107,235,64,42,44,182,380,196,51,62,250,725,163,25,22,181,22891,5204,3707,3976,15915
1999-02-10,1998-12-23,1999-05-10,0.354781915389,0.433283079055,0.473135594155,0.498663059608,0.645860630092,0.75799023895,0.790767529041,0.740000171944,64,42,44,182,39,196,51,62,250,118,163,25,22,181,26,5204,3707,3976,15915,4049
1999-05-10,1999-02-10,1999-08-10,0.34247270124,0.325785058878,0.35476692943,0.494919998139,0.604460490668,0.592961005007,0.599502286625,0.664906455334,42,44,182,39,53,51,62,250,118,185,25,22,181,26,334,3707,3976,15915,4049,8276
1999-08-10,1999-05-10,1999-12-23,0.490374920848,0.44857463097,0.638281845004,0.507940108716,0.818895355078,0.746838321228,0.879174023212,0.683700326577,44,182,39,53,58,62,250,118,185,124,22,181,26,334,32,3976,15915,4049,8276,5474
1999-12-23,1999-08-10,2000-03-14,0.660979810669,0.370924089672,0.352015757642,0.418085162394,0.842316367565,0.648376538856,0.611718157503,0.687250368023,182,39,53,58,213,250,118,185,124,376,181,26,334,32,390,15915,4049,8276,5474,20802
2000-03-14,1999-12-23,2000-06-13,0.499373684222,0.355345566036,0.607599131468,0.37716419108,0.799575278316,0.591027325899,0.852791167395,0.632564424206,39,53,58,213,52,118,185,124,376,109,26,334,32,390,27,4049,8276,5474,20802,4399
2000-06-13,2000-03-14,2000-09-12,0.432235796974,0.429575176359,0.452450575467,0.455120082325,0.675895859466,0.646084840604,0.723767188573,0.62186794892,53,58,213,52,80,185,124,376,109,177,334,32,390,27,246,8276,5474,20802,4399,8261
2000-09-12,2000-06-13,2001-01-26,0.618281448792,0.371574758351,0.661492378026,0.515706335434,0.880277659419,0.643492683287,0.874377276263,0.654769168352,58,213,52,80,52,124,376,109,177,89,32,390,27,246,32,5474,20802,4399,8261,4995
2001-01-26,2000-09-12,2001-02-13,0.648729732492,0.513522953589,0.373667384116,0.484773233258,0.827126776296,0.762162636213,0.60259983033,0.750066745517,213,52,80,52,192,376,109,177,89,278,390,27,246,32,180,20802,4399,8261,4995,16676
2001-02-13,2001-01-26,2001-02-23,0.0772955035752,0.0941592325526,0.0720488418465,0.125245848499,0.190557957044,0.220880965165,0.177687805982,0.228646128016,52,80,52,192,3,109,177,89,278,3,27,246,32,180,15,4399,8261,4995,16676,380
2001-02-23,2001-02-13,2001-03-20,0.188681214832,0.104369686373,0.191597019647,0.287902888024,0.430094405889,0.266473853182,0.391710779701,0.453106122076,80,52,192,3,24,177,89,278,3,17,246,32,180,15,23,8261,4995,16676,380,2140
2001-03-20,2001-02-23,2001-06-15,0.539990995161,0.537374952169,0.0753728259447,0.114537767405,0.840460277894,0.775040937377,0.166921343329,0.267004678762,52,192,3,24,67,89,278,3,17,119,32,180,15,23,58,4995,16676,380,2140,5660
2001-06-15,2001-03-20,2001-09-18,0.307415063325,0.0822619322964,0.165668509732,0.370808529307,0.520994060277,0.199285135442,0.395920055756,0.526243698432,192,3,24,67,122,278,3,17,119,307,180,15,23,58,501,16676,380,2140,5660,14885
2001-09-18,2001-06-15,2001-12-20,0.0811800340273,0.170432998335,0.551987316436,0.669997340834,0.188352051121,0.382932331296,0.737713470836,0.826443268292,3,24,67,122,104,3,17,119,307,239,15,23,58,501,280,380,2140,5660,14885,10628
2001-12-20,2001-09-18,2002-01-25,0.166123583378,0.368817362256,0.998150111774,0.671775223922,0.396322102091,0.527856713602,0.999557248331,0.827718325754,24,67,122,104,127,17,119,307,239,314,23,58,501,280,505,2140,5660,14885,10628,14967
2002-01-25,2001-12-20,2002-03-01,0.521502876816,0.527168358621,0.71198152571,0.529435775921,0.74870611722,0.720052198063,0.856607984929,0.722301276483,67,122,104,127,270,119,307,239,314,588,58,501,280,505,521,5660,14885,10628,14967,23823
2002-03-01,2002-01-25,2002-03-18,0.135819470935,0.148633570519,0.13613347339,0.192587306884,0.331125932148,0.337791635937,0.331389571587,0.388464322851,122,104,127,270,22,307,239,314,588,11,501,280,505,521,24,14885,10628,14967,23823,1935
2002-03-18,2002-03-01,2002-06-17,0.519010469185,0.324475467371,0.551743923708,0.0979903934499,0.736094951604,0.533087529875,0.765234887044,0.243554311349,104,127,270,22,104,239,314,588,11,421,280,505,521,24,305,10628,14967,23823,1935,9665
2002-06-17,2002-03-18,2002-09-17,0.346703445528,0.507662263187,0.0940104317589,0.685959508528,0.55242963421,0.754712073822,0.232961099674,0.886026592955,127,270,22,104,140,314,588,11,421,490,505,521,24,305,345,14967,23823,1935,9665,11532
2002-09-17,2002-06-17,2002-09-20,0.504998026779,0.0924277026957,0.636075860961,0.684185042829,0.742244325546,0.224150284992,0.843026181453,0.885024151204,270,22,104,140,154,588,11,421,490,776,521,24,305,345,549,23823,1935,9665,11532,14898
2002-09-20,2002-09-17,2003-01-29,0.0938506572135,0.64793954381,0.697756160862,0.950246700858,0.223112401658,0.850649028173,0.889969225131,0.98300671072,22,104,140,154,127,11,421,490,776,489,24,305,345,549,316,1935,9665,11532,14898,12919
2003-01-29,2002-09-20,2003-01-31,0.413835602059,0.432162890528,0.477618415854,0.498470870162,0.727141299067,0.756171586187,0.770367579987,0.782292198868,104,140,154,127,372,421,490,776,489,827,305,345,549,316,826,9665,11532,14898,12919,32661
2003-01-31,2003-01-29,2003-02-28,0.432331481926,0.477876048731,0.498917804357,0.999891538955,0.756238151815,0.770474495812,0.782471543316,0.999968242295,140,154,127,372,372,490,776,489,827,827,345,549,316,826,830,11532,14898,12919,32661,32702
2003-02-28,2003-01-31,2003-03-18,0.0918251449269,0.0930627879287,0.147643293554,0.14806273689,0.214285015423,0.212561159851,0.314841478668,0.315401435534,154,127,372,372,19,776,489,827,827,29,549,316,826,830,26,14898,12919,32661,32702,2370
2003-03-18,2003-02-28,2003-06-16,0.520941813003,0.647606220117,0.648125318812,0.184462062825,0.724340405078,0.826704116433,0.827185653176,0.331221267871,127,372,372,19,90,489,827,827,29,225,316,826,830,26,195,12919,32661,32702,2370,10490
2003-06-16,2003-03-18,2003-07-09,0.439752048076,0.440399001654,0.167705759072,0.450456633462,0.724123053261,0.724686870235,0.313823609102,0.670882147462,372,372,19,90,80,827,827,29,225,267,826,830,26,195,141,32661,32702,2370,10490,10532
2003-07-09,2003-06-16,2003-09-15,0.497628438216,0.170049683118,0.508869829319,0.679649506314,0.764432409834,0.320865655691,0.710509082968,0.868491070084,372,19,90,80,98,827,29,225,267,272,830,26,195,141,146,32702,2370,10490,10532,11447
2003-09-15,2003-07-09,2004-01-29,0.179546296457,0.424053451407,0.634132293616,0.549035211953,0.380392067034,0.673638519676,0.803136591597,0.778664171345,19,90,80,98,116,29,225,267,272,419,26,195,141,146,372,2370,10490,10532,11447,15294
