filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-27,1994-11-14,1995-05-15,0.446555650681,0.296448727312,0.293356988568,0.290737357413,0.61744925319,0.419854907277,0.415319902513,0.410860218047,949,42,51,42,3190,2349,86,136,168,4103,5681,178,217,212,9598,126672,10127,11385,11488,210324
1995-05-15,1995-03-27,1995-08-14,0.882760418686,0.840156799558,0.843980878181,0.290871079368,0.970270150821,0.94847948447,0.952030940791,0.413740889256,42,51,42,3190,28,86,136,168,4103,79,178,217,212,9598,178,10127,11385,11488,210324,10646
1995-08-14,1995-05-15,1995-11-14,0.844958741323,0.809311934248,0.294757309095,0.900704405798,0.95838836761,0.938689092805,0.424808147471,0.964891834467,51,42,3190,28,34,136,168,4103,79,100,217,212,9598,178,192,11385,11488,210324,10646,11921
1995-11-14,1995-08-14,1996-03-25,0.824654374732,0.29038284014,0.876460347723,0.912778409077,0.952103288662,0.420228743058,0.957723756879,0.971511221882,42,3190,28,34,43,168,4103,79,100,121,212,9598,178,192,210,11488,210324,10646,11921,12801
1996-03-25,1995-11-14,1996-05-14,0.714358385836,0.44908878766,0.448698679193,0.442028452541,0.813818975237,0.61690442259,0.622546274367,0.615111668547,3190,28,34,43,1471,4103,79,100,121,2124,9598,178,192,210,6213,210324,10646,11921,12801,142724
1996-05-14,1996-03-25,1996-08-12,0.741498415477,0.693049097976,0.687066609537,0.451233659905,0.90515983173,0.876181077364,0.873060888977,0.607179851059,28,34,43,1471,32,79,100,121,2124,48,178,192,210,6213,102,10646,11921,12801,142724,9034
1996-08-12,1996-05-14,1996-11-13,0.74581231412,0.699809078184,0.460863694383,0.884730636056,0.905849777598,0.882121184825,0.619798851873,0.951789258436,34,43,1471,32,37,100,121,2124,48,75,192,210,6213,102,122,11921,12801,142724,9034,10059
1996-11-13,1996-08-12,1997-03-25,0.720500085469,0.462829693276,0.863474591599,0.904284530708,0.898470559792,0.623007670208,0.943434141516,0.967518720275,43,1471,32,37,43,121,2124,48,75,76,210,6213,102,122,134,12801,142724,9034,10059,10562
1997-03-25,1996-11-13,1997-05-14,0.560676054026,0.293971673456,0.306941624096,0.307835964304,0.792443657717,0.473892833475,0.494007475582,0.495453977315,1471,32,37,43,2058,2124,48,75,76,2510,6213,102,122,134,5692,142724,9034,10059,10562,153858
1997-05-14,1997-03-25,1997-08-13,0.879692442315,0.833406392165,0.847427448584,0.296192219149,0.963815766742,0.93244060667,0.939770879318,0.470999239154,32,37,43,2058,24,48,75,76,2510,50,102,122,134,5692,105,9034,10059,10562,153858,9440
