filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1999-08-13,1999-05-17,1999-11-12,0.483432792026,0.588423656505,0.43040205884,0.583500019916,0.809273299459,0.849182088179,0.686215341912,0.703683810595,28,36,400,92,34,86,96,558,264,88,99,75,974,336,73,3212,4264,31177,7560,4438
1999-11-12,1999-08-13,2000-03-29,0.605598320003,0.429560793723,0.53091808955,0.82758215122,0.87780664081,0.686405966397,0.682666401613,0.936634806942,36,400,92,34,39,96,558,264,88,77,75,974,336,73,71,4264,31177,7560,4438,4575
2000-03-29,1999-11-12,2000-05-05,0.682464470806,0.436952842048,0.538152920951,0.570545161577,0.84196522471,0.640913613406,0.790924218541,0.804224081463,400,92,34,39,206,558,264,88,77,264,974,336,73,71,361,31177,7560,4438,4575,20477
2000-05-05,2000-03-29,2000-08-14,0.41937215697,0.558038877798,0.596079668382,0.571651694059,0.628670621881,0.831863121152,0.845746958544,0.784928081093,92,34,39,206,32,264,88,77,264,60,336,73,71,361,59,7560,4438,4575,20477,4082
2000-08-14,2000-05-05,2000-11-13,0.524612390712,0.519355200915,0.50180497997,0.66673907741,0.85042011965,0.835296864745,0.778132009983,0.880019809751,34,39,206,32,48,88,77,264,60,103,73,71,361,59,77,4438,4575,20477,4082,5514
2000-11-13,2000-08-14,2001-03-13,0.535644950447,0.503739646423,0.611098188552,0.664528496325,0.86161273759,0.785973535132,0.855502070155,0.89429703672,39,206,32,48,57,77,264,60,103,103,71,361,59,77,97,4575,20477,4082,5514,6101
2001-03-13,2000-11-13,2001-05-04,0.789387572459,0.473423749387,0.445890828424,0.473327724011,0.924413957644,0.723232956376,0.72815568098,0.747573621268,206,32,48,57,225,264,60,103,103,545,361,59,77,97,747,20477,4082,5514,6101,27678
2001-05-04,2001-03-13,2001-08-10,0.545848474007,0.459209850033,0.486164692026,0.496550641204,0.84547327586,0.78905042162,0.795865435685,0.74813504222,32,48,57,225,40,60,103,103,545,68,59,77,97,747,84,4082,5514,6101,27678,3827
2001-08-10,2001-05-04,2001-11-14,0.500255147117,0.470491442701,0.486479300622,0.742971799842,0.841494465492,0.812479643817,0.755360484397,0.915327224879,48,57,225,40,50,103,103,545,68,88,77,97,747,84,111,5514,6101,27678,3827,4845
2001-11-14,2001-08-10,2002-03-19,0.508402326702,0.484465687952,0.633876107761,0.751674056837,0.854241064701,0.761346999488,0.86875742305,0.921426021965,57,225,40,50,56,103,545,68,88,118,97,747,84,111,131,6101,27678,3827,4845,6002
2002-03-19,2001-11-14,2002-05-10,0.678990163704,0.415926136613,0.433984952793,0.444045528628,0.86088557551,0.674846145104,0.698650920322,0.703168234924,225,40,50,56,514,545,68,88,118,1399,747,84,111,131,2035,27678,3827,4845,6002,46422
2002-05-10,2002-03-19,2002-08-13,0.543432330631,0.512701213183,0.490911633607,0.403542232905,0.848425163085,0.823027394009,0.805675102239,0.660723962366,40,50,56,514,29,68,88,118,1399,104,84,111,131,2035,104,3827,4845,6002,46422,4308
2002-08-13,2002-05-10,2002-11-08,0.542745072017,0.494924609645,0.410867336398,0.691457362448,0.86652628258,0.828051719063,0.676741136451,0.882981200199,50,56,514,29,59,88,118,1399,104,160,111,131,2035,104,171,4845,6002,46422,4308,5944
2002-11-08,2002-08-13,2003-02-26,0.272605196181,0.553381775725,0.303701802195,0.33806485813,0.445151055789,0.713695105977,0.462581865383,0.466365392602,56,514,29,59,353,118,1399,104,160,993,131,2035,104,171,1573,6002,46422,4308,5944,25148
2003-02-26,2002-11-08,2003-05-06,0.638887870641,0.480114572999,0.512669598959,0.378912279863,0.841414042105,0.750035443697,0.774139506908,0.522220065171,514,29,59,353,393,1399,104,160,993,647,2035,104,171,1573,1069,46422,4308,5944,25148,39803
2003-05-06,2003-02-26,2003-08-07,0.486529535459,0.494170600319,0.293286436297,0.544648162527,0.813301146848,0.808346775547,0.457457586192,0.806185792875,29,59,353,393,61,104,160,993,647,175,104,171,1573,1069,187,4308,5944,25148,39803,7394
2003-08-07,2003-05-06,2003-11-06,0.452830527364,0.473037005625,0.522795511047,0.58093150927,0.721599666177,0.647865683792,0.740126108134,0.75678583865,59,353,393,61,133,160,993,647,175,327,171,1573,1069,187,581,5944,25148,39803,7394,14603
2003-11-06,2003-08-07,2004-02-25,0.302137631113,0.549825057206,0.65398543151,0.607481682831,0.464096478261,0.810048123247,0.878678382217,0.76904515646,353,393,61,133,87,993,647,175,327,291,1573,1069,187,581,292,25148,39803,7394,14603,10835
2004-02-25,2003-11-06,2004-04-29,0.639932521042,0.477864116162,0.510975987967,0.515969666366,0.845356926041,0.733943893007,0.717577862574,0.741379741841,393,61,133,87,533,647,175,327,291,1395,1069,187,581,292,2389,39803,7394,14603,10835,55422
2004-04-29,2004-02-25,2004-08-05,0.614668637428,0.514166439919,0.629370898798,0.539458742362,0.894619995498,0.736341093509,0.863910380609,0.76059116813,61,133,87,533,96,175,327,291,1395,339,187,581,292,2389,359,7394,14603,10835,55422,9642
2004-08-05,2004-04-29,2004-11-04,0.552371150244,0.612212151664,0.506060087588,0.756588410393,0.776628915069,0.874257610527,0.734556601827,0.902444831956,133,87,533,96,102,327,291,1395,339,326,581,292,2389,359,347,14603,10835,55422,9642,11119
2004-11-04,2004-08-05,2005-02-23,0.3592054856,0.460829861696,0.388538512202,0.399279034166,0.528353908205,0.617344665092,0.540116200731,0.535876574717,87,533,96,102,540,291,1395,339,326,1418,292,2389,359,347,2167,10835,55422,9642,11119,35663
2005-02-23,2004-11-04,2005-05-04,0.486421647562,0.373452388768,0.371209140423,0.461897847957,0.72089432102,0.622873019966,0.613460720179,0.655618583234,533,96,102,540,602,1395,339,326,1418,1726,2389,359,347,2167,3474,55422,9642,11119,35663,72624
