filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-11-14,1994-08-25,1995-03-29,0.157867670734,0.652544630973,0.673224626495,0.358860632949,0.370742979029,0.899371462276,0.906192754349,0.642959904066,366,25,30,95,36,1046,20,20,107,11,2271,12,8,87,7,36655,1467,1590,6724,1591
1995-03-29,1994-11-14,1995-05-15,0.131491394246,0.133355468767,0.303065830377,0.142865086012,0.315453978377,0.307114622593,0.514478918295,0.326455105987,25,30,95,36,617,20,20,107,11,974,12,8,87,7,2465,1467,1590,6724,1591,44542
1995-05-15,1995-03-29,1995-08-09,0.42616186157,0.292750158967,0.463088260013,0.124690282855,0.809398889902,0.601723005506,0.831976389476,0.313841805575,30,95,36,617,34,20,107,11,974,16,8,87,7,2465,5,1590,6724,1591,44542,1349
1995-08-09,1995-05-15,1995-11-14,0.227823818976,0.266577268788,0.213946527077,0.284654658052,0.512622241311,0.564446222411,0.454539319965,0.593595351456,95,36,617,34,67,107,11,974,16,59,87,7,2465,5,131,6724,1591,44542,1349,3479
1995-11-14,1995-08-09,1996-03-27,0.383194909733,0.117823841785,0.416878255269,0.249770972171,0.754826306805,0.307496803246,0.785050999647,0.538164959318,36,617,34,67,26,11,974,16,59,65,7,2465,5,131,7,1591,44542,1349,3479,1865
1996-03-27,1995-11-14,1996-05-14,0.792208256792,0.114966172377,0.176259695672,0.113239234808,0.885636486597,0.299908298892,0.392190155761,0.300473667583,617,34,67,26,731,974,16,59,65,1063,2465,5,131,7,2572,44542,1349,3479,1865,45345
1996-05-14,1996-03-27,1996-08-12,0.272683817265,0.809015073729,0.244784717878,0.183268722135,0.565093967224,0.920132426802,0.533653434674,0.395839905345,34,67,26,731,69,16,59,65,1063,72,5,131,7,2572,128,1349,3479,1865,45345,3309
1996-08-12,1996-05-14,1996-11-12,0.81390224984,0.279607907933,0.180485283599,0.856550930157,0.913527743205,0.600411402557,0.391967815561,0.936412816376,67,26,731,69,73,59,65,1063,72,100,131,7,2572,128,131,3479,1865,45345,3309,3654
1996-11-12,1996-08-12,1997-03-19,0.402075526378,0.120308555998,0.292101717474,0.350646520619,0.792228490807,0.317466789827,0.566451982134,0.632356206235,26,731,69,73,53,65,1063,72,100,71,7,2572,128,131,10,1865,45345,3309,3654,2082
1997-03-19,1996-11-12,1997-05-13,0.926942744829,0.21875519939,0.216547348308,0.138683932284,0.960552788648,0.454656167024,0.449353343522,0.337754828243,731,69,73,53,763,1063,72,100,71,1052,2572,128,131,10,2435,45345,3309,3654,2082,44940
1997-05-13,1997-03-19,1997-08-12,0.256599493642,0.291321775991,0.526188044508,0.136198486108,0.564557161637,0.609429651208,0.845996329097,0.339254766656,69,73,53,763,47,72,100,71,1052,43,128,131,10,2435,11,3309,3654,2082,44940,2002
1997-08-12,1997-05-13,1997-11-12,0.32392347829,0.524737483559,0.13955742119,0.569310827266,0.632964405947,0.833444956642,0.338606721911,0.857961585474,73,53,763,47,38,100,71,1052,43,61,131,10,2435,11,13,3654,2082,44940,2002,2338
1997-11-12,1997-08-12,1998-04-01,0.530956337656,0.138998873618,0.537885167985,0.755176923187,0.849726739324,0.348276831601,0.857168034238,0.921667272367,53,763,47,38,45,71,1052,43,61,68,10,2435,11,13,14,2082,44940,2002,2338,2639
1998-04-01,1997-11-12,1998-05-19,0.441504037295,0.252260188074,0.278804409142,0.284350391531,0.652577827657,0.502138686106,0.522844656112,0.543275474761,763,47,38,45,348,1052,43,61,68,632,2435,11,13,14,999,44940,2002,2338,2639,25604
1998-05-19,1998-04-01,1998-08-18,0.407942588319,0.413897352535,0.458612529592,0.255487539102,0.794684909066,0.770268546779,0.813304659781,0.501059174199,47,38,45,348,34,43,61,68,632,37,11,13,14,999,10,2002,2338,2639,25604,2046
1998-08-18,1998-05-19,1998-11-16,0.177162068339,0.176409967073,0.447880684128,0.181966370078,0.357598048499,0.376720556725,0.651811576151,0.350174931862,38,45,348,34,209,61,68,632,37,729,13,14,999,10,1571,2338,2639,25604,2046,23131
1998-11-16,1998-08-18,1999-04-01,0.355010722662,0.293441892767,0.392819430697,0.278998103999,0.700929550209,0.555394465837,0.710080698246,0.510157929105,45,348,34,209,60,68,632,37,729,142,14,999,10,1571,138,2639,25604,2046,23131,4819
1999-04-01,1998-11-16,1999-05-18,0.652561923524,0.331570727004,0.346145463567,0.362352477203,0.848789234156,0.624556475188,0.567441444873,0.6404089122,348,34,209,60,248,632,37,729,142,404,999,10,1571,138,367,25604,2046,23131,4819,16862
1999-05-18,1999-04-01,1999-08-17,0.439278869827,0.179017022802,0.414485197029,0.4572716106,0.80830686015,0.398128103989,0.71860314076,0.694405625416,34,209,60,248,37,37,729,142,404,63,10,1571,138,367,12,2046,23131,4819,16862,2653
1999-08-17,1999-05-18,1999-11-16,0.196276087271,0.361017610421,0.437864648452,0.62993073714,0.434280756172,0.695245141846,0.727601277781,0.860183153947,209,60,248,37,65,729,142,404,63,99,1571,138,367,12,16,23131,4819,16862,2653,3905
1999-11-16,1999-08-17,2000-03-30,0.6490691765,0.34590518007,0.452094485353,0.473774955422,0.865532644432,0.638499132237,0.72426835891,0.740463941028,60,248,37,65,97,142,404,63,99,196,138,367,12,16,194,4819,16862,2653,3905,5518
2000-03-30,1999-11-16,2000-04-03,0.795379209499,0.372528808852,0.392617924135,0.3163039454,0.94097583343,0.665322456462,0.712563981295,0.62315336931,248,37,65,97,237,404,63,99,196,411,367,12,16,194,312,16862,2653,3905,5518,16349
2000-04-03,2000-03-30,2000-05-16,0.104820443653,0.112687168577,0.124856006505,0.359296666114,0.223758882312,0.234799976834,0.252511103785,0.458978808128,37,65,97,237,11,63,99,196,411,7,12,16,194,312,40,2653,3905,5518,16349,1136
2000-05-16,2000-04-03,2000-08-15,0.461404759601,0.345089788936,0.372452812405,0.111169644799,0.779106966481,0.659261840283,0.635240001944,0.224107526634,65,97,237,11,16,99,196,411,7,28,16,194,312,40,11,3905,5518,16349,1136,1631
2000-08-15,2000-05-16,2000-11-14,0.348285873835,0.388140089522,0.137879447553,0.683926952359,0.651738095514,0.638235045304,0.234370316439,0.881007823916,97,237,11,16,21,196,411,7,28,35,194,312,40,11,11,5518,16349,1136,1631,1996
2000-11-14,2000-08-15,2001-03-30,0.27571588467,0.127030525859,0.277569087909,0.311884339786,0.479663377952,0.232565343044,0.464770269103,0.486342338703,237,11,16,21,80,411,7,28,35,138,312,40,11,11,381,16349,1136,1631,1996,6080
2001-03-30,2000-11-14,2001-05-15,0.356631230557,0.34748620423,0.364027691422,0.284938501896,0.455933398112,0.615209574767,0.623190409695,0.499753849168,11,16,21,80,245,7,28,35,138,344,40,11,11,381,314,1136,1631,1996,6080,16083
2001-05-15,2001-03-30,2001-08-14,0.506990298014,0.445867148197,0.212151883174,0.300133187256,0.847360601952,0.781049691771,0.426889940989,0.577518095529,16,21,80,245,16,28,35,138,344,35,11,11,381,314,13,1631,1996,6080,16083,1380
2001-08-14,2001-05-15,2001-11-13,0.488385304203,0.198153062638,0.290432991008,0.474802591892,0.816843363122,0.426929809927,0.563503272857,0.804126748399,21,80,245,16,28,35,138,344,35,40,11,381,314,13,11,1996,6080,16083,1380,1595
2001-11-13,2001-08-14,2002-02-22,0.200043005266,0.300195743882,0.487063291751,0.652984673506,0.427206549479,0.587809282007,0.830699531472,0.879386236993,80,245,16,28,31,138,344,35,40,38,381,314,13,11,13,6080,16083,1380,1595,1517
2002-02-22,2001-11-13,2002-04-02,0.32043749001,0.130498175594,0.12934253322,0.133876614653,0.543724992673,0.313285222391,0.308539447188,0.323598386354,245,16,28,31,849,344,35,40,38,1343,314,13,11,13,3040,16083,1380,1595,1517,53037
2002-04-02,2002-02-22,2002-05-14,0.391875281514,0.393397750141,0.399448628312,0.25838880863,0.66142126871,0.651778555196,0.671479327307,0.414953373336,16,28,31,849,129,35,40,38,1343,245,13,11,13,3040,103,1380,1595,1517,53037,9102
2002-05-14,2002-04-02,2002-08-13,0.427187848822,0.446602685637,0.126979427541,0.393646560143,0.797084850451,0.825101383482,0.315907164468,0.701548723519,28,31,849,129,21,40,38,1343,245,40,11,13,3040,103,10,1595,1517,53037,9102,1503
2002-08-13,2002-05-14,2002-11-12,0.406867478884,0.149092423489,0.390382106664,0.477366950512,0.730742569072,0.344071629859,0.651608366217,0.751675037392,31,849,129,21,38,38,1343,245,40,65,13,3040,103,10,29,1517,53037,9102,1503,2555
2002-11-12,2002-08-13,2003-03-28,0.151256056483,0.436193907036,0.433356989918,0.614559506556,0.334656847625,0.689560751444,0.73229241114,0.833845903511,849,129,21,38,47,1343,245,40,65,99,3040,103,10,29,40,53037,9102,1503,2555,3268
2003-03-28,2002-11-12,2003-05-06,0.319069775414,0.163325687676,0.185695617251,0.206030859428,0.533680365209,0.390438969752,0.399426984786,0.420030721793,129,21,38,47,475,245,40,65,99,1167,103,10,29,40,2394,9102,1503,2555,3268,41770
2003-05-06,2003-03-28,2003-08-12,0.313337738537,0.293251241481,0.478365799773,0.202802316919,0.675923377042,0.605027978489,0.738340599099,0.458612178607,21,38,47,475,24,40,65,99,1167,67,10,29,40,2394,33,1503,2555,3268,41770,2781
2003-08-12,2003-05-06,2003-08-25,0.43773379676,0.533134139933,0.210554104244,0.657225768466,0.771209316471,0.815101598546,0.447850611398,0.865151333419,38,47,475,24,33,65,99,1167,67,92,29,40,2394,33,45,2555,3268,41770,2781,3390
2003-08-25,2003-08-12,2003-11-07,0.113840193617,0.273750617055,0.128551208204,0.135020067735,0.23176539093,0.473299523495,0.28117584664,0.269089715061,47,475,24,33,178,99,1167,67,92,425,40,2394,33,45,649,3268,41770,2781,3390,9196
2003-11-07,2003-08-25,2004-03-16,0.496008439496,0.268379941844,0.334500093354,0.242550162791,0.767526735219,0.535792201997,0.558444126831,0.44517158442,475,24,33,178,101,1167,67,92,425,197,2394,33,45,649,552,41770,2781,3390,9196,10684
2004-03-16,2003-11-07,2004-05-13,0.294991388108,0.330611061454,0.680289905956,0.390540424606,0.550042206718,0.563493989302,0.781201889422,0.661187365586,24,33,178,101,534,67,92,425,197,1080,33,45,649,552,1463,2781,3390,9196,10684,31419
2004-05-13,2004-03-16,2004-08-04,0.450422021735,0.150860455527,0.246980666943,0.351528817227,0.767928515863,0.310122513111,0.530512461214,0.604075877089,33,178,101,534,69,92,425,197,1080,116,45,649,552,1463,31,3390,9196,10684,31419,4274
2004-08-04,2004-05-13,2004-11-12,0.21723234061,0.322736202202,0.41641919708,0.582383909706,0.388704664781,0.631031592892,0.678054922163,0.830381544317,178,101,534,69,96,425,197,1080,116,168,649,552,1463,31,186,9196,10684,31419,4274,6619
2004-11-12,2004-08-04,2005-03-07,0.235645056414,0.354852400564,0.19526011538,0.25372455264,0.488772374057,0.511727644463,0.385592313635,0.460276389086,101,534,69,96,339,197,1080,116,168,506,552,1463,31,186,1029,10684,31419,4274,6619,19446
2005-03-07,2004-11-12,2005-05-06,0.600122207941,0.519686904346,0.529444585422,0.221471985157,0.763379170287,0.781397812298,0.788174896897,0.402032808378,534,69,96,339,358,1080,116,168,506,522,1463,31,186,1029,373,31419,4274,6619,19446,21997
2005-05-06,2005-03-07,2005-08-01,0.57755717318,0.49048818994,0.180014852745,0.582031776254,0.879683570559,0.809391451524,0.376797968261,0.814235454992,69,96,339,358,78,116,168,506,522,127,31,186,1029,373,47,4274,6619,19446,21997,5345
2005-08-01,2005-05-06,2005-10-31,0.516150216391,0.181233268238,0.573483896509,0.717025191976,0.828049572524,0.377225248733,0.805016926845,0.910548912978,96,339,358,78,104,168,506,522,127,147,186,1029,373,47,64,6619,19446,21997,5345,7113
2005-10-31,2005-08-01,2006-03-01,0.186858927874,0.570750372671,0.692649686601,0.823483566637,0.38203781334,0.807659059281,0.903202042424,0.951825656367,339,358,78,104,112,506,522,127,147,137,1029,373,47,64,62,19446,21997,5345,7113,7394
2006-03-01,2005-10-31,2006-05-05,0.869237175172,0.582304092899,0.586863203473,0.596283995553,0.964568308287,0.816021403283,0.808273203682,0.813382631984,358,78,104,112,459,522,127,147,137,603,373,47,64,62,351,21997,5345,7113,7394,26461
2006-05-05,2006-03-01,2006-07-28,0.598961814967,0.581019572025,0.593840090595,0.580481452279,0.875923230977,0.858296243187,0.867562629845,0.815083591688,78,104,112,459,102,127,147,137,603,133,47,64,62,351,54,5345,7113,7394,26461,6750
2006-07-28,2006-05-05,2006-10-27,0.643118899984,0.600013895304,0.59975279592,0.753408811425,0.902413641314,0.871009277243,0.820118670633,0.908692559355,104,112,459,102,122,147,137,603,133,155,64,62,351,54,58,7113,7394,26461,6750,7836
2006-10-27,2006-07-28,2007-02-27,0.604977657578,0.589508616741,0.709682644708,0.788695660922,0.889177346111,0.826722987796,0.904307186496,0.929763433963,112,459,102,122,143,137,603,133,155,138,62,351,54,58,50,7394,26461,6750,7836,7880
2007-02-27,2006-10-27,2007-05-01,0.880876460558,0.587099924032,0.607728917443,0.61936720073,0.971999683799,0.809296178405,0.809939631994,0.823190921679,459,102,122,143,527,603,133,155,138,664,351,54,58,50,527,26461,6750,7836,7880,30089
2007-05-01,2007-02-27,2007-07-30,0.578751478332,0.577437853328,0.587585457627,0.595223508621,0.83522869989,0.820222307681,0.831890492739,0.820638239207,102,122,143,527,118,133,155,138,664,115,54,58,50,527,97,6750,7836,7880,30089,7882
2007-07-30,2007-05-01,2007-10-29,0.63447871523,0.621257435908,0.58345199697,0.840293942584,0.868116880866,0.865820853821,0.804855706335,0.942951883255,122,143,527,118,110,155,138,664,115,129,58,50,527,97,90,7836,7880,30089,7882,8288
2007-10-29,2007-07-30,2008-02-25,0.626048081545,0.588103271513,0.806071138527,0.863024358073,0.877620342837,0.817670039984,0.942313772402,0.963201814166,143,527,118,110,133,138,664,115,129,137,50,527,97,90,118,7880,30089,7882,8288,8744
2008-02-25,2007-10-29,2008-04-25,0.742938208081,0.512649672664,0.507227040118,0.519631941236,0.892708874778,0.740950558529,0.725377254119,0.743037924184,527,118,110,133,737,664,115,129,137,950,527,97,90,118,1224,30089,7882,8288,8744,42062
2008-04-25,2008-02-25,2008-07-24,0.566422946608,0.534938090423,0.551985920338,0.511061924444,0.819906252771,0.793516141756,0.811480565705,0.74011281879,118,110,133,737,97,115,129,137,950,111,97,90,118,1224,88,7882,8288,8744,42062,6114
2008-07-24,2008-04-25,2008-11-03,0.651771755969,0.607817273705,0.453012690585,0.628309004542,0.888019889589,0.860415223707,0.691885675849,0.833089417049,110,133,737,97,100,129,137,950,111,161,90,118,1224,88,53,8288,8744,42062,6114,6933
2008-11-03,2008-07-24,2009-02-26,0.644334280899,0.455323404452,0.620799036484,0.816828089244,0.885458873991,0.692614905302,0.833264856532,0.949878878227,133,737,97,100,91,137,950,111,161,163,118,1224,88,53,51,8744,42062,6114,6933,6883
2009-02-26,2008-11-03,2009-05-05,0.69793167191,0.391720460307,0.311407086321,0.310865835133,0.810357386974,0.580018137974,0.504439044514,0.499159010791,737,97,100,91,1541,950,111,161,163,2855,1224,88,53,51,4347,42062,6114,6933,6883,87000
2009-05-05,2009-02-26,2009-07-31,0.471665178917,0.374268079523,0.37218311926,0.568856289114,0.709572060944,0.609600372992,0.604225788261,0.766112339781,97,100,91,1541,280,111,161,163,2855,631,88,53,51,4347,1064,6114,6933,6883,87000,22510
2009-07-31,2009-05-05,2009-11-06,0.662087622535,0.635666044659,0.334794429473,0.463861339067,0.897004574398,0.87964451498,0.525394248097,0.664986140134,100,91,1541,280,179,161,163,2855,631,270,53,51,4347,1064,120,6933,6883,87000,22510,10180
2009-11-06,2009-07-31,2010-02-22,0.633392256261,0.331327597555,0.445388274976,0.838244705202,0.888609107524,0.527059777136,0.661819034317,0.955901580439,91,1541,280,179,205,163,2855,631,270,313,51,4347,1064,120,149,6883,87000,22510,10180,11446
2010-02-22,2009-11-06,2010-05-13,0.60784229168,0.52051110528,0.624356461398,0.637758129915,0.729637853558,0.75550143587,0.83012362287,0.838979525472,1541,280,179,205,579,2855,631,270,313,1018,4347,1064,120,149,757,87000,22510,10180,11446,37802
2010-05-13,2010-02-22,2010-07-30,0.499276515088,0.341443625589,0.362565200897,0.562034489099,0.75718137985,0.566532431931,0.582423939738,0.751764936763,280,179,205,579,620,631,270,313,1018,1154,1064,120,149,757,1551,22510,10180,11446,37802,36605
2010-07-30,2010-05-13,2010-11-01,0.558617005538,0.549156292675,0.533890417503,0.524288263963,0.796759169238,0.791639369212,0.750911141912,0.647949536176,179,205,579,620,427,270,313,1018,1154,964,120,149,757,1551,475,10180,11446,37802,36605,32421
2010-11-01,2010-07-30,2011-02-18,0.587736895989,0.539215880802,0.508547084827,0.881324330565,0.819519060367,0.763015270985,0.647264122017,0.950787479547,205,579,620,427,435,313,1018,1154,964,987,149,757,1551,475,491,11446,37802,36605,32421,33941
2011-02-18,2010-11-01,2011-05-12,0.813685389464,0.622923215513,0.762997086175,0.77110616398,0.924267151496,0.761219402258,0.873657480879,0.884286576876,579,620,427,435,1189,1018,1154,964,987,2094,757,1551,475,491,1642,37802,36605,32421,33941,84177
2011-05-12,2011-02-18,2011-07-27,0.491429198388,0.787530813202,0.786371789606,0.763775154109,0.638793512118,0.907570865434,0.91739137216,0.885285020396,620,427,435,1189,334,1154,964,987,2094,710,1551,475,491,1642,439,36605,32421,33941,84177,27379
