filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-10-26,1995-08-16,1996-02-14,0.223626748948,0.223655560007,0.18303486453,0.234368984579,0.41834692157,0.418215154775,0.423931529542,0.431115500435,8,6,283,4,109,15,15,568,12,398,71,70,1056,66,835,2286,2224,22608,2197,13822
1996-02-14,1995-10-26,1996-07-01,0.506632027794,0.19295168516,0.535407800018,0.334719946137,0.777601528274,0.396197257991,0.800303698834,0.568780840653,6,283,4,109,17,15,568,12,398,53,70,1056,66,835,149,2224,22608,2197,13822,3080
1996-07-01,1996-02-14,1996-08-13,0.366543805177,0.39916159314,0.1931748558,0.356893756222,0.561528338904,0.545539964773,0.392920341006,0.591069694932,283,4,109,17,84,568,12,398,53,183,1056,66,835,149,184,22608,2197,13822,3080,9933
1996-08-13,1996-07-01,1996-11-13,0.772361432754,0.231137066508,0.572637057542,0.461436822094,0.929798923484,0.439972266001,0.823161579163,0.614488310765,4,109,17,84,4,12,398,53,183,28,66,835,149,184,48,2197,13822,3080,9933,1922
1996-11-13,1996-08-13,1997-02-11,0.106994073452,0.155950394967,0.136625860389,0.200954324536,0.415721648581,0.492612600054,0.392376604504,0.496712353076,109,17,84,4,62,398,53,183,28,231,835,149,184,48,353,13822,3080,9933,1922,6259
1997-02-11,1996-11-13,1997-06-27,0.526466210934,0.423564949896,0.763621061878,0.200816803937,0.814005572076,0.626824569318,0.935481569985,0.499863316842,17,84,4,62,12,53,183,28,231,38,149,184,48,353,39,3080,9933,1922,6259,2231
1997-06-27,1997-02-11,1997-08-13,0.443475337334,0.200985343935,0.118831774395,0.202377128644,0.682639052166,0.346737884354,0.384109776885,0.366120991895,84,4,62,12,403,183,28,231,38,930,184,48,353,39,1816,9933,1922,6259,2231,35613
1997-08-13,1997-06-27,1997-11-12,0.772989742764,0.183343741277,0.729680971855,0.219603896753,0.934810888179,0.483754338474,0.920245834264,0.377234241773,4,62,12,403,13,28,231,38,930,30,48,353,39,1816,39,1922,6259,2231,35613,2003
1997-11-12,1997-08-13,1998-02-10,0.190786304111,0.701272742414,0.219477675086,0.844212559176,0.497326223046,0.914456469444,0.387792954046,0.952474690424,62,12,403,13,15,231,38,930,30,30,353,39,1816,39,40,6259,2231,35613,2003,2240
1998-02-10,1997-11-12,1998-06-25,0.167115088143,0.255571199931,0.185991283095,0.201433916014,0.349703981831,0.502020501146,0.354862077824,0.376206926209,12,403,13,15,127,38,930,30,30,439,39,1816,39,40,859,2231,35613,2003,2240,13986
1998-06-25,1998-02-10,1998-08-12,0.39613131179,0.491899065187,0.483424234971,0.176731744688,0.601857294199,0.682314090602,0.687012253269,0.371701028993,403,13,15,127,107,930,30,30,439,234,1816,39,40,859,167,35613,2003,2240,13986,10219
1998-08-12,1998-06-25,1998-11-09,0.796402427192,0.72579058723,0.177187934919,0.535168653587,0.946569792831,0.913871444321,0.35678565627,0.731075758601,13,15,127,107,17,30,30,439,234,20,39,40,859,167,32,2003,2240,13986,10219,2249
1998-11-09,1998-08-12,1999-02-10,0.671939526456,0.169061658556,0.484619869032,0.712565890779,0.88146685556,0.374161958022,0.752238611222,0.893971935273,15,127,107,17,16,30,439,234,20,68,40,859,167,32,53,2240,13986,10219,2249,2999
1999-02-10,1998-11-09,1999-06-25,0.168729699979,0.464382363005,0.685318460245,0.818730359363,0.362930331789,0.741841842847,0.881567394215,0.928077562811,127,107,17,16,16,439,234,20,68,67,859,167,32,53,48,13986,10219,2249,2999,2972
1999-06-25,1999-02-10,1999-08-11,0.615055514998,0.422477588156,0.407987031188,0.395128482766,0.831720314412,0.679602524078,0.699169209604,0.679657552457,107,17,16,16,132,234,20,68,67,289,167,32,53,48,283,10219,2249,2999,2972,12045
1999-08-11,1999-06-25,1999-11-10,0.560114341301,0.50395478146,0.506350430504,0.46518757445,0.759898649083,0.751850696949,0.740423761772,0.711206805556,17,16,16,132,31,20,68,67,289,59,32,53,48,283,145,2249,2999,2972,12045,4106
1999-11-10,1999-08-11,2000-02-09,0.627746918965,0.557773044053,0.453350948309,0.619458903822,0.872306167128,0.823070874202,0.729814229755,0.791414255455,16,16,132,31,23,68,67,289,59,73,53,48,283,145,57,2999,2972,12045,4106,3602
2000-02-09,1999-11-10,2000-06-30,0.15775736336,0.273840564831,0.198382123884,0.178475104078,0.365015100631,0.479971947318,0.438760295194,0.387964500484,16,132,31,23,131,67,289,59,73,566,48,283,145,57,1118,2972,12045,4106,3602,16335
2000-06-30,2000-02-09,2000-08-14,0.750888155313,0.472404879498,0.474898887043,0.141108848863,0.912929851305,0.711063347186,0.73932343181,0.340995196787,132,31,23,131,117,289,59,73,566,146,283,145,57,1118,59,12045,4106,3602,16335,8992
2000-08-14,2000-06-30,2000-11-15,0.601009425379,0.608886458192,0.15585859315,0.543840226734,0.793246909693,0.855219947838,0.347699391585,0.774927218709,31,23,131,117,17,59,73,566,146,29,145,57,1118,59,30,4106,3602,16335,8992,2723
2000-11-15,2000-08-14,2001-02-14,0.239724320553,0.150798721257,0.185492690063,0.248811971339,0.489475820276,0.479641269868,0.43200901824,0.480385067302,23,131,117,17,64,73,566,146,29,240,57,1118,59,30,369,3602,16335,8992,2723,6029
2001-02-14,2000-11-15,2001-06-29,0.426287816174,0.283094711507,0.394068289191,0.235811198678,0.598923429224,0.576353028246,0.645587284412,0.543227266719,131,117,17,64,26,566,146,29,240,67,1118,59,30,369,186,16335,8992,2723,6029,3866
2001-06-29,2001-02-14,2001-08-13,0.744821887282,0.436519677778,0.209752352967,0.312748650631,0.894362293557,0.691975453339,0.470564964948,0.584157709442,117,17,64,26,139,146,29,240,67,238,59,30,369,186,219,8992,2723,6029,3866,11876
2001-08-13,2001-06-29,2001-11-14,0.426678958648,0.175723355837,0.302765224193,0.389896495692,0.719588547281,0.444938224881,0.606560849155,0.661337298893,17,64,26,139,20,29,240,67,238,81,30,369,186,219,36,2723,6029,3866,11876,2527
2001-11-14,2001-08-13,2002-02-13,0.1954533498,0.278540915743,0.389988261214,0.465939367739,0.449983229812,0.553949566074,0.677927941185,0.658278575489,64,26,139,20,27,240,67,238,81,77,369,186,219,36,93,6029,3866,11876,2527,3327
2002-02-13,2001-11-14,2002-07-01,0.351467536634,0.313452721352,0.464952448734,0.534532693471,0.626539051208,0.571342407393,0.693557656325,0.692864725862,26,139,20,27,23,67,238,81,77,53,186,219,36,93,12,3866,11876,2527,3327,2694
2002-07-01,2002-02-13,2002-08-12,0.57975741094,0.326989810513,0.348419488132,0.336875841684,0.820958222356,0.580938626434,0.621354156373,0.55656047185,139,20,27,23,247,238,81,77,53,461,219,36,93,12,321,11876,2527,3327,2694,18731
2002-08-12,2002-07-01,2002-12-23,0.238687978958,0.219242134241,0.290656640071,0.381515452826,0.528921638955,0.468518373279,0.587679465159,0.606167317469,20,27,23,247,165,81,77,53,461,376,36,93,12,321,69,2527,3327,2694,18731,10731
2002-12-23,2002-08-12,2003-02-10,0.145954931949,0.0918916693552,0.26898351547,0.190491533058,0.408838145742,0.286593966472,0.563347906246,0.409026467689,27,23,247,165,1195,77,53,461,376,3402,93,12,321,69,5488,3327,2694,18731,10731,114710
2003-02-10,2002-12-23,2003-05-12,0.217831931083,0.320930028415,0.40946218805,0.252600520577,0.523906336845,0.623802654386,0.695789010126,0.600723395618,23,247,165,1195,193,53,461,376,3402,611,12,321,69,5488,445,2694,18731,10731,114710,15381
2003-05-12,2003-02-10,2003-08-11,0.387318268375,0.591139509636,0.208505827509,0.587213660068,0.632918382275,0.823980198837,0.450872201757,0.809233961751,247,165,1195,193,158,461,376,3402,611,359,321,69,5488,445,110,18731,10731,114710,15381,10351
2003-08-11,2003-05-12,2003-12-22,0.206191710727,0.173698408286,0.260311090985,0.25855611419,0.462142496174,0.535052155795,0.550753671616,0.499435647297,165,1195,193,158,365,376,3402,611,359,1161,69,5488,445,110,1581,10731,114710,15381,10351,30324
2003-12-22,2003-08-11,2004-02-17,0.25523686195,0.508640518854,0.682912422026,0.23927456376,0.505864293487,0.773869844123,0.854900348048,0.49455595283,1195,193,158,365,357,3402,611,359,1161,768,5488,445,110,1581,221,114710,15381,10351,30324,24912
2004-02-17,2003-12-22,2004-05-17,0.521178660334,0.714070188375,0.233439388705,0.745062036747,0.790823650403,0.887028505177,0.500846078304,0.887665272043,193,158,365,357,174,611,359,1161,768,405,445,110,1581,221,115,15381,10351,30324,24912,11125
2004-05-17,2004-02-17,2004-08-16,0.770361514344,0.226513453497,0.720315781495,0.827983320211,0.919240631776,0.485340895192,0.862998774133,0.927005393478,158,365,357,174,174,359,1161,768,405,451,110,1581,221,115,115,10351,30324,24912,11125,11350
2004-08-16,2004-05-17,2004-12-13,0.226594700512,0.653087033615,0.76344982504,0.810486326559,0.47716100666,0.826800002532,0.902621453906,0.907885451386,365,357,174,174,168,1161,768,405,451,404,1581,221,115,115,107,30324,24912,11125,11350,9609
2004-12-13,2004-08-16,2005-02-07,0.844172882055,0.675143974814,0.682278425457,0.658563704147,0.956794143548,0.861068321277,0.843345897456,0.825332088467,357,174,174,168,388,768,405,451,404,782,221,115,115,107,224,24912,11125,11350,9609,26291
2005-02-07,2004-12-13,2005-05-11,0.741410364861,0.701380339763,0.732478974077,0.610955895142,0.900057269983,0.863623656055,0.885813881592,0.782362986329,174,174,168,388,181,405,451,404,782,350,115,115,107,224,102,11125,11350,9609,26291,8995
2005-05-11,2005-02-07,2005-08-10,0.69892231242,0.619185993662,0.548902865292,0.679050224458,0.870433973312,0.831289391042,0.771814415633,0.846486633978,174,168,388,181,205,451,404,782,350,475,115,107,224,102,302,11350,9609,26291,8995,11826
