filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-24,1994-11-09,1995-05-05,0.40422066659,0.187675503765,0.250660721199,0.199366058297,0.699705238972,0.472887873214,0.515552615097,0.468960872344,70,9,50,7,136,62,5,117,3,186,86,6,391,6,309,6401,1089,7366,1269,9298
1995-05-05,1995-03-24,1995-05-12,0.161836306736,0.243963217183,0.174703289468,0.952543083451,0.439573846644,0.51093986385,0.441893736071,0.950401646059,9,50,7,136,104,5,117,3,186,163,6,391,6,309,285,1089,7366,1269,9298,6643
1995-05-12,1995-05-05,1995-08-10,0.234157482923,0.617095475317,0.197473384068,0.173787082402,0.544343074858,0.876525485431,0.474765086059,0.44523170851,50,7,136,104,6,117,3,186,163,2,391,6,309,285,6,7366,1269,9298,6643,1230
1995-08-10,1995-05-12,1995-11-07,0.542863481265,0.185467676637,0.159942515675,0.666197955716,0.849242452679,0.462225305337,0.426797795214,0.868943558602,7,136,104,6,5,3,186,163,2,5,6,309,285,6,15,1269,9298,6643,1230,1294
1995-11-07,1995-08-10,1996-03-28,0.187802385201,0.163456041364,0.666291957698,0.734464860809,0.458411086809,0.429255503317,0.881190640193,0.916583027173,136,104,6,5,8,186,163,2,5,2,309,285,6,15,7,9298,6643,1230,1294,1267
1996-03-28,1995-11-07,1996-05-15,0.273116240747,0.389912066725,0.399367979591,0.397295125646,0.560084198943,0.656777313227,0.655628727842,0.652400495673,104,6,5,8,77,163,2,5,2,56,285,6,15,7,74,6643,1230,1294,1267,6672
1996-05-15,1996-03-28,1996-08-07,0.596229103594,0.520528329927,0.550680976258,0.355491092928,0.867699947426,0.816424734738,0.834060051201,0.650603165531,6,5,8,77,9,2,5,2,56,15,6,15,7,74,7,1230,1294,1267,6672,1409
1996-08-07,1996-05-15,1996-10-28,0.663891406165,0.57487639517,0.35299978128,0.703994252925,0.902678759139,0.857278277052,0.636790532645,0.881269474686,5,8,77,9,10,5,2,56,15,13,15,7,74,7,7,1294,1267,6672,1409,1429
1996-10-28,1996-08-07,1997-03-25,0.627472816611,0.377298123842,0.682720316667,0.7594954771,0.895565901873,0.669024956278,0.880314697698,0.916433961419,8,77,9,10,11,2,56,15,13,19,7,74,7,7,17,1267,6672,1409,1429,1586
1997-03-25,1996-10-28,1997-04-02,0.761460138634,0.358603178869,0.353427875307,0.394927601064,0.939372004574,0.623697811794,0.606518661688,0.646504756689,77,9,10,11,109,56,15,13,19,94,74,7,7,17,95,6672,1409,1429,1586,7555
