filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2007-05-08,2007-02-13,2007-05-14,0.572008151571,0.628693625724,0.596153755855,0.79060555408,0.790488747517,0.817425609316,0.765641549696,0.892827378244,47,72,228,77,93,117,125,498,101,112,86,67,367,36,55,6629,8924,24553,7412,8976
2007-05-14,2007-05-08,2007-08-10,0.224963640441,0.250076674373,0.299659626213,0.323690769181,0.357618285856,0.368142296335,0.441019017703,0.424466324367,72,228,77,93,2,125,498,101,112,20,67,367,36,55,16,8924,24553,7412,8976,1083
2007-08-10,2007-05-14,2007-11-21,0.579388863522,0.745904205107,0.769738938854,0.250996877133,0.759827614914,0.874698042924,0.901243596473,0.383362202505,228,77,93,2,96,498,101,112,20,124,367,36,55,16,53,24553,7412,8976,1083,8733
2007-11-21,2007-08-10,2008-02-07,0.604275176675,0.596488225912,0.270858814198,0.585189048669,0.749704840648,0.750534590542,0.390719693131,0.7434522969,77,93,2,96,310,101,112,20,124,622,36,55,16,53,804,7412,8976,1083,8733,30935
2008-02-07,2007-11-21,2008-05-08,0.650238875783,0.324701901697,0.634178454633,0.529351334081,0.82864979677,0.476096391185,0.821624409455,0.687378306595,93,2,96,310,41,112,20,124,622,77,55,16,53,804,59,8976,1083,8733,30935,5623
2008-05-08,2008-02-07,2008-08-07,0.319781778087,0.637115778651,0.500552813828,0.727249377686,0.435037388809,0.828107018082,0.657877264018,0.86142324688,2,96,310,41,49,20,124,622,77,52,16,53,804,59,20,1083,8733,30935,5623,5947
2008-08-07,2008-05-08,2008-11-25,0.582635238202,0.612111198406,0.520209663666,0.517821098699,0.73216895567,0.780606377622,0.696268820834,0.682823337427,96,310,41,49,83,124,622,77,52,184,53,804,59,20,443,8733,30935,5623,5947,10369
2008-11-25,2008-08-07,2009-02-04,0.865341646804,0.573058323081,0.562469008926,0.46016412628,0.925752690845,0.723522692566,0.708881482601,0.63603216929,310,41,49,83,233,622,77,52,184,466,804,59,20,443,281,30935,5623,5947,10369,24447
2009-02-04,2008-11-25,2009-05-06,0.646894482789,0.524887371783,0.566273668826,0.521665773752,0.835554487182,0.730768885547,0.789379617477,0.708615451367,41,49,83,233,56,77,52,184,466,86,59,20,443,281,240,5623,5947,10369,24447,7968
2009-05-06,2009-02-04,2009-08-05,0.859409040687,0.462487300682,0.569938069579,0.60312876153,0.946137382958,0.655185068124,0.721752439721,0.769838731989,49,83,233,56,59,52,184,466,86,59,20,443,281,240,28,5947,10369,24447,7968,6748
2009-08-05,2009-05-06,2009-11-24,0.768424656438,0.471248175277,0.633904138021,0.575114702229,0.92105920676,0.65257611444,0.831880916949,0.72890063259,83,233,56,59,74,184,466,86,59,171,443,281,240,28,409,10369,24447,7968,6748,10674
2009-11-24,2009-08-05,2010-02-10,0.924066632279,0.524975111873,0.547401832577,0.479274296707,0.971707054062,0.710096304183,0.700813075073,0.653578378673,233,56,59,74,229,466,86,59,171,459,281,240,28,409,365,24447,7968,6748,10674,24316
2010-02-10,2009-11-24,2010-05-11,0.688024775474,0.636430602674,0.495151065612,0.52431381792,0.819947905484,0.76910716275,0.669277046783,0.672969380556,56,59,74,229,31,86,59,171,459,42,240,28,409,365,37,7968,6748,10674,24316,3772
2010-05-11,2010-02-10,2010-08-11,0.697013546667,0.494905399538,0.5526553181,0.548421553926,0.87045821594,0.701508018106,0.714078854047,0.723990431528,59,74,229,31,51,59,171,459,42,83,28,409,365,37,23,6748,10674,24316,3772,7372
2010-08-11,2010-05-11,2010-11-15,0.0863988702408,0.0919569356058,0.0927304747084,0.109830095673,0.144807352029,0.148199868821,0.154477255026,0.167963606415,74,229,31,51,120,171,459,42,83,4165,409,365,37,23,157,10674,24316,3772,7372,25460
2010-11-15,2010-08-11,2010-11-19,0.161558789317,0.10611139355,0.109744948761,0.988706005796,0.227521283329,0.175813568355,0.180739613139,0.990382514068,229,31,51,120,322,459,42,83,4165,7360,365,37,23,157,508,24316,3772,7372,25460,54101
2010-11-19,2010-11-15,2011-02-08,0.268502078197,0.12428446365,0.0270074789764,0.0797616396863,0.384163493471,0.205696608243,0.0511865259428,0.111366820463,31,51,120,322,7,42,83,4165,7360,39,37,23,157,508,91,3772,7372,25460,54101,3409
2011-02-08,2010-11-19,2011-05-11,0.279817027872,0.181368410962,0.16779767083,0.114785083106,0.444982681033,0.173675403401,0.188056462211,0.188909440262,51,120,322,7,381,83,4165,7360,39,1071,23,157,508,91,2824,7372,25460,54101,3409,60460
2011-05-11,2011-02-08,2011-08-10,0.275437583566,0.241508908955,0.112080538884,0.612064386392,0.265378428505,0.268270607775,0.208630004467,0.614601483262,120,322,7,381,157,4165,7360,39,1071,506,157,508,91,2824,307,25460,54101,3409,60460,26785
2011-08-10,2011-05-11,2011-11-18,0.11219894495,0.0557044566326,0.23730428534,0.352651913119,0.169878327962,0.103690959355,0.362886636704,0.554471274804,322,7,381,157,560,7360,39,1071,506,841,508,91,2824,307,1881,54101,3409,60460,26785,57467
2011-11-18,2011-08-10,2012-02-08,0.0913731152722,0.232282437604,0.322214774146,0.969894338102,0.152405966908,0.36859971943,0.523011386351,0.969666289112,7,381,157,560,1173,39,1071,506,841,1710,91,2824,307,1881,3651,3409,60460,26785,57467,108040
2012-02-08,2011-11-18,2012-05-09,0.314328450851,0.340904149575,0.975999587886,0.964058633163,0.459696982063,0.544626747789,0.976537176867,0.964765204157,381,157,560,1173,651,1071,506,841,1710,1181,2824,307,1881,3651,2684,60460,26785,57467,108040,60659
2012-05-09,2012-02-08,2012-08-08,0.324837366022,0.869061386026,0.861046842944,0.91398040612,0.505400464746,0.846227423397,0.841098424161,0.902550560142,157,560,1173,651,904,506,841,1710,1181,1740,307,1881,3651,2684,5662,26785,57467,108040,60659,94882
2012-08-08,2012-05-09,2012-11-16,0.979836628734,0.959785894205,0.974444597889,0.876217507776,0.983461046492,0.962177744742,0.979653776193,0.860444366435,560,1173,651,904,619,841,1710,1181,1740,965,1881,3651,2684,5662,2215,57467,108040,60659,94882,55983
2012-11-16,2012-08-08,2013-02-05,0.975486594941,0.96682519443,0.864895002576,0.973310823535,0.980075654628,0.967296697272,0.844443405058,0.973162859704,1173,651,904,619,1121,1710,1181,1740,965,1658,3651,2684,5662,2215,3500,108040,60659,94882,55983,112399
2013-02-05,2012-11-16,2013-03-07,0.971543223014,0.863507406834,0.97983258997,0.977855390215,0.972843711449,0.841397895995,0.982290247851,0.973438872948,651,904,619,1121,376,1181,1740,965,1658,394,2684,5662,2215,3500,1396,60659,94882,55983,112399,42429
2013-03-07,2013-02-05,2013-05-08,0.096952299367,0.0787970683415,0.0831537178125,0.0833354178622,0.163782701226,0.13902890828,0.143097424032,0.142351462204,904,619,1121,376,0,1740,965,1658,394,19,5662,2215,3500,1396,11,94882,55983,112399,42429,892
2013-05-08,2013-03-07,2013-08-07,0.974568242854,0.974090408091,0.98853236284,0.0813709478287,0.976826750718,0.970295159048,0.988046385715,0.139960836172,619,1121,376,0,433,965,1658,394,19,450,2215,3500,1396,11,1562,55983,112399,42429,892,48514
2013-08-07,2013-05-08,2013-11-15,0.676644604094,0.687580315066,0.0617926932051,0.692427727893,0.817818849926,0.832873001289,0.101601796784,0.83627400685,1121,376,0,433,301,1658,394,19,450,837,3500,1396,11,1562,3065,112399,42429,892,48514,80697
