filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-04-18,1994-12-09,1995-06-09,0.641534978414,0.232788138773,0.271057158432,0.39529063669,0.78940503919,0.487699344915,0.517982434151,0.622852103873,99,56,45,85,223,83,142,158,278,334,274,217,149,561,652,9004,4241,3330,9364,15202
1995-06-09,1995-04-18,1995-09-08,0.288895115015,0.336229208326,0.210517095523,0.223114424781,0.512427574181,0.582504489219,0.357626132146,0.446488845417,56,45,85,223,18,142,158,278,334,23,217,149,561,652,5,4241,3330,9364,15202,1783
1995-09-08,1995-06-09,1995-12-08,0.446851895856,0.206232007281,0.208999435981,0.54819020829,0.652743837542,0.336681049255,0.410219866169,0.817503980025,45,85,223,18,26,158,278,334,23,22,149,561,652,5,4,3330,9364,15202,1783,1894
1995-12-08,1995-09-08,1996-04-18,0.225480617524,0.211408058565,0.519602124392,0.589625521997,0.365811868499,0.420516518069,0.826450142742,0.840232053053,85,223,18,26,42,278,334,23,22,31,561,652,5,4,4,9364,15202,1783,1894,2240
1996-04-18,1995-12-08,1996-06-14,0.591197525357,0.289093450944,0.280950422624,0.290799451762,0.708065183336,0.577285239717,0.542740484459,0.555395801224,223,18,26,42,115,334,23,22,31,132,652,5,4,4,325,15202,1783,1894,2240,10727
1996-06-14,1996-04-18,1996-09-13,0.149942853049,0.131985987984,0.134874196784,0.196576336187,0.279782228335,0.257368522078,0.266231498809,0.367878139823,18,26,42,115,232,23,22,31,132,466,5,4,4,325,786,1783,1894,2240,10727,13612
1996-09-13,1996-06-14,1996-12-13,0.342409355312,0.321226334231,0.256467983309,0.164841609301,0.63330688131,0.619548820018,0.563386252577,0.321096222065,26,42,115,232,87,22,31,132,466,59,4,4,325,786,127,1894,2240,10727,13612,4571
1996-12-13,1996-09-13,1997-04-16,0.505344916942,0.265977317301,0.131353387683,0.358638266332,0.827357251766,0.529023241161,0.249007896426,0.624482154604,42,115,232,87,36,31,132,466,59,14,4,325,786,127,4,2240,10727,13612,4571,2354
1997-04-16,1996-12-13,1997-06-17,0.462366968777,0.860939626792,0.192135297195,0.196306892144,0.59149127699,0.921729210839,0.401940171264,0.355467823914,115,232,87,36,348,132,466,59,14,516,325,786,127,4,972,10727,13612,4571,2354,20848
1997-06-17,1997-04-16,1997-09-12,0.38584104988,0.28816300324,0.351478893068,0.38964242267,0.612630665792,0.5693563306,0.515436278075,0.63511252177,232,87,36,348,74,466,59,14,516,180,786,127,4,972,319,13612,4571,2354,20848,5710
1997-09-12,1997-06-17,1997-12-12,0.280280590045,0.303085508738,0.470009645709,0.570208931862,0.527115396458,0.430393853773,0.684685793725,0.783307576215,87,36,348,74,85,59,14,516,180,169,127,4,972,319,394,4571,2354,20848,5710,8218
1997-12-12,1997-09-12,1998-04-15,0.654316984485,0.196547751702,0.354402896114,0.329055252406,0.860904079802,0.359305959106,0.512435571065,0.439749161339,36,348,74,85,48,14,516,180,169,46,4,972,319,394,14,2354,20848,5710,8218,2827
1998-04-15,1997-12-12,1998-06-11,0.391397969277,0.275825981731,0.243998107951,0.339021327488,0.552782025134,0.514410830077,0.440768329052,0.597945509586,348,74,85,48,135,516,180,169,46,130,972,319,394,14,267,20848,5710,8218,2827,9868
1998-06-11,1998-04-15,1998-09-11,0.283424318688,0.252038873935,0.273993462831,0.23935011207,0.570010794072,0.505622645658,0.556284397698,0.544212217414,74,85,48,135,67,180,169,46,130,55,319,394,14,267,127,5710,8218,2827,9868,4201
1998-09-11,1998-06-11,1998-12-11,0.260796236652,0.508799206967,0.33912884866,0.296119098489,0.406753907414,0.784454776115,0.597127181207,0.565668710153,85,48,135,67,33,169,46,130,55,52,394,14,267,127,20,8218,2827,9868,4201,3020
1998-12-11,1998-09-11,1999-04-12,0.169967231775,0.200526048101,0.271569366907,0.210353207671,0.354455001472,0.430681750672,0.612152999117,0.342763918583,48,135,67,33,69,46,130,55,52,135,14,267,127,20,511,2827,9868,4201,3020,10064
1999-04-12,1998-12-11,1999-06-11,0.435815695496,0.260014133746,0.287582984925,0.310070888412,0.614983044278,0.542565364264,0.447991309648,0.580720707828,135,67,33,69,337,130,55,52,135,673,267,127,20,511,591,9868,4201,3020,10064,20498
1999-06-11,1999-04-12,1999-09-10,0.289039357722,0.296850150276,0.327929933797,0.612714504672,0.54460377521,0.408146876593,0.587394018765,0.721450897513,67,33,69,337,64,55,52,135,673,145,127,20,511,591,317,4201,3020,10064,20498,6882
1999-09-10,1999-06-11,1999-12-10,0.661458355741,0.197177257451,0.258120833851,0.329575245794,0.87712996108,0.35480379123,0.432752617674,0.423289160097,33,69,337,64,20,52,135,673,145,16,20,511,591,317,4,3020,10064,20498,6882,2270
1999-12-10,1999-09-10,2000-04-10,0.312121635652,0.603144738001,0.868842642334,0.258026786403,0.561319894416,0.713362572489,0.951329305661,0.355633749338,69,337,64,20,92,135,673,145,16,213,511,591,317,4,529,10064,20498,6882,2270,9755
2000-04-10,1999-12-10,2000-06-09,0.46032028374,0.331906313811,0.342389119108,0.306760550176,0.658031670778,0.554134726482,0.615364404461,0.50386301666,337,64,20,92,99,673,145,16,213,123,591,317,4,529,163,20498,6882,2270,9755,9899
2000-06-09,2000-04-10,2000-09-08,0.175542343317,0.137190366496,0.170865965639,0.168258319258,0.413499992521,0.362494046194,0.407922813837,0.429085096661,64,20,92,99,69,145,16,213,123,234,317,4,529,163,564,6882,2270,9755,9899,7054
2000-09-08,2000-06-09,2000-12-06,0.353694365888,0.304378997501,0.341097287331,0.196027815696,0.598092041244,0.516748474989,0.614977630658,0.51169666924,20,92,99,69,44,16,213,123,234,122,4,529,163,564,178,2270,9755,9899,7054,3724
2000-12-06,2000-09-08,2001-04-16,0.248560330506,0.433267429437,0.190037198222,0.462476960045,0.369327438006,0.687456065394,0.42570803488,0.657352305941,92,99,69,44,15,213,123,234,122,15,529,163,564,178,5,9755,9899,7054,3724,1900
2001-04-16,2000-12-06,2001-06-15,0.624985967728,0.168072762791,0.321410341857,0.3953147752,0.849381406599,0.443333586644,0.602397990777,0.66474645885,99,69,44,15,96,123,234,122,15,119,163,564,178,5,113,9899,7054,3724,1900,10481
2001-06-15,2001-04-16,2001-09-13,0.196300792033,0.393944850464,0.652433317518,0.451007440491,0.448794774212,0.633985525019,0.892614187596,0.694702836671,69,44,15,96,12,234,122,15,119,7,564,178,5,113,5,7054,3724,1900,10481,1760
2001-09-13,2001-06-15,2001-12-13,0.383587064395,0.551623182074,0.400102364441,0.651484733164,0.637080176787,0.853266953137,0.670233654595,0.875334362413,44,15,96,12,16,122,15,119,7,12,178,5,113,5,5,3724,1900,10481,1760,2132
2001-12-13,2001-09-13,2002-04-15,0.604655979032,0.435771754136,0.657201453758,0.691851879719,0.879845939698,0.685194126753,0.885059856181,0.91306433435,15,96,12,16,11,15,119,7,12,17,5,113,5,5,6,1900,10481,1760,2132,2272
2002-04-15,2001-12-13,2002-06-12,0.510946303348,0.270947048283,0.256074238855,0.296230604435,0.712437830676,0.512971130815,0.495992670431,0.51384698653,96,12,16,11,145,119,7,12,17,251,113,5,5,6,794,10481,1760,2132,2272,18137
2002-06-12,2002-04-15,2002-09-13,0.617048477479,0.562510914186,0.624713182632,0.275033109028,0.871336399425,0.854113130031,0.87881046104,0.501792390073,12,16,11,145,18,7,12,17,251,19,5,5,6,794,7,1760,2132,2272,18137,1976
2002-09-13,2002-06-12,2002-12-10,0.146967718127,0.150570863264,0.192884013446,0.16398393833,0.283991544464,0.281530939909,0.37444717728,0.27015939581,16,11,145,18,168,12,17,251,19,263,5,6,794,7,828,2132,2272,18137,1976,15250
2002-12-10,2002-09-13,2003-04-14,0.107899405488,0.129471858826,0.12118288326,0.206838971614,0.227692443813,0.278224356745,0.235607414627,0.377306269798,11,145,18,168,173,17,251,19,263,485,6,794,7,828,1239,2272,18137,1976,15250,23071
2003-04-14,2002-12-10,2003-06-04,0.662158314427,0.277788655629,0.259103319763,0.212050540964,0.781381345976,0.462596209976,0.448379864266,0.389269550455,145,18,168,173,250,251,19,263,485,493,794,7,828,1239,1053,18137,1976,15250,23071,24277
2003-06-04,2003-04-14,2003-09-10,0.64517665539,0.151817455832,0.140688342432,0.315574870817,0.838853923398,0.287346785819,0.275351267996,0.506796908121,18,168,173,250,13,19,263,485,493,42,7,828,1239,1053,6,1976,15250,23071,24277,2646
2003-09-10,2003-06-04,2003-12-09,0.310135430242,0.187305303924,0.640907043401,0.240544804825,0.513285388644,0.321584029962,0.771599507339,0.354833256116,168,173,250,13,114,263,485,493,42,338,828,1239,1053,6,751,15250,23071,24277,2646,14053
2003-12-09,2003-09-10,2004-04-05,0.144859093614,0.30321345277,0.691293459618,0.270674732359,0.28953045137,0.494764339006,0.877088659698,0.36568577325,173,250,13,114,19,485,493,42,338,46,1239,1053,6,751,12,23071,24277,2646,14053,3340
2004-04-05,2003-12-09,2004-06-02,0.649601818745,0.403209912705,0.248998017378,0.447924597178,0.748952038721,0.674575736192,0.399299788445,0.686057192091,250,13,114,19,131,493,42,338,46,277,1053,6,751,12,422,24277,2646,14053,3340,16337
2004-06-02,2004-04-05,2004-09-03,0.670237335586,0.271312133649,0.750925721525,0.474971415169,0.865566372514,0.385791932148,0.922737345538,0.716936473407,13,114,19,131,27,42,338,46,277,44,6,751,12,422,12,2646,14053,3340,16337,3245
2004-09-03,2004-06-02,2004-12-03,0.208775749286,0.173864121455,0.167731887787,0.193044042159,0.358162887724,0.350405346483,0.348536358298,0.362894740897,114,19,131,27,163,338,46,277,44,444,751,12,422,12,1017,14053,3340,16337,3245,18926
2004-12-03,2004-09-03,2005-04-11,0.574522228138,0.396330487676,0.651410282296,0.219047289704,0.825712974416,0.666750855985,0.854329206847,0.369975151918,19,131,27,163,49,46,277,44,444,81,12,422,12,1017,14,3340,16337,3245,18926,3673
2005-04-11,2004-12-03,2005-06-03,0.830108106696,0.439313128425,0.179367041155,0.458247955085,0.938341005938,0.697485384208,0.357307812097,0.707646959243,131,27,163,49,132,277,44,444,81,298,422,12,1017,14,347,16337,3245,18926,3673,15235
2005-06-03,2005-04-11,2005-09-02,0.605011538653,0.184744298344,0.626989859862,0.502495013117,0.841789676159,0.36370232138,0.865837078058,0.732236454156,27,163,49,132,28,44,444,81,298,109,12,1017,14,347,28,3245,18926,3673,15235,3827
2005-09-02,2005-06-03,2005-12-02,0.943327338353,0.18725785786,0.193418846802,0.229694038881,0.977455343853,0.372522165099,0.377842869713,0.400077397032,163,49,132,28,158,444,81,298,109,466,1017,14,347,28,1047,18926,3673,15235,3827,18727
2005-12-02,2005-09-02,2006-04-10,0.558644758182,0.451811121669,0.63095450229,0.248859279325,0.823440675368,0.720955709328,0.83398097469,0.459138815667,49,132,28,158,103,81,298,109,466,168,14,347,28,1047,113,3673,15235,3827,18727,5887
2006-04-10,2005-12-02,2006-06-02,0.722704218844,0.425531887369,0.243258332649,0.468992037177,0.846630513583,0.632727499401,0.441330910727,0.707921389185,132,28,158,103,217,298,109,466,168,459,347,28,1047,113,701,15235,3827,18727,5887,21391
2006-06-02,2006-04-10,2006-09-01,0.611520123842,0.175748534129,0.463653587499,0.390933854269,0.86542238185,0.374517636027,0.753985719389,0.632824540051,28,158,103,217,34,109,466,168,459,70,28,1047,113,701,26,3827,18727,5887,21391,4105
2006-09-01,2006-06-02,2006-12-01,0.20269878527,0.450712291552,0.383359798504,0.725309392878,0.397975168833,0.746695826784,0.632463567242,0.885667940477,158,103,217,34,35,466,168,459,70,69,1047,113,701,26,29,18727,5887,21391,4105,4475
2006-12-01,2006-09-01,2007-03-15,0.468629320437,0.364426380682,0.640037016719,0.681021879015,0.790892019061,0.642196993351,0.878367006909,0.887919270803,103,217,34,35,44,168,459,70,69,81,113,701,26,29,47,5887,21391,4105,4475,4860
2007-03-15,2006-12-01,2007-06-01,0.731831197235,0.262050674408,0.262186845232,0.255379501946,0.843329540757,0.438707004241,0.440177692366,0.449759643366,217,34,35,44,582,459,70,69,81,1154,701,26,29,47,2179,21391,4105,4475,4860,45088
2007-06-01,2007-03-15,2007-08-31,0.199315938992,0.189647626095,0.179446349933,0.27258568984,0.395796744192,0.387213943791,0.386785866421,0.456250334694,34,35,44,582,167,70,69,81,1154,456,26,29,47,2179,1089,4105,4475,4860,45088,19896
2007-08-31,2007-06-01,2007-11-30,0.639450021543,0.558131951102,0.288449766747,0.235341554741,0.881664841866,0.854124537312,0.449574987055,0.40902920336,35,44,582,167,53,69,81,1154,456,85,29,47,2179,1089,40,4475,4860,45088,19896,4947
2007-11-30,2007-08-31,2008-03-13,0.230889260435,0.798754413844,0.227945660905,0.301272636488,0.437637858922,0.877095622756,0.425973416826,0.45814954843,44,582,167,53,274,81,1154,456,85,420,47,2179,1089,40,623,4860,45088,19896,4947,15713
2008-03-13,2007-11-30,2008-06-02,0.484858774924,0.20846759119,0.506025182716,0.275594485586,0.595964394339,0.397634627078,0.741697475596,0.472722834292,582,167,53,274,189,1154,456,85,420,322,2179,1089,40,623,442,45088,19896,4947,15713,17474
2008-06-02,2008-03-13,2008-08-29,0.205834511427,0.620338401927,0.253715113377,0.507165050278,0.397078803829,0.868869908913,0.428359337549,0.738672134158,167,53,274,189,69,456,85,420,322,126,1089,40,623,442,60,19896,4947,15713,17474,6135
2008-08-29,2008-06-02,2008-12-05,0.130083268259,0.212252069234,0.145775671477,0.137909863164,0.265875265608,0.398093046207,0.295026741446,0.275077061193,53,274,189,69,652,85,420,322,126,1817,40,623,442,60,4146,4947,15713,17474,6135,63918
2008-12-05,2008-08-29,2009-03-13,0.257598977569,0.453297420376,0.714375446167,0.1339270336,0.424654156904,0.7020382996,0.91102094868,0.267576216044,274,189,69,652,85,420,322,126,1817,183,623,442,60,4146,84,15713,17474,6135,63918,6899
2009-03-13,2008-12-05,2009-06-05,0.420185196719,0.262277042069,0.280048005075,0.258958482438,0.547168152708,0.406102979785,0.451674012966,0.391805864368,189,69,652,85,1126,322,126,1817,183,2015,442,60,4146,84,2951,17474,6135,63918,6899,59194
2009-06-05,2009-03-13,2009-08-28,0.664698855949,0.135706042004,0.661542695863,0.273129267908,0.883022790645,0.269704454041,0.892172262283,0.398131368012,69,652,85,1126,65,126,1817,183,2015,122,60,4146,84,2951,72,6135,63918,6899,59194,6524
2009-08-28,2009-06-05,2009-12-04,0.0364864119421,0.0882431765316,0.089713297013,0.110646050334,0.0981300693707,0.192528267067,0.169823184444,0.213277333509,652,85,1126,65,227,1817,183,2015,122,3978,4146,84,2951,72,535,63918,6899,59194,6524,28207
2009-12-04,2009-08-28,2010-03-12,0.088143272143,0.0361835235285,0.100829080231,0.990975922364,0.180474476034,0.0829877425628,0.195235777273,0.98760572025,85,1126,65,227,165,183,2015,122,3978,3737,84,2951,72,535,178,6899,59194,6524,28207,21813
2010-03-12,2009-12-04,2010-03-18,0.180273100232,0.0903170064946,0.944974652473,0.943029724242,0.282531817397,0.190965609507,0.952340645511,0.944548139285,1126,65,227,165,1219,2015,122,3978,3737,9330,2951,72,535,178,2317,59194,6524,28207,21813,80373
2010-03-18,2010-03-12,2010-05-28,0.0901433416844,0.945103953466,0.943188533013,0.99998271745,0.190659842685,0.952498626022,0.944756616346,0.99999303612,65,227,165,1219,1219,122,3978,3737,9330,9365,72,535,178,2317,2327,6524,28207,21813,80373,80581
2010-05-28,2010-03-18,2010-08-27,0.951657477265,0.95629865335,0.985397740083,0.985493064723,0.959083388165,0.968151084981,0.972490740915,0.972687184705,227,165,1219,1219,163,3978,3737,9330,9365,5367,535,178,2317,2327,298,28207,21813,80373,80581,26499
2010-08-27,2010-05-28,2010-12-03,0.940217382629,0.978038101928,0.978123787232,0.991684237813,0.956704805366,0.962065996408,0.962292783034,0.993178556035,165,1219,1219,163,275,3737,9330,9365,5367,15449,178,2317,2327,298,540,21813,80373,80581,26499,49588
2010-12-03,2010-08-27,2011-03-11,0.214357941968,0.214352508182,0.21534466532,0.129453002233,0.272495803932,0.272156362589,0.236498954979,0.143207258027,1219,1219,163,275,308,9330,9365,5367,15449,495,2317,2327,298,540,587,80373,80581,26499,49588,32004
2011-03-11,2010-12-03,2011-05-26,0.220692607695,0.20048542852,0.119415128755,0.90688735021,0.296529821513,0.218870412227,0.130965975469,0.899711510114,1219,163,275,308,1414,9365,5367,15449,495,2507,2327,298,540,587,2937,80581,26499,49588,32004,119136
2011-05-26,2011-03-11,2011-08-25,0.12288438801,0.0829689841973,0.455966499669,0.444712062559,0.169798526273,0.106576537169,0.648837602127,0.655468477268,163,275,308,1414,533,5367,15449,495,2507,662,298,540,587,2937,642,26499,49588,32004,119136,42681
2011-08-25,2011-05-26,2011-11-23,0.0581059570432,0.34906478095,0.349734784441,0.590042507402,0.0846224899635,0.551250290086,0.595448055135,0.715766401872,275,308,1414,533,1661,15449,495,2507,662,2308,540,587,2937,642,3796,49588,32004,119136,42681,90716
2011-11-23,2011-08-25,2012-03-15,0.347930947432,0.366789988677,0.575196993661,0.835076890003,0.57133853073,0.613070301007,0.729812930719,0.84124289689,308,1414,533,1661,965,495,2507,662,2308,1917,587,2937,642,3796,3622,32004,119136,42681,90716,82722
2012-03-15,2011-11-23,2012-05-23,0.33213584479,0.565191156027,0.870232136002,0.870144570244,0.570273071357,0.707358313683,0.837171217496,0.869230117593,1414,533,1661,965,1654,2507,662,2308,1917,1714,2937,642,3796,3622,4044,119136,42681,90716,82722,119537
2012-05-23,2012-03-15,2012-08-23,0.632263319204,0.878231748065,0.882340035421,0.969175428938,0.782761217127,0.849141751636,0.885974108417,0.967232841017,533,1661,965,1654,634,662,2308,1917,1714,757,642,3796,3622,4044,1407,42681,90716,82722,119537,48755
2012-08-23,2012-05-23,2012-11-21,0.934104097356,0.879085220059,0.946588179705,0.966159544472,0.926898912845,0.896013255721,0.941305118982,0.966789101238,1661,965,1654,634,877,2308,1917,1714,757,1165,3796,3622,4044,1407,1915,90716,82722,119537,48755,58663
2012-11-21,2012-08-23,2013-03-20,0.892296111149,0.931111064889,0.951355286943,0.94136045161,0.920507908353,0.9310595821,0.96104915746,0.953029510611,965,1654,634,877,753,1917,1714,757,1165,1389,3622,4044,1407,1915,2232,82722,119537,48755,58663,63242
2013-03-20,2012-11-21,2013-05-30,0.991234419804,0.968194518035,0.950403091278,0.940751638237,0.993941305039,0.969577303676,0.947769311552,0.942831918718,1654,634,877,753,1729,1714,757,1165,1389,1874,4044,1407,1915,2232,4114,119537,48755,58663,63242,121722
2013-05-30,2013-03-20,2013-07-29,0.920739468129,0.908960338309,0.914105112377,0.911368805307,0.928943979362,0.92403473995,0.937751364453,0.916511774759,634,877,753,1729,985,757,1165,1389,1874,1423,1407,1915,2232,4114,2432,48755,58663,63242,121722,67264
2013-07-29,2013-05-30,2013-08-28,0.0753022892323,0.113547166192,0.0523440991183,0.376437808006,0.185106762274,0.228342421796,0.139662030079,0.450738323207,877,753,1729,985,285,1165,1389,1874,1423,1219,1915,2232,4114,2432,1722,58663,63242,121722,67264,29899
2013-08-28,2013-07-29,2013-11-27,0.888356477683,0.927432028751,0.877050751369,0.0355518574052,0.890445154812,0.933331937572,0.880235997168,0.102755180892,753,1729,985,285,1175,1389,1874,1423,1219,753,2232,4114,2432,1722,2653,63242,121722,67264,29899,70359
2013-11-27,2013-08-28,2014-03-14,0.730891116231,0.703780118213,0.0548738374619,0.657881641814,0.831594855061,0.810625737195,0.138508045618,0.767887393591,1729,985,285,1175,338,1874,1423,1219,753,352,4114,2432,1722,2653,844,121722,67264,29899,70359,28104
2014-03-14,2013-11-27,2014-05-29,0.696229637211,0.0915900298209,0.623335515883,0.888458535425,0.820554099757,0.213018561977,0.731857062705,0.90188859233,985,285,1175,338,1735,1423,1219,753,352,2834,2432,1722,2653,844,4069,67264,29899,70359,28104,112746
2014-05-29,2014-03-14,2014-08-27,0.0530493605497,0.648841395668,0.954151871196,0.904269831531,0.135303843029,0.755748738501,0.971923278537,0.914556259082,285,1175,338,1735,339,1219,753,352,2834,802,1722,2653,844,4069,1065,29899,70359,28104,112746,28743
2014-08-27,2014-05-29,2014-11-26,0.632938580837,0.92465211488,0.889345771684,0.953450028642,0.738733539579,0.946498108528,0.910631980645,0.96282811462,1175,338,1735,339,430,753,352,2834,802,1168,2653,844,4069,1065,1601,70359,28104,112746,28743,38448
2014-11-26,2014-08-27,2015-03-13,0.946411176394,0.881307527597,0.962999532292,0.947548616413,0.970257709805,0.893784242016,0.976545394644,0.95882337612,338,1735,339,430,360,352,2834,802,1168,1042,844,4069,1065,1601,1197,28104,112746,28743,38448,32988
