filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-04-19,1994-12-09,1995-06-07,0.524653773771,0.155308153896,0.161133752758,0.16855013335,0.732109255821,0.315756154421,0.325225702263,0.346609891642,209,12,17,17,397,400,14,15,21,1326,899,8,7,7,2551,19848,1289,1434,1646,46483
1995-06-07,1995-04-19,1995-09-12,0.645806158044,0.545878142243,0.504004473135,0.150486581584,0.869853944088,0.798635448432,0.780375294319,0.295764229723,12,17,17,397,12,14,15,21,1326,11,8,7,7,2551,6,1289,1434,1646,46483,1137
1995-09-12,1995-06-07,1995-12-12,0.539486404825,0.443741329119,0.13737469579,0.528697300487,0.776064526953,0.72198815857,0.275853096432,0.756396590694,17,17,397,12,12,15,21,1326,11,76,7,7,2551,6,6,1434,1646,46483,1137,1654
1995-12-12,1995-09-12,1996-04-26,0.506441605988,0.175617205123,0.478233334227,0.673117406298,0.804256267141,0.352230472057,0.741681597904,0.870081038968,17,397,12,12,21,21,1326,11,76,63,7,2551,6,6,5,1646,46483,1137,1654,1941
1996-04-26,1995-12-12,1996-06-11,0.410372893518,0.2317020156,0.254554419841,0.313799583702,0.645847647693,0.466839509157,0.498744079864,0.569956602867,397,12,12,21,140,1326,11,76,63,365,2551,6,6,5,549,46483,1137,1654,1941,14530
1996-06-11,1996-04-26,1996-09-10,0.423121625224,0.358226282229,0.371330647822,0.283248932521,0.764886460222,0.711845576167,0.749654673078,0.599025583892,12,12,21,140,20,11,76,63,365,33,6,6,5,549,8,1137,1654,1941,14530,2236
1996-09-10,1996-06-11,1996-11-19,0.553031246295,0.476546827246,0.322135042618,0.516275690913,0.832972899083,0.811646304027,0.60151161977,0.822614882136,12,21,140,20,20,76,63,365,33,63,6,5,549,8,8,1654,1941,14530,2236,2012
1996-11-19,1996-09-10,1997-04-25,0.431519034098,0.292663150357,0.596020883507,0.479282259358,0.802940745443,0.601560506423,0.824413409319,0.790811445522,21,140,20,20,32,63,365,33,63,68,5,549,8,8,13,1941,14530,2236,2012,3377
1997-04-25,1996-11-19,1997-06-10,0.576224829478,0.26968193896,0.303150189268,0.288313419222,0.805568645741,0.516042971526,0.511254700021,0.512380979958,140,20,20,32,275,365,33,63,68,662,549,8,8,13,1306,14530,2236,2012,3377,24371
1997-06-10,1997-04-25,1997-09-09,0.446660811745,0.455114052024,0.392012446609,0.306266364593,0.818369721002,0.787230467464,0.737055952056,0.523545718571,20,20,32,275,17,33,63,68,662,21,8,8,13,1306,15,2236,2012,3377,24371,1632
1997-09-09,1997-06-10,1997-12-09,0.313038567921,0.232850872932,0.491572101198,0.347649743019,0.537715097116,0.472022549763,0.713910273544,0.554507864395,20,32,275,17,59,63,68,662,21,123,8,13,1306,15,292,2012,3377,24371,1632,5496
1997-12-09,1997-09-09,1998-01-20,0.507489204255,0.326897182235,0.594995328272,0.406339039479,0.825133749773,0.531684729978,0.821794242632,0.559313664482,32,275,17,59,26,68,662,21,123,26,13,1306,15,292,9,3377,24371,1632,5496,2098
1998-01-20,1997-12-09,1998-04-29,0.322940364171,0.571027380649,0.397602468801,0.9728010897,0.532442802235,0.811190021234,0.555689501033,0.992554903502,275,17,59,26,26,662,21,123,26,27,1306,15,292,9,12,24371,1632,5496,2098,2116
1998-04-29,1998-01-20,1998-06-16,0.193670898515,0.331758042894,0.209193894084,0.207286559462,0.435164191473,0.594686157966,0.428509130899,0.430048743595,17,59,26,26,444,21,123,26,27,1231,15,292,9,12,2037,1632,5496,2098,2116,39849
