filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1994-08-12,1994-06-30,1994-11-14,0.359615411021,0.591994771342,0.371871012899,0.108091147003,0.676880019542,0.844372488379,0.496802175526,0.183769991774,218,18,3,2,18,374,73,47,0,119,609,75,90,1,102,19623,2318,718,88,2839
1994-11-14,1994-08-12,1995-03-24,0.557343813779,0.374649872023,0.103052377963,0.757082883046,0.820713069329,0.494443698651,0.171702470502,0.916790431103,18,3,2,18,18,73,47,0,119,133,75,90,1,102,110,2318,718,88,2839,3045
1995-03-24,1994-11-14,1995-05-15,0.106877468182,0.0541778167203,0.213594823708,0.227918911959,0.2459451422,0.12303831707,0.478176760006,0.488481080541,3,2,18,18,508,47,0,119,133,1271,90,1,102,110,2318,718,88,2839,3045,41208
1995-05-15,1995-03-24,1995-08-14,0.11689064088,0.456862123047,0.474807651059,0.211539794045,0.180628938675,0.791602212334,0.799117841196,0.469029540573,2,18,18,508,24,0,119,133,1271,118,1,102,110,2318,79,88,2839,3045,41208,2444
1995-08-14,1995-05-15,1995-11-14,0.450406329343,0.449569735955,0.214903112577,0.691051362096,0.833833874528,0.821049121021,0.483768250482,0.89524069918,18,18,508,24,20,119,133,1271,118,144,102,110,2318,79,101,2839,3045,41208,2444,2741
1995-11-14,1995-08-14,1996-03-26,0.471713912512,0.208086367914,0.641586367366,0.729075714057,0.844557478025,0.471236556276,0.875573820647,0.92020400631,18,508,24,20,21,133,1271,118,144,108,110,2318,79,101,95,3045,41208,2444,2741,2600
1996-03-26,1995-11-14,1996-05-15,0.448970278958,0.300066697146,0.319148962825,0.310745872044,0.648788911607,0.550856849783,0.571378701915,0.554004270728,508,24,20,21,355,1271,118,144,108,977,2318,79,101,95,1560,41208,2444,2741,2600,31379
1996-05-15,1996-03-26,1996-05-20,0.531721697229,0.527623245197,0.569730393698,0.3266717733,0.864588499227,0.855550838786,0.868483959981,0.559861542905,24,20,21,355,21,118,144,108,977,147,79,101,95,1560,140,2444,2741,2600,31379,2795
1996-05-20,1996-05-15,1996-08-14,0.260766529174,0.297315900348,0.215703980724,0.599281822157,0.431997732572,0.409521369883,0.343932203603,0.591740597617,20,21,355,21,1,144,108,977,147,98,101,95,1560,140,132,2741,2600,31379,2795,1050
1996-08-14,1996-05-20,1996-11-14,0.500837404131,0.296881126305,0.584067194121,0.232521681532,0.84528006042,0.551191799443,0.862109877068,0.354025967561,21,355,21,1,25,108,977,147,98,120,95,1560,140,132,76,2600,31379,2795,1050,2552
1996-11-14,1996-08-14,1997-03-25,0.297149245357,0.532364389868,0.209985466915,0.644123855069,0.570709215635,0.846954679132,0.357371057612,0.89147103491,355,21,1,25,18,977,147,98,120,147,1560,140,132,76,98,31379,2795,1050,2552,2712
