filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
2001-09-26,2001-09-21,2001-11-13,0.256341396358,0.110266979315,0.126207171381,0.250552676446,0.445911794673,0.229282899446,0.258338359083,0.417155304562,121,28,43,314,1,202,40,44,542,3,403,15,14,1097,17,12373,4539,5084,26892,695
2001-11-13,2001-09-26,2002-02-06,0.546977745942,0.502907282424,0.340007008757,0.110382652074,0.77797454105,0.777771062593,0.5735395658,0.223481181909,28,43,314,1,30,40,44,542,3,39,15,14,1097,17,16,4539,5084,26892,695,3779
2002-02-06,2001-11-13,2002-04-30,0.501266759433,0.324781224347,0.0890389665446,0.689864078052,0.788332107023,0.545436068309,0.181417071549,0.855874621274,43,314,1,30,32,44,542,3,39,53,14,1097,17,16,9,5084,26892,695,3779,4607
2002-04-30,2002-02-06,2002-09-20,0.318906596966,0.083539317405,0.631913602318,0.702070893798,0.53902163251,0.175985269655,0.831148041901,0.878470104329,314,1,30,32,40,542,3,39,53,70,1097,17,16,9,9,26892,695,3779,4607,5036
2002-09-20,2002-04-30,2002-11-12,0.275387217943,0.407334115639,0.411165103157,0.414414546832,0.437672358179,0.641498083686,0.62381674618,0.621835696779,1,30,32,40,263,3,39,53,70,413,17,16,9,9,506,695,3779,4607,5036,24643
2002-11-12,2002-09-20,2003-02-07,0.674894535955,0.564557312901,0.527219798821,0.465265294652,0.857862587022,0.773855954971,0.756336670146,0.68415976631,30,32,40,263,31,39,53,70,413,53,16,9,9,506,32,3779,4607,5036,24643,4671
2003-02-07,2002-11-12,2003-05-09,0.687416552427,0.489663343144,0.427482113138,0.705405944736,0.856399069323,0.737190504248,0.664070033931,0.847126294585,32,40,263,31,54,53,70,413,53,66,9,9,506,32,35,4607,5036,24643,4671,6111
2003-05-09,2003-02-07,2003-09-18,0.735399582879,0.457673477502,0.69295056333,0.667494020777,0.883219132695,0.690115767131,0.870635896203,0.837501626197,40,263,31,54,67,70,413,53,66,123,9,506,32,35,61,5036,24643,4671,6111,7017
2003-09-18,2003-05-09,2003-11-07,0.710274021183,0.324766751447,0.300344986749,0.326481990656,0.81125898802,0.522697237473,0.498514929164,0.521730380498,263,31,54,67,554,413,53,66,123,1154,506,32,35,61,1855,24643,4671,6111,7017,40582
2003-11-07,2003-09-18,2004-02-06,0.770134046792,0.601613654639,0.627512045417,0.342965535052,0.93448063307,0.812607195481,0.842770326124,0.528232167502,31,54,67,554,41,53,66,123,1154,87,32,35,61,1855,61,4671,6111,7017,40582,5140
2004-02-06,2003-11-07,2004-05-07,0.707555417808,0.658350070581,0.312974135895,0.715231474704,0.876426272968,0.864548605726,0.479015530936,0.844424493404,54,67,554,41,42,66,123,1154,87,94,35,61,1855,61,49,6111,7017,40582,5140,5809
2004-05-07,2004-02-06,2004-09-16,0.749101270152,0.306894141633,0.684957390947,0.788535982259,0.925518999329,0.481302966584,0.83924559193,0.905963091668,67,554,41,42,59,123,1154,87,94,104,61,1855,61,49,53,7017,40582,5140,5809,6196
2004-09-16,2004-05-07,2004-11-08,0.440097217489,0.333304991654,0.326176522932,0.325856236635,0.621144778888,0.552844106456,0.53490308185,0.536386069933,554,41,42,59,361,1154,87,94,104,857,1855,61,49,53,1358,40582,5140,5809,6196,34226
2004-11-08,2004-09-16,2005-02-10,0.76084323227,0.701788977659,0.714900513915,0.337970076165,0.918698513442,0.853292086643,0.864163749208,0.568421797241,41,42,59,361,45,87,94,104,857,95,61,49,53,1358,51,5140,5809,6196,34226,5288
2005-02-10,2004-11-08,2005-05-12,0.778120818511,0.748669525565,0.315104261218,0.735600558518,0.930653288561,0.909593344152,0.538970212875,0.878522879584,42,59,361,45,42,94,104,857,95,109,49,53,1358,51,50,5809,6196,34226,5288,6343
2005-05-12,2005-02-10,2005-05-18,0.518872256977,0.339627400309,0.506741231623,0.524071867596,0.778599590903,0.615918901918,0.768232653349,0.78482788117,59,361,45,42,98,104,857,95,109,372,53,1358,51,50,538,6196,34226,5288,6343,11786
2005-05-18,2005-05-12,2005-09-09,0.316206824249,0.724925653486,0.775174471281,0.662540178977,0.546359186868,0.88078386223,0.929243657111,0.844123638055,361,45,42,98,46,857,95,109,372,105,1358,51,50,538,50,34226,5288,6343,11786,6922
2005-09-09,2005-05-18,2005-11-09,0.379100075373,0.347992712291,0.408460582961,0.358078713306,0.600919961227,0.558301126322,0.691023608914,0.575182290679,45,42,98,46,394,95,109,372,105,638,51,50,538,50,1184,5288,6343,11786,6922,33646
2005-11-09,2005-09-09,2006-02-09,0.618326512152,0.446907203254,0.615064660999,0.390477334329,0.818765115351,0.743876697689,0.824836332903,0.624329159555,42,98,46,394,58,109,372,105,638,116,50,538,50,1184,60,6343,11786,6922,33646,6322
2006-02-09,2005-11-09,2006-05-05,0.385514850696,0.285782479555,0.536184757666,0.342451287055,0.600670624151,0.448574508267,0.684885473839,0.497651183422,98,46,394,58,357,372,105,638,116,942,538,50,1184,60,1466,11786,6922,33646,6322,23437
2006-05-05,2006-02-09,2006-08-25,0.783242763946,0.378160804885,0.755048793306,0.337294886151,0.938500198922,0.605010882795,0.884626404359,0.48775833612,46,394,58,357,71,105,638,116,942,130,50,1184,60,1466,66,6922,33646,6322,23437,7806
2006-08-25,2006-05-05,2006-11-07,0.531535940784,0.64981386426,0.322523039982,0.654775341424,0.728387324792,0.823659756418,0.488003257417,0.825504973536,394,58,357,71,230,638,116,942,130,245,1184,60,1466,66,125,33646,6322,23437,7806,18303
2006-11-07,2006-08-25,2007-02-08,0.707879592463,0.29920908,0.672741268522,0.665286720168,0.89993319778,0.468356836858,0.862345711418,0.821402351014,58,357,71,230,69,116,942,130,245,102,60,1466,66,125,51,6322,23437,7806,18303,6195
2007-02-08,2006-11-07,2007-05-04,0.312097987466,0.700135586272,0.650181520568,0.822859066361,0.471373890605,0.893131002779,0.801465600579,0.902654780286,357,71,230,69,82,942,130,245,102,121,1466,66,125,51,51,23437,7806,18303,6195,7185
2007-05-04,2007-02-08,2007-08-23,0.698026323632,0.618488147494,0.792973337512,0.834299039046,0.898518063343,0.79026866043,0.898217767935,0.92460453579,71,230,69,82,90,130,245,102,121,152,66,125,51,51,55,7806,18303,6195,7185,7599
2007-08-23,2007-05-04,2007-11-08,0.410240646817,0.334073255658,0.320357761513,0.32989547587,0.614396738248,0.543278352459,0.52111078114,0.527387873056,230,69,82,90,401,245,102,121,152,1001,125,51,51,55,1556,18303,6195,7185,7599,38230
2007-11-08,2007-08-23,2008-02-06,0.802247556018,0.721019758405,0.787796940356,0.345191156156,0.93805453904,0.864321789568,0.90705630796,0.549283714019,69,82,90,401,87,102,121,152,1001,118,51,51,55,1556,53,6195,7185,7599,38230,7051
2008-02-06,2007-11-08,2008-05-07,0.82568255176,0.808298156289,0.335339220414,0.856565540728,0.94564756276,0.925291731542,0.533680810977,0.915455938298,82,90,401,87,98,121,152,1001,118,130,51,55,1556,53,57,7185,7599,38230,7051,7906
2008-05-07,2008-02-06,2008-08-21,0.836336461963,0.33056651399,0.841504992863,0.870370901313,0.954953851619,0.53815398023,0.922750521033,0.936505287499,90,401,87,98,103,152,1001,118,130,137,55,1556,53,57,59,7599,38230,7051,7906,7923
2008-08-21,2008-05-07,2008-10-31,0.447136263914,0.400013892977,0.390843872585,0.39422178764,0.663860030815,0.626826327646,0.609295745638,0.618439545334,401,87,98,103,429,1001,118,130,137,1221,1556,53,57,59,1709,38230,7051,7906,7923,35627
2008-10-31,2008-08-21,2009-02-04,0.788145131336,0.695531691126,0.711373479579,0.381356920054,0.937209421524,0.855128208239,0.870285299558,0.613393273556,87,98,103,429,65,118,130,137,1221,94,53,57,59,1709,50,7051,7906,7923,35627,6520
2009-02-04,2008-10-31,2009-05-06,0.798008181166,0.721312377413,0.369039065004,0.805472601132,0.938425787096,0.887949202246,0.602927261196,0.904096702461,98,103,429,65,68,130,137,1221,94,128,57,59,1709,50,48,7906,7923,35627,6520,7482
2009-05-06,2009-02-04,2009-08-19,0.781451825131,0.362357013426,0.770393511823,0.827098311874,0.934022254608,0.604605300175,0.905774505999,0.929586816479,103,429,65,68,84,137,1221,94,128,158,59,1709,50,48,59,7923,35627,6520,7482,8287
2009-08-19,2009-05-06,2009-11-04,0.526268175364,0.677636329343,0.679836679449,0.681697379809,0.740506496952,0.822950841303,0.818792284265,0.827650302532,429,65,68,84,263,1221,94,128,158,317,1709,50,48,59,155,35627,6520,7482,8287,19643
2009-11-04,2009-08-19,2010-02-03,0.137692813341,0.120640260875,0.119644508902,0.112339863911,0.250338143863,0.227445301928,0.229897562552,0.213434803325,65,68,84,263,124,94,128,158,317,2237,50,48,59,155,91,6520,7482,8287,19643,16396
2010-02-03,2009-11-04,2010-05-05,0.155091839222,0.134785768555,0.123076858736,0.988137679243,0.272852245786,0.254502990766,0.232059972571,0.989445968665,68,84,263,124,143,128,158,317,2237,2365,48,59,155,91,96,7482,8287,19643,16396,17626
2010-05-05,2010-02-03,2010-08-25,0.128062885345,0.107183779287,0.933734519187,0.942808311759,0.222330165754,0.19596241887,0.95986936612,0.962804446574,84,263,124,143,186,158,317,2237,2365,3362,59,155,91,96,223,8287,19643,16396,17626,23544
2010-08-25,2010-05-05,2010-11-08,0.074244777987,0.910006227267,0.919885190352,0.982774360454,0.128004774384,0.944063944152,0.944902609561,0.985791889318,263,124,143,186,795,317,2237,2365,3362,20203,155,91,96,223,1688,19643,16396,17626,23544,106165
2010-11-08,2010-08-25,2011-02-09,0.914619043614,0.922902020076,0.985246872211,0.995005562651,0.94752339362,0.946750641006,0.987858652619,0.995513215954,124,143,186,795,352,2237,2365,3362,20203,8654,91,96,223,1688,415,16396,17626,23544,106165,42631
2011-02-09,2010-11-08,2011-05-11,0.350049922099,0.298511201498,0.222486907876,0.263992333785,0.346037147675,0.32165046636,0.233614901766,0.271382965245,143,186,795,352,374,2365,3362,20203,8654,611,96,223,1688,415,426,17626,23544,106165,42631,34576
2011-05-11,2011-02-09,2011-08-19,0.179740772652,0.135529496721,0.158602894024,0.600554108386,0.219233961213,0.161659482396,0.185296222651,0.693150287288,186,795,352,374,908,3362,20203,8654,611,1433,223,1688,415,426,3636,23544,106165,42631,34576,73499
2011-08-19,2011-05-11,2011-11-09,0.0990776451416,0.108844327896,0.364822934956,0.814394155036,0.147573053578,0.159162374078,0.562921078714,0.848684148477,795,352,374,908,1092,20203,8654,611,1433,1127,1688,415,426,3636,2879,106165,42631,34576,73499,87768
2011-11-09,2011-08-19,2012-02-08,0.107833023657,0.352394015495,0.816964498002,0.968373795168,0.159341983865,0.549795464392,0.851379385298,0.96908428929,352,374,908,1092,628,8654,611,1433,1127,727,415,426,3636,2879,1801,42631,34576,73499,87768,44542
2012-02-08,2011-11-09,2012-05-09,0.380704636161,0.820457986429,0.980477865622,0.976559874074,0.59015201215,0.856792959056,0.977859608609,0.979552262152,374,908,1092,628,628,611,1433,1127,727,597,426,3636,2879,1801,1618,34576,73499,87768,44542,46049
2012-05-09,2012-02-08,2012-08-22,0.821598867126,0.980429321763,0.976038565012,0.993869655188,0.858009237495,0.978200087242,0.979406324504,0.995064817093,908,1092,628,628,647,1433,1127,727,597,561,3636,2879,1801,1618,1588,73499,87768,44542,46049,45571
2012-08-22,2012-05-09,2012-11-07,0.962476669348,0.940480651578,0.951724861651,0.951962860063,0.961819012361,0.938856446069,0.944540244247,0.944568683006,1092,628,628,647,1357,1127,727,597,561,1913,2879,1801,1618,1588,5036,87768,44542,46049,45571,118665
2012-11-07,2012-08-22,2013-02-05,0.974514222215,0.989120047942,0.989436255606,0.953369291147,0.979440084851,0.990427038314,0.990914538111,0.943153427133,628,628,647,1357,563,727,597,561,1913,589,1801,1618,1588,5036,1527,44542,46049,45571,118665,42819
2013-02-05,2012-11-07,2013-05-07,0.990373707412,0.987768916316,0.950825197649,0.991772671112,0.993491972731,0.989556227909,0.941771170015,0.99148466604,628,647,1357,563,610,597,561,1913,589,630,1618,1588,5036,1527,1578,46049,45571,118665,42819,46268
2013-05-07,2013-02-05,2013-08-22,0.986592416102,0.950153891004,0.98722400883,0.988087132617,0.990527765245,0.943282771566,0.988165017339,0.989179880877,647,1357,563,610,686,561,1913,589,630,699,1588,5036,1527,1578,1789,45571,118665,42819,46268,50701
2013-08-22,2013-05-07,2013-11-06,0.865626604527,0.843105143123,0.841480207416,0.841839339539,0.898337074589,0.858787951148,0.856662835462,0.859104693581,1357,563,610,686,3680,1913,589,630,699,8838,5036,1527,1578,1789,18940,118665,42819,46268,50701,365146
2013-11-06,2013-08-22,2014-02-05,0.595622005741,0.58583821783,0.595030433102,0.602418000894,0.723518619202,0.717739540725,0.728149821053,0.754195020983,563,610,686,3680,658,589,630,699,8838,2284,1527,1578,1789,18940,3845,42819,46268,50701,365146,76970
