filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-28,1994-11-10,1995-05-12,0.785745457471,0.263541566104,0.474153995775,0.471837668757,0.948062718015,0.447232162627,0.720419235762,0.732193339956,228,102,34,24,247,591,287,86,121,594,213,594,43,73,281,15797,12113,2902,3373,17471
1995-05-12,1995-03-28,1995-08-10,0.295294066097,0.670145787827,0.667511961043,0.484108137644,0.454542290059,0.88500179734,0.907498721959,0.734272708406,102,34,24,247,36,287,86,121,594,126,594,43,73,281,67,12113,2902,3373,17471,3108
1995-08-10,1995-05-12,1995-11-14,0.211851901642,0.203660572333,0.19159604556,0.205463746598,0.355676687822,0.352480106157,0.331562544877,0.344648007219,34,24,247,36,191,86,121,594,126,506,43,73,281,67,1223,2902,3373,17471,3108,22630
1995-11-14,1995-08-10,1996-03-22,0.690862884938,0.463046889232,0.708822357687,0.237034880929,0.92553402364,0.713544085673,0.914113261774,0.391622144511,24,247,36,191,39,121,594,126,506,139,73,281,67,1223,71,3373,17471,3108,22630,3542
1996-03-22,1995-11-14,1996-05-01,0.795459535604,0.46735926666,0.20909209316,0.474191654933,0.957022274881,0.735362958744,0.3642137515,0.731330514148,247,36,191,39,234,594,126,506,139,559,281,67,1223,71,305,17471,3108,22630,3542,18094
1996-05-01,1996-03-22,1996-08-13,0.766783302411,0.204521002697,0.704076945224,0.490368141954,0.947285020564,0.339527784478,0.910545939173,0.736570274092,36,191,39,234,25,126,506,139,559,134,67,1223,71,305,63,3108,22630,3542,18094,3056
1996-08-13,1996-05-01,1996-11-14,0.213600106152,0.670602493172,0.466071251983,0.737823065975,0.350079592859,0.897968493745,0.729694640051,0.915496019332,191,39,234,25,28,506,139,559,134,148,1223,71,305,63,93,22630,3542,18094,3056,3440
1996-11-14,1996-08-13,1997-03-26,0.683224202519,0.4674863097,0.697652866879,0.724893168303,0.918755457951,0.737930506255,0.909851793153,0.915575558815,39,234,25,28,36,139,559,134,148,164,71,305,63,93,79,3542,18094,3056,3440,3529
1997-03-26,1996-11-14,1997-05-15,0.720483697661,0.418996384268,0.406536786048,0.42088195462,0.908158262696,0.669952922699,0.670229575107,0.689184108109,234,25,28,36,293,559,134,148,164,643,305,63,93,79,440,18094,3056,3440,3529,21869
1997-05-15,1997-03-26,1997-08-14,0.480218066884,0.423409686168,0.422811392831,0.372152512626,0.759854767337,0.728949934297,0.741514423606,0.707281102568,25,28,36,293,80,134,148,164,643,264,63,93,79,440,266,3056,3440,3529,21869,6872
1997-08-14,1997-05-15,1997-11-12,0.72809976707,0.655962622881,0.43699841919,0.47563207991,0.920857649441,0.874810457743,0.688331133694,0.743705971191,28,36,293,80,36,148,164,643,264,138,93,79,440,266,53,3440,3529,21869,6872,3342
1997-11-12,1997-08-14,1998-03-27,0.690049507197,0.437962727388,0.464480278645,0.80050375674,0.89861245558,0.696670447683,0.741528959191,0.937437802865,36,293,80,36,64,164,643,264,138,132,79,440,266,53,56,3529,21869,6872,3342,3510
1998-03-27,1997-11-12,1998-05-12,0.633906703295,0.326722250994,0.209677974994,0.212844547722,0.745213864541,0.616235646909,0.376811820317,0.383124179465,293,80,36,64,313,643,264,138,132,373,440,266,53,56,623,21869,6872,3342,3510,17993
1998-05-12,1998-03-27,1998-08-14,0.283918205068,0.251841888049,0.245211957735,0.235459258764,0.542253006997,0.415379146927,0.406432554735,0.401171469124,80,36,64,313,101,264,138,132,373,343,266,53,56,623,691,6872,3342,3510,17993,14545
1998-08-14,1998-05-12,1998-11-16,0.646321359396,0.595291306324,0.240651964394,0.249195219182,0.873692380037,0.832866300727,0.426455482121,0.410823909785,36,64,313,101,50,138,132,373,343,255,53,56,623,691,82,3342,3510,17993,14545,5446
1998-11-16,1998-08-14,1999-03-29,0.615790007134,0.248056976147,0.236226473923,0.776421909804,0.849471516587,0.453963544295,0.403066410719,0.917411376309,64,313,101,50,47,132,373,343,255,295,56,623,691,82,91,3510,17993,14545,5446,6177
1999-03-29,1998-11-16,1999-03-31,0.247666061193,0.228964095079,0.858615870553,0.683632758055,0.442896460462,0.386048632367,0.961425908108,0.887798971994,313,101,50,47,65,373,343,255,295,295,623,691,82,91,104,17993,14545,5446,6177,6923
1999-03-31,1999-03-29,1999-05-17,0.774802561028,0.395839960064,0.41109796059,0.417817276833,0.823567385701,0.599624605938,0.617805572917,0.60610296365,101,50,47,65,566,343,255,295,295,1499,691,82,91,104,1889,14545,5446,6177,6923,50725
1999-05-17,1999-03-31,1999-08-12,0.549771700112,0.642132678186,0.577722420785,0.462500650943,0.822188722671,0.871326999828,0.835791427826,0.679354242344,50,47,65,566,83,255,295,295,1499,289,82,91,104,1889,184,5446,6177,6923,50725,7822
1999-08-12,1999-05-17,1999-11-15,0.237405918235,0.234973510278,0.276019837491,0.288075151841,0.532596745011,0.532561327271,0.575475755927,0.592428428832,47,65,566,83,259,295,295,1499,289,1132,91,104,1889,184,1416,6177,6923,50725,7822,24743
1999-11-15,1999-08-12,2000-03-30,0.599367013476,0.405228369699,0.71754431575,0.289300747845,0.857370133313,0.595225303448,0.892650263773,0.561635560122,65,566,83,259,125,295,1499,289,1132,348,104,1889,184,1416,128,6923,50725,7822,24743,8718
2000-03-30,1999-11-15,2000-05-15,0.599936543409,0.588676964497,0.263413301179,0.649065647874,0.741569699132,0.822622202684,0.563256556629,0.84883527359,566,83,259,125,430,1499,289,1132,348,930,1889,184,1416,128,566,50725,7822,24743,8718,30650
2000-05-15,2000-03-30,2000-08-14,0.611254890926,0.238969320049,0.657538737883,0.619331827068,0.829385054742,0.526329153837,0.867587389746,0.812057989655,83,259,125,430,101,289,1132,348,930,308,184,1416,128,566,107,7822,24743,8718,30650,7310
2000-08-14,2000-05-15,2000-08-18,0.248418205179,0.648792894542,0.604462942867,0.814982055723,0.539772998393,0.861150494575,0.799315261952,0.932254322713,259,125,430,101,126,1132,348,930,308,307,1416,128,566,107,116,24743,8718,30650,7310,7843
2000-08-18,2000-08-14,2000-11-14,0.650585397868,0.995257494417,0.620852549018,0.60601326245,0.849525408053,0.998431550391,0.812761483301,0.799950215136,125,430,101,126,430,348,930,308,307,927,128,566,107,116,565,8718,30650,7310,7843,30189
2000-11-14,2000-08-18,2001-03-28,0.593399726408,0.789155495044,0.839004614643,0.59484490466,0.79567086696,0.928490813429,0.940053488506,0.79623113846,430,101,126,430,114,930,308,307,927,324,566,107,116,565,131,30650,7310,7843,30189,8176
