filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1997-08-08,1997-05-02,1997-10-31,0.2822690557,0.23226915441,0.207503635151,0.211681701933,0.475213966627,0.474746483849,0.44154327627,0.408142372867,6,23,291,19,39,10,41,532,22,135,12,112,552,8,353,1708,2882,20614,1668,6680
1997-10-31,1997-08-08,1998-03-18,0.348038773777,0.283885193217,0.360007924697,0.247293060317,0.68391960382,0.665983203146,0.661309451057,0.499137992878,23,291,19,39,44,41,532,22,135,48,112,552,8,353,196,2882,20614,1668,6680,3863
1998-03-18,1997-10-31,1998-05-01,0.601314219402,0.379594401209,0.268010007575,0.356604319731,0.854328714627,0.612201301235,0.46861831687,0.706956825316,291,19,39,44,214,532,22,135,48,137,552,8,353,196,208,20614,1668,6680,3863,13514
1998-05-01,1998-03-18,1998-07-31,0.509388146945,0.183368840603,0.286785725223,0.311137830596,0.748638548806,0.399683224609,0.616394988784,0.567886928092,19,39,44,214,28,22,135,48,137,53,8,353,196,208,107,1668,6680,3863,13514,2933
1998-07-31,1998-05-01,1998-10-30,0.277381173106,0.35387654779,0.391675073895,0.475033515367,0.473995409035,0.700453728811,0.651977491037,0.70877415501,39,44,214,28,24,135,48,137,53,12,353,196,208,107,16,6680,3863,13514,2933,2654
1998-10-30,1998-07-31,1999-03-17,0.246482208124,0.20807339264,0.39032746011,0.28143568114,0.546804455964,0.433925343766,0.602050774023,0.503976662582,44,214,28,24,82,48,137,53,12,309,196,208,107,16,448,3863,13514,2933,2654,8719
1999-03-17,1998-10-30,1999-04-30,0.784763242896,0.315260024211,0.392837490252,0.20929276349,0.947028509688,0.569311927963,0.642740747556,0.438032780327,214,28,24,82,201,137,53,12,309,143,208,107,16,448,254,13514,2933,2654,8719,13912
1999-04-30,1999-03-17,1999-07-30,0.483033418544,0.513630159288,0.212611431651,0.382608470965,0.741666713524,0.790187371237,0.445157388203,0.641136622241,28,24,82,201,25,53,12,309,143,28,107,16,448,254,8,2933,2654,8719,13912,1924
1999-07-30,1999-04-30,1999-10-29,0.667274057325,0.217474479581,0.380066655653,0.640978164167,0.912840622887,0.449538346385,0.642911232843,0.832210038673,24,82,201,25,23,12,309,143,28,22,16,448,254,8,9,2654,8719,13912,1924,2438
1999-10-29,1999-07-30,2000-03-24,0.37562467063,0.386280025429,0.483848254195,0.56475778228,0.62506765712,0.712518953357,0.749000251292,0.793853900263,82,201,25,23,40,309,143,28,22,71,448,254,8,9,192,8719,13912,1924,2438,4294
2000-03-24,1999-10-29,2000-05-05,0.649660558269,0.333985475627,0.33545676378,0.377352359258,0.889381878245,0.612873599758,0.614061098269,0.722751425955,201,25,23,40,231,143,28,22,71,327,254,8,9,192,513,13912,1924,2438,4294,18548
2000-05-05,2000-03-24,2000-08-04,0.70738997867,0.56210911713,0.420025436824,0.317767318197,0.929133965408,0.824037851595,0.725843454496,0.586620167043,25,23,40,231,16,28,22,71,327,23,8,9,192,513,8,1924,2438,4294,18548,1817
2000-08-04,2000-05-05,2000-11-14,0.251998096407,0.226996780005,0.221872614003,0.223177454617,0.483190697148,0.506120851351,0.505969662238,0.440064780663,23,40,231,16,43,22,71,327,23,96,9,192,513,8,252,2438,4294,18548,1817,5714
2000-11-14,2000-08-04,2001-03-23,0.396608899623,0.30457282894,0.281874459018,0.189307732226,0.712728692531,0.589950197114,0.530718693244,0.439172351366,40,231,16,43,47,71,327,23,96,183,192,513,8,252,395,4294,18548,1817,5714,5980
2001-03-23,2000-11-14,2001-05-04,0.401397387062,0.185382806969,0.201333630986,0.472065117522,0.613767650261,0.361479525718,0.426430433422,0.725901032902,231,16,43,47,438,327,23,96,183,1336,513,8,252,395,2679,18548,1817,5714,5980,47685
2001-05-04,2001-03-23,2001-08-14,0.646749236561,0.193920221476,0.252889407887,0.183541623022,0.907727152411,0.426762794587,0.527710185277,0.370815234754,16,43,47,438,23,23,96,183,1336,40,8,252,395,2679,13,1817,5714,5980,47685,2002
2001-08-14,2001-05-04,2001-11-09,0.102004958699,0.139653115931,0.16661063752,0.136694636768,0.310346490575,0.399476481835,0.392590943413,0.336672773593,43,47,438,23,91,96,183,1336,40,349,252,395,2679,13,507,5714,5980,47685,2002,10576
2001-11-09,2001-08-14,2002-03-28,0.320298724507,0.190874137341,0.662669185341,0.154406366539,0.580304685167,0.358631502162,0.843150504771,0.35188132566,47,438,23,91,26,183,1336,40,349,16,395,2679,13,507,13,5980,47685,2002,10576,2225
2002-03-28,2001-11-09,2002-05-13,0.328340147736,0.381550770547,0.131205349489,0.409108040905,0.483345213317,0.643006647659,0.334677877383,0.622617839409,438,23,91,26,270,1336,40,349,16,143,2679,13,507,13,99,47685,2002,10576,2225,13820
2002-05-13,2002-03-28,2002-08-12,0.114498231542,0.101505687673,0.106413440394,0.135460852216,0.30979647135,0.358408789902,0.280264586281,0.342995715786,23,91,26,270,185,40,349,16,143,707,13,507,13,99,1103,2002,10576,2225,13820,16821
2002-08-12,2002-05-13,2002-11-12,0.150769379167,0.634476211812,0.43852079067,0.137812126941,0.372040739098,0.871426464908,0.672936512412,0.327663753189,91,26,270,185,54,349,16,143,707,48,507,13,99,1103,17,10576,2225,13820,16821,3359
2002-11-12,2002-08-12,2003-03-14,0.164045415469,0.202805067966,0.246683489666,0.178418945183,0.29911782952,0.37206066132,0.557003765283,0.317167334254,26,270,185,54,529,16,143,707,48,1651,13,99,1103,17,3140,2225,13820,16821,3359,45328
2003-03-14,2002-11-12,2003-05-13,0.780399102561,0.142726731291,0.470631524087,0.228760677693,0.946100630662,0.353435841842,0.692159749723,0.400228664462,270,185,54,529,273,143,707,48,1651,202,99,1103,17,3140,126,13820,16821,3359,45328,15495
2003-05-13,2003-03-14,2003-08-07,0.131038416373,0.542608130545,0.197561689497,0.536663443315,0.331819633439,0.758750009641,0.364070523796,0.743408229559,185,54,529,273,47,707,48,1651,202,130,1103,17,3140,126,30,16821,3359,45328,15495,5075
2003-08-07,2003-05-13,2003-11-04,0.645570880815,0.192644092092,0.520174481395,0.796616738566,0.826668697465,0.351138405382,0.722868371899,0.902302790991,54,529,273,47,47,48,1651,202,130,85,17,3140,126,30,28,3359,45328,15495,5075,5464
2003-11-04,2003-08-07,2004-03-08,0.192717104013,0.506207947751,0.777203723695,0.868265374174,0.357323996727,0.728156827862,0.90973491659,0.95696672272,529,273,47,47,56,1651,202,130,85,87,3140,126,30,28,28,45328,15495,5075,5464,5475
2004-03-08,2003-11-04,2004-05-04,0.215229095149,0.154980810838,0.158641948123,0.16068935314,0.476853424869,0.406618954463,0.399590068225,0.409721180318,273,47,47,56,396,202,130,85,87,1101,126,30,28,28,1608,15495,5075,5464,5475,33579
2004-05-04,2004-03-08,2004-08-04,0.743718004733,0.725974750407,0.723707048617,0.170903714366,0.909302438878,0.88732797457,0.899697633938,0.4198806175,47,47,56,396,40,130,85,87,1101,73,30,28,28,1608,29,5075,5464,5475,33579,4547
2004-08-04,2004-05-04,2004-11-04,0.432381166642,0.395274427552,0.190987648287,0.459609635902,0.662492115087,0.647185443438,0.495382789068,0.689509291858,47,56,396,40,121,85,87,1101,73,413,28,28,1608,29,594,5464,5475,33579,4547,11823
2004-11-04,2004-08-04,2005-03-10,0.674169889852,0.158459325273,0.704015256507,0.464507402979,0.904849640124,0.425614735597,0.905780191955,0.709325271574,56,396,40,121,41,87,1101,73,413,168,28,1608,29,594,104,5475,33579,4547,11823,5793
2005-03-10,2004-11-04,2005-04-21,0.239696872175,0.596221439205,0.451349597143,0.595608303108,0.509201703711,0.81635373076,0.724887436777,0.830844092506,396,40,121,41,248,1101,73,413,168,481,1608,29,594,104,339,33579,4547,11823,5793,17960
2005-04-21,2005-03-10,2005-05-03,0.324303140412,0.217143306882,0.2827373626,0.364898594275,0.534792557778,0.434663395908,0.495243966148,0.542181282868,40,121,41,248,16,73,413,168,481,49,29,594,104,339,22,4547,11823,5793,17960,1909
2005-05-03,2005-04-21,2005-08-03,0.385052195646,0.546712848924,0.565630828212,0.377175906935,0.670727192305,0.831641266393,0.815648865586,0.62470729554,121,41,248,16,37,413,168,481,49,134,594,104,339,22,121,11823,5793,17960,1909,4339
2005-08-03,2005-05-03,2005-11-01,0.582962111067,0.568631325974,0.372433604731,0.754023477504,0.848817930941,0.79029682223,0.588498012195,0.895381286256,41,248,16,37,37,168,481,49,134,104,104,339,22,121,71,5793,17960,1909,4339,4253
2005-11-01,2005-08-03,2006-03-16,0.457753988621,0.264511877802,0.503408241268,0.548489287438,0.721885151464,0.488708407192,0.728038035947,0.733339036218,248,16,37,37,99,481,49,134,104,279,339,22,121,71,358,17960,1909,4339,4253,7852
2006-03-16,2005-11-01,2006-05-11,0.350873398104,0.542188875932,0.54958163552,0.460560436105,0.54611309344,0.799241414814,0.770704345342,0.720270098385,16,37,37,99,241,49,134,104,279,335,22,121,71,358,285,1909,4339,4253,7852,16173
2006-05-11,2006-03-16,2006-08-10,0.587347977,0.588112321654,0.420602390828,0.532052455918,0.852345161317,0.834862492122,0.693267793753,0.779772442187,37,37,99,241,38,134,104,279,335,75,121,71,358,285,25,4339,4253,7852,16173,4239
2006-08-10,2006-05-11,2006-11-09,0.631714864503,0.41226558528,0.501254592244,0.720539188458,0.876387798763,0.691489712129,0.754442785662,0.90804573892,37,99,241,38,57,104,279,335,75,83,71,358,285,25,27,4253,7852,16173,4239,5063
2006-11-09,2006-08-10,2007-02-28,0.460734410302,0.514899219826,0.729894308542,0.800561086883,0.713869869313,0.763501319922,0.91402840267,0.932691734215,99,241,38,57,54,279,335,75,83,81,358,285,25,27,25,7852,16173,4239,5063,5039
2007-02-28,2006-11-09,2007-05-10,0.403006444359,0.279709401213,0.272769655263,0.283025341425,0.534989598748,0.477761289731,0.464335311285,0.469251340221,241,38,57,54,406,335,75,83,81,1079,285,25,27,25,1875,16173,4239,5063,5039,39318
2007-05-10,2007-02-28,2007-08-09,0.631225100095,0.574097273197,0.58749971727,0.296525910705,0.834985690157,0.793969255981,0.794897380894,0.498763687698,38,57,54,406,38,75,83,81,1079,64,25,27,25,1875,31,4239,5063,5039,39318,4307
2007-08-09,2007-05-10,2007-08-14,0.599647851059,0.527858168895,0.2670785324,0.729243769098,0.794315172468,0.735350515945,0.458088519021,0.842096565286,57,54,406,38,41,83,81,1079,64,43,27,25,1875,31,30,5063,5039,39318,4307,3966
2007-08-14,2007-08-09,2007-11-02,0.587170993549,0.287012600908,0.793674800646,0.953446444604,0.792834008338,0.479307396432,0.911495394937,0.954149172041,54,406,38,41,42,81,1079,64,43,59,25,1875,31,30,33,5039,39318,4307,3966,4574
2007-11-02,2007-08-14,2008-02-27,0.28399132295,0.777303310642,0.774783257961,0.826277085137,0.482121503436,0.915107871168,0.884080089817,0.937556981636,406,38,41,42,41,1079,64,43,59,61,1875,31,30,33,32,39318,4307,3966,4574,4532
2008-02-27,2007-11-02,2008-05-06,0.528534562625,0.478223145736,0.51842117634,0.541658080249,0.747419622877,0.684228185186,0.72593978966,0.742455191289,38,41,42,41,263,64,43,59,61,416,31,30,33,32,361,4307,3966,4574,4532,20255
2008-05-06,2008-02-27,2008-08-01,0.568628005312,0.648024928277,0.699595541151,0.518825039495,0.769142938435,0.8475021905,0.872087430863,0.723271282622,41,42,41,263,38,43,59,61,416,77,30,33,32,361,34,3966,4574,4532,20255,4192
2008-08-01,2008-05-06,2008-11-04,0.754764578049,0.708572479323,0.503532073548,0.746240879858,0.933881936888,0.891473705475,0.709430325962,0.863803402126,42,41,263,38,44,59,61,416,77,60,33,32,361,34,36,4574,4532,20255,4192,4647
2008-11-04,2008-08-01,2009-02-18,0.767016006107,0.500837215942,0.740862291046,0.813883627339,0.935442127306,0.714937015823,0.871087223049,0.907349147896,41,263,38,44,47,61,416,77,60,62,32,361,34,36,32,4532,20255,4192,4647,4654
2009-02-18,2008-11-04,2009-02-25,0.484555247683,0.892527241525,0.677479961764,0.671560998139,0.71989220167,0.976954897142,0.845473278854,0.851339327231,263,38,44,47,43,416,77,60,62,123,361,34,36,32,50,20255,4192,4647,4654,4851
