filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1996-05-14,1996-03-19,1996-08-14,0.462261983741,0.394651968996,0.422492959506,0.251846777095,0.825684941399,0.740978484643,0.756534126499,0.466691152273,11,16,23,249,12,18,17,18,306,18,13,9,15,655,10,1693,2083,2227,18753,1770
1996-08-14,1996-05-14,1996-11-14,0.573991835614,0.478509533226,0.24777923848,0.639280605936,0.871286190005,0.80779848343,0.432309881024,0.826186983132,16,23,249,12,14,17,18,306,18,23,9,15,655,10,12,2083,2227,18753,1770,2167
1996-11-14,1996-08-14,1997-03-20,0.598318678022,0.232730256874,0.57709728622,0.694720658152,0.881897405783,0.424188333429,0.799519451424,0.866668344825,23,249,12,14,16,18,306,18,23,18,15,655,10,12,12,2227,18753,1770,2167,2119
1997-03-20,1996-11-14,1997-05-14,0.872753699476,0.267724107036,0.273805061003,0.271718720701,0.94634569417,0.493901757239,0.465478640506,0.460070242207,249,12,14,16,189,306,18,23,18,171,655,10,12,12,415,18753,1770,2167,2119,15678
1997-05-14,1997-03-20,1997-08-13,0.619557737877,0.531245359795,0.569625147596,0.276592724518,0.888285911057,0.805449839149,0.811118796006,0.495610200646,12,14,16,189,12,18,23,18,171,4,10,12,12,415,12,1770,2167,2119,15678,1633
1997-08-13,1997-05-14,1997-11-14,0.675066765282,0.579695553052,0.289428234689,0.67254365097,0.90727839694,0.836358838833,0.494941858787,0.859606524701,14,16,189,12,19,23,18,171,4,8,12,12,415,12,13,2167,2119,15678,1633,2378
1997-11-14,1997-08-13,1998-03-23,0.695531806782,0.280009253558,0.615630872371,0.756026243839,0.912409897095,0.49120676284,0.850055696164,0.909079001272,16,189,12,19,22,18,171,4,8,7,12,415,12,13,15,2119,15678,1633,2378,2403
1998-03-23,1997-11-14,1998-05-13,0.418476326698,0.161803411082,0.174248664088,0.18125162421,0.652956717252,0.402050524425,0.400590912897,0.413781336331,189,12,19,22,275,171,4,8,7,666,415,12,13,15,1173,15678,1633,2378,2403,24642
1998-05-13,1998-03-23,1998-08-14,0.551983501943,0.519443905216,0.525379998725,0.191226762446,0.837299535179,0.800415186096,0.807143622214,0.441617062453,12,19,22,275,35,4,8,7,666,26,12,13,15,1173,22,1633,2378,2403,24642,2552
1998-08-14,1998-05-13,1998-11-16,0.648154413672,0.5453557485,0.192563051125,0.75416893266,0.893873380184,0.833789735191,0.43498088367,0.900000011892,19,22,275,35,39,8,7,666,26,30,13,15,1173,22,25,2378,2403,24642,2552,3059
1998-11-16,1998-08-14,1999-03-12,0.669770264707,0.18848150334,0.749567568551,0.772760707142,0.906682183301,0.423702978261,0.901030568712,0.914926314159,22,275,35,39,38,7,666,26,30,29,15,1173,22,25,25,2403,24642,2552,3059,2952
1999-03-12,1998-11-16,1999-05-17,0.407116151524,0.34415053804,0.35278066667,0.347239752132,0.662853082566,0.58351065341,0.57892005457,0.563039058669,275,35,39,38,195,666,26,30,29,222,1173,22,25,25,375,24642,2552,3059,2952,17029
1999-05-17,1999-03-12,1999-08-16,0.579315935156,0.50165816539,0.537337258337,0.39475536475,0.869352169064,0.811606723247,0.827014089321,0.592461423273,35,39,38,195,37,26,30,29,222,102,22,25,25,375,53,2552,3059,2952,17029,3482
1999-08-16,1999-05-17,1999-11-15,0.641323291358,0.549212368154,0.362568749297,0.762554965974,0.887171758575,0.82076835784,0.535466071323,0.86791093053,39,38,195,37,39,30,29,222,102,107,25,25,375,53,53,3059,2952,17029,3482,4131
1999-11-15,1999-08-16,2000-03-16,0.659344123234,0.351013803535,0.715706760062,0.738570032658,0.887233123451,0.52961501819,0.855709472907,0.874557784294,38,195,37,39,39,29,222,102,107,111,25,375,53,53,58,2952,17029,3482,4131,4385
2000-03-16,1999-11-15,2000-04-26,0.755184167912,0.269353966449,0.255607415629,0.258086560377,0.852643106874,0.44280815761,0.40561049511,0.410961695044,195,37,39,39,279,222,102,107,111,422,375,53,53,58,841,17029,3482,4131,4385,26701
2000-04-26,2000-03-16,2000-05-11,0.175078980384,0.159000214813,0.158554041395,0.352544453388,0.367469888129,0.320679499505,0.319222019055,0.554429244817,37,39,39,279,23,102,107,111,422,22,53,53,58,841,39,3482,4131,4385,26701,2446
