filedate,prevfiledate,nextfiledate,simtfidf4,simtfidf3,simtfidf2,simtfidf1,simcount4,simcount3,simcount2,simcount1,countpos4,countpos3,countpos2,countpos1,countpos0,countneg4,countneg3,countneg2,countneg1,countneg0,countlit4,countlit3,countlit2,countlit1,countlit0,countall4,countall3,countall2,countall1,countall0
1995-03-29,1994-11-14,1995-05-12,0.418391128058,0.474318164384,0.428054362572,0.476206000445,0.61435414047,0.700228486871,0.644039183364,0.681409558354,463,22,69,46,157,1130,60,103,61,236,2670,60,199,50,391,47887,2744,5423,3220,15791
1995-05-12,1995-03-29,1995-08-11,0.751282283411,0.513863938083,0.677258659548,0.497627526944,0.938387047974,0.70630314246,0.870513906475,0.69562827447,22,69,46,157,20,60,103,61,236,38,60,199,50,391,26,2744,5423,3220,15791,2220
1995-08-11,1995-05-12,1995-11-13,0.553524324933,0.65157922527,0.463334243877,0.781331513432,0.746149091718,0.875688282553,0.672728141406,0.904690165292,69,46,157,20,38,103,61,236,38,46,199,50,391,26,33,5423,3220,15791,2220,2754
1995-11-13,1995-08-11,1996-03-14,0.164705200658,0.201814492704,0.18295559447,0.186729624669,0.27996445509,0.366599541075,0.297541213356,0.292143651674,46,157,20,38,134,61,236,38,46,212,50,391,26,33,788,3220,15791,2220,2754,13656
1996-03-14,1995-11-13,1996-05-10,0.604042716488,0.307361434966,0.294015340961,0.246598420868,0.76074734743,0.461381589818,0.452211565415,0.419996694888,157,20,38,134,346,236,38,46,212,492,391,26,33,788,1157,15791,2220,2754,13656,25895
1996-05-10,1996-03-14,1996-08-12,0.548212163547,0.485194618683,0.14948582286,0.260586163928,0.813763028349,0.76256858464,0.299331942521,0.42993566077,20,38,134,346,17,38,46,212,492,59,26,33,788,1157,22,2220,2754,13656,25895,2515
1996-08-12,1996-05-10,1996-11-12,0.517954305385,0.14277580493,0.253482791685,0.729245776801,0.797155541744,0.28320783521,0.424700735043,0.905428405172,38,134,346,17,16,46,212,492,59,57,33,788,1157,22,22,2754,13656,25895,2515,2887
1996-11-12,1996-08-12,1997-03-14,0.159726370851,0.243371202231,0.699860076987,0.755781216271,0.311114770621,0.420163773161,0.886516175603,0.907651604949,134,346,17,16,14,212,492,59,57,73,788,1157,22,22,22,13656,25895,2515,2887,2902
1997-03-14,1996-11-12,1997-05-13,0.497129194286,0.349589321809,0.353207834945,0.352454492837,0.701764957411,0.589619737435,0.589261773588,0.584634981066,346,17,16,14,91,492,59,57,73,208,1157,22,22,22,377,25895,2515,2887,2902,16583
1997-05-13,1997-03-14,1997-08-05,0.205281940677,0.187986246322,0.186477191613,0.206345666666,0.337194674639,0.310270470474,0.322393813213,0.375163897384,17,16,14,91,73,59,57,73,208,227,22,22,22,377,688,2515,2887,2902,16583,11396
1997-08-05,1997-05-13,1997-11-07,0.52095247368,0.438673059318,0.325561339049,0.281858739278,0.755390604629,0.702043615634,0.579527164683,0.434541408288,16,14,91,73,38,57,73,208,227,85,22,22,377,688,149,2887,2902,16583,11396,4118
1997-11-07,1997-08-05,1998-03-16,0.656315488462,0.353134089912,0.205770774336,0.590464740457,0.902879807041,0.595104764386,0.321097143663,0.760720692875,14,91,73,38,22,73,208,227,85,51,22,377,688,149,18,2902,16583,11396,4118,2936
1998-03-16,1997-11-07,1998-03-24,0.523792850038,0.856106073405,0.351544610759,0.301791597897,0.713335491031,0.886623414131,0.556302862377,0.471667991977,91,73,38,22,176,208,227,85,51,405,377,688,149,18,977,16583,11396,4118,2936,25097
1998-03-24,1998-03-16,1998-05-15,0.127716264472,0.081606698839,0.0861934104278,0.180957180171,0.290558521848,0.190818894667,0.189627541218,0.355943728918,73,38,22,176,3,227,85,51,405,4,688,149,18,977,6,11396,4118,2936,25097,322
1998-05-15,1998-03-24,1998-08-10,0.167267574721,0.0892838249913,0.210620007209,0.0605899787214,0.290161597854,0.169006736118,0.326768829526,0.141335280378,38,22,176,3,286,85,51,405,4,987,149,18,977,6,2769,4118,2936,25097,322,39860
1998-08-10,1998-05-15,1998-11-12,0.589676784772,0.287904651528,0.085723902605,0.0951147683599,0.854733157513,0.463591599328,0.183814280447,0.177198983084,22,176,3,286,43,51,405,4,987,41,18,977,6,2769,23,2936,25097,322,39860,3078
1998-11-12,1998-08-10,1998-12-17,0.261695746857,0.0632529578637,0.308137801289,0.127221499319,0.347012504411,0.139390142634,0.474926466431,0.193805344555,176,3,286,43,672,405,4,987,41,1911,977,6,2769,23,3031,25097,322,39860,3078,45188
1998-12-17,1998-11-12,1999-03-15,0.0509442307046,0.281943544809,0.0618563032404,0.57202281073,0.140216387271,0.52401313756,0.139605593507,0.694908773166,3,286,43,672,86,4,987,41,1911,577,6,2769,23,3031,1068,322,39860,3078,45188,11371
1999-03-15,1998-12-17,1999-05-12,0.243178530303,0.317971254371,0.333601157781,0.224966957186,0.391105705347,0.514794535145,0.450397821363,0.374299252578,286,43,672,86,221,987,41,1911,577,382,2769,23,3031,1068,816,39860,3078,45188,11371,21704
1999-05-12,1999-03-15,1999-08-12,0.486423503263,0.138682818774,0.0752783239682,0.367642257865,0.778340860519,0.223366718606,0.171491953068,0.570195109425,43,672,86,221,31,41,1911,577,382,89,23,3031,1068,816,26,3078,45188,11371,21704,3336
1999-08-12,1999-05-12,1999-08-13,0.171303310171,0.0840394171729,0.353014748074,0.516430916237,0.290692539538,0.204752992363,0.616760265308,0.748969391304,672,86,221,31,79,1911,577,382,89,133,3031,1068,816,26,114,45188,11371,21704,3336,5386
1999-08-13,1999-08-12,1999-11-08,0.0778869969033,0.110854291317,0.10651061774,0.108467503801,0.164132026633,0.199599794404,0.194910358703,0.213047326843,86,221,31,79,2,577,382,89,133,1,1068,816,26,114,6,11371,21704,3336,5386,196
1999-11-08,1999-08-13,2000-03-17,0.337485966181,0.656216127574,0.585109318623,0.0956652552939,0.568877655998,0.874800698203,0.780745800212,0.179388613226,221,31,79,2,58,382,89,133,1,137,816,26,114,6,36,21704,3336,5386,196,4410
2000-03-17,1999-11-08,2000-05-12,0.317378949755,0.364223948539,0.116883374481,0.332038403506,0.51413182493,0.595628245864,0.200484869354,0.522505964786,31,79,2,58,386,89,133,1,137,715,26,114,6,36,1381,3336,5386,196,4410,31868
2000-05-12,2000-03-17,2000-08-14,0.398580775494,0.127544322886,0.530216366446,0.341273026998,0.696325388444,0.214283921262,0.810967627641,0.512310016689,79,2,58,386,39,133,1,137,715,46,114,6,36,1381,25,5386,196,4410,31868,3171
2000-08-14,2000-05-12,2000-11-13,0.102254036271,0.226267239782,0.644473303603,0.299350922578,0.171093913667,0.370104786415,0.746728607867,0.375447533443,2,58,386,39,235,1,137,715,46,499,6,36,1381,25,754,196,4410,31868,3171,14515
2000-11-13,2000-08-14,2001-03-14,0.552073590737,0.328535743685,0.739825959392,0.305628100894,0.860232671788,0.513966310956,0.906127126109,0.383268144474,58,386,39,235,68,137,715,46,499,69,36,1381,25,754,28,4410,31868,3171,14515,4280
2001-03-14,2000-11-13,2001-05-09,0.792253424578,0.412345842092,0.684672668083,0.417835807506,0.897992918722,0.594109985498,0.797286963339,0.605377586064,386,39,235,68,409,715,46,499,69,710,1381,25,754,28,900,31868,3171,14515,4280,27990
2001-05-09,2001-03-14,2001-08-01,0.602138045246,0.236688877171,0.573332606744,0.421695970533,0.860735637084,0.364177917988,0.840698175479,0.612893037714,39,235,68,409,45,46,499,69,710,97,25,754,28,900,34,3171,14515,4280,27990,4069
2001-08-01,2001-05-09,2001-11-02,0.225890768092,0.53135684163,0.396599288735,0.734541791638,0.354632008599,0.827966604604,0.597060579339,0.893774375803,235,68,409,45,57,499,69,710,97,129,754,28,900,34,33,14515,4280,27990,4069,4622
2001-11-02,2001-08-01,2002-03-14,0.149143001012,0.272987870619,0.173962253943,0.175362836732,0.333067960975,0.506746657214,0.364907102266,0.347329975201,68,409,45,57,294,69,710,97,129,1616,28,900,34,33,2354,4280,27990,4069,4622,38523
2002-03-14,2001-11-02,2002-03-15,0.720029840713,0.496046721999,0.495633017815,0.229327645227,0.829180024522,0.7230697705,0.725471294631,0.410884205635,409,45,57,294,233,710,97,129,1616,468,900,34,33,2354,427,27990,4069,4622,38523,20755
2002-03-15,2002-03-14,2002-05-07,0.141805117669,0.115788070549,0.0856484176296,0.22142305506,0.270829182414,0.220337631679,0.242327390615,0.347012694797,45,57,294,233,3,97,129,1616,468,3,34,33,2354,427,14,4069,4622,38523,20755,397
2002-05-07,2002-03-15,2002-08-12,0.118988245455,0.257769017601,0.188863229042,0.0765963619146,0.226588340378,0.509633666239,0.303252179132,0.166295586958,57,294,233,3,329,129,1616,468,3,1267,33,2354,427,14,2896,4622,38523,20755,397,42279
2002-08-12,2002-05-07,2002-11-08,0.143140448081,0.482408289473,0.0851752703031,0.125114244854,0.30729902799,0.705197799717,0.168941755624,0.208891872281,294,233,3,329,73,1616,468,3,1267,221,2354,427,14,2896,71,38523,20755,397,42279,6305
2002-11-08,2002-08-12,2003-02-27,0.470020463389,0.0829523602392,0.125508485742,0.803409879108,0.70137135188,0.175487722322,0.216040200974,0.929711287053,233,3,329,73,75,468,3,1267,221,288,427,14,2896,71,64,20755,397,42279,6305,7191
2003-02-27,2002-11-08,2003-03-10,0.207414629177,0.162100225592,0.615853233609,0.638283003234,0.316369559502,0.263544719907,0.794352968168,0.80427107686,3,329,73,75,247,3,1267,221,288,604,14,2896,71,64,361,397,42279,6305,7191,23064
2003-03-10,2003-02-27,2003-05-06,0.145236048276,0.664200234097,0.697269384924,0.895423688855,0.241745679706,0.841058298188,0.854000896791,0.936018062078,329,73,75,247,215,1267,221,288,604,491,2896,71,64,361,198,42279,6305,7191,23064,17123
